태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
동대문구체육관,서울특별시 동대문구 답십리로 210-3,,37.5722876733052,127.063953717168,,정상가동,35.0,380,60,2009,,,,,2024-09-24
동대문청소년독서실,서울특별시 동대문구 장한로 191,,37.5771652926379,127.070902636146,,정상가동,10.0,380,60,2010,,,,,2024-09-24
휘경1동주민센터,서울특별시 동대문구 외대역동로6길 3,,37.5929078049257,127.065761186023,,정상가동,20.0,380,60,2010,,,,,2024-09-24
용두빗물펌프장,서울특별시 동대문구 청계천로13길 13,,,,,정상가동,20.0,380,60,2010,,,,,2024-09-24
장안4빗물펌프장,서울특별시 동대문구 사가정로 238-5,,,,,정상가동,20.0,380,60,2010,,,,,2024-09-24
신답빗물펌프장,서울특별시 성동구 청계천로 598,,,,,정상가동,10.0,380,60,2010,,,,,2024-09-24
동대문구정보화도서관,서울특별시 동대문구 회기로10길 60,,37.5899695058832,127.047289694219,,정상가동,10.0,380,60,2011,,,,,2024-09-24
홍릉문화복지센터,서울특별시 동대문구 홍릉로 81,,37.5875163184778,127.042707637538,,정상가동,10.0,380,60,2012,,,,,2024-09-24
휘경2동주민센터,서울특별시 동대문구 한천로 329,,37.5901338416767,127.068591769026,,정상가동,10.0,380,60,2013,,,,,2024-09-24
답십리도서관,서울특별시 동대문구 서울시립대로4길 75,,37.5731929971065,127.050360280191,,정상가동,26.0,380,60,2014,,,,,2024-09-24
답십리2동주민센터,서울특별시 동대문구 한천로11길 18,,37.5673977670564,127.061282067268,,정상가동,10.0,380,60,2014,,,,,2024-09-24
제기동주민센터,서울특별시 동대문구 약령시로 71,,37.5831100568691,127.037822034874,,정상가동,25.6,380,60,2014,,,,,2024-09-24
동대문종합사회복지관,서울특별시 동대문구 약령시로5길 22,,37.5840209857522,127.034196960692,,정상가동,25.0,380,60,2014,,,,,2024-09-24
용신동주민센터,서울특별시 동대문구 천호대로27길 35,,37.5758001067263,127.037275183875,,정상가동,10.0,380,60,2015,,,,,2024-09-24
전농2동주민센터,서울특별시 동대문구 사가정로 137,,37.5780910683282,127.06000784823,,정상가동,15.0,380,60,2015,,,,,2024-09-24
장안종합사회복지관,서울특별시 동대문구 한천로18길 48,,37.5679514930411,127.066170728513,,정상가동,30.0,380,60,2015,,,,,2024-09-24
장영당길공영주차장,서울특별시 동대문구 천호대로71길 29,,37.5687689568359,127.052976599049,,정상가동,25.0,380,60,2015,,,,,2024-09-24
청량리동공영주차장,서울특별시 동대문구 홍릉로12길 18,,37.5854353415823,127.044533006482,,정상가동,20.0,380,60,2015,,,,,2024-09-24
동답공영주차장,서울특별시 동대문구 한천로17길 7,,37.5693584009657,127.063540203679,,정상가동,15.0,380,60,2016,,,,,2024-09-24
다사랑행복센터,서울특별시 동대문구 청계천로 521,,37.5718134590301,127.034047390232,,정상가동,35.364,380,60,2016,,,,,2024-09-24
외대역공영주차장,서울특별시 동대문구 휘경로 28,,37.5950380060548,127.06263838842,,정상가동,9.45,380,60,2017,,,,,2024-09-24
답십리1동주민센터,서울특별시 동대문구 사가정로 30,,37.5718230910833,127.051274904171,,정상가동,36.0,380,60,2017,,,,,2024-09-24
용두문화복지센터,서울특별시 동대문구 고산자로28길 13,,37.575323586988,127.039172801787,,정상가동,56.0,380,60,2018,,,,,2024-09-24
용두청소년독서실,서울특별시 동대문구 한빛로 62,,37.5786056246045,127.029638751551,,정상가동,9.36,380,60,2018,,,,,2024-09-24
이문체육문화센터,서울특별시 동대문구 한천로58길 81-49,,37.6022443611582,127.068702201586,,정상가동,30.24,380,60,2018,,,,,2024-09-24
중산공영주차장,서울특별시 동대문구 답십리로56길 89,,37.5687401225103,127.058877806167,,정상가동,10.08,380,60,2018,,,,,2024-09-24
창업지원센터,서울특별시 동대문구 답십리로38길 19,,37.5734565365387,127.05015228176,,정상가동,6.48,380,60,2019,,,,,2024-09-24
동대문구청사(BIPV),서울특별시 동대문구 천호대로 145,,37.5743917161622,127.039896580148,,정상가동,118.41,380,60,2022,,,,,2024-09-24
동대문구청사(PV),서울특별시 동대문구 천호대로 145,,37.5743917161622,127.039896580148,,정상가동,100.8,380,60,2022,,,,,2024-09-24
답십리영화미디어아트센터,서울특별시 동대문구 답십리로 210-9,,37.5718037671624,127.063753395558,,정상가동,23.4,380,60,2022,,,,,2024-09-24
신이문빗물펌프장,서울특별시 동대문구 한천로58길 74,,,,,정상가동,15.0,380,60,2022,,,,,2024-09-24
전농장안빗물펌프장,서울특별시 동대문구 천호대로 78길 58,,37.5737781260662,127.031943084019,,정상가동,20.0,380,60,2022,,,,,2024-09-24
휘경1빗물펌프장,서울특별시 동대문구 휘경로 78,,,,,정상가동,15.0,380,60,2022,,,,,2024-09-24
