태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
한우리정보문화센터(옥상),서울특별시 서초구 남부순환로 340길 15,서울특별시 서초구 서초동 380,37.482052,127.025012,옥상,정상가동,30.0,380,60,2009,자가소비용,2009-10-05,서울특별시 서초구청,,2026-01-06
서초구청사보건소,서울특별시 서초구 남부순환로 2584,서울특별시 서초구 서초동 1376-3,37.483625,127.032683,옥상,정상가동,10.0,380,60,2009,자가소비용,2009-10-05,서울특별시 서초구청,,2026-01-06
서초구민체육센터,서울특별시 서초구 사평대로 55,서울특별시 서초구 반포동 114-3,37.498853,126.990516,옥상,정상가동,20.0,380,60,2010,자가소비용,2010-03-05,서울특별시 서초구청,,2026-01-06
본마을노인복지센터,서울특별시 서초구 본마을2길 2,서울특별시 서초구 신원동 446,37.454432,127.053415,옥상,가동중단,3.15,380,60,2011,자가소비용,2010-03-05,서울특별시 서초구청,,2026-01-06
반포4동주민센터,서울특별시 서초구 사평대로 28길 70,서울특별시 서초구 반포동 74-7,37.497486,127.000329,옥상,정상가동,30.0,380,60,2012,자가소비용,2012-05-05,서울특별시 서초구청,,2026-01-06
서초2동주민센터,서울특별시 서초구 서초대로 70길 51,서울특별시 서초구 서초동 1332-6,37.492069,127.024948,옥상,정상가동,10.0,380,60,2012,자가소비용,2012-06-07,서울특별시 서초구청,,2026-01-06
방배열린문화센터,서울특별시 서초구 방배로 173,서울특별시 서초구 방배동 852-14,37.489008,126.992242,옥상,정상가동,10.0,380,60,2013,자가소비용,2013-03-07,서울특별시 서초구청,,2026-01-06
서초50플러스센터,서울특별시 서초구 염곡말길 9,서울특별시 서초구 염곡동 180-2,37.461824,127.050699,옥상,정상가동,10.0,380,60,2013,자가소비용,2013-05-09,서울특별시 서초구청,,2026-01-06
반포종합사회복지관,서울특별시 서초구 신반포로 33길 22,서울특별시 서초구 잠원동 60-5,37.509952,127.010994,옥상,정상가동,6.0,380,60,2013,자가소비용,2013-04-08,서울특별시 서초구청,,2026-01-06
서초1동주민센터,서울특별시 서초구 사임당로 89,서울특별시 서초구 서초동 1649-5,37.490192,127.019467,옥상,정상가동,10.0,380,60,2014,자가소비용,2014-10-18,서울특별시 서초구청,,2026-01-06
서울시인재개발원서초태양광발전소,서울특별시 서초구 남부순환로 340길 58,서울특별시 서초구 서초동 391,37.481196,127.023434,주차장,정상가동,61.0,380,60,2015,발전사업용,2015-07-24,서울특별시 서초구청,,2026-01-06
예술의마을 경로당,서울특별시 서초구 남부순환로 323길 44-15,서울특별시 서초구 서초동 1455-4,37.48330429,127.014672,옥외,정상가동,2.0,380,60,2016,자가소비용,2016-12-12,서울특별시 서초구청,,2026-01-06
서초구립노인요양센터,서울특별시 서초구 남부순환로 340길 21,서울특별시 서초구 서초동 380-4,37.481743,127.024625,옥상,정상가동,8.0,380,60,2016,자가소비용,2016-08-06,서울특별시 서초구청,,2026-01-06
동산마을경로당,서울특별시 서초구 동산로 12길 8,서울특별시 서초구 양재동 376-3,37.471361,127.045051,옥상,정상가동,6.0,380,60,2018,자가소비용,2018-07-03,서울특별시 서초구청,,2026-01-06
