태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
주식회사 나이스(나이스 태양광발전소),울산광역시 북구 무룡로 144,울산광역시 북구 연암동 1435,35.57740969,129.3747596,,정상가동,208.32,380,60,2024,발전사업용,2024-04-30,울산광역시청,,2024-09-24
삼선2호 태양광발전소,울산광역시 울주군 상북면 길천산업2길 36-17,울산광역시 울주군 상북면 거리 1170-5,35.59640044,129.0770007,,정상가동,57.04,380,60,2024,발전사업용,2024-03-27,울산광역시청,,2024-09-24
삼선1호 태양광발전소,울산광역시 울주군 상북면 길천산업2길 36-17,울산광역시 울주군 상북면 거리 1170-5,35.59640044,129.0770007,,정상가동,83.08,380,60,2024,발전사업용,2024-03-27,울산광역시청,,2024-09-24
오엠씨(주) (대국5호 태양광발전소),울산광역시 울주군 언양읍 반천산업로 219-15,울산광역시 울주군 언양읍 반천리 1116-4,35.56462373,129.1546771,,정상가동,73.16,380,60,2024,발전사업용,2024-03-22,울산광역시청,,2024-09-24
백양메카텍(주)(백양메카텍 태양광발전소),울산광역시 울주군 청량읍 처용산업4길 55,울산광역시 울주군 청량읍 용암리 958-1,35.47459431,129.3253319,,정상가동,369.37,380,60,2024,발전사업용,2024-03-20,울산광역시청,,2024-09-24
햇살그린협동조합(햇살그린발전소 666호),울산광역시 울주군 삼남읍 사촌신복로 524-12,울산광역시 울주군 삼남읍 신화리 1502-2,35.53504717,129.1125168,,정상가동,47.56,380,60,2024,발전사업용,2024-03-20,울산광역시청,,2024-09-24
햇살그린협동조합(햇살그린발전소 665호),울산광역시 울주군 삼남읍 사촌신복로 524-12,울산광역시 울주군 삼남읍 신화리 1502-2,35.53504717,129.1125168,,정상가동,98.6,380,60,2024,발전사업용,2024-03-20,울산광역시청,,2024-09-24
SM 태양광발전소,울산광역시 북구 매곡산업4길 21,울산광역시 북구 매곡동 872-1,35.65152531,129.3613358,,정상가동,299.47,380,60,2024,발전사업용,2024-03-15,울산광역시청,,2024-09-24
웅촌고연 태양광발전소,울산광역시 울주군 웅촌면 갓골길 41-3,울산광역시 울주군 웅촌면 고연리 87,35.44428817,129.1775237,,정상가동,29.52,380,60,2024,발전사업용,2024-03-07,울산광역시청,,2024-09-24
우진2호 태양광발전소,울산광역시 울주군 두동면 중비조길 29,울산광역시 울주군 두동면 만화리 637,35.64750898,129.229634,,정상가동,49.37,380,60,2024,발전사업용,2024-02-28,울산광역시청,,2024-09-24
우진1호 태양광발전소,울산광역시 울주군 두동면 중비조길 29,울산광역시 울주군 두동면 만화리 637,35.64750898,129.229634,,정상가동,99.37,380,60,2024,발전사업용,2024-02-28,울산광역시청,,2024-09-24
씨아이테크(주) (CI-TECH 울산 태양광발전소),울산광역시 울주군 언양읍 반천산업로 80-67,울산광역시 울주군 언양읍 반천리 1110-5,35.56176931,129.1502228,,정상가동,693.84,22900,60,2024,발전사업용,2024-02-19,울산광역시청,,2024-09-24
한국무브넥스 주식회사(한국무브넥스 5호 태양광발전소),울산광역시 동구 방어진순환도로 1100,울산광역시 동구 동부동 167-1,35.53873249,129.4283606,,정상가동,99.76,380,60,2024,발전사업용,2024-02-19,울산광역시청,,2024-09-24
한국무브넥스 주식회사(한국무브넥스 4호 태양광발전소),울산광역시 동구 방어진순환도로 1100,울산광역시 동구 동부동 167-1,35.53873249,129.4283606,,정상가동,99.76,380,60,2024,발전사업용,2024-02-19,울산광역시청,,2024-09-24
한국무브넥스 주식회사(한국무브넥스 3호 태양광발전소),울산광역시 동구 방어진순환도로 1100,울산광역시 동구 동부동 167-1,35.53873249,129.4283606,,정상가동,99.76,380,60,2024,발전사업용,2024-02-19,울산광역시청,,2024-09-24
한국무브넥스 주식회사(한국무브넥스 2호 태양광발전소),울산광역시 동구 방어진순환도로 1100,울산광역시 동구 동부동 167-1,35.53873249,129.4283606,,정상가동,99.76,380,60,2024,발전사업용,2024-02-19,울산광역시청,,2024-09-24
