태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
인천백석고등학교 태양광발전소,인천광역시 서구 서곶로 701,,,,,정상가동,35,380,60,2024,,2023-10-24,인천광역시청,,2025-09-12
인천순복음교회 태양광발전소,인천광역시 미추홀구 인하로 458,,,,,정상가동,144,380,60,2024,,2023-10-18,인천광역시청,,2025-09-12
평택정밀 태양광 발전소,인천광역시 미추홀구 염전로 270,,,,,정상가동,111.86,380,60,2024,,2023-09-05,인천광역시청,,2025-09-12
메인테크 태양광 발전소,인천광역시 미추홀구 염전로289번길 55,,,,,정상가동,110.67,380,60,2024,,2023-09-05,인천광역시청,,2025-09-12
용현태양광,인천광역시 미추홀구 수봉로130번길 5,,,,,정상가동,14.87,380,60,2023,,2023-09-05,인천광역시청,,2025-09-12
GS칼텍스 항동물류센터 태양광발전소 2호,인천광역시 중구 연안부두로115번길 42,,,,,정상가동,49.56,380,60,2023,,2023-08-30,인천광역시청,,2025-09-12
GS칼텍스 항동물류센터 태양광발전소,인천광역시 중구 연안부두로115번길 42,,,,,정상가동,49.56,380,60,2023,,2023-08-30,인천광역시청,,2025-09-12
삼림상사 태양광발전소,인천광역시 서구 한서로 97,,,,,정상가동,48,380,60,2023,,2023-08-21,인천광역시청,,2025-09-12
해빛 에너지 태양광 발전소,인천광역시 남동구 만의골로 3-8,,,,,정상가동,72.59,380,60,2024,,2023-08-21,인천광역시청,,2025-09-12
김영열 태양광발전소,인천광역시 남동구 인주대로 832-10,,,,,정상가동,15,380,60,2023,,2023-08-04,인천광역시청,,2025-09-12
폴그린테크 태양광발전소,인천광역시 서구 대곡로89번안길 21,,,,,정상가동,95.55,380,60,2023,,2023-08-04,인천광역시청,,2025-09-12
한라정공 태양광발전소,인천광역시 남동구 앵고개로621번길 28-45,,,,,정상가동,199.92,380,60,2023,,2023-07-24,인천광역시청,,2025-09-12
윤복남1-2 태양광발전소,인천광역시 남동구 남동동로183번길 14,,,,,정상가동,81,380,60,2024,,2023-07-04,인천광역시청,,2025-09-12
윤복남1 태양광발전소,인천광역시 남동구 남동동로183번길 14,,,,,정상가동,81,380,60,2024,,2023-07-04,인천광역시청,,2025-09-12
SS 태양광발전소,인천광역시 남동구 남동동로183번길 12,,,,,정상가동,81,380,60,2024,,2023-07-04,인천광역시청,,2025-09-12
HS 태양광발전소,인천광역시 남동구 남동동로183번길 12,,,,,정상가동,81,380,60,2024,,2023-07-04,인천광역시청,,2025-09-12
동아피제이피 태양광발전소,인천광역시 서구 원전로37번길 12-13,,,,,정상가동,258,380,60,2024,,2023-07-04,인천광역시청,,2025-09-12
동원화스너 태양광발전소,인천광역시 남동구 남동대로49번길 49,,,,,정상가동,91.08,380,60,2023,,2023-07-04,인천광역시청,,2025-09-12
은일5호 태양광발전소,인천광역시 강화군 하점면 고려산로 510-34,,,,,정상가동,49.5,380,60,2023,,2023-06-20,인천광역시청,,2025-09-12
은일4호 태양광발전소,인천광역시 강화군 하점면 고려산로 510-34,,,,,정상가동,99.55,380,60,2023,,2023-06-20,인천광역시청,,2025-09-12
은일3호 태양광발전소,인천광역시 강화군 하점면 고려산로 510-34,,,,,정상가동,99.55,380,60,2023,,2023-06-20,인천광역시청,,2025-09-12
은일2호 태양광발전소,인천광역시 강화군 하점면 고려산로 510-34,,,,,정상가동,99.55,380,60,2023,,2023-06-20,인천광역시청,,2025-09-12
은일1호 태양광발전소,,인천광역시 강화군 하점면 신삼리 772-1,,,,정상가동,99.55,380,60,2023,,2023-06-20,인천광역시청,,2025-09-12
웨스트버드 태양광발전소,인천광역시 중구 운남로82번길 5,,,,,정상가동,19.72,380,60,2023,,2023-06-05,인천광역시청,,2025-09-12
브니엘2호 태양광발전소,인천광역시 강화군 하점면 고려산로 264,,,,,정상가동,92.4,380,60,2023,,2023-05-23,인천광역시청,,2025-09-12
브니엘 1호 태양광발전소,인천광역시 강화군 하점면 고려산로 264,,,,,정상가동,99,380,60,2023,,2023-05-23,인천광역시청,,2025-09-12
주원2호 태양광발전소,인천광역시 강화군 강화읍 강화산단로73번길 30,,,,,정상가동,99.96,380,60,2023,,2023-05-23,인천광역시청,,2025-09-12
주원1호 태양광발전소,인천광역시 강화군 강화읍 강화산단로73번길 30,,,,,정상가동,99.96,380,60,2023,,2023-05-23,인천광역시청,,2025-09-12
햇살그린발전소 13호,인천광역시 남동구 남동동로34번길 69,,,,,정상가동,74.97,380,60,2023,,2023-05-22,인천광역시청,,2025-09-12
(주)엔티스2호 태양광발전소,인천광역시 서구 보듬3로 24,,,,,정상가동,70.81,380,60,2023,,2023-05-17,인천광역시청,,2025-09-12
(주)엔티스1호 태양광발전소,인천광역시 서구 보듬3로 24,,,,,정상가동,99.96,380,60,2023,,2023-05-17,인천광역시청,,2025-09-12
광덕산업 태양광발전사업,인천광역시 서구 북항로31번길 77,,,,,정상가동,199.92,380,60,2023,,2023-05-09,인천광역시청,,2025-09-12
곽순찬태양광발전소,인천광역시 남동구 하촌서로 48-17,,,,,정상가동,15.47,380,60,2023,,2023-05-09,인천광역시청,,2025-09-12
선재해림 태양광발전소,인천광역시 옹진군 영흥면 선재로226번길 107-34,,,,,정상가동,378.42,380,60,2023,,2023-05-03,인천광역시청,,2025-09-12
빠쎄 태양광발전소,인천광역시 옹진군 영흥면 영흥북로 374-24,,,,,정상가동,98.82,380,60,2023,,2023-05-03,인천광역시청,,2025-09-12
SH에너지 오류동 태양광발전소,인천광역시 서구 길무로177번길 11,,,,,정상가동,62.64,380,60,2023,,2023-04-26,인천광역시청,,2025-09-12
케이제이인더스트리 태양광발전소,인천광역시 중구 축항대로211번길 13,,,,,정상가동,500.39,22900,60,2023,,2023-04-26,인천광역시청,,2025-09-12
오연수5호 태양광발전소,,인천광역시 강화군 불은면 삼동암리 1072-40,,,,정상가동,45.59,380,60,2023,,2023-04-26,인천광역시청,,2025-09-12
오연수4호 태양광발전소,,인천광역시 강화군 불은면 삼동암리 1072-40,,,,정상가동,99.73,380,60,2023,,2023-04-26,인천광역시청,,2025-09-12
오연수3호 태양광발전소,,인천광역시 강화군 불은면 삼동암리 1072-43,,,,정상가동,99.73,380,60,2023,,2023-04-26,인천광역시청,,2025-09-12
오연수2호 태양광발전소,,인천광역시 강화군 불은면 삼동암리 1072-43,,,,정상가동,99.73,380,60,2023,,2023-04-26,인천광역시청,,2025-09-12
오연수1호 태양광발전소,,인천광역시 강화군 불은면 삼동암리 1072-43,,,,정상가동,99.73,380,60,2023,,2023-04-26,인천광역시청,,2025-09-12
이레테크 태양광발전소,인천광역시 서구 북항로193번길 93,,,,,정상가동,138.65,380,60,2023,,2023-04-26,인천광역시청,,2025-09-12
태성산업기계 태양광발전소,인천광역시 남동구 고잔로 37,,,,,정상가동,99.76,380,60,2023,,2023-03-30,인천광역시청,,2025-09-12
거성산업(주) 태양광발전소,인천광역시 서구 마중3로 16,,,,,정상가동,99,380,60,2023,,2023-03-30,인천광역시청,,2025-09-12
경인항 인천터미널 주차장 태양광발전소,인천광역시 서구 정서진1로 41,,,,,정상가동,981.55,22900,60,2023,,2023-03-22,인천광역시청,,2025-09-12
지산이앤디4호 태양광발전소,인천광역시 중구 서해대로 186,,,,,정상가동,69.61,380,60,2023,,2023-03-13,인천광역시청,,2025-09-12
지산이앤디3호 태양광발전소,인천광역시 중구 서해대로 120,,,,,정상가동,73.18,380,60,2023,,2023-03-13,인천광역시청,,2025-09-12
지산이앤디2호 태양광발전소,인천광역시 중구 서해대로 126,,,,,정상가동,54.14,380,60,2023,,2023-03-13,인천광역시청,,2025-09-12
지산이앤디1호 태양광발전소,인천광역시 중구 서해대로 126,,,,,정상가동,99.96,380,60,2023,,2023-03-13,인천광역시청,,2025-09-12
최원대 태양광발전소,인천광역시 서구 건지로121번길 47,,,,,정상가동,98.17,380,60,2023,,2023-03-13,인천광역시청,,2025-09-12
미래 태양광발전소,인천광역시 서구 보도진로30번길 24,,,,,정상가동,97.97,380,60,2023,,2023-03-13,인천광역시청,,2025-09-12
보규 발전소,인천광역시 서구 장고개로168번길 4,,,,,정상가동,99.12,380,60,2023,,2023-03-13,인천광역시청,,2025-09-12
보경발전소,인천광역시 서구 장고개로168번길 4,,,,,정상가동,99.12,380,60,2023,,2023-03-13,인천광역시청,,2025-09-12
희분 발전소,인천광역시 서구 장고개로168번길 4,,,,,정상가동,46.02,380,60,2023,,2023-03-13,인천광역시청,,2025-09-12
성희4호 태양광발전소,인천광역시 강화군 불은면 삼동암길 224-21,,,,,정상가동,99.96,380,60,2023,,2023-03-07,인천광역시청,,2025-09-12
성희3호 태양광발전소,인천광역시 강화군 불은면 삼동암길 224-21,,,,,정상가동,99.96,380,60,2023,,2023-03-07,인천광역시청,,2025-09-12
성희2호 태양광발전소,인천광역시 강화군 불은면 삼동암길 224-21,,,,,정상가동,99.96,380,60,2023,,2023-03-07,인천광역시청,,2025-09-12
성희1호 태양광발전소,인천광역시 강화군 불은면 삼동암길 224-21,,,,,정상가동,99.96,380,60,2023,,2023-03-07,인천광역시청,,2025-09-12
주식회사 케이티엠테크,인천광역시 서구 검단로92번길 14,,,,,정상가동,153.51,380,60,2023,,2023-03-07,인천광역시청,,2025-09-12
유림 태양광발전소,인천광역시 서구 북항로 132,,,,,정상가동,308.21,380,60,2023,,2023-03-07,인천광역시청,,2025-09-12
한빛 태양광발전소,인천광역시 서구 거북로 25-36,,,,,정상가동,52.2,380,60,2023,,2023-02-20,인천광역시청,,2025-09-12
굿모닝검단10호 발전소,인천광역시 서구 검단로102번길 13,,,,,정상가동,92.04,380,60,2023,,2023-01-30,인천광역시청,,2025-09-12
굿모닝검단9호 발전소,인천광역시 서구 검단로102번길 13,,,,,정상가동,96.17,380,60,2023,,2023-01-30,인천광역시청,,2025-09-12
굿모닝검단8호 발전소,인천광역시 서구 검단로102번길 13,,,,,정상가동,99.12,380,60,2023,,2023-01-30,인천광역시청,,2025-09-12
굿모닝검단7호 발전소,인천광역시 서구 검단로102번길 13,,,,,정상가동,99.12,380,60,2023,,2023-01-30,인천광역시청,,2025-09-12
굿모닝검단6호 발전소,인천광역시 서구 검단로102번길 13,,,,,정상가동,99.12,380,60,2023,,2023-01-30,인천광역시청,,2025-09-12
굿모닝검단5호 발전소,인천광역시 서구 검단로114번길 16,,,,,정상가동,99.12,380,60,2023,,2023-01-30,인천광역시청,,2025-09-12
굿모닝검단4호 발전소,인천광역시 서구 검단로114번길 16,,,,,정상가동,97.35,380,60,2023,,2023-01-30,인천광역시청,,2025-09-12
굿모닝검단3호 발전소,인천광역시 서구 검단로114번길 16,,,,,정상가동,96.17,380,60,2023,,2023-01-30,인천광역시청,,2025-09-12
