태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
김대일 태양광발전소,,전라남도 고흥군 동강면 죽암리 515-2,34.7828406418381,127.383257182716,,정상가동,15.04,380,60,2024,발전사업용,2024-07-17,전라남도 고흥군,,2024-10-10
송변석 발전소,,전라남도 고흥군 과역면 노일리 196-1,34.6861830404229,127.334768376199,,정상가동,19.0,220,60,2024,발전사업용,2024-05-07,전라남도 고흥군,,2024-10-10
대전 태양광발전소,,전라남도 고흥군 두원면 대전리 515,34.7086407636705,127.266796491262,,정상가동,18.0,220,60,2024,발전사업용,2024-04-01,전라남도 고흥군,,2024-10-10
미정 태양광발전소,전라남도 고흥군 과역면 송학큰길 43-41,,34.6791295845416,127.360979436957,,정상가동,15.0,380,60,2024,발전사업용,2024-02-29,전라남도 고흥군,,2024-10-10
서강 태양광발전소,,전라남도 고흥군 대서면 송강리 1252-5,34.7532191883585,127.298981747028,,정상가동,27.0,380,60,2024,발전사업용,2024-02-23,전라남도 고흥군,,2024-10-10
사장등 태양광발전소,,전라남도 고흥군 풍양면 안동리 268,34.5591672718742,127.22761764505,,정상가동,19.68,220,60,2024,발전사업용,2024-02-15,전라남도 고흥군,,2024-10-10
미래 태양광발전소,,전라남도 고흥군 포두면 상대리 313-2,34.575594262876,127.334806787784,,정상가동,40.0,380,60,2024,발전사업용,2024-02-13,전라남도 고흥군,,2024-10-10
무지개 태양광발전소,,전라남도 고흥군 포두면 오취리 408 (건물 위),34.5618849106582,127.4050581138,,정상가동,30.0,380,60,2024,발전사업용,2024-02-05,전라남도 고흥군,,2024-10-10
정상길 태양광발전소,,전라남도 고흥군 고흥읍 남계리 260 (건물 위),34.6161429645032,127.292281530544,,정상가동,39.0,380,60,2024,발전사업용,2024-02-05,전라남도 고흥군,,2024-10-10
평산횟집 태양광발전소,,전라남도 고흥군 금산면 신평리 1031-6,34.4890798416627,127.176931679197,,정상가동,45.0,380,60,2024,발전사업용,2024-01-19,전라남도 고흥군,,2024-10-10
죽암농장 제3호 태양광발전소,,"전라남도 고흥군 동강면 장덕리 195-2 , 196, 198-3, 198-4, 198-5, 198-6, 201-2",,,,정상가동,99.0,380,60,2015,발전사업용,2014-08-14,전라남도 고흥군,,2024-10-10
죽암농장 제2호 태양광발전소,,전라남도 고흥군 동강면 장덕리 193 나동,34.7888227140163,127.35233211206,,정상가동,99.0,380,60,2015,발전사업용,2014-08-14,전라남도 고흥군,,2024-10-10
김두자 태양광발전소,전라남도 고흥군 점암면 해창로 623,,34.625993143916,127.376432413081,,정상가동,15.0,380,60,2024,발전사업용,2023-12-27,전라남도 고흥군,,2024-10-10
문홍 태양광발전소,전라남도 고흥군 남양면 고흥로 3377-30,,,,,정상가동,98.0,380,60,2020,발전사업용,2014-08-27,전라남도 고흥군,,2024-10-10
세움1호 태양광발전소,전라남도 고흥군 도덕면 고흥로 406,,34.5624592358577,127.170010660368,,정상가동,75.0,380,60,2024,발전사업용,2023-12-12,전라남도 고흥군,,2024-10-10
엘림4 태양광발전소,,전라남도 고흥군 포두면 봉림리 55-4,34.5579084660915,127.312269271103,,정상가동,14.88,380,60,2024,발전사업용,2023-12-12,전라남도 고흥군,,2024-10-10
NDS 태양광발전소,,전라남도 고흥군 도화면 신호리 12-6,34.5381375846191,127.316998112263,,정상가동,99.0,380,60,2015,발전사업용,2015-05-08,전라남도 고흥군,,2024-10-10
죽암농장1호 태양광발전소,,전라남도 고흥군 동강면 장덕리 1062-3,34.7831450289494,127.357549369552,,정상가동,96.0,380,60,2016,발전사업용,2014-07-23,전라남도 고흥군,,2024-10-10
SUNNY4호 태양광발전소,,전라남도 고흥군 포두면 옥강리 148-79,34.5477003828498,127.42832616967,,정상가동,99.0,380,60,2015,발전사업용,2014-09-02,전라남도 고흥군,,2024-10-10
해도1호 태양광발전소,"전라남도 고흥군 도양읍 고흥로 47, 수산물가공시설",,34.5502984429563,127.139726373183,,정상가동,99.11,380,60,2015,발전사업용,2014-09-03,전라남도 고흥군,,2024-10-10
과역 태양광발전소,전라남도 고흥군 과역면 고흥로 2925-3,,34.6741508029367,127.359953243487,,정상가동,99.22,380,60,2010,발전사업용,2009-07-24,전라남도,,2024-10-10
이삭 태양광발전소,"전라남도 고흥군 영남면 남열본동1길 92, 기타관광숙박시설",,34.5799739049227,127.478456229762,,정상가동,19.8,380,60,2024,발전사업용,2023-08-30,전라남도 고흥군,,2024-10-10
