태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
해달비태양광발전소,,전라남도 곡성군 입면 삼오리 산45-1,,,,정상가동,99.84,380,60,2014,,,,,2024-10-01
농가온태양광발전소,,전라남도 곡성군 오산면 운곡리 37-1,,,,정상가동,58.32,380,60,2014,,,,,2024-10-01
자연골태양광발전소,,전라남도 곡성군 곡성읍 구원리 33,,,,정상가동,75,380,60,2014,,,,,2024-10-01
약천태양광발전소,,전라남도 곡성군 입면 약천리 470,,,,정상가동,50,380,60,2015,,,,,2024-10-01
연화태양광발전소,,전라남도 곡성군 죽곡면 연화리 15-1,,,,정상가동,60,380,60,2014,,,,,2024-10-01
미상태양광발전소,,전라남도 곡성군 겸면 남양리 54-2,,,,정상가동,99,380,60,2015,,,,,2024-10-01
만수1호태양광발전소,,전라남도 곡성군 입면 만수리 301-4,,,,정상가동,83.7,380,60,2015,,,,,2024-10-01
SH1호태양광발전소,,전라남도 곡성군 겸면 산정리 454,,,,정상가동,99.2,380,60,2014,,,,,2024-10-01
일월태양광발전소,,전라남도 곡성군 옥과면 수리 899-62,,,,정상가동,99.375,380,60,2015,,,,,2024-10-01
성덕태양광발전소,,전라남도 곡성군 옥과면 수리 241-1,,,,정상가동,99.375,380,60,2015,,,,,2024-10-01
행복1동태양광발전소,,전라남도 곡성군 옥과면 소룡리 421-4,,,,정상가동,96,380,60,2014,,,,,2024-10-01
옥과피에네지태양광발전소,,전라남도 곡성군 옥과면 소룡리 423-3,,,,정상가동,96,380,60,2014,,,,,2024-10-01
옥과태건2호태양광발전소,,전라남도 곡성군 옥과면 주산리 182-3,,,,정상가동,46.2,380,60,2014,,,,,2024-10-01
서영기태양광발전소1호,,전라남도 곡성군 목사동면 용봉리 468,,,,정상가동,15,380,60,2014,,,,,2024-10-01
서영기태양광발전소 2호,,전라남도 곡성군 목사동면 용봉리 723-1,,,,정상가동,72.8,380,60,2014,,,,,2024-10-01
강빛2호태양광발전소,전라남도 곡성군 겸면 신흥길 53-8,,,,,정상가동,99,380,60,2014,,,,,2024-10-01
옥천태양광발전소,,전라남도 곡성군 석곡면 석곡리 234-5,,,,정상가동,15,380,60,2014,,,,,2024-10-01
천년1호태양광발전소,,전라남도 곡성군 곡성군 오산면 율천리 123-5,,,,정상가동,98.8,380,60,2014,,,,,2024-10-01
제일3호태양광발전소,,전라남도 곡성군 곡성군 겸면 마전리 644-4,,,,정상가동,98.8,380,60,2014,,,,,2024-10-01
제일4호태양광발전소,,전라남도 곡성군 곡성군 겸면 마전리 644,,,,정상가동,98.8,380,60,2014,,,,,2024-10-01
용봉태양광발전소,,전라남도 곡성군 곡성군 목사동면 용봉리 640,,,,정상가동,99,380,60,2015,,,,,2024-10-01
규성태양광발전소,,전라남도 곡성군 목사동면 용봉리 640-2,,,,정상가동,99,380,60,2017,,,,,2024-10-01
우주1호태양광발전소,,전라남도 곡성군 곡성읍 묘천리 768-1,,,,정상가동,98,380,60,2015,,,,,2024-10-01
우주2호태양광발전소,,전라남도 곡성군 곡성읍 묘천리 768-3,,,,정상가동,50,380,60,2015,,,,,2024-10-01
서린태양광발전소,,전라남도 곡성군 겸면 마전리 66,,,,정상가동,90.45,380,60,2014,,,,,2024-10-01
윤오태양광발전소,전라남도 곡성군 오곡면 침곡길 25-2,,,,,정상가동,20,380,60,2014,,,,,2024-10-01
섬진태양광발전소,,전라남도 곡성군 고달면 뇌죽리 430,,,,정상가동,95.4,380,60,2015,,,,,2024-10-01
봉정1호태양광발전소,,"전라남도 곡성군 죽곡면 봉정리 139-2,159",,,,정상가동,99,380,60,2015,,,,,2024-10-01
봉정2호태양광발전소,,전라남도 곡성군 죽곡면 봉정리 166-1,,,,정상가동,91.8,380,60,2015,,,,,2024-10-01
