태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
봉성새마을금고 태양광발전소,전라남도 구례군 구례읍 상설시장길20,,,,옥상,정상가동,20,380,60,2013,,2013-03-15,전라남도 구례군청,,2024-10-07
더케이지리산가족호텔 태양광발전소,전라남도 구례군 산동면 지리산온천로 317,,,,옥상,정상가동,97,380,60,2013,,2013-04-18,전라남도 구례군청,,2024-10-07
지리산 산동발전소,전라남도 구례군 산동면 지리산온천로 210-28,,,,옥상,정상가동,97.12,380,60,2013,,2013-04-18,전라남도 구례군청,,2024-10-07
경재2호 태양광발전소,,전라남도 구례군 마산면 냉천리 887번지,,,옥외,정상가동,99.11,380,60,2014,,2014-08-18,전라남도 구례군청,,2024-10-07
하은문1호 태양광발전소,전라남도 구례군 문척면 토금2길 33-22,,,,옥외,정상가동,99,380,60,2014,,2014-03-26,전라남도 구례군청,,2024-10-07
하은문3호 태양광발전소,전라남도 구례군 문척면 토금2길 20-6,,,,옥외,정상가동,98.8,380,60,2014,,2014-03-26,전라남도 구례군청,,2024-10-07
(유)금화에너지1호 태양광발전소,,전라남도 구례군 마산면 광평리 831번지,,,옥외,정상가동,99,380,60,2014,,2014-04-15,전라남도 구례군청,,2024-10-07
(유)평전에너지 태양광발전소,,전라남도 구례군 마산면 광평리 831번지,,,옥외,정상가동,99,380,60,2014,,2014-04-15,전라남도 구례군청,,2024-10-07
해와바람2호 태양광발전소,,전라남도 구례군 마산면 광평리 831번지,,,옥외,정상가동,99,380,60,2014,,2014-04-15,전라남도 구례군청,,2024-10-07
(유)금화에너지2호 태양광발전소,,전라남도 구례군 마산면 광평리 841번지,,,옥외,정상가동,30,380,60,2014,,2014-04-17,전라남도 구례군청,,2024-10-07
농업회사법인(유) 영원솔라에너지,,전라남도 구례군 마산면 광평리 561번지,,,옥외,정상가동,500,380,60,2014,,2014-07-21,전라남도 구례군청,,2024-10-07
농업회사법인(유) 마평에너지 태양광발전소,,전라남도 구례군 마산면 광평리 566번지,,,옥외,정상가동,99,380,60,2015,,2015-01-27,전라남도 구례군청,,2024-10-07
농업회사법인(유) 산평에너지 태양광발전소,,전라남도 구례군 마산면 광평리 560번지,,,옥외,정상가동,99,380,60,2015,,2015-01-27,전라남도 구례군청,,2024-10-07
농업회사법인(유) 산평에너지2 태양광발전소,,전라남도 구례군 마산면 광평리 555번지,,,옥외,정상가동,35,380,60,2015,,2015-01-27,전라남도 구례군청,,2024-10-07
케이솔라일호 광의태양광,,전라남도 구례군 광의면 대전리 53-3번지,,,옥외,정상가동,990.25,22900,60,2013,,2013-11-01,전라남도 구례군청,,2024-10-07
청정3호 태양광발전소,,전라남도 구례군 마산면 광평리 831번지,,,옥외,정상가동,99,380,60,2014,,2014-04-15,전라남도 구례군청,,2024-10-07
양정 태양광발전소,,전라남도 구례군 구례읍 봉서리 9번지,,,옥외,정상가동,99.2,380,60,2016,,2016-02-02,전라남도 구례군청,,2024-10-07
구례대양발전소,전라남도 구례군 산동면 대양길 48,,,,옥외,정상가동,19.38,380,60,2016,,2016-04-25,전라남도 구례군청,,2024-10-07
유한회사 선에너지 태양광발전소,,전라남도 구례군 광의면 대전리 56번지,,,옥외,정상가동,300,380,60,2016,,2016-06-21,전라남도 구례군청,,2024-10-07
연파 태양광발전소,전라남도 구례군 광의면 구만제로 356,,,,옥상,정상가동,19.38,380,60,2016,,2016-07-11,전라남도 구례군청,,2024-10-07
행복에너지 신지 태양광발전소1,,전라남도 구례군 용방면 신지리 885번지,,,옥외,정상가동,99.2,380,60,2016,,2016-07-27,전라남도 구례군청,,2024-10-07
백인태양광발전소,전라남도 구례군 산동면 효동길 39-4,,,,옥상,정상가동,14.28,380,60,2017,,2017-03-27,전라남도 구례군청,,2024-10-07
만수동1호태양광발전소,,전라남도 구례군 간전면 수평리 산 77번지,,,옥외,정상가동,99,380,60,2017,,2017-05-17,전라남도 구례군청,,2024-10-07
만수동2호태양광발전소,,전라남도 구례군 간전면 수평리 산 73번지,,,옥외,정상가동,99,380,60,2017,,2017-05-17,전라남도 구례군청,,2024-10-07
지산태양광발전소,전라남도 구례군 산동면 지리산온천로 156,,,,옥외,정상가동,28.86,380,60,2018,,2018-08-03,전라남도 구례군청,,2024-10-07
구례농협광의태양광발전소,,전라남도 구례군 광의면 지천리 619번지,,,옥상,정상가동,447.26,380,60,2018,,2018-11-19,전라남도 구례군청,,2024-10-07
구례농협본점태양광발전소,,전라남도 구례군 구례읍 봉북리 449번지,,,옥상,정상가동,207.48,380,60,2018,,2018-11-19,전라남도 구례군청,,2024-10-07
섬진강어류생태관도민발전소,전라남도 구례군 간전면 간전중앙로 47,,,,주차장,정상가동,488.46,380,60,2019,,2019-12-04,전라남도 구례군청,,2024-10-07
