태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
티오더 태양광발전소,전라남도 목포시 고하대로719번길 36 (연산동),,34.8135619943,126.3731737376,,정상가동,98.43,380,60,2025,발전사업용,2025-03-21,전라남도 목포시,,2025-05-08
디케이 태양광발전소,전라남도 목포시 삼학로 172 (산정동),,34.7874702816,126.402987,,정상가동,48.26,380,60,2025,발전사업용,2025-03-04,전라남도 목포시,,2025-05-08
그랜드 태양광발전소,전라남도 목포시 백년대로256번길 13 (상동),,34.80080016,126.417264,,정상가동,19.53,380,60,2025,발전사업용,2025-02-18,전라남도 목포시,,2025-05-08
백련3호 태양광발전소,전라남도 목포시 둔재머리길 108 (대양동),,34.8302147513,126.3876529046,,정상가동,995.4,22900,60,2025,발전사업용,2025-01-17,전라남도 목포시,,2025-05-08
백련2호 태양광발전소,전라남도 목포시 둔재머리길 108 (대양동),,34.8302147513,126.3876529046,,정상가동,995.4,22900,60,2025,발전사업용,2025-01-17,전라남도 목포시,,2025-05-08
백련1호 태양광발전소,전라남도 목포시 둔재머리길 108 (대양동),,34.8302147513,126.3876529046,,정상가동,995.4,22900,60,2025,발전사업용,2025-01-17,전라남도 목포시,,2025-05-08
지에이산업주식회사 태양광발전소,전라남도 목포시 대양산단로125번길 16 (대양동),,34.833659,126.4027102139,,정상가동,249.6,380,60,2024,발전사업용,2024-11-22,전라남도 목포시,,2025-05-08
(주)예지 태양광발전소,전라남도 목포시 대양산단로199번길 60 (대양동),,34.8355826139,126.3961997619,,정상가동,799.8,22900,60,2024,발전사업용,2024-11-22,전라남도 목포시,,2025-05-08
주영환 태양광발전소,전라남도 목포시 상리로9번길 21-1 (상동),,34.813637,126.4146786236,,정상가동,12.6,380,60,2024,발전사업용,2024-11-22,전라남도 목포시,,2025-05-08
케이스틸 태양광발전소,전라남도 목포시 대양산단로199번길 85 (대양동),,34.833507,126.395026,,정상가동,361.62,380,60,2024,발전사업용,2024-11-22,전라남도 목포시,,2025-05-08
영산2호 태양광발전소,전라남도 목포시 영산로 413-2 (상동),,34.8073655735,126.410845806,,정상가동,279.09,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
영산1호 태양광발전소,전라남도 목포시 영산로 413-1 (상동),,34.807858,126.409818,,정상가동,279.09,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
그린산단1호 남양조선소 태양광발전소,전라남도 목포시 삽진산단로 106 (연산동),,34.8275561057,126.382254,,정상가동,361.95,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
그린산단1호 엠에스씨푸드 태양광발전소,전라남도 목포시 대양산단로125번길 131 (대양동),,34.836222,126.393126,,정상가동,123.19,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
그린산단1호 푸로테크 태양광발전소,전라남도 목포시 삽진산단로 99 (연산동),,34.827081,126.382865,,정상가동,124.46,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
그린산단1호 부산프로펠러공사 태양광발전소,전라남도 목포시 삽진산단로 103 (연산동),,34.826853,126.3826391107,,정상가동,95.25,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
그린산단1호 대영산업기계 태양광발전소,전라남도 목포시 공단중앙로 38 (연산동),,34.812869,126.374202,,정상가동,167.64,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
그린산단1호 한성 태양광발전소,전라남도 목포시 공단중앙로 33 (연산동),,34.813374,126.374279769,,정상가동,139.7,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
그린산단1호 남해기전 태양광발전소,전라남도 목포시 연산로 207 (연산동),,34.813494,126.375786,,정상가동,292.1,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
그린산단1호 하이준 태양광발전소,전라남도 목포시 대양산단로125번길 126-59 (대양동),,34.8332837387,126.3904035165,,정상가동,171.45,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
삼창 태양광발전소,전라남도 목포시 대양로109번길 53 (연산동),,34.825297,126.395186,,정상가동,75.6,380,60,2024,발전사업용,2024-11-20,전라남도 목포시,,2025-05-08
오션빌 태양광발전소,전라남도 목포시 남악1로52번가길 17-5 (옥암동),,34.810759,126.448822,,정상가동,18.9,380,60,2024,발전사업용,2024-11-13,전라남도 목포시,,2025-05-08
모햇발전소1392호 태양광발전소,전라남도 목포시 영산로 623 (석현동),,34.8208073193,126.421396,,정상가동,36.54,380,60,2024,발전사업용,2024-11-13,전라남도 목포시,,2025-05-08
모햇발전소1391호 태양광발전소,전라남도 목포시 영산로 623 (석현동),,34.8208073193,126.421396,,정상가동,35.96,380,60,2024,발전사업용,2024-11-13,전라남도 목포시,,2025-05-08
모햇발전소1390호 태양광발전소,전라남도 목포시 영산로 623 (석현동),,34.8208073193,126.421396,,정상가동,43.5,380,60,2024,발전사업용,2024-11-13,전라남도 목포시,,2025-05-08
모햇발전소1389호 태양광발전소,전라남도 목포시 영산로 623 (석현동),,34.8208073193,126.421396,,정상가동,90.48,380,60,2024,발전사업용,2024-11-13,전라남도 목포시,,2025-05-08
모햇발전소1388호 태양광발전소,전라남도 목포시 영산로 623-1 (석현동),,34.821508905,126.420573,,정상가동,19.72,380,60,2024,발전사업용,2024-11-13,전라남도 목포시,,2025-05-08
다온교육 태양광발전소,전라남도 목포시 번영로 167 (상동),,34.811258,126.419588,,정상가동,38.0,380,60,2024,발전사업용,2024-10-30,전라남도 목포시,,2025-05-08
오종10호 태양광발전소,,전라남도 목포시 율도동 131-15,34.812341,126.326596,,정상가동,99.54,380,60,2024,발전사업용,2024-10-30,전라남도 목포시,,2025-05-08
오종9호 태양광발전소,,전라남도 목포시 율도동 131-15,34.812341,126.326596,,정상가동,99.54,380,60,2024,발전사업용,2024-10-30,전라남도 목포시,,2025-05-08
오종8호 태양광발전소,,전라남도 목포시 율도동 131-13,34.8127430386,126.3271062765,,정상가동,99.54,380,60,2024,발전사업용,2024-10-30,전라남도 목포시,,2025-05-08
오종7호 태양광발전소,,전라남도 목포시 율도동 131-13,34.8127430386,126.3271062765,,정상가동,99.54,380,60,2024,발전사업용,2024-10-30,전라남도 목포시,,2025-05-08
오종6호 태양광발전소,,전라남도 목포시 율도동 131-9,34.8122565541,126.3263770378,,정상가동,99.54,380,60,2024,발전사업용,2024-10-30,전라남도 목포시,,2025-05-08
