태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
전남솔라(주) 대룡정수장 태양광발전소,,전라남도 순천시 대룡동 1061 (대룡정수장),34.9062343237,127.4791596017,,정상가동,858.6,22900,60,2013,발전사업용,,전라남도 순천시,,2025-09-03
연주에너지,,전라남도 순천시 별량면 마산리 824-58,34.8383681108,127.441913968,,정상가동,99,380,60,2013,발전사업용,,전라남도 순천시,,2025-09-03
서인재 태양광발전소,,전라남도 순천시 가곡동 1019-9,34.98631556,127.4869297,,정상가동,18.9,380,60,2024,발전사업용,,전라남도 순천시,206.2,2025-09-03
신우농장1호 태양광발전소,전라남도 순천시 주암면 상어1길 161,,35.08771909,127.2220296,,정상가동,99.63,380,60,2024,발전사업용,,전라남도 순천시,450,2025-09-03
고종규 태양광발전소,,전라남도 순천시 상사면 초곡리 779-5,34.9004614012,127.4012764577,,정상가동,14.76,220,60,2024,발전사업용,,전라남도 순천시,71.39,2025-09-03
남일2호 태양광발전소,전라남도 순천시 월등면 갈평화정길 11,,35.08623026,127.3747864,,정상가동,19.635,380,60,2024,발전사업용,,전라남도 순천시,87,2025-09-03
더블유솔라 태양광발전소,전라남도 순천시 충효로 77,,34.94582479,127.513859692,,정상가동,72.76,380,60,2024,발전사업용,,전라남도 순천시,814.95,2025-09-03
박종열 태양광발전소,,전라남도 순천시 조례동 1372-6,34.95530228,127.5147913,,정상가동,30.09,380,60,2024,발전사업용,,전라남도 순천시,,2025-09-03
해룡산단찬목3호 태양광발전소,,"전라남도 순천시 해룡면 선월리 950 (주4,5,6 동 건물 위)",34.9056620379,127.5703750461,,정상가동,93,380,60,2024,발전사업용,,전라남도 순천시,11779.6,2025-09-03
해룡산단찬목2호 태양광발전소,,"전라남도 순천시 해룡면 선월리 950 (주1,2,3 동 건물 위)",34.9056620379,127.5703750461,,정상가동,88.8,380,60,2024,발전사업용,,전라남도 순천시,11779.6,2025-09-03
정혜에너지 태양광발전소,,"전라남도 순천시 조례동 1628-10, 2층",34.95150172,127.5295069,,정상가동,20,380,60,2024,발전사업용,,전라남도 순천시,,2025-09-03
백야 태양광발전소,,전라남도 순천시 황전면 괴목리 179-3,35.09342547,127.424415,,정상가동,18,220,60,2024,발전사업용,,전라남도 순천시,,2025-09-03
주석농장2호 태양광발전소,,전라남도 순천시 주암면 궁각리 566-3외 1필지,35.09080408,127.2452288,,정상가동,99.6,380,60,2024,발전사업용,,전라남도 순천시,,2025-09-03
주석농장1호 태양광발전소,,전라남도 순천시 주암면 궁각리 566-4외 1필지,35.09094174,127.2456223,,정상가동,993.6,22900,60,2024,발전사업용,,전라남도 순천시,,2025-09-03
찬웅 태양광발전소,,전라남도 순천시 상사면 오곡리 228,34.91176669,127.4643895,,정상가동,11.9,380,60,2023,발전사업용,,전라남도 순천시,,2025-09-03
병택농장3호 태양광발전소,,"전라남도 순천시 월등면 농선리 200, 201-2",35.10361254,127.4189029,,정상가동,44.625,380,60,2023,발전사업용,,전라남도 순천시,212.03,2025-09-03
찬목 태양광발전소,,"전라남도 순천시 해룡면 선월리 950번지 주7동, 주8동(건물 위)",34.906072,127.5697283,,정상가동,44.64,380,60,2024,발전사업용,,전라남도 순천시,373.5,2025-09-03
서오 태양광발전소,,"전라남도 순천시 해룡면 해창리 310-2, 310-13(건물위)",34.8893101974,127.5293896,,정상가동,74.97,380,60,2024,발전사업용,,전라남도 순천시,,2025-09-03
진숙1호 태양광발전소,,"전라남도 순천시 황전면 죽청리 407, 409-2, 410",35.07439068,127.4606016,,정상가동,19.55,380,60,2023,발전사업용,,전라남도 순천시,87,2025-09-03
현대 태양광발전소,,전라남도 순천시 해룡면 대안리 937-6,34.9308848715,127.5244855062,,정상가동,19.5,380,60,2023,발전사업용,,전라남도 순천시,,2025-09-03
정웅 태양광발전소,,"전라남도 순천시 왕지동 425-1, 426-6",34.97493517,127.5353531,,정상가동,56.25,380,60,2024,발전사업용,,전라남도 순천시,,2025-09-03
남일 태양광발전소,,전라남도 순천시 월등면 갈평리80-1,35.08623026,127.3747864,,정상가동,34.51,380,60,2023,발전사업용,,전라남도 순천시,,2025-09-03
덕년에너지 화전1호 태양광발전소,,"전라남도 순천시 외서면 화전리 558, 558-1번지",34.9038688,127.2712876555,,정상가동,439.11,380,60,2024,발전사업용,,전라남도 순천시,,2025-09-03
덕성2호 태양광발전소,,전라남도 순천시 황전면 덕림리 805-3,35.10593464,127.503515,,정상가동,29.75,380,60,2023,발전사업용,,전라남도 순천시,,2025-09-03
학산 태양광발전소,전라남도 순천시 황전면 비촌1길 132,,35.1707824,127.4273628,,정상가동,49.61,380,60,2024,발전사업용,,전라남도 순천시,,2025-09-03
송나랑 태양광발전소,전라남도 순천시 서면 운평길 22-1,,35.00743939,127.483265009,,정상가동,30.6,380,60,2023,발전사업용,,전라남도 순천시,,2025-09-03
혜동목장2호 태양광발전소,전라남도 순천시 상사면 오실전원길32,,34.90697958,127.4684365,,정상가동,99.96,380,60,2023,발전사업용,,전라남도 순천시,467,2025-09-03
혜동목장1호 태양광발전소,전라남도 순천시 상사면 오실전원길32,,34.90697958,127.4684365,,정상가동,99.96,380,60,2023,발전사업용,,전라남도 순천시,467,2025-09-03
일진2 태양광발전소,전라남도 순천시 해룡면 해룡산단5로 87,전라남도 순천시 해룡면 선월리 948-4,34.906799248,127.5699880096,,정상가동,166.8,380,60,2024,발전사업용,,전라남도 순천시,605.19,2025-09-03
주임백용2호 태양광발전소,,"전라남도 순천시 주암면 주암리 593, 594번지",35.07012662,127.3012277,,정상가동,99.6,380,60,2024,발전사업용,,전라남도 순천시,993,2025-09-03
주임백용1호 태양광발전소,,"전라남도 순천시 주암면 주암리 593, 594번지",35.07012662,127.3012277,,정상가동,99.6,380,60,2024,발전사업용,,전라남도 순천시,1050,2025-09-03
행복선변6호 태양광발전소,,전라남도 순천시 황전면 선변리 485번지,35.14393832,127.4549096,,정상가동,70.2,380,60,2024,발전사업용,,전라남도 순천시,640,2025-09-03
영춘1호태양광발전소,,"전라남도 순천시 송광면 구룡리 647-1, 648-2",34.95747249,127.255495,,정상가동,99,380,60,2024,발전사업용,,전라남도 순천시,1608,2025-09-03
영춘2호태양광발전소,,"전라남도 순천시 송광면 구룡리 647, 648",34.9572037362,127.2556397749,,정상가동,99,380,60,2024,발전사업용,,전라남도 순천시,1522,2025-09-03
우현 태양광발전소,,전라남도 순천시 별량면 구룡리 531-1,34.84239361,127.418105,,정상가동,19.78,380,60,2023,발전사업용,,전라남도 순천시,96.56,2025-09-03
부림 태양광발전소,,"전라남도 순천시 해룡면 성산리 577-2, 578-3(건물위)",34.90985507,127.5464761,,정상가동,48.79,380,60,2023,발전사업용,,전라남도 순천시,220.98,2025-09-03
해찬솔1 태양광발전소,,전라남도 순천시 서면 대구리 164,35.03322142,127.4289571,,정상가동,99,380,60,2023,발전사업용,,전라남도 순천시,867.12,2025-09-03
(주)에이원철강 태양광발전소,전라남도 순천시 해룡면 율촌로 237,,34.88946546,127.566795,,정상가동,84.49,380,60,2023,발전사업용,,전라남도 순천시,543.5,2025-09-03
혁진 태양광 발전소,,전라남도 순천시 해룡면 용전리 503-3,34.90034948,127.5503005286,,정상가동,45,380,60,2023,발전사업용,,전라남도 순천시,303.82,2025-09-03
광림 태양광 발전소,,전라남도 순천시 해룡면 용전리 501,34.90105653,127.551306,,정상가동,45,380,60,2023,발전사업용,,전라남도 순천시,513.68,2025-09-03
썬밸리 태양광 발전소,,전라남도 순천시 별량면 동송리 718-1,34.85284448,127.4418385,,정상가동,799.68,22900,60,2023,발전사업용,,전라남도 순천시,8978,2025-09-03
하이텍2호 태양광발전소,,전라남도 순천시 해룡면 호두리 1202-1(B) 건물 위,34.9019225507,127.5634244204,,정상가동,97.02,380,60,2023,발전사업용,,전라남도 순천시,500,2025-09-03
하이텍1호 태양광 발전소,,전라남도 순천시 해룡면 호두리 1202-1(A) 건물 위,34.9019225507,127.5634244204,,정상가동,99.66,380,60,2023,발전사업용,,전라남도 순천시,500,2025-09-03
한국CNC 태양광발전소,전라남도 순천시 해룡면 해룡산단1로 82-54,,34.9085747046,127.5698098245,,정상가동,204.6,380,60,2023,발전사업용,,전라남도 순천시,,2025-09-03
동아 태양광발전소,,전라남도 순천시 주암면 궁각리 483-2,35.09824782,127.2478036,,정상가동,99.22,380,60,2024,발전사업용,,전라남도 순천시,464,2025-09-03
재식3호 태양광발전소,,전라남도 순천시 황전면 죽청리 246,35.06732744,127.4635644,,정상가동,69.6,380,60,2023,발전사업용,,전라남도 순천시,322,2025-09-03
