태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
안마도 자가발전소,전라남도 영광군 낙월면 안마길1길 6,전라남도 영광군 낙월면 월촌리 산 506,35.34393449,126.0231618,,정상가동,750,380,60,1993,,,,,2024-07-25
(유)대융에너지(대융에너지 태양광발전소),,전라남도 영광군 군서면 만곡리 산193-1,,,,정상가동,99,380,60,2007,,,,,2024-07-25
유한회사 경일이앤씨,,전라남도 영광군 군서면 만곡리 산193-1,,,,정상가동,99,380,60,2007,,,,,2024-07-25
송림 태양광발전소,전라남도 영광군 영광읍 장궁길1길 102,전라남도 영광군 영광읍 송림리 539,35.3041957,126.4727082,,정상가동,499.8,22900,60,2007,,,,,2024-07-25
동서알파 태양광발전소,전라남도 영광군 백수읍 백수로 1317,전라남도 영광군 백수읍 논산리 354-1,35.28510276,126.4520923,,정상가동,99,380,60,2007,,,,,2024-07-25
(주)청강에너지(청강에너지 태양광발전소),,전라남도 영광군 군남면 반안리 129-4,35.25383924,126.4033014,,정상가동,300,22900,60,2007,,,,,2024-07-25
(주)대현에너지(대현에너지 태양광발전소),,전라남도 영광군 군남면 월흥리 909-1,35.25562188,126.405791,,정상가동,300,22900,60,2007,,,,,2024-07-25
이뻐앤멋져(주)(이뻐앤멋져 제2호 태양광발전소),,전라남도 영광군 법성면 용성리 198,35.33872532,126.4884027,,정상가동,500.48,22900,60,2007,,,,,2024-07-25
영광 2발전소,전라남도 영광군 군남면 월죽로 26,전라남도 영광군 군남면 반안리 91,35.25415908,126.4150526,,정상가동,549.78,22900,60,2007,,,,,2024-07-25
영광 1발전소,전라남도 영광군 군서면 성지로 852-25,전라남도 영광군 군서면 만곡리 636-49,35.2931789,126.4539217,,정상가동,400.32,22900,60,2007,,,,,2024-07-25
엘케이이앤지 태양광발전소,,전라남도 영광군 군남면 양덕리 1300,35.2348462,126.4400647,,정상가동,200,380,60,2007,,,,,2024-07-25
영광 4발전소,전라남도 영광군 묘량면 덕송로 122,전라남도 영광군 묘량면 운당리 280-1,35.27736952,126.5560619,,정상가동,501.12,22900,60,2007,,,,,2024-07-25
(주)버핏에너지(버핏 태양광발전소),전라남도 영광군 군서면 함영로6길 3-186,전라남도 영광군 군서면 가사리 536-1,35.24100491,126.4968047,,정상가동,179.96,380,60,2007,,,,,2024-07-25
(주)영광태양광발전소(영광 태양광발전소),전라남도 영광군 백수읍 약수길 170-18,전라남도 영광군 백수읍 약수리 498,35.29368777,126.3851953,,정상가동,299,315,60,2007,,,,,2024-07-25
영광 5발전소,,전라남도 영광군 법성면 용성리 198,35.33872532,126.4884027,,정상가동,500.48,22900,60,2007,,,,,2024-07-25
(주)동일태양광발전(동일 태양광발전소),전라남도 영광군 군서면 백수로 1503-25,전라남도 영광군 군서면 만곡리 172-12,35.28574541,126.4706132,,정상가동,700,22900,60,2007,,,,,2024-07-25
큰별에너지,,전라남도 영광군 군서면 송학리 310-1,,,,정상가동,100,380,60,2007,,,,,2024-07-25
(주)이엔에스솔라(이엔에스솔라 태양광발전소),전라남도 영광군 군서면 성지로 852-21,전라남도 영광군 군서면 만곡리 636-29,35.29451817,126.4538601,,정상가동,299,22900,60,2007,,,,,2024-07-25
(유)송림에너텍(송림 태양광발전소),전라남도 영광군 영광읍 장궁길1길 71,전라남도 영광군 영광읍 송림리 535-12,35.30180449,126.476527,,정상가동,300,22900,60,2007,,,,,2024-07-25
(주)히라이트(히라이트 태양광발전소),전라남도 영광군 법성면 영광로5길 54,전라남도 영광군 법성면 덕흥리 208-25,35.33334604,126.4766301,,정상가동,250,22900,60,2007,,,,,2024-07-25
디케이 태양광발전소,전라남도 영광군 영광읍 덕호로3길 96,전라남도 영광군 영광읍 덕호리 259,35.32315858,126.4871266,,정상가동,99.79,380,60,2007,,,,,2024-07-25
