태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
서리,,전라남도 영암군 도포면 영호리 572-5,,,,정상가동,99,380,60,2015,태양광발전,2014-05-13,전라남도 영암군청,1536,2024-10-18
무현,,전라남도 영암군 도포면 구학리 470,,,,정상가동,90,380,60,2015,태양광발전,2014-05-13,전라남도 영암군청,950,2024-10-18
지은이,,전라남도 영암군 도포면 구학리 388,,,,정상가동,60,380,60,2015,태양광발전,2014-05-13,전라남도 영암군청,846,2024-10-18
서호,,전라남도 영암군 서호면 성재리 498,,,,정상가동,50,380,60,2015,태양광발전,2014-05-13,전라남도 영암군청,257,2024-10-18
영암정수,,전라남도 영암군 영암읍 회문리 372,,,,정상가동,29.89,380,60,2014,태양광발전,2014-05-13,전라남도 영암군청,200,2024-10-18
H.K산업,,전라남도 영암군 삼호읍 난전리 1713-74,,,,정상가동,55,380,60,2014,태양광발전,2014-05-13,전라남도 영암군청,343,2024-10-18
덕산,,전라남도 영암군 시종면 봉소리 1145,,,,정상가동,99,380,60,2015,태양광발전,2014-05-13,전라남도 영암군청,266,2024-10-18
우신투자개발,,전라남도 영암군 삼호읍 난전리 1692-5,,,,정상가동,99,380,60,2015,태양광발전,2014-06-16,전라남도 영암군청,615,2024-10-18
일출,,전라남도 영암군 도포면 구학리 1692-2,,,,정상가동,90,380,60,2015,태양광발전,2014-06-16,전라남도 영암군청,630,2024-10-18
SF,,전라남도 영암군 시종면 구산리 2189-4,,,,정상가동,90,380,60,2017,태양광발전,2014-06-16,전라남도 영암군청,1613,2024-10-18
조은,,전라남도 영암군 시종면 구산리 99,,,,정상가동,90,380,60,2014,태양광발전,2014-06-16,전라남도 영암군청,614,2024-10-18
선케리어,,전라남도 영암군 시종면 월롱리 417,,,,정상가동,49.14,380,60,2015,태양광발전,2014-06-16,전라남도 영암군청,315,2024-10-18
더함7호,,전라남도 영암군 시종면 구산리 190,,,,정상가동,99,380,60,2015,태양광발전,2014-06-19,전라남도 영암군청,911,2024-10-18
HY호,,전라남도 영암군 시종면 구산리 190-7,,,,정상가동,99,380,60,2015,태양광발전,2014-06-19,전라남도 영암군청,1035,2024-10-18
월출,,전라남도 영암군 덕진면 금강리 7-3,,,,정상가동,99,380,60,2014,태양광발전,2014-06-19,전라남도 영암군청,1322,2024-10-18
카이,,전라남도 영암군 미암면 신포리 167,,,,정상가동,99,380,60,2015,태양광발전,2014-07-04,전라남도 영암군청,,2024-10-18
동은5호,,전라남도 영암군 미암면 신포리 167-1,,,,정상가동,99,380,60,2015,태양광발전,2014-07-04,전라남도 영암군청,,2024-10-18
연웅,,전라남도 영암군 미암면 신포리 167-2,,,,정상가동,99,380,60,2015,태양광발전,2014-07-04,전라남도 영암군청,,2024-10-18
CH2,,전라남도 영암군 미암면 신포리 179-2,,,,정상가동,99,380,60,2015,태양광발전,2014-07-04,전라남도 영암군청,,2024-10-18
오션비치,,전라남도 영암군 미암면 신포리 167-3,,,,정상가동,99,380,60,2015,태양광발전,2014-07-04,전라남도 영암군청,,2024-10-18
향기,,전라남도 영암군 미암면 신포리 179-2,,,,정상가동,99,380,60,2015,태양광발전,2014-07-04,전라남도 영암군청,,2024-10-18
1호 그라지오,,전라남도 영암군 삼호읍 난전리 1703-10,,,,정상가동,82,380,60,2014,태양광발전,2014-07-17,전라남도 영암군청,,2024-10-18
2호 그라지오,,전라남도 영암군 삼호읍 난전리 1703-20,,,,정상가동,98,380,60,2014,태양광발전,2014-07-17,전라남도 영암군청,,2024-10-18
대풍,,전라남도 영암군 학산면 용산리 85-1,,,,정상가동,82,380,60,2015,태양광발전,2014-07-17,전라남도 영암군청,,2024-10-18
형제,,전라남도 영암군 삼호읍 용당리 1266,,,,정상가동,99,380,60,2015,태양광발전,2014-08-20,전라남도 영암군청,,2024-10-18
혜성,,전라남도 영암군 금정면 남송리 819-7,,,,정상가동,50,380,60,2015,태양광발전,2014-08-20,전라남도 영암군청,,2024-10-18
비금2호,,전라남도 영암군 시종면 봉소리 517-3,,,,정상가동,99.45,380,60,2019,태양광발전,2014-08-20,전라남도 영암군청,2032,2024-10-18
회정,,전라남도 영암군 시종면 구산리 2189,,,,정상가동,99,380,60,2015,태양광발전,2014-08-20,전라남도 영암군청,,2024-10-18
해누리1,,전라남도 영암군 도포면 영호리 834-3,,,,정상가동,92,380,60,2014,태양광발전,2014-08-20,전라남도 영암군청,,2024-10-18
서리,,전라남도 영암군 도포면 구학리 339-2,,,,정상가동,99,380,60,2017,태양광발전,2014-08-20,전라남도 영암군청,2328,2024-10-18
와우1호,,전라남도 영암군 시종면 와우리 479,,,,정상가동,98.28,380,60,2015,태양광발전,2014-08-20,전라남도 영암군청,,2024-10-18
모산,,전라남도 영암군 금정면 월평리 326-1,,,,정상가동,64.35,380,60,2015,태양광발전,2014-08-20,전라남도 영암군청,,2024-10-18
신성,,전라남도 영암군 학산면 상월리 517-13,,,,정상가동,99,380,60,2015,태양광발전,2014-08-20,전라남도 영암군청,,2024-10-18
㈜동림이엔지,,전라남도 영암군 시종면 신연리 1026,,,,정상가동,30,380,60,2016,태양광발전,2014-08-20,전라남도 영암군청,,2024-10-18
GS,,전라남도 영암군 도포면 구학리 1012,,,,정상가동,99,380,60,2017,태양광발전,2014-08-20,전라남도 영암군청,2350,2024-10-18
IS에너지,,전라남도 영암군 도포면 구학리 1015-1,,,,정상가동,99,380,60,2017,태양광발전,2014-08-20,전라남도 영암군청,2137,2024-10-18
이든에너지,,전라남도 영암군 삼호읍 용당리 1265-1,,,,정상가동,99,380,60,2014,태양광발전,2014-08-20,전라남도 영암군청,,2024-10-18
남일,,전라남도 영암군 영암읍 교동리 241,,,,정상가동,97.2,380,60,2014,태양광발전,2014-09-03,전라남도 영암군청,,2024-10-18
(유)제이케이,,전라남도 영암군 시종면 신학리 1419-1,,,,정상가동,99,380,60,2018,태양광발전,2014-09-05,전라남도 영암군청,,2024-10-18
해찬나래㈜,,전라남도 영암군 시종면 신학리 1419,,,,정상가동,99,380,60,2018,태양광발전,2014-09-05,전라남도 영암군청,,2024-10-18
독천1호,,전라남도 영암군 학산면 독천리 689-3,,,,정상가동,86.4,380,60,2016,태양광발전,2014-09-15,전라남도 영암군청,,2024-10-18
써니빌,,전라남도 영암군 영암읍 회문리 510,,,,정상가동,98.8,380,60,2015,태양광발전,2014-09-15,전라남도 영암군청,,2024-10-18
해찬,,전라남도 영암군 덕진면 덕진리 16-13,,,,정상가동,99,380,60,2015,태양광발전,2014-09-16,전라남도 영암군청,,2024-10-18
금강,,전라남도 영암군 덕진면 덕진리 16-46,,,,정상가동,99,380,60,2015,태양광발전,2014-09-16,전라남도 영암군청,,2024-10-18
은광,,전라남도 영암군 도포면 수산리 969-11,,,,정상가동,30,380,60,2015,태양광발전,2014-09-16,전라남도 영암군청,,2024-10-18
