태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
리크리더노화1,,전라남도 완도군 노화읍 구석리 1750-4 외2,,,,정상가동,1400,22900,60,2009,,2008-05-20,,,2024-08-30
대곡,,전라남도 완도군 신지면 대곡리 1619-1,,,,정상가동,29,380,60,2009,,2009-03-03,,,2024-08-30
(유)그린스카이솔라,,전라남도 완도군 노화읍 충도리 653-1,,,,정상가동,99,380,60,2010,,2009-08-17,,,2024-08-30
완도노화,,전라남도 완도군 노화읍 충도리 산 169,,,,정상가동,96,380,60,2012,,2009-12-15,,,2024-08-30
(유)스카이솔라,,전라남도 완도군 노화읍 구석리 1071-3,,,,정상가동,99,380,60,2011,,2010-03-26,,,2024-08-30
노화태양광,,전라남도 완도군 노화읍 구석리 1071-2 1071-8,,,,정상가동,99,380,60,2011,,2010-03-26,,,2024-08-30
위드쏠라(주),,전라남도 완도군 노화읍 구석리 1071-1 1071-6,,,,정상가동,99,380,60,2011,,2010-03-26,,,2024-08-30
효승,,"전라남도 완도군 약산면 관산리 889 , 895",,,,정상가동,99.11,380,60,2015,,2010-09-30,,,2024-08-30
완도 태양광발전소,"전라남도 완도군 신지면 신지로 854, 초등학교(건물옥상)",전라남도 완도군 신지면 월양리 542-3 초등학교(건물옥상),,,,정상가동,96.6,380,60,2010,,2010-10-28,,,2024-08-30
승연2호,전라남도 완도군 고금면 고금남로 221-134,전라남도 완도군 고금면 도남리 1179 (지붕),,,,정상가동,37,380,60,2013,,2011-07-28,,,2024-08-30
승연1호,"전라남도 완도군 고금면 척찬길 4-3, 지붕",전라남도 완도군 고금면 도남리 1517 지붕,,,,정상가동,18,380,60,2013,,2011-07-28,,,2024-08-30
(유)한성에스피6,"전라남도 완도군 완도읍 농공단지5길 25, 지붕",전라남도 완도군 완도읍 가용리 1088-17 지붕,,,,정상가동,87.98,380,60,2013,,2012-02-13,,,2024-08-30
(유)한성에스피5,"전라남도 완도군 완도읍 농공단지5길 4, 흥일식품(지붕)",전라남도 완도군 완도읍 가용리 1087-9 흥일식품(지붕),,,,정상가동,95,380,60,2013,,2012-02-13,,,2024-08-30
