태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
천수 태양광발전소,전라남도 장흥군 관산읍 고마장환길 315-1,,,,,정상가동,44.45,380,60,2025,,2025-05-02,전라남도 장흥군,200.03,2025-11-08
산정1호 태양광발전소,,"전라남도 장흥군 대덕읍 연정리 683-10 ,683-11, 683-37",,,,정상가동,26.67,380,60,2025,,2025-03-31,전라남도 장흥군,120.02,2025-11-08
그린9호 태양광발전소,전라남도 장흥군 장평면 농공단지길 38,,,,,정상가동,36.25,380,60,2025,,2024-09-13,전라남도 장흥군,163.13,2025-11-08
관산본점 태양광발전소,전라남도 장흥군 관산읍 관산로 74,,,,,정상가동,39.76,380,60,2025,,2024-08-30,전라남도 장흥군,178.92,2025-11-08
관산마트 태양광발전소,"전라남도 장흥군 관산읍 관산로 75, 관산농협 하나로마트",,,,,정상가동,94.72,380,60,2025,,2024-08-30,전라남도 장흥군,426.24,2025-11-08
다산2호 태양광발전소,전라남도 장흥군 대덕읍 도청신월로 15-87,,,,,정상가동,44.45,380,60,2024,,2024-08-30,전라남도 장흥군,200.03,2025-11-08
마장골 태양광발전소,전라남도 장흥군 회진면 진목2길 145-18,,,,,정상가동,44.1,380,60,2025,,2024-08-12,전라남도 장흥군,198.45,2025-11-08
시온 태양광발전소,전라남도 장흥군 대덕읍 양하덕촌길 13-36,,,,,정상가동,26.46,380,60,2025,,2024-08-12,전라남도 장흥군,119.07,2025-11-08
우산1호 태양광발전소,전라남도 장흥군 장평면 우산병동길 112-48,,,,,정상가동,44.1,380,60,2025,,2024-08-01,전라남도 장흥군,198.45,2025-11-08
회진카 태양광발전소,전라남도 장흥군 회진면 회진로 420,,,,,정상가동,14.49,380,60,2024,,2024-05-13,전라남도 장흥군,65.21,2025-11-08
용두농협3호 태양광발전소,전라남도 장흥군 장동면 신북1길 41-7,,,,,정상가동,89.38,380,60,2024,,2024-03-29,전라남도 장흥군,402.21,2025-11-08
현대제2호 태양광발전소,전라남도 장흥군 장흥읍 평화우산길 25,,,,,정상가동,45,380,60,2025,,2024-03-28,전라남도 장흥군,202.5,2025-11-08
김준필 태양광발전소,전라남도 장흥군 장동면 율리길 34,,,,,정상가동,14.88,220,60,2024,,2024-02-26,전라남도 장흥군,66.96,2025-11-08
영상1호 태양광발전소,전라남도 장흥군 회진면 회진중앙길 6,,,,,정상가동,19.97,380,60,2024,,2024-01-24,전라남도 장흥군,89.87,2025-11-08
버섯1호 태양광발전소,,전라남도 장흥군 장흥읍 향양리 246-1,,,,정상가동,73.75,380,60,2024,,2024-01-23,전라남도 장흥군,331.88,2025-11-08
장흥동산2호 태양광발전소,전라남도 장흥군 안양면 수양길 46,,,,,정상가동,19.8,380,60,2024,,2024-01-23,전라남도 장흥군,89.1,2025-11-08
반석 태양광발전소,전라남도 장흥군 장평면 두봉진산길 95-98,,,,,정상가동,17.98,380,60,2024,,2024-01-02,전라남도 장흥군,80.91,2025-11-08
운용2호 태양광발전소,전라남도 장흥군 회진면 회진로 326-26,,,,,정상가동,69.85,380,60,2025,,2023-12-12,전라남도 장흥군,314.33,2025-11-08
현대 태양광발전소,전라남도 장흥군 장흥읍 평화우산길 25,,,,,정상가동,43.56,380,60,2024,,2023-11-10,전라남도 장흥군,196.02,2025-11-08
따신 태양광발전소,전라남도 장흥군 장평면 봉림1길 56-8,,,,,정상가동,16.12,380,60,2024,,2023-11-07,전라남도 장흥군,72.54,2025-11-08
진목노적가리협동조합 태양광발전소,전라남도 장흥군 회진면 미백길 107,,,,,정상가동,29.04,380,60,2024,,2023-10-23,전라남도 장흥군,130.68,2025-11-08
동일 태양광발전소,전라남도 장흥군 장동면 흥성로 1494-50,,,,,정상가동,16.25,380,60,2024,,2023-10-23,전라남도 장흥군,73.13,2025-11-08
파리 태양광발전소,전라남도 장흥군 장흥읍 중앙로 35,,,,,정상가동,54.56,380,60,2024,,2023-10-11,전라남도 장흥군,245.52,2025-11-08
대승1호 태양광발전소,전라남도 장흥군 대덕읍 도청신월로 166,,,,,정상가동,29.75,380,60,2024,,2023-10-11,전라남도 장흥군,133.88,2025-11-08
옥천2호 태양광발전소,전라남도 장흥군 장평면 제산기동로 353-45,,,,,정상가동,16.25,380,60,2024,,2023-10-11,전라남도 장흥군,73.13,2025-11-08
운곡1호 태양광발전소,전라남도 장흥군 장평면 운곡길 158,,,,,정상가동,15,220,60,2025,,2023-09-25,전라남도 장흥군,67.5,2025-11-08
덕운 태양광발전소,전라남도 장흥군 장평면 평동로 5,,,,,정상가동,19.84,380,60,2024,,2023-09-25,전라남도 장흥군,89.28,2025-11-08
다산 태양광발전소,전라남도 장흥군 대덕읍 도청신월로 15-87,,,,,정상가동,44.63,380,60,2023,,2023-08-24,전라남도 장흥군,200.84,2025-11-08
꿀벌5호 태양광발전소,전라남도 장흥군 장흥읍 장흥대로 3046-55,,,,,정상가동,29.76,380,60,2023,,2023-08-24,전라남도 장흥군,133.92,2025-11-08
대평 태양광발전소,전라남도 장흥군 장평면 대평길 108-14,,,,,정상가동,14.88,380,60,2023,,2023-08-01,전라남도 장흥군,66.96,2025-11-08
사금 태양광발전소,전라남도 장흥군 회진면 가학회진로 823,,,,,정상가동,29.75,380,60,2024,,2023-07-18,전라남도 장흥군,133.88,2025-11-08
열린하늘 태양광발전소,전라남도 장흥군 장평면 농공단지길 17,,,,,정상가동,90,380,60,2024,,2023-07-18,전라남도 장흥군,405,2025-11-08
소흔제 태양광발전소,전라남도 장흥군 장평면 여의길 167-80,,,,,정상가동,19.68,380,60,2024,,2023-07-18,전라남도 장흥군,88.56,2025-11-08
햇살쏠라 태양광발전소,전라남도 장흥군 대덕읍 도청신월로 178,,,,,정상가동,23.21,220,60,2024,,2023-07-18,전라남도 장흥군,104.45,2025-11-08
장동 태양광발전소,"전라남도 장흥군 장동면 흥성로 1562, 배산합동정류소",,,,,정상가동,21.53,380,60,2023,,2023-07-07,전라남도 장흥군,96.89,2025-11-08
탐진정미소 태양광발전소,,"전라남도 장흥군 장흥읍 향양리 860-1, 865-2",,,,정상가동,49.98,380,60,2023,,2023-06-18,전라남도 장흥군,224.91,2025-11-08
상철3호 태양광발전소,,전라남도 장흥군 안양면 학송리 151-16,,,,정상가동,19.72,380,60,2023,,2023-05-30,전라남도 장흥군,88.74,2025-11-08
상록 태양광발전소,,전라남도 장흥군 용산면 상발리 563-2,,,,정상가동,37.8,380,60,2024,,2023-05-30,전라남도 장흥군,170.1,2025-11-08
용반 태양광발전소,전라남도 장흥군 부산면 용반1길 124-6,,,,,정상가동,14.7,380,60,2023,,2023-04-12,전라남도 장흥군,66.15,2025-11-08
형제삼호 태양광발전소,전라남도 장흥군 부산면 장흥대로 3799-39,,,,,정상가동,99.75,380,60,2024,,2023-04-12,전라남도 장흥군,448.88,2025-11-08
형제일호 태양광발전소,전라남도 장흥군 부산면 장흥대로 3799-39,,,,,정상가동,99.75,380,60,2024,,2023-04-12,전라남도 장흥군,448.88,2025-11-08
