태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
진도양근 태양광발전소,,전라남도 진도군 진도읍 해창리 421,34.493179706081,126.234258490505,,가동중단,19.5,380,60,1900,,2025-08-20,,,2025-09-05
이봉례 태양광,전라남도 진도군 고군면 신리길 49-11,,34.4970317769219,126.319490457811,,가동중단,19.69,380,60,1900,,2025-08-12,,,2025-09-05
진도현민 태양광발전소,전라남도 진도군 진도읍 소포동길 66-12,,34.4931637123534,126.234209208538,,가동중단,19.5,380,60,1900,,2025-07-11,,,2025-09-05
박윤순 태양광,전라남도 진도군 군내면 둔전길 212,,34.5283027222795,126.308635413993,,가동중단,12.07,380,60,1900,,2025-06-27,,,2025-09-05
박찬배 태양광발전소,전라남도 진도군 군내면 내동산길 59,,34.5083688395744,126.289779630869,,정상가동,15.24,380,60,1900,,2025-03-24,,,2025-09-05
이정애 태양광,전라남도 진도군 임회면 진도대로 4158,,34.3713489087504,126.204902368165,,가동중단,12.07,380,60,1900,,2025-02-24,,,2025-09-05
곽백완 태양광,전라남도 진도군 군내면 한의길 60,,34.5297601574711,126.253537720742,,가동중단,12.6,380,60,1900,,2025-02-13,,,2025-09-05
형규 태양광발전소,,전라남도 진도군 의신면 만길리 184,34.4250922383245,126.294184761415,,가동중단,250.0,380,60,1900,,2024-12-27,,,2025-09-05
더케이솔라3호 태양광발전소,,전라남도 진도군 임회면 삼막리 820,34.4394759104586,126.233409852727,,가동중단,498.96,380,60,1900,,2024-10-23,,,2025-09-05
더케이솔라2호 태양광발전소,,전라남도 진도군 임회면 삼막리 820,34.4394759104586,126.233409852727,,가동중단,498.96,380,60,1900,,2024-10-23,,,2025-09-05
더케이솔라1호 태양광발전소,,전라남도 진도군 임회면 삼막리 820,34.4394759104586,126.233409852727,,가동중단,498.96,380,60,1900,,2024-10-23,,,2025-09-05
천연솔라3호 태양광발전소,,"전라남도 진도군 지산면 거제리 375 , 418",,,,가동중단,499.59,380,60,1900,,2024-10-23,,,2025-09-05
