태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
동남7호,,전라남도 화순군 능주면 관영리 44-38,34.99376267,126.9592005,,정상가동,44.375,380,60,2024,,,전라남도 화순군,,2024-08-27
인제,,전라남도 화순군 능주면 백암리 1016-3,35.027802872,126.9472645445,,정상가동,369.81,380,60,2024,,,전라남도 화순군,,2024-08-27
백암,,전라남도 화순군 능주면 백암리 352,35.0286632477,126.9594188139,,정상가동,30.0,380,60,2023,,,전라남도 화순군,,2024-08-27
제일1호,,전라남도 화순군 능주면 석고리 163-3,34.9964725109,126.9589750875,,정상가동,70.8,380,60,2023,,,전라남도 화순군,,2024-08-27
도림,,전라남도 화순군 도곡면 대곡리 253,34.9988161383,126.9313129051,,정상가동,199.47,380,60,2023,,,전라남도 화순군,,2024-08-27
재형,,전라남도 화순군 도곡면 대곡리 483-1,34.9990874,126.9282627,,정상가동,98.175,380,60,2023,,2023-11-06,전라남도 화순군,,2024-08-27
도곡1호,,전라남도 화순군 도곡면 덕곡리 129,35.00416298,126.8892571,,정상가동,99.9,380,60,2021,,,전라남도 화순군,,2024-08-27
수호,,전라남도 화순군 도곡면 덕곡리 393,35.01130848,126.8803049,,정상가동,99.82,380,60,2024,,2024-03-25,전라남도 화순군,,2024-08-27
제일한우농장6호,,전라남도 화순군 도곡면 덕곡리 642-1,35.00954461,126.8822905,,정상가동,99.96,380,60,2023,,,전라남도 화순군,,2024-08-27
제일한우농장1호,,전라남도 화순군 도곡면 덕곡리 644-2,35.00966401,126.8832781,,정상가동,99.96,380,60,2023,,,전라남도 화순군,,2024-08-27
문양구,,전라남도 화순군 도곡면 덕곡리 666-6,35.00590822,126.8889417,,정상가동,45.39,380,60,2020,,,전라남도 화순군,,2024-08-27
덕산4호,,전라남도 화순군 도곡면 덕곡리 666-6,35.00590822,126.8889417,,정상가동,72.05,380,60,2024,,,전라남도 화순군,,2024-08-27
갑선,,전라남도 화순군 도곡면 미곡리 198-1,35.0159711706,126.9268977875,,정상가동,99.96,380,60,2020,,,전라남도 화순군,,2024-08-27
호상,,전라남도 화순군 도곡면 미곡리 240-3,35.0163245449,126.9277778657,,정상가동,99.96,380,60,2020,,,전라남도 화순군,,2024-08-27
명조,,전라남도 화순군 도곡면 미곡리 418-4,35.01308011,126.9292019,,정상가동,59.74,380,60,2023,,,전라남도 화순군,,2024-08-27
드림에너지2호,,전라남도 화순군 도곡면 신덕리 1027-17,35.0077573549,126.9200433295,,정상가동,44.945,380,60,2023,,2023-11-01,전라남도 화순군,,2024-08-27
드림에너지,,전라남도 화순군 도곡면 신덕리 1027-414,,,,정상가동,99.96,380,60,2020,,2020-09-18,전라남도 화순군,,2024-08-27
신덕,,전라남도 화순군 도곡면 신덕리 150,35.0246201534,126.9241734191,,정상가동,199.2,380,60,2021,,,전라남도 화순군,,2024-08-27
도원,,전라남도 화순군 도곡면 신덕리 산 54,35.0261715837,126.9214433866,,정상가동,499.72,380,60,2024,,,전라남도 화순군,,2024-08-27
조숙희,,전라남도 화순군 도곡면 원천리 1033-5,,,,정상가동,98.17,380,60,2023,,,전라남도 화순군,,2024-08-27
동성농장,,전라남도 화순군 도곡면 월곡리 1065-3,35.00480496,126.9024116,,정상가동,99.96,380,60,2023,,2023-06-07,전라남도 화순군,,2024-08-27
하도3,,전라남도 화순군 도곡면 월곡리 1067-11,35.00355127,126.904727,,정상가동,99.9,380,60,2021,,,전라남도 화순군,,2024-08-27
하도4,,전라남도 화순군 도곡면 월곡리 1067-11,35.00355127,126.904727,,정상가동,99.99,380,60,2023,,,전라남도 화순군,,2024-08-27
유가초가1호,,전라남도 화순군 도곡면 월곡리 1100-6,34.99575438,126.9077447,,정상가동,33.0,380,60,2021,,,전라남도 화순군,,2024-08-27
다올팜 제4호,,전라남도 화순군 도곡면 월곡리 1106-10,34.99261685,126.9062288,,정상가동,132.16,380,60,2022,,2022-10-18,전라남도 화순군,,2024-08-27
나니,,전라남도 화순군 도곡면 월곡리 266-2,34.99000221,126.9069343,,정상가동,29.4,380,60,2022,,,전라남도 화순군,,2024-08-27
