태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
의암태양광발전소,,전북특별자치도 완주군 상관면 의암리 486-1,,,,정상가동,3,220,60,2005,,2005-06-24,,751,2024-01-29
가온셀태양광발전소,,전북특별자치도 완주군 봉동읍 둔산리 864-2(주차장),,,,정상가동,3.08,220,60,2006,,2006-01-27,,20,2024-01-29
동운태양광발전소,,전북특별자치도 완주군 고산면 삼기리 산 17-1,,,,정상가동,198,380,60,2008,,2008-07-09,,29600,2024-01-29
향린태양광발전소,,전북특별자치도 완주군 이서면 남계리 737-1,,,,정상가동,2.925,380,60,2008,,2008-09-05,,67.5,2024-01-29
연석산태양광발전소,,전북특별자치도 완주군 동상면 사봉리 산43-18,,,,정상가동,40.5,380,60,2008,,2008-12-19,,3725,2024-01-29
청암에너지태양광발전소,,"전북특별자치도 완주군 구이면 덕천리 377,건물상부",,,,정상가동,9.24,380,60,2009,,2009-08-17,,2489,2024-01-29
(유)송암에너지태양광발전소,,전북특별자치도 완주군 경천면 가천리 산112 외,,,,정상가동,89.76,380,60,2009,,2009-11-06,,841,2024-01-29
코레스태양광발전소,,"전북특별자치도 완주군 봉동읍 완주산단6로 266(둔산리 857-1,857-5,857-7,857-8)건물상부",,,,정상가동,400,22900,60,2009,,2009-12-14,,1645,2024-01-29
용흥태양광발전소,,"전북특별자치도 완주군 용진읍 용흥리 482, 옥상",,,,정상가동,8.78,220380,60,2010,,2010-01-05,,8.78,2024-01-29
이성태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-5,,,,정상가동,28.98,220380,60,2010,,2010-01-27,,0,2024-01-29
이성2호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-21,,,,정상가동,28.98,220380,60,2010,,2010-01-27,,560,2024-01-29
이성3호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-26,,,,정상가동,28.98,220380,60,2011,,2011-03-14,,70,2024-01-29
이성4호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-27,,,,정상가동,28.98,220380,60,2011,,2011-03-14,,100,2024-01-29
이성5호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-29,,,,정상가동,28.98,220380,60,2011,,2011-03-14,,515,2024-01-29
이성6호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-30,,,,정상가동,28.98,220380,60,2011,,2011-03-14,,669,2024-01-29
이성7호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-31,,,,정상가동,28.98,220380,60,2011,,2011-03-15,,456,2024-01-29
원암 태양광발전소,,전북특별자치도 완주군 소양면 명덕리 1130-2외,,,,정상가동,30,380,60,2011,,2011-04-13,,700,2024-01-29
명덕 태양광발전소,,전북특별자치도 완주군 소양면 명덕리 1128-2외,,,,정상가동,30,380,60,2011,,2011-04-13,,1450,2024-01-29
용안발전 태양광발전소,,전북특별자치도 완주군 삼레읍 석전리 599,,,,정상가동,94.5,380,60,2011,,2011-04-25,,1715,2024-01-29
(유)강남식품태양광발전소,,"전북특별자치도 완주군 이서면 이문리 711-2, 711-3, 용서리 124-5, 124-6, 건물상부",,,,정상가동,297,22900,60,2011,,2011-08-08,,3004,2024-01-29
유한회사 에프알에너지(에프알에너지 태양광발전소),,"전북특별자치도 완주군 소양면 죽절리 22-1, 22-5 건물상부 제1,2동",,,,정상가동,91.8,220380,60,2011,,2011-11-17,,460,2024-01-29
K-water고산정수장태양광,,전북특별자치도 완주군 고산면 성재리 27,,,,정상가동,507,22900,60,2011,,2011-12-07,,3366,2024-01-29
찬일에너지,,"전북특별자치도 완주군 봉동읍 구미2길134, 건물상부",,,,정상가동,19,380,60,2012,,2012-03-05,,99.41,2024-01-29
