태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
광대 태양광발전소,전북특별자치도 고창군 대산면 광대신평길 50,,,,,정상가동,30.06,380,60,2024,,2023-11-15,,,2024-05-22
하늘태양광발전소,전북특별자치도 고창군 신림면 평월1길 68-246,,,,,정상가동,30,380,60,2024,,2023-11-09,,,2024-05-22
손**2호 태양광발전소,전북특별자치도 고창군 대산면 매산초등길 6,,,,,정상가동,19.64,380,60,2024,,2023-10-16,,,2024-05-22
해란1호 태양광발전소,전북특별자치도 고창군 대산면 신기1길 66,,,,,정상가동,26.95,220,60,2023,,2023-10-12,,,2024-05-22
솔담 태양광발전소,전북특별자치도 고창군 부안면 복분자로 317,,,,,정상가동,15,380,60,2024,,2023-10-04,,,2024-05-22
황금 태양광발전소,전북특별자치도 고창군 부안면 복분자로 315,,,,,정상가동,15,380,60,2024,,2023-10-04,,,2024-05-22
대신 태양광발전소,전북특별자치도 고창군 고창읍 보릿골로 57-7,,,,,정상가동,45,380,60,2023,,2023-10-04,,,2024-05-22
정안태양광,전북특별자치도 고창군 성내면 외토길 75-14,,,,,정상가동,26,380,60,2024,,2023-09-01,,,2024-05-22
미란 태양광발전소,전북특별자치도 고창군 고창읍 월곡로 38,,,,,정상가동,64.9,380,60,2023,,2023-07-27,,,2024-05-22
고수 태양광발전소,전북특별자치도 고창군 고수면 상복2길 69,,,,,정상가동,30,380,60,2023,,2023-07-17,,,2024-05-22
조**2호 태양광발전소,전북특별자치도 고창군 고창읍 덕산길 3-75,,,,,정상가동,29.75,380,60,2023,,2023-07-13,,,2024-05-22
오산3호 태양광발전소,전북특별자치도 고창군 고수면 오산학산로 140-11,,,,,정상가동,52.92,380,60,2023,,2023-06-22,,,2024-05-22
초원농장1호 태양광발전소,전북특별자치도 고창군 공음면 복흥길 36-32,,,,,정상가동,29.75,380,60,2023,,2023-05-16,,,2024-05-22
덕암농장1호 태양광발전소,전북특별자치도 고창군 공음면 예전황산길 180-48,,,,,정상가동,44.63,380,60,2023,,2023-05-16,,,2024-05-22
대산1호 태양광발전소,전북특별자치도 고창군 대산면 율촌길 139,,,,,정상가동,99,380,60,2023,,2023-05-04,,,2024-05-22
(유)설원(선동에너지),전북특별자치도 고창군 공음면 원선동길 13,,,,,정상가동,20.09,380,60,2023,,2023-05-04,,,2024-05-22
공음주 태양광발전소,전북특별자치도 고창군 공음면 선운대로 31,,,,,정상가동,19.64,380,60,2023,,2023-04-17,,,2024-05-22
더블유10호,전북특별자치도 고창군 흥덕면 선운대로 3619-62,,,,,정상가동,74.97,380,60,2023,,2023-04-12,,,2024-05-22
화평태양광발전소,전북특별자치도 고창군 고창읍 보릿골로 108,,,,,정상가동,19.72,380,60,2023,,2023-03-07,,,2024-05-22
성산에너지 태양광발전소,전북특별자치도 고창군 고창읍 동리로 10,,,,,정상가동,33.32,380,60,2023,,2023-03-07,,,2024-05-22
담마 태양광발전소,전북특별자치도 고창군 고창읍 중앙로 330,,,,,정상가동,75.52,380,60,2023,,2023-02-06,,,2024-05-22
고창현민태양광발전소,,전북특별자치도 고창군 성내면 월성리 432-1,,,,정상가동,29.58,380,60,2024,,2023-01-19,,,2024-05-22
