태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
매요태양광발전소,,전북특별자치도 남원시 운봉읍 매요리 593-10,35.4632210582032,127.539947079399,,정상가동,99.33,380,60,2008,,,,,2025-11-03
남원제일태양광발전소,,전북특별자치도 남원시 운봉읍 매요리 593-9,35.4626922626735,127.539786339479,,정상가동,99.96,380,60,2008,,,,,2025-11-03
소이태양광발전소,,전북특별자치도 남원시 운봉읍 매요리 593-4,35.4634465362585,127.540114386695,,정상가동,99.33,380,60,2008,,,,,2025-11-03
대광태양광발전소,,전북특별자치도 남원시 운봉읍 매요리 593-2,35.4626831820449,127.539579718824,,정상가동,99.425,380,60,2008,,,,,2025-11-03
현진태양광발전소,,전북특별자치도 남원시 운봉읍 매요리 593-7,35.4632143171009,127.540627530021,,정상가동,99.33,380,60,2008,,,,,2025-11-03
백훈태양광발전소,,전북특별자치도 남원시 주생면 낙동리 575-1,35.3775251719206,127.293623304094,,정상가동,99.0,380,60,2007,,,,,2025-11-03
㈜썬에너지,,전북특별자치도 남원시 사매면 관풍리 산27,,,,정상가동,180.0,380,60,2009,,,,,2025-11-03
이백 태양광발전소,,전북특별자치도 남원시 이백면 양가리 262-3,35.4490969032997,127.466548228312,,정상가동,601.92,22900,60,2008,,,,,2025-11-03
한빛에스이남원태양광발전소,,전북특별자치도 남원시 보절면 진기리 산172,35.4979864376671,127.407986242119,,정상가동,1000.0,22900,60,2008,,,,,2025-11-03
에스시케이파인솔라파크,,전북특별자치도 남원시 덕과면 사율리 658,35.5140078278507,127.358976017293,,정상가동,29.97,380,60,2009,,,,,2025-11-03
에스플랜트사호태양광발전소,,전북특별자치도 남원시 덕과면 사율리 692-7,35.5078908952925,127.366552865175,,정상가동,1000.0,22900,60,2015,,,,,2025-11-03
남원썬파워 태양광발전소,,전북특별자치도 남원시 보절면 신파리 1036-3,35.5204620699333,127.410508468708,,정상가동,196.8,22900,60,2009,,,,,2025-11-03
디에치이앤이㈜,,전북특별자치도 남원시 주천면 배덕리 산80,35.3633423862704,127.418577396803,,정상가동,1000.0,22900,60,2009,,,,,2025-11-03
㈜그린솔라신기발전소,,전북특별자치도 남원시 운봉읍 신기리 산11-33,,,,정상가동,87.2,22900,60,2009,,,,,2025-11-03
이레에너지,,전북특별자치도 남원시 운봉읍 신기리 산11-22,,,,정상가동,97.2,22900,60,2009,,,,,2025-11-03
비스솔리스,,전북특별자치도 남원시 운봉읍 신기리 산11-32,,,,정상가동,97.2,22900,60,2009,,,,,2025-11-03
준솔라,,전북특별자치도 남원시 운봉읍 신기리 산11-31,,,,정상가동,97.2,22900,60,2009,,,,,2025-11-03
써니엔터프라이즈,,전북특별자치도 남원시 운봉읍 신기리 산11-30,,,,정상가동,97.2,22900,60,2009,,,,,2025-11-03
KS&D에너지,,전북특별자치도 남원시 운봉읍 권포리 216-2,35.466441689051,127.515664216776,,정상가동,99.45,22900,60,2009,,,,,2025-11-03
제이투솔라,,전북특별자치도 남원시 운봉읍 권포리 216-2,35.466441689051,127.515664216776,,정상가동,99.45,380,60,2009,,,,,2025-11-03
