태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
은하수 태양광 발전소,,전북특별자치도 무주군 안성면 공진리 309-29,35.8253569,127.6440277,옥외,정상가동,29.8,380.0,60,2023,발전사업용,2022-02-26,전북특별자치도 무주군청,,2025-11-19
주영 태양광 발전소,전북특별자치도 무주군 설천면 구천동로 848,전북특별자치도 무주군 설천면 심곡리 355,35.9059304,127.7814051,옥외,정상가동,99.76,380.0,60,2023,발전사업용,2023-04-06,전북특별자치도 무주군청,,2025-11-19
숲속 태양광 발전소,전북특별자치도 무주군 설천면 구천동1로 19,전북특별자치도 무주군 설천면 심곡리 354,35.9052983,127.7789497,옥외,정상가동,99.76,380.0,60,2023,발전사업용,2023-04-06,전북특별자치도 무주군청,,2025-11-19
한성3호 태양광 발전소,,전북특별자치도 무주군 안성면 죽천리 1458,35.8365646,127.6536298,옥외,정상가동,18.92,380.0,60,2023,발전사업용,2023-03-20,전북특별자치도 무주군청,,2025-11-19
가연 태양광 발전소,전북특별자치도 무주군 무주읍 향한로 27-8,전북특별자치도 무주군 적상면 삼유리 377,36.0100602,127.6591483,옥외,정상가동,99.96,380.0,60,2023,발전사업용,2023-03-29,전북특별자치도 무주군청,,2025-11-19
옹달샘에너지협동조합 태양광 발전소,,전북특별자치도 무주군 설천면 대불리 700,36.0068531,127.8316074,옥외,정상가동,114.24,380.0,60,2023,발전사업용,2023-02-28,전북특별자치도 무주군청,,2025-11-19
준우2 태양광 발전소,전북특별자치도 무주군 무풍면 오무실로 108-54,전북특별자치도 무주군 무풍면 은산리 253,35.9212863,127.8418046,옥외,정상가동,19.72,380.0,60,2023,발전사업용,2023-03-24,전북특별자치도 무주군청,,2025-11-19
SM소망2호 태양광 발전소,전북특별자치도 무주군 무주읍 당산강변로 64-7,전북특별자치도 무주군 무주읍 당산리 1847,36.0007751,127.6498437,옥외,정상가동,99.49,380.0,60,2023,발전사업용,2023-02-13,전북특별자치도 무주군청,,2025-11-19
종일 태양광 발전소,전북특별자치도 무주군 안성면 갈마길 37-7,전북특별자치도 무주군 안성면 죽천리 1198-3,35.8376306,127.6572148,옥외,정상가동,49.56,380.0,60,2023,발전사업용,2023-01-26,전북특별자치도 무주군청,,2025-11-19
부부1호 태양광 발전소,전북특별자치도 무주군 적상면 삼가로 518-8,전북특별자치도 무주군 적상면 삼가리 416-3,35.8928598,127.6590866,옥외,정상가동,49.88,380.0,60,2023,발전사업용,2023-02-20,전북특별자치도 무주군청,,2025-11-19
인순 태양광 발전소,전북특별자치도 무주군 무주읍 향학로 64,전북특별자치도 무주군 무주읍 대차리 1664-3,36.0096308,127.6635622,옥외,정상가동,94.4,380.0,60,2023,발전사업용,2023-02-27,전북특별자치도 무주군청,,2025-11-19
광인 태양광 발전소,전북특별자치도 무주군 무주읍 향학로 64,전북특별자치도 무주군 무주읍 대차리 1664-3,36.0096308,127.6635622,옥외,정상가동,94.4,380.0,60,2023,발전사업용,2023-02-27,전북특별자치도 무주군청,,2025-11-19
인태2 태양광 발전소,전북특별자치도 무주군 적상면 성도길 133-1,전북특별자치도 무주군 적상면 삼유리 286-1,35.903377,127.6180397,옥외,정상가동,49.56,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
인태1 태양광 발전소,전북특별자치도 무주군 적상면 성도길 133-1,전북특별자치도 무주군 적상면 삼유리 286-1,35.903377,127.6180397,옥외,정상가동,99.71,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
강무 태양광 발전소,,전북특별자치도 무주군 무주읍 내도리 758,36.0459423,127.6209554,옥외,정상가동,99.5,380.0,60,2023,발전사업용,2023-01-27,전북특별자치도 무주군청,,2025-11-19
시우 태양광 발전소,,전북특별자치도 무주군 무주읍 내도리 757,36.0460584,127.6205867,옥외,정상가동,99.5,380.0,60,2023,발전사업용,2023-01-27,전북특별자치도 무주군청,,2025-11-19
대경6호 태양광 발전소,전북특별자치도 무주군 무풍면 두평길 13,전북특별자치도 무주군 무풍면 현내리 381-1,35.9787281,127.8466,옥외,정상가동,99.91,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
대경7호 태양광 발전소,전북특별자치도 무주군 무풍면 현내로 201,전북특별자치도 무주군 무풍면 현내리 381-1,35.9694317,127.8474839,옥외,정상가동,79.06,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
대경5호 태양광 발전소,전북특별자치도 무주군 무풍면 대덕산로 931-7,전북특별자치도 무주군 무풍면 현내리 381-1,35.9683235,127.8458828,옥외,정상가동,99.91,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
동준 태양광 발전소,전북특별자치도 무주군 적상면 삼가로 89-52,전북특별자치도 무주군 적상면 삼가리 863-2,35.9232238,127.6596158,옥외,정상가동,99.76,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
용생1 태양광 발전소,전북특별자치도 무주군 적상면 삼가로 169-13,전북특별자치도 무주군 적상면 삼가리 863,35.9195219,127.6585765,옥외,정상가동,99.76,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
승업 태양광 발전소,전북특별자치도 무주군 적상면 삼가로 169-13,전북특별자치도 무주군 적상면 삼가리 863-1,35.9195219,127.6585765,옥외,정상가동,99.76,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
용생2 태양광 발전소,전북특별자치도 무주군 적상면 삼가로 169-13,전북특별자치도 무주군 적상면 삼가리 863,35.9195219,127.6585765,옥외,정상가동,49.88,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
무주3호 태양광 발전소,,전북특별자치도 무주군 적상면 삼가리 2252,35.9152369,127.6297109,옥외,정상가동,99.91,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
무주4호 태양광 발전소,,전북특별자치도 무주군 적상면 삼가리 2252,35.9152369,127.6297109,옥외,정상가동,99.91,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
무주5호 태양광 발전소,,전북특별자치도 무주군 적상면 삼가리 2252,35.9152369,127.6297109,옥외,정상가동,99.91,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
무주7호 태양광 발전소,전북특별자치도 무주군 적상면 광포길 83,전북특별자치도 무주군 적상면 삼가리 2253-1,35.917938,127.6378132,옥외,정상가동,64.51,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
무주1호 태양광 발전소,,전북특별자치도 무주군 적상면 삼가리 2252,35.9152369,127.6297109,옥외,정상가동,99.91,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
무주6호 태양광 발전소,전북특별자치도 무주군 적상면 광포길 83,전북특별자치도 무주군 적상면 삼가리 2252-1,35.917938,127.6378132,옥외,정상가동,99.91,380.0,60,2023,발전사업용,2023-02-10,전북특별자치도 무주군청,,2025-11-19
명품 태양광 발전소,,전북특별자치도 무주군 적상면 삼가리 2253-2,35.9157671,127.6302102,옥외,정상가동,35.89,380.0,60,2023,발전사업용,2023-02-08,전북특별자치도 무주군청,,2025-11-19
반딧골2호 태양광 발전소,전북특별자치도 무주군 무주읍 적천로 399,전북특별자치도 무주군 무주읍 오산리 102-1,36.0082226,127.6707717,옥외,정상가동,99.96,380.0,60,2023,발전사업용,2023-01-10,전북특별자치도 무주군청,,2025-11-19
박범섭 태양광 발전소,전북특별자치도 무주군 설천면 진평길 33-11,전북특별자치도 무주군 설천면 청량리 387-1,36.010336,127.7652719,옥외,정상가동,99.45,380.0,60,2023,발전사업용,2023-02-08,전북특별자치도 무주군청,,2025-11-19
선진1 태양광 발전소,전북특별자치도 무주군 적상면 적상산로 66,전북특별자치도 무주군 적상면 사천리 560-2,35.9465183,127.6604264,옥외,정상가동,49.56,380.0,60,2023,발전사업용,2023-01-20,전북특별자치도 무주군청,,2025-11-19
제갈향우1호 태양광 발전소,전북특별자치도 무주군 설천면 양지길 17-16,전북특별자치도 무주군 설천면 장덕리 630-2,36.0081502,127.7882272,옥외,정상가동,99.76,380.0,60,2023,발전사업용,2023-01-19,전북특별자치도 무주군청,,2025-11-19
제갈향우2호 태양광 발전소,전북특별자치도 무주군 설천면 양지길 17-16,전북특별자치도 무주군 설천면 장덕리 630-2,36.0081502,127.7882272,옥외,정상가동,99.96,380.0,60,2023,발전사업용,2023-01-19,전북특별자치도 무주군청,,2025-11-19
제갈향우3호 태양광 발전소,전북특별자치도 무주군 설천면 양지길 17-16,전북특별자치도 무주군 설천면 장덕리 630-2,36.0081502,127.7882272,옥외,정상가동,99.96,380.0,60,2023,발전사업용,2023-01-19,전북특별자치도 무주군청,,2025-11-19
선진3 태양광 발전소,전북특별자치도 무주군 적상면 길왕길 25,전북특별자치도 무주군 적상면 사천리 560-2,35.9585461,127.6652387,옥외,정상가동,99.96,380.0,60,2023,발전사업용,2023-01-20,전북특별자치도 무주군청,,2025-11-19
선진2 태양광 발전소,전북특별자치도 무주군 적상면 적상산로 66,전북특별자치도 무주군 적상면 사천리 560-2,35.9465183,127.6604264,옥외,정상가동,99.76,380.0,60,2023,발전사업용,2023-01-20,전북특별자치도 무주군청,,2025-11-19
공진2호 태양광 발전소,전북특별자치도 무주군 안성면 장무로 1516-22,전북특별자치도 무주군 안성면 공진리 807-2,35.8239963,127.6401085,옥외,정상가동,99.76,380.0,60,2023,발전사업용,2023-01-20,전북특별자치도 무주군청,,2025-11-19
공진1호 태양광 발전소,전북특별자치도 무주군 안성면 장무로 1516-22,전북특별자치도 무주군 안성면 공진리 807-2,35.8239963,127.6401085,옥외,정상가동,91.04,380.0,60,2023,발전사업용,2023-01-20,전북특별자치도 무주군청,,2025-11-19
공진3호 태양광 발전소,전북특별자치도 무주군 안성면 장무로 1516-22,전북특별자치도 무주군 안성면 공진리 807-2,35.8239963,127.6401085,옥외,정상가동,16.17,380.0,60,2023,발전사업용,2023-01-20,전북특별자치도 무주군청,,2025-11-19
