태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
온이태양광발전소,,전북특별자치도 부안군 상서면 용서리 371,35.70030702,126.6802901,,정상가동,99.0,380,60,2017,발전사업,2017-02-17,전북특별자치도 부안군,,2025-11-03
SS2태양광발전소,,전북특별자치도 부안군 상서면 용서리 456,35.69778661,126.6715586,,정상가동,99.0,380,60,2017,발전사업,2017-04-03,전북특별자치도 부안군,,2025-11-03
대동태양광발전소,,전북특별자치도 부안군 상서면 장동리 368,35.71287922,126.6761157,,정상가동,300.0,380,60,2017,발전사업,2015-04-07,전북특별자치도,,2025-11-03
영쏠라에너지,,전북특별자치도 부안군 상서면 장동리 907,35.58731823,126.6878756,,정상가동,99.36,380,60,2017,발전사업,2016-10-14,전북특별자치도 부안군,,2025-11-03
승규태양광발전소,,전북특별자치도 부안군 주산면 소주리 590,35.66413292,126.7270519,,정상가동,99.0,380,60,2017,발전사업,2017-03-10,전북특별자치도 부안군,,2025-11-03
현광태양광발전소,,전북특별자치도 부안군 주산면 소주리 590,35.66413292,126.7270519,,정상가동,99.0,380,60,2017,발전사업,2017-03-10,전북특별자치도 부안군,,2025-11-03
규철2호태양광발전소,,전북특별자치도 부안군 주산면 소주리 590,35.66413292,126.7270519,,정상가동,99.0,380,60,2017,발전사업,2017-03-10,전북특별자치도 부안군,,2025-11-03
현옥2호태양광발전소,,전북특별자치도 부안군 주산면 소주리 590,35.66413292,126.7270519,,정상가동,39.6,380,60,2017,발전사업,2017-03-10,전북특별자치도 부안군,,2025-11-03
숙희태양광발전소,,전북특별자치도 부안군 주산면 소주리 592,35.66448882,126.7268814,,정상가동,39.6,380,60,2017,발전사업,2017-03-10,전북특별자치도 부안군,,2025-11-03
켄스태양광발전소,전북특별자치도 부안군 줄포면 각동2길 86-54,전북특별자치도 부안군 줄포면 대동리 661-60,35.60649513,126.6841303,,정상가동,495.0,380,60,2017,발전사업,2016-11-17,전북특별자치도,,2025-11-03
신리태양광발전소,,전북특별자치도 부안군 줄포면 신리 286,35.58230748,126.7086527,,정상가동,99.0,380,60,2017,발전사업,2016-12-16,전북특별자치도 부안군,,2025-11-03
원신태양광발전소,,전북특별자치도 부안군 줄포면 신리 286,35.58230748,126.7086527,,정상가동,99.0,380,60,2017,발전사업,2016-12-16,전북특별자치도 부안군,,2025-11-03
진쏠라에너지,,전북특별자치도 부안군 줄포면 장동리 907,35.58731823,126.6878756,,정상가동,99.36,380,60,2017,발전사업,2016-10-14,전북특별자치도 부안군,,2025-11-03
연쏠라에너지,,전북특별자치도 부안군 줄포면 장동리 907,35.58731823,126.6878756,,정상가동,99.36,380,60,2017,발전사업,2016-10-14,전북특별자치도 부안군,,2025-11-03
줄포태양광발전소,,전북특별자치도 부안군 줄포면 줄포리 933,35.59986262,126.6693354,,정상가동,495.0,380,60,2017,발전사업,2017-04-07,전북특별자치도,,2025-11-03
김소연태양광발전소,전북특별자치도 부안군 진서면 곰소항길 22-15,전북특별자치도 부안군 진서면 곰소리 780,35.58722405,126.6022983,,정상가동,45.0,380,60,2017,발전사업,2014-07-09,전북특별자치도 부안군,,2025-11-03
진서태양광발전소,,전북특별자치도 부안군 진서면 진서리 515,35.60676175,126.6153153,,정상가동,99.0,380,60,2017,발전사업,2017-05-25,전북특별자치도 부안군,,2025-11-03
에프엘에너지태양광발전소,,전북특별자치도 부안군 하서면 석상리 734,35.705362,126.6533,,정상가동,99.2,380,60,2017,발전사업,2017-01-23,전북특별자치도 부안군,,2025-11-03
금광태양광발전소,,전북특별자치도 부안군 하서면 석상리 734,35.705362,126.6533,,정상가동,99.2,380,60,2017,발전사업,2017-01-23,전북특별자치도 부안군,,2025-11-03
김창호1호태양광발전소,,전북특별자치도 부안군 하서면 석상리 734,35.705362,126.6533,,정상가동,99.2,380,60,2017,발전사업,2017-01-23,전북특별자치도 부안군,,2025-11-03
곽순복태양광발전소,,전북특별자치도 부안군 하서면 석상리 734,35.705362,126.6533,,정상가동,97.92,380,60,2017,발전사업,2017-05-01,전북특별자치도 부안군,,2025-11-03
성일태양광발전소,,전북특별자치도 부안군 행안면 99,35.74164999,126.710342,,정상가동,373.86,380,60,2017,발전사업,2017-02-13,전북특별자치도,,2025-11-03
변재근2호태야광발전소,전북특별자치도 부안군 행안면 새포로 67-21,전북특별자치도 부안군 행안면 삼간리 2344-2,35.73465886,126.6794869,,정상가동,98.8,380,60,2017,발전사업,2014-11-19,전북특별자치도 부안군,,2025-11-03
경진태양광발전소,전북특별자치도 부안군 행안면 새포로 59-22,전북특별자치도 부안군 행안면 삼간리 2345-7,35.73304681,126.6787286,,정상가동,345.1,380,60,2017,발전사업,2017-04-11,전북특별자치도,,2025-11-03
김현기태양광발전소,,전북특별자치도 부안군 행안면 삼간리 501,35.73069029,126.6878034,,정상가동,99.2,380,60,2017,발전사업,2016-09-26,전북특별자치도 부안군,,2025-11-03
행안태양광발전소,,전북특별자치도 부안군 행안면 진동리 1050,35.69654291,126.7130899,,정상가동,494.76,380,60,2017,발전사업,2016-10-25,전북특별자치도,,2025-11-03
종범1호태양광발전소,,전북특별자치도 부안군 행안면 진동리 1050,35.69654291,126.7130899,,정상가동,99.0,380,60,2017,발전사업,2017-01-23,전북특별자치도 부안군,,2025-11-03
춘옥태양광발전소,,전북특별자치도 부안군 행안면 진동리 1050,35.69654291,126.7130899,,정상가동,99.0,380,60,2017,발전사업,2017-01-23,전북특별자치도 부안군,,2025-11-03
석일2호태양광발전소,전북특별자치도 부안군 계화면 새포로 208,전북특별자치도 부안군 계화면 궁안리 2053-4,35.74682249,126.6819097,,정상가동,99.9,380,60,1900,발전사업,2018-03-05,전북특별자치도 부안군,,2025-11-03
하입석발전소,,전북특별자치도 부안군 보안면 하입석리 473,35.62680243,126.6955812,,정상가동,99.96,380,60,1900,발전사업,2017-05-29,전북특별자치도 부안군,,2025-11-03
부안시민발전소(원불교부안교당),전북특별자치도 부안군 부안읍 당산로 71,전북특별자치도 부안군 부안읍 서외리 177,35.73069704,126.7312725,,정상가동,3.0,220,60,2005,발전사업,2005-06-13,전북특별자치도,,2025-11-03
