태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
에스에이치에너지,전북특별자치도 임실군 관촌면 덕천1길 255-16,전북특별자치도 임실군 관촌면 덕천리 산 132-9,35.66785998,127.3030547,기타,정상가동,98.8,220380,60,2012,발전사업,2011-09-30,전북특별자치도청,490,2025-11-03
광명에너지 태양광발전소,전북특별자치도 임실군 관촌면 덕천1길 255-12,전북특별자치도 임실군 관촌면 덕천리 산 132-8,35.66751879,127.3030053,기타,정상가동,99.6,220380,60,2012,발전사업,2011-09-30,전북특별자치도청,490,2025-11-03
서준태양광발전소,전북특별자치도 임실군 관촌면 덕천1길 255-18,전북특별자치도 임실군 관촌면 덕천리 산 132-10,35.66803423,127.3030424,기타,정상가동,99.6,220380,60,2012,발전사업,2011-09-30,전북특별자치도청,490,2025-11-03
동성SE3호 태양광발전소,전북특별자치도 임실군 관촌면 덕천1길 255-6,전북특별자치도 임실군 관촌면 덕천리 산 132-6,35.66711453,127.3030909,기타,정상가동,99.6,220380,60,2012,발전사업,2011-09-30,전북특별자치도청,490,2025-11-03
광명태양광발전소,전북특별자치도 임실군 관촌면 덕천1길 259,전북특별자치도 임실군 관촌면 덕천리 산 132-5,35.66691673,127.3030423,기타,정상가동,99.6,220380,60,2012,발전사업,2011-09-30,전북특별자치도청,490,2025-11-03
(유)덕암쏠라파크태양광발전소,,전북특별자치도 임실군 신평면 가덕리 산 123,35.6361621,127.2215377,기타,정상가동,500.0,22900,60,2012,발전사업,2011-11-10,전북특별자치도청,2919000,2025-11-03
현대태양광발전소 1호,전북특별자치도 임실군 지사면 영원로 123,전북특별자치도 임실군 지사면 원산리 223-4,35.58097825,127.3640603,기타,정상가동,98.0,380,60,2012,발전사업,2011-12-07,전북특별자치도청,167800,2025-11-03
엠에스에너지,전북특별자치도 임실군 오수면 봉천1길 4,전북특별자치도 임실군 오수면 봉천리 125-2,35.57650433,127.3129281,기타,정상가동,29.26,380,60,2012,발전사업,2011-12-07,전북특별자치도청,227,2025-11-03
대동에너지,전북특별자치도 임실군 오수면 봉천1길 4,전북특별자치도 임실군 오수면 봉천리 125-2,35.57650433,127.3129281,기타,정상가동,69.9,380,60,2012,발전사업,2011-12-07,전북특별자치도청,495,2025-11-03
용훈에너지,전북특별자치도 임실군 오수면 둔덕1길 9-18,전북특별자치도 임실군 오수면 둔덕리 309-1,35.49855326,127.3173053,기타,정상가동,30.24,380,60,2014,발전사업,2012-01-04,전북특별자치도청,600,2025-11-03
지훈에너지,전북특별자치도 임실군 오수면 둔덕1길 9-18,전북특별자치도 임실군 오수면 둔덕리 309-1,35.49855326,127.3173053,기타,정상가동,14.85,380,60,2014,발전사업,2012-01-04,전북특별자치도청,82,2025-11-03
승선2호 에너지,전북특별자치도 임실군 삼계면 세학로 477-3,전북특별자치도 임실군 삼계면 세심리 695,35.48905322,127.242917,기타,정상가동,19.8,380,60,2012,발전사업,2012-01-10,전북특별자치도청,90,2025-11-03
선진3호에너지,전북특별자치도 임실군 삼계면 세심2길 29,전북특별자치도 임실군 삼계면 세심리 612-1,35.49066398,127.2421829,기타,정상가동,86.4,380,60,2012,발전사업,2012-01-10,전북특별자치도청,116052,2025-11-03
갈담 에너지,전북특별자치도 임실군 강진면 호국로 48,전북특별자치도 임실군 강진면 갈담리 358-3,35.52999448,127.1640504,기타,정상가동,29.36,380,60,2012,발전사업,2012-01-13,전북특별자치도청,252,2025-11-03
미소에너지,전북특별자치도 임실군 임실읍 신안로 310-13,전북특별자치도 임실군 임실읍 신안리 5,35.60567357,127.2567881,기타,정상가동,30.0,380,60,2012,발전사업,2012-03-13,전북특별자치도청,602,2025-11-03
제네시스에너지,전북특별자치도 임실군 오수면 오수로 200,전북특별자치도 임실군 오수면 오수리 539-5,35.54197412,127.3256088,기타,정상가동,30.0,380,60,2012,발전사업,2012-03-13,전북특별자치도청,597,2025-11-03
광성에너지,,전북특별자치도 임실군 청웅면 옥전리 1524-2,35.57623209,127.2220802,기타,정상가동,30.0,380,60,2012,발전사업,2012-03-13,전북특별자치도청,596,2025-11-03
광성에너지태양광발전소,전북특별자치도 임실군 삼계면 덕계2길 101-59,전북특별자치도 임실군 삼계면 덕계리 434-2,35.52074701,127.2741167,기타,정상가동,30.0,380,60,2012,발전사업,2012-03-13,전북특별자치도청,596,2025-11-03
성신에너지,전북특별자치도 임실군 신평면 호암2길 10-47,전북특별자치도 임실군 신평면 호암리 179-6,35.65551459,127.244723,기타,정상가동,30.0,380,60,2012,발전사업,2012-03-13,전북특별자치도청,595,2025-11-03
