태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
뜬봉 태양광발전소,,전북특별자치도 장수군 장수읍 수분리 1015,35.5928501754001,127.506576386611,,정상가동,99.96,380.0,60,2024,,2023-11-10,,,2025-03-28
천백1호 태양광발전소,,전북특별자치도 장수군 장수읍 식천리 114-1,35.5848282687455,127.476002544789,,정상가동,19.64,380.0,60,2024,,2023-11-02,,,2025-03-28
서변새마을회 태양광발전소,,전북특별자치도 장수군 장계면 송천리 686-3,35.7380112987041,127.591284823094,,정상가동,18.0,380.0,60,2024,,2023-10-30,,,2025-03-28
참솔3 태양광발전소,,전북특별자치도 장수군 장수읍 송천리 1090-21,35.6479573118629,127.49573889976,,정상가동,44.55,380.0,60,2024,,2023-09-20,,,2025-03-28
춘동마을 태양광발전소,,전북특별자치도 장수군 천천면 춘송리 338-4,35.7327150490216,127.541166291204,,정상가동,19.64,380.0,60,2024,,2023-09-08,,,2025-03-28
정대영 태양광발전소,전북특별자치도 장수군 번암면 사암1길 11,,35.5762808852851,127.52892000413,,정상가동,17.85,220.0,60,2024,,2023-08-30,,,2025-03-28
정종열 태양광발전소,,전북특별자치도 장수군 계북면 농소리 316,35.7660002856503,127.619898226491,,정상가동,41.65,380.0,60,2023,,2023-08-21,,,2025-03-28
덕산 태양광발전소,,전북특별자치도 장수군 장계면 명덕리 801,35.7334938306092,127.632386316389,,정상가동,74.38,380.0,60,2024,,2023-06-22,,,2025-03-28
흥림태양광발전소,,전북특별자치도 장수군 산서면 동화리 203-3,35.5854840260152,127.393857909556,,정상가동,12.1,380.0,60,2023,,2023-05-01,,,2025-03-28
칠만 태양광발전소,,전북특별자치도 장수군 천천면 오봉리 647,35.8052833612944,127.555449619731,,정상가동,14.88,220.0,60,2023,,2023-03-28,,,2025-03-28
분옥1 태양광발전소,,전북특별자치도 장수군 장수읍 대성리 488-3,35.6014215903547,127.458939063261,,정상가동,14.4,220.0,60,2023,,2023-03-15,,,2025-03-28
규섭2 태양광발전소,,전북특별자치도 장수군 장수읍 송천리 2620,35.6408220126368,127.506158999833,,정상가동,14.85,220.0,60,2023,,2023-03-03,,,2025-03-28
송제원3호 태양광발전소,,전북특별자치도 장수군 산서면 오성리 1369,35.5805044523383,127.42700933843,,정상가동,29.5,380.0,60,2023,,2023-02-03,,,2025-03-28
에너지2호 태양광발전소,,전북특별자치도 장수군 산서면 오산리 880-6,35.5897592799398,127.373882380403,,정상가동,99.51,380.0,60,2021,,2020-03-23,,,2025-03-28
장천 태양광발전소,,전북특별자치도 장수군 장수읍 선창리 307번지,35.6550880201136,127.526448132842,,정상가동,99.54,380.0,60,2020,,2020-02-24,,,2025-03-28
현근 태양광발전소,,전북특별자치도 장수군 계남면 화양리 854번지 854-1,,,,정상가동,98.28,380.0,60,2020,,2020-02-18,,,2025-03-28
seetec-c 발전소,,전북특별자치도 장수군 천천면 월곡리 395-3,35.6979608473985,127.523649927772,,정상가동,99.8,380.0,60,2021,,2020-01-30,,,2025-03-28
궁평영농회 태양광발전소,,전북특별자치도 장수군 계남면 궁양리 382-1,35.6751849336464,127.591521446646,,정상가동,18.0,380.0,60,2023,,2022-11-29,,,2025-03-28
임재환 태양광발전소,,전북특별자치도 장수군 산서면 오산리 1235,35.5990222162362,127.377053514548,,정상가동,29.75,380.0,60,2023,,2022-11-18,,,2025-03-28
길산2호 태양광발전소,,전북특별자치도 장수군 장수읍 송천리 1298,35.6432529767894,127.499499431167,,정상가동,17.4,380.0,60,2023,,2022-11-14,,,2025-03-28
시골찬 태양광발전소,,전북특별자치도 장수군 산서면 오산리 1500-1,35.5868838119147,127.387351963035,,정상가동,29.58,380.0,60,2022,,2022-09-26,,,2025-03-28
대천 태양광발전소,,전북특별자치도 장수군 산서면 봉서리 383-1,35.5593929188295,127.3913924518,,정상가동,19.72,380.0,60,2023,,2022-09-26,,,2025-03-28
초원 태양광발전소,,전북특별자치도 장수군 계남면 호덕리 849-12,35.7252959163882,127.58065588425,,정상가동,44.25,380.0,60,2022,,2022-07-28,,,2025-03-28
