태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
녹색만성1호태양광발전소,전북특별자치도 전주시 덕진구 정여립로 942-1 (만성동),,35.8343386100,127.0761741000,옥상,정상가동,39.6,380,60,2024,,2024-09-13,,,2024-09-30
원동8호태양광발전소,전북특별자치도 전주시 덕진구 호남로 2278 (원동),,35.8547402800,127.0473850000,기타,정상가동,99.2,380,60,2024,,2024-09-12,,,2024-09-30
원동7호태양광발전소,전북특별자치도 전주시 덕진구 호남로 2278 (원동),,35.8547402800,127.0473850000,기타,정상가동,99.2,380,60,2024,,2024-09-12,,,2024-09-30
원동6호태양광발전소,전북특별자치도 전주시 덕진구 호남로 2278 (원동),,35.8547402800,127.0473850000,기타,정상가동,99.2,380,60,2024,,2024-09-12,,,2024-09-30
원동5호태양광발전소,전북특별자치도 전주시 덕진구 호남로 2278 (원동),,35.8547402800,127.0473850000,기타,정상가동,99.2,380,60,2024,,2024-09-12,,,2024-09-30
전북도민햇빛발전소1호,"전북특별자치도 전주시 덕진구 소리로 31, 소리문화전당 (덕진동1가)",,35.8547719500,127.1393284000,옥상,정상가동,250.74,380,60,2024,,2024-09-11,,,2024-09-30
박형근발전소,전북특별자치도 전주시 덕진구 용정길 21 (여의동),,35.8545894300,127.0699194000,옥상,정상가동,78.74,380,60,2024,,2024-09-11,,,2024-09-30
투썸태양광발전소,전북특별자치도 전주시 덕진구 동부대로 1145 (송천동2가),,35.8693946400,127.1218026000,옥상,정상가동,59.85,380,60,2024,,2024-09-05,,,2024-09-30
태평태양광발전소,전북특별자치도 전주시 완산구 메너머3길 40-8 (중화산동2가),,35.8241562500,127.1186663000,옥상,정상가동,20.4,380,60,2024,,2024-09-03,,,2024-09-30
박정오태양광,전북특별자치도 전주시 덕진구 평리마을길 63 (고랑동),,35.8841156200,127.0883969000,옥상,정상가동,19.8,380,60,2024,,2024-09-02,,,2024-09-30
아리솔태양광발전소,전북특별자치도 전주시 덕진구 송천4길 32-10 (송천동1가),,35.8627280200,127.1189712000,옥상,정상가동,35.56,380,60,2024,,2024-09-02,,,2024-09-30
동운태양광발전소,전북특별자치도 전주시 완산구 평화9길 14 (평화동2가),,35.7882455800,127.1363940000,옥상,정상가동,99.54,380,60,2024,,2024-09-02,,,2024-09-30
에스알3호태양광발전소,전북특별자치도 전주시 덕진구 상리로 45 (팔복동2가),,35.8524502000,127.1030723000,옥상,정상가동,50.4,380,60,2024,,2024-08-26,,,2024-09-30
에스알2호태양광발전소,전북특별자치도 전주시 덕진구 상리로 45 (팔복동2가),,35.8524502000,127.1030723000,옥상,정상가동,99.54,380,60,2024,,2024-08-26,,,2024-09-30
에스알1호태양광발전소,전북특별자치도 전주시 덕진구 상리로 45 (팔복동2가),,35.8524502000,127.1030723000,옥상,정상가동,99.54,380,60,2024,,2024-08-26,,,2024-09-30
송윤선태양광발전소,전북특별자치도 전주시 완산구 삼산길 124 (삼천동3가),,35.8053650000,127.0752466000,옥상,정상가동,20,380,60,2024,,2024-08-26,,,2024-09-30
골프존파크중화산새봄태양광발전소,전북특별자치도 전주시 완산구 선너머로 25-3 (중화산동2가),전북특별자치도 완주군 상관면 의암리 486-1,35.8163293900,127.1275949000,옥상,정상가동,99.06,380,60,2024,,2024-09-30,,,2024-09-30
전주시민햇빛발전소8호,"전북특별자치도 전주시 완산구 모악산자락길 22, 완산생활체육공원 (중인동)",전북특별자치도 완주군 봉동읍 둔산리 864-2,35.7674928900,127.1015350000,주차장,정상가동,188.4,380,60,2024,,2024-09-30,,,2024-09-30
매암4태양광발전소,,전북특별자치도 전주시 덕진구 원동 677-5,35.8697046500,127.0249832000,기타,정상가동,99.4,380,60,2024,,2024-09-24,,,2024-09-30
매암3태양광발전소,,전북특별자치도 전주시 덕진구 원동 677-5,35.8697046500,127.0249832000,기타,정상가동,296.1,380,60,2024,,2024-09-24,,,2024-09-30
매암2태양광발전소,,전북특별자치도 전주시 덕진구 원동 677-3,35.8700004900,127.0253972000,기타,정상가동,296.1,380,60,2024,,2024-09-24,,,2024-09-30
매암1태양광발전소,,전북특별자치도 전주시 덕진구 원동 677-3,35.8700004900,127.0253972000,기타,정상가동,99.4,380,60,2024,,2024-09-24,,,2024-09-30
정교태양광발전소,전북특별자치도 전주시 덕진구 삼천공덕길 108-112 (금상동),,35.8434639300,127.2004412000,옥상,정상가동,14.49,380,60,2024,,2024-09-24,,,2024-09-30
명성2호태양광발전소,전북특별자치도 전주시 완산구 꽃밭정로 50 (평화동1가),,35.7978606500,127.1379488000,옥상,정상가동,68.04,380,60,2024,,2024-09-24,,,2024-09-30
드림5태양광,,전북특별자치도 전주시 덕진구 원동 192-2,35.8660969100,127.0400521000,기타,정상가동,31.5,380,60,2024,,2024-09-23,,,2024-09-30
투모로우에너지,,전북특별자치도 전주시 덕진구 원동 192-2,35.8660969100,127.0400521000,기타,정상가동,99.54,380,60,2024,,2024-09-23,,,2024-09-30
시온3태양광,,전북특별자치도 전주시 덕진구 원동 192-2,35.8660969100,127.0400521000,기타,정상가동,99.54,380,60,2024,,2024-09-23,,,2024-09-30
자은태양광발전소,전북특별자치도 전주시 덕진구 구렛들3길 36 (팔복동1가),,35.8606308300,127.0989679000,옥상,정상가동,99.6,380,60,2024,,2024-09-20,,,2024-09-30
선정태양광발전소,전북특별자치도 전주시 덕진구 신복로 102-34 (팔복동1가),,35.8595164000,127.1064858000,옥상,정상가동,80.92,380,60,2024,,2024-09-13,,,2024-09-30
녹색만성4호태양광발전소,전북특별자치도 전주시 덕진구 정여립로 942-1 (만성동),,35.8343386100,127.0761741000,옥상,정상가동,39.6,380,60,2024,,2024-09-13,,,2024-09-30
녹색만성3호태양광발전소,전북특별자치도 전주시 덕진구 정여립로 942-1 (만성동),,35.8343386100,127.0761741000,옥상,정상가동,39.6,380,60,2024,,2024-09-13,,,2024-09-30
녹색만성2호태양광발전소,전북특별자치도 전주시 덕진구 정여립로 942-1 (만성동),,35.8343386100,127.0761741000,옥상,정상가동,39.6,380,60,2024,,2024-09-13,,,2024-09-30
온유태양광발전소,전북특별자치도 전주시 덕진구 용산1길 17-2 (금암동),,35.8349110400,127.1312521000,옥상,정상가동,30,380,60,2024,,2024-08-26,,,2024-09-30
금호2호태양광발전소,전북특별자치도 전주시 덕진구 상리2길 25 (팔복동2가),,35.8538808500,127.1007450000,옥상,정상가동,94.99,380,60,2024,,2024-08-30,,,2024-09-30
금호1호태양광발전소,전북특별자치도 전주시 덕진구 상리2길 25 (팔복동2가),,35.8538808500,127.1007450000,옥상,정상가동,150.45,380,60,2024,,2024-08-30,,,2024-09-30
정길2호태양광발전소,전북특별자치도 전주시 완산구 효자로 329 (중화산동2가),,35.8192560800,127.1214836000,옥상,정상가동,30,380,60,2024,,2024-08-27,,,2024-09-30
비손태양광발전소,전북특별자치도 전주시 덕진구 전진로 10-13 (산정동),,35.8400120400,127.1711707000,옥상,정상가동,99.06,380,60,2024,,2024-08-23,,,2024-09-30
청담태양광발전소,전북특별자치도 전주시 덕진구 팔복7길 10 (팔복동2가),,35.8524200800,127.1054850000,옥상,정상가동,19.53,380,60,2024,,2024-08-22,,,2024-09-30
금생태양광발전소,전북특별자치도 전주시 덕진구 반룡로 161 (여의동),,35.8615509700,127.0785248000,옥상,정상가동,99.6,380,60,2024,,2024-08-22,,,2024-09-30
보성태양광발전소,전북특별자치도 전주시 덕진구 서귀로 212-17 (여의동),,35.8578894800,127.0781888000,옥상,정상가동,92.4,380,60,2024,,2024-08-22,,,2024-09-30
숙자태양광발전소,전북특별자치도 전주시 덕진구 초포다리로 55-9 (호성동1가),,35.8613037900,127.1583201000,옥상,정상가동,91.64,380,60,2024,,2024-08-13,,,2024-09-30
이편한태양광발전소,전북특별자치도 전주시 덕진구 명주2길 26-9 (인후동2가),,35.8421401000,127.1464753000,옥상,정상가동,51.03,380,60,2024,,2024-08-13,,,2024-09-30
이정태양광발전소,전북특별자치도 전주시 완산구 석산마을길 103 (삼천동3가),,35.7874581300,127.0880774000,옥상,정상가동,30.87,380,60,2024,,2024-08-13,,,2024-09-30
유일태양광발전소,"전북특별자치도 전주시 덕진구 거북바우로 105 (인후동2가, 유일빌라)",,35.8421264900,127.1472838000,옥상,정상가동,19.8,380,60,2024,,2024-08-12,,,2024-09-30
감수2호태양광발전소,전북특별자치도 전주시 덕진구 신흥안길 55-69 (고랑동),,35.8742392500,127.0957570000,옥상,정상가동,75.6,380,60,2024,,2024-08-12,,,2024-09-30
선진2호태양광발전소,전북특별자치도 전주시 덕진구 신복천변로 21 (팔복동1가),,35.8568556900,127.1035273000,옥상,정상가동,90.75,380,60,2024,,2024-08-12,,,2024-09-30
선진1호태양광발전소,전북특별자치도 전주시 덕진구 신복천변로 21 (팔복동1가),,35.8568556900,127.1035273000,옥상,정상가동,90.75,380,60,2024,,2024-08-12,,,2024-09-30
베테랑2호태양광발전소,전북특별자치도 전주시 덕진구 원만성로 119 (팔복동2가),,35.8593068600,127.0893475000,옥상,정상가동,99.54,380,60,2024,,2024-08-12,,,2024-09-30
베테랑1호태양광발전소,전북특별자치도 전주시 덕진구 원만성로 119 (팔복동2가),,35.8593068600,127.0893475000,옥상,정상가동,99.54,380,60,2024,,2024-08-12,,,2024-09-30
온누리태양광발전소,전북특별자치도 전주시 덕진구 원산정길 135-13 (산정동),,35.8521750500,127.1726045000,옥상,정상가동,77.72,380,60,2024,,2024-08-12,,,2024-09-30
전주은석마을햇빛발전소협동조합 태양광발전소,"전북특별자치도 전주시 완산구 은석길 37-25, 은석마을회관 (색장동)",,35.7957901400,127.1967703000,옥상,정상가동,10.13,220,60,2024,,2024-08-12,,,2024-09-30
송희3호태양광발전소,전북특별자치도 전주시 덕진구 팔복로 205 (팔복동3가),,35.8560344000,127.0852514000,옥상,정상가동,45.36,380,60,2024,,2024-08-08,,,2024-09-30
민용3호태양광발전소,전북특별자치도 전주시 덕진구 기린대로 608 (덕진동2가),,35.8498445700,127.1143417000,옥상,정상가동,59.85,380,60,2024,,2024-08-08,,,2024-09-30
해피1태양광발전소,전북특별자치도 전주시 덕진구 상리1길 46 (팔복동2가),,35.8514707700,127.1017427000,옥상,정상가동,65.32,380,60,2024,,2024-07-31,,,2024-09-30
삼천태양광발전소,"전북특별자치도 전주시 완산구 백제대로 69, 삼천탕 (삼천동1가)",,35.8003897500,127.1271790000,옥상,정상가동,29.5,380,60,2024,,2024-07-31,,,2024-09-30
솔라베이태양광발전소,전북특별자치도 전주시 덕진구 신복로 90-6 (팔복동1가),,35.8583378700,127.1057246000,옥상,정상가동,71.39,380,60,2024,,2024-07-18,,,2024-09-30
신한태양광발전소,전북특별자치도 전주시 덕진구 비석날로 43 (여의동),,35.8560690000,127.0786560000,옥상,정상가동,84,380,60,2024,,2024-07-18,,,2024-09-30
