태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
김*경,,전북특별자치도 진안군 성수면 좌포리 405-3,,,,정상가동,99,380,60,2008,,,전북특별자치도,,2025-03-11
용두골마을태양광,,전북특별자치도 진안군 용담면 송풍리 1301-3,,,,정상가동,5.83,380,60,2008,,,전북특별자치도,,2025-03-11
(유)일빛에너지일광2호기,,전북특별자치도 진안군 성수면 좌포리 산 33-1,,,,정상가동,99,380,60,2008,,,전북특별자치도,,2025-03-11
(유)일빛에너지일광3호기,,전북특별자치도 진안군 성수면 좌포리 산 33-1,,,,정상가동,99,380,60,2008,,,전북특별자치도,,2025-03-11
㈜해냄신재생에너지덕천태양광발전소,,전북특별자치도 진안군 마령면 덕천리 산124-2,,,,정상가동,994.98,380,60,2010,,,전북특별자치도,,2025-03-11
감마태양광발전소,,전북특별자치도 진안군 부귀면 신정리 43-12,,,,정상가동,99,380,60,2010,,,전북특별자치도,,2025-03-11
입실론태양광발전소,,전북특별자치도 진안군 부귀면 신정리 43-13,,,,정상가동,99,380,60,2010,,,전북특별자치도,,2025-03-11
델타태양광발전소,,전북특별자치도 진안군 부귀면 신정리 43-6,,,,정상가동,29,380,60,2010,,,전북특별자치도,,2025-03-11
베타태양광발전소,,"전북특별자치도 진안군 부귀면 신정리 43-10,43-14",,,,정상가동,99,380,60,2010,,,전북특별자치도,,2025-03-11
일광태양광발전소4호,,전북특별자치도 진안군 성수면 좌포리 405-13,,,,정상가동,28.8,380,60,2010,,,전북특별자치도,,2025-03-11
일광태양광발전소5호,,"전북특별자치도 진안군 성수면 좌포리 405-7,405-12",,,,정상가동,28.8,380,60,2010,,,전북특별자치도,,2025-03-11
일광태양광발전소6호,,전북특별자치도 진안군 성수면 좌포리 405-1,,,,정상가동,28.8,380,60,2010,,,전북특별자치도,,2025-03-11
일광태양광발전소7호,,전북특별자치도 진안군 성수면 좌포리 411-9,,,,정상가동,19,380,60,2010,,,전북특별자치도,,2025-03-11
신정태양광발전소,,"전북특별자치도 진안군 부귀면 신정리 946-1,946-3 건물상부",,,,정상가동,96.6,380,60,2011,,,전북특별자치도,,2025-03-11
동탑1호태양광,,전북특별자치도 진안군 용담면 송풍리 산59 건물상부,,,,정상가동,96,380,60,2011,,,전북특별자치도,,2025-03-11
동탑2호태양광,,전북특별자치도 진안군 용담면 송풍리 산59 건물상부,,,,정상가동,96,380,60,2011,,,전북특별자치도,,2025-03-11
한영3호태양광발전소,,전북특별자치도 진안군 진안읍 연장리 602-24 건물상부,,,,정상가동,99.5,380,60,2012,,,전북특별자치도,,2025-03-11
기창태양광발전소,,전북특별자치도 진안군 진안읍 연장리 602-25 건물상부,,,,정상가동,99.5,380,60,2012,,,전북특별자치도,,2025-03-11
(유)삼양모노,,전북특별자치도 진안군 진안읍 연장리 1066-11 건물상부,,,,정상가동,196,380,60,2012,,,전북특별자치도,,2025-03-11
드리미태양광발전소,,전북특별자치도 진안군 진안읍 연장리 602-2 건물상부,,,,정상가동,99.5,380,60,2012,,,전북특별자치도,,2025-03-11
비츠로에너지태양광발전소,,전북특별자치도 진안군 진안읍 연장리 602-27 건물상부,,,,정상가동,99.5,380,60,2012,,,전북특별자치도,,2025-03-11
엔젤태양광발전소,,전북특별자치도 진안군 진안읍 연장리 602-26 건물상부,,,,정상가동,99.5,380,60,2012,,,전북특별자치도,,2025-03-11
상촌쏠라태양광발전소,,"전북특별자치도 진안군 성수면 좌산리 72-1,72-2,73",,,,정상가동,99.45,380,60,2012,,,전북특별자치도,,2025-03-11
백운태양광발전소,,전북특별자치도 진안군 백운면 운교리 544-2 건물상부,,,,정상가동,99,380,60,2012,,,전북특별자치도,,2025-03-11
주이레태양광발전소,,전북특별자치도 진안군 백운면 운교리 542 건물상부,,,,정상가동,99,380,60,2012,,,전북특별자치도,,2025-03-11
KR태양광발전소,,전북특별자치도 진안군 백운면 운교리 544-7 건물상부,,,,정상가동,49.5,380,60,2012,,,전북특별자치도,,2025-03-11
덕천옥태양광발전소,,전북특별자치도 진안군 마령면 덕천리 901-2 건물상부,,,,정상가동,99,380,60,2012,,,전북특별자치도,,2025-03-11
상거석태양광발전소,,전북특별자치도 진안군 부귀면 거석리 423,,,,정상가동,30,380,60,2012,,,전북특별자치도,,2025-03-11
신자연태양광발전소,,전북특별자치도 진안군 진안읍 물곡리 1147-1,,,,정상가동,1000,380,60,2012,,,전북특별자치도,,2025-03-11
우성태양광발전소,,전북특별자치도 진안군 부귀면 신정리 946 건물상부,,,,정상가동,99,380,60,2012,,,전북특별자치도,,2025-03-11
세화태양광발전소,,전북특별자치도 진안군 진안읍 연장리 1776 건물상부,,,,정상가동,96.9,380,60,2012,,,전북특별자치도,,2025-03-11
민순태양광발전소,,전북특별자치도 진안군 진안읍 군상리 627-2 건물상부,,,,정상가동,30,380,60,2012,,,전북특별자치도,,2025-03-11
정수태양광발전소,,전북특별자치도 진안군 진안읍 단양리 407 건물상부,,,,정상가동,99,380,60,2013,,,전북특별자치도,,2025-03-11
동창발전소1호,,전북특별자치도 진안군 백운면 동창리 1137,,,,정상가동,29,380,60,2013,,,전북특별자치도,,2025-03-11
동창발전소2호,,전북특별자치도 진안군 백운면 동창리 1137-1,,,,정상가동,29,380,60,2013,,,전북특별자치도,,2025-03-11
함연1호태양광발전소,,전북특별자치도 진안군 백운면 운교리 505 건물상부,,,,정상가동,95,380,60,2013,,,전북특별자치도,,2025-03-11
