태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
오복산전,,제주특별자치도 제주시 한경면 신창리,33.3431638631819,126.181270197879,,정상가동,59.87,380,60,2006,,2006-03-03,,,2025-09-15
오복산전 3호,,제주특별자치도 제주시 한경면 신창리,33.3431638631819,126.181270197879,,정상가동,29.52,380,60,2006,,2006-08-24,,,2025-09-15
민솔라에너지,,제주특별자치도 제주시 조천읍 대흘리,33.4996730708526,126.662508048026,,정상가동,90.72,380,60,2007,,2007-01-05,,,2025-09-15
제주에너지 주식회사,,제주특별자치도 서귀포시 성산읍 신산리,33.3845207307071,126.873099010465,,정상가동,200.0,380,60,2008,,2007-02-21,,,2025-09-15
(주)도암엔지니어링건축사사무소,제주특별자치도 제주시 한경면 일주서로,,33.440071422183,126.283384085996,,정상가동,3.0,380,60,2007,,2007-02-21,,,2025-09-15
보타리에너지주식회사,,제주특별자치도 제주시 애월읍 봉성리,33.4069043545995,126.321452020111,,정상가동,30.0,380,60,2007,,2007-05-03,,,2025-09-15
화경 태양광발전소,,제주특별자치도 제주시 조천읍 대흘리,33.4996730708526,126.662508048026,,정상가동,45.36,380,60,2007,,2007-06-25,,,2025-09-15
레소토3발전소,,제주특별자치도 제주시 한경면 고산리,33.2916117743124,126.168933783656,,정상가동,98.4,380,60,2008,,2007-06-25,,,2025-09-15
레소토2발전소,,제주특별자치도 제주시 한경면 고산리,33.2916117743124,126.168933783656,,정상가동,180.0,380,60,2008,,2007-06-25,,,2025-09-15
번내태양광발전주식회사,,제주특별자치도 서귀포시 안덕면 화순리,33.2542241017072,126.335653612117,,정상가동,90.72,380,60,2008,,2007-12-14,,,2025-09-15
번내태양광발전주식회사,,제주특별자치도 서귀포시 안덕면 화순리,33.2542241017072,126.335653612117,,정상가동,194.0,380,60,2008,,2007-12-14,,,2025-09-15
제주태양에너지발전주식회사,제주특별자치도 서귀포시 성산읍 난고로,,33.4173531566145,126.890520531025,,정상가동,1000.0,22900,60,2009,,2007-12-26,,,2025-09-15
민솔라에너지,,제주특별자치도 제주시 조천읍 대흘리,33.4996730708526,126.662508048026,,정상가동,90.72,380,60,2011,,2007-12-28,,,2025-09-15
(유)케이엔디태양광발전소,,제주특별자치도 제주시 한경면 두모리,33.3513862471998,126.19060401053,,정상가동,80.0,380,60,2008,,2007-12-28,,,2025-09-15
한국중부발전(주),제주특별자치도 제주시 원당로,,33.5265070835526,126.59198142657,,정상가동,50.0,380,60,2008,,2007-12-31,,,2025-09-15
