태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
계룡쏠라파원태양광발전소,충청남도 계룡시 두마면 대실길 208,,,,기타,정상가동,5,380,60,2007,태양광발전사업용,2007-05-18,충청남도 계룡시,250,2025-06-19
일현태양광발전소,,충청남도 계룡시 금암동 223-11 ,,,기타,정상가동,29.9,380,60,2008,태양광발전사업용,2008-02-19,충청남도 계룡시,446,2025-06-19
뿌리태양광발전소,충청남도 계룡시 엄사면 번영8길 20-16,,,,옥외,정상가동,19.55,380,60,2010,태양광발전사업용,2010-05-03,충청남도 계룡시,148,2025-06-19
보문쏠라,충청남도 계룡시 두마면 왕대로 160,,,,옥외,정상가동,60,380,60,2014,태양광발전사업용,2014-02-13,충청남도 계룡시,675,2025-06-19
계룡태양광발전소,충청남도 계룡시 엄사면 배나무골길45,,,,기타,정상가동,41.58,380,60,2015,태양광발전사업용,2015-02-24,충청남도 계룡시,680,2025-06-19
무한대태양광발전소,충청남도 계룡시 엄사면 번영로 290,,,,옥외,정상가동,46.75,380,60,2016,태양광발전사업용,2015-10-28,충청남도 계룡시,295,2025-06-19
신세기태양광발전소,충청남도 계룡시 엄사면 번영3길57,,,,옥외,정상가동,91.71,380,60,2020,태양광발전사업용,2016-03-20,충청남도 계룡시,465,2025-06-19
우영태양광 발전소,충청남도 계룡시 엄사면 번영로77-1,,,,옥외,정상가동,18.72,380,60,2018,태양광발전사업용,2017-10-23,충청남도 계룡시,106,2025-06-19
SM태양광발전소,충청남도 계룡시 엄사면 번영8길 3-8,,,,옥외,정상가동,22.2,380,60,2019,태양광발전사업용,2019-05-14,충청남도 계룡시,162,2025-06-19
견우태양광발전소,충청남도 계룡시 두마면 왕대2길 22,,,,옥외,정상가동,25.92,380,60,2020,태양광발전사업용,2020-01-16,충청남도 계룡시,117,2025-06-19
한양태양광발전소,충청남도 계룡시 서금암로 10,,,,옥외,정상가동,99.68,380,60,2021,태양광발전사업용,2020-09-23,충청남도 계룡시,508,2025-06-19
홍산태양광발전소,충청남도 계룡시 엄사면 도곡로 48,,,,옥외,정상가동,99.45,380,60,2020,태양광발전사업용,2020-10-12,충청남도 계룡시,509,2025-06-19
마메든발전소,충청남도 계룡시 두마면 제1산단로40-7,,,,옥외,정상가동,29.92,380,60,2021,태양광발전사업용,2021-03-30,충청남도 계룡시,141,2025-06-19
대청솔라팜ENG2호 태양광발전소,충청남도 계룡시 두마면 입암길 66,,,,옥외,정상가동,99,380,60,2023,태양광발전사업용,2022-12-12,충청남도 계룡시,503,2025-06-19
진명태양광발전소,충청남도 계룡시 두마면 팥거리1길42-5,,,,옥외,정상가동,139.83,380,60,2024,태양광발전사업용,2023-01-17,충청남도 계룡시,697,2025-06-19
대청솔라팜ENG3호 태양광발전소,충청남도 계룡시 두마면 입암길 66,,,,옥외,정상가동,99,380,60,2023,태양광발전사업용,2023-02-27,충청남도 계룡시,594,2025-06-19
대청솔라팜ENG4호 태양광발전소,충청남도 계룡시 두마면 입암길 66,,,,옥외,정상가동,99,380,60,2023,태양광발전사업용,2023-02-27,충청남도 계룡시,503,2025-06-19
성신태양광발전소,충청남도 계룡시 계룡시 금암로149-5,,,,옥외,정상가동,29,380,60,2023,태양광발전사업용,2023-08-14,충청남도 계룡시,136,2025-06-19
상훈개발태양광발전소,충청남도 계룡시 두마면 팥거리로169,,,,옥외,정상가동,69.615,380,60,2024,태양광발전사업용,2023-08-14,충청남도 계룡시,340,2025-06-19
더�使쩐映ㅉ像紈�,충청남도 계룡시 두마면 팥거리로 176-4,,,,옥외,정상가동,19.965,380,60,2023,태양광발전사업용,2023-09-14,충청남도 계룡시,102,2025-06-19
신도시주유소연료전지발전소,충청남도 계룡시 엄사면 계룡대로465,,,,옥외,정상가동,330,380,60,2023,연료전지발전사업용,2023-09-14,충청남도 계룡시,86,2025-06-19
오성택태양광발전소,충청남도 계룡시 엄사면 양정향한길118,,,,옥외,정상가동,29.75,380,60,2024,태양광발전사업용,2023-12-08,충청남도 계룡시,141,2025-06-19
성원포장태양광발전소,충청남도 계룡시 엄사면 계백로3034-32,,,,옥외,정상가동,72.5,380,60,2024,태양광발전사업용,2024-02-27,충청남도 계룡시,305,2025-06-19
삼우태양광발전소,충청남도 계룡시 엄사면 배울길64,,,,옥외,정상가동,52.92,380,60,2024,태양광발전사업용,2024-03-12,충청남도 계룡시,237,2025-06-19
푸른 홈 태양광발전소,충청남도 계룡시 엄사면 번영로97,,,,옥외,정상가동,19.64,380,60,2024,태양광발전사업용,2024-03-14,충청남도 계룡시,91,2025-06-19
해련1호 태양광발전소,충청남도 계룡시 두마면 제1산단로40-29,,,,옥외,정상가동,93.87,380,60,2025,태양광발전사업용,2024-05-07,충청남도 계룡시,464,2025-06-19
해련2호 태양광발전소,충청남도 계룡시 두마면 제1산단로40-29,,,,옥외,정상가동,93.87,380,60,2025,태양광발전사업용,2024-05-07,충청남도 계룡시,464,2025-06-19
해련3호 태양광발전소,충청남도 계룡시 두마면 제1산단로40-29,,,,옥외,정상가동,93.24,380,60,2025,태양광발전사업용,2024-05-07,충청남도 계룡시,464,2025-06-19
상훈개발2호태양광발전소,충청남도 계룡시 두마면 팥거리로169,,,,옥외,정상가동,52.08,380,60,2025,태양광발전사업용,2024-05-27,충청남도 계룡시,230,2025-06-19
와이투아이태양광발전소,충청남도 계룡시 두마면 입암길76-42,,,,옥외,정상가동,99.54,380,60,2024,태양광발전사업용,2024-05-29,충청남도 계룡시,442,2025-06-19
해오름태양광발전소,충청남도 계룡시 두마면 왕대로 121,,,,옥외,정상가동,99.695,380,60,2024,태양광발전사업용,2024-09-12,충청남도 계룡시,442,2025-06-19
그리전력1호 태양광발전소,충청남도 계룡시 두마면 입암길76-33,,,,옥외,정상가동,99.695,380,60,2025,태양광발전사업용,2024-10-22,충청남도 계룡시,445,2025-06-19
그리전력2호 태양광발전소,충청남도 계룡시 두마면 입암길76-33,,,,옥외,정상가동,57.785,380,60,2025,태양광발전사업용,2024-10-22,충청남도 계룡시,232,2025-06-19
그리전력3호 태양광발전소,충청남도 계룡시 두마면 입암길76-33,,,,기타,정상가동,22.61,380,60,2024,태양광발전사업용,2024-10-22,충청남도 계룡시,1,2025-06-19
금산태양광발전소,충청남도 계룡시 두마면 연화동길18,,,,옥외,정상가동,48.125,380,60,2025,태양광발전사업용,2024-11-06,충청남도 계룡시,225,2025-06-19
금아공조1호 태양광발전소,충청남도 계룡시 두마면 제1산단로25-16,,,,옥외,정상가동,88.96,380,60,2025,태양광발전사업용,2024-12-13,충청남도 계룡시,390,2025-06-19
금아공조2호 태양광발전소,충청남도 계룡시 두마면 제1산단로25-16,,,,옥외,정상가동,88.96,380,60,2025,태양광발전사업용,2024-12-13,충청남도 계룡시,382,2025-06-19
금아공조3호 태양광발전소,충청남도 계룡시 두마면 제1산단로25-16,,,,옥외,정상가동,79.36,380,60,2025,태양광발전사업용,2024-12-13,충청남도 계룡시,340,2025-06-19
썬리치1호태양광발전소,충청남도 계룡시 엄사면 도곡로201,,,,옥외,정상가동,89.54,380,60,2025,태양광발전사업용,2025-01-09,충청남도 계룡시,391,2025-06-19
썬리치2호태양광발전소,충청남도 계룡시 엄사면 도곡로201,,,,옥외,정상가동,89.54,380,60,2025,태양광발전사업용,2025-01-09,충청남도 계룡시,391,2025-06-19
썬리치3호태양광발전소,충청남도 계룡시 엄사면 도곡로201,,,,옥외,정상가동,89.54,380,60,2025,태양광발전사업용,2025-01-09,충청남도 계룡시,391,2025-06-19
