태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
민재 태양광발전소,충청남도 금산군 추부면 하마전3길 23-6,,36.1939069014,127.4713427989,,정상가동,18.9,380,60,2025,,2024-11-12,,,2025-04-11
월송2호 태양광발전소,,"충청남도 금산군 진산면 부암리 239-5, 239-9",36.1428419927,127.3877372067,,정상가동,99.96,380,60,2025,,2023-02-23,,,2025-04-11
정원 태양광발전소,,"충청남도 금산군 진산면 부암리 239-5, 239-9",36.1428419927,127.3877372067,,정상가동,99.96,380,60,2025,,2023-02-23,,,2025-04-11
남이5호 태양광발전소,,충청남도 금산군 남이면 대양리 616-5,36.0366833641,127.4055506314,,정상가동,99.08,380,60,2025,,2024-01-23,,,2025-04-11
수통12호 태양광발전소,,충청남도 금산군 부리면 수통리 787,36.0627709095,127.587848562,,정상가동,28.89,380,60,2025,,2022-12-01,,,2025-04-11
진환 태양광발전소,,충청남도 금산군 금성면 도곡리 356-16,36.1134692912,127.4619993952,,정상가동,99.18,380,60,2025,,2022-05-26,,,2025-04-11
세움 태양광발전소,,충청남도 금산군 추부면 마전리 712-16,36.1923882435,127.4545325559,,정상가동,493,380,60,2025,,2021-10-07,,,2025-04-11
비례 태양광발전소,,충청남도 금산군 추부면 비례리 205-1,36.2021314842,127.4819085931,,정상가동,99.54,380,60,2025,,2024-11-11,,,2025-04-11
예람 태양광발전소,,충청남도 금산군 금산읍 중도리 209-6,36.108097614,127.4950564404,,정상가동,29.75,380,60,2025,,2022-11-03,,,2025-04-11
용화1리 마을회관 태양광발전소,,충청남도 금산군 제원면 용화리 392-1,36.0999112457,127.5843792294,,정상가동,11,220,60,2024,,2024-09-03,,,2025-04-11
박순용 태양광발전소,,충청남도 금산군 군북면 상곡리 904-1,36.2123822861,127.5663164424,,정상가동,25,220,60,2024,,2024-09-03,,,2025-04-11
혜숙 태양광발전소,,충청남도 금산군 복수면 구례리 98-6,36.211398995,127.382349317,,정상가동,99.2,380,60,2024,,2024-04-04,,,2025-04-11
마전 태양광발전소,,충청남도 금산군 추부면 마전리 424-10,36.1906595763,127.470828158,,정상가동,19.97,380,60,2024,,2024-04-24,,,2025-04-11
우진4호 태양광발전소,,충청남도 금산군 추부면 신평리 128-4,36.2246933268,127.507202681,,정상가동,52.5,380,60,2024,,2024-05-22,,,2025-04-11
우진3호 태양광발전소,,충청남도 금산군 추부면 신평리 128-4,36.2246933268,127.507202681,,정상가동,99.38,380,60,2024,,2024-05-22,,,2025-04-11
우진2호 태양광발전소,,"충청남도 금산군 추부면 신평리 128-1, 128-4",36.225136027,127.5064360145,,정상가동,99.38,380,60,2024,,2024-05-22,,,2025-04-11
우진1호 태양광발전소,,충청남도 금산군 추부면 신평리 128-1,36.225136027,127.5064360145,,정상가동,99.38,380,60,2024,,2024-05-22,,,2025-04-11
