태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
(주)우진솔라파워부여 태양광발전소,,"충청남도 부여군 세도면 화수리 9-5 ,91-1,91-3",36.1873467416,126.9606960313,,정상가동,486,380,60,2012,,2007-11-21,,,2025-11-30
(주)우진솔라파워후산 태양광발전소,충청남도 부여군 세도면 세도로 86-54,,36.17600596,126.9533037,,정상가동,480,380,60,2012,,2007-11-22,,,2025-11-30
장암 태양광발전소,충청남도 부여군 장암면 북고로 4-6,,36.21591115,126.9170335,,정상가동,920.04,22900,60,2007,,2007-12-26,,,2025-11-30
사산리 태양광발전소,충청남도 부여군 세도면 의자로 315-30,,36.2149133,126.9618232,,정상가동,990,380,60,2010,,2008-05-09,,,2025-11-30
석성 태양광발전소,"충청남도 부여군 석성면 왕릉로 371, 한국수자원공사충남중부권관리단",,36.27308789,126.9746908,,정상가동,176,380,60,2008,,2008-05-27,,,2025-11-30
어부동 태양광발전소,충청남도 부여군 세도면 세도로409번길 97,,36.19909597,126.9668071,,정상가동,99,380,60,2009,,2008-11-04,,,2025-11-30
오송 태양광발전소,,충청남도 부여군 세도면 반조원리 480-38,36.1977116976,126.9666826818,,정상가동,99,380,60,2009,,2008-12-29,,,2025-11-30
해솔 태양광발반소,"충청남도 부여군 홍산면 홍내로 246, 태양광시설",,36.24072164,126.7746588,,정상가동,198,380,60,2010,,2009-02-10,,,2025-11-30
한울 태양광발전소,"충청남도 부여군 홍산면 홍내로 246, 태양광시설",,36.24072164,126.7746588,,정상가동,198,380,60,2010,,2009-02-10,,,2025-11-30
더존 태양광발전소,,"충청남도 부여군 장암면 점상리 556-2 , 556-5, 582-2",36.2036825488,126.8349232177,,정상가동,198.4,22900,60,2010,,2009-05-07,,,2025-11-30
독도 태양광,충청남도 부여군 내산면 녹간로 11-44,,36.28810704,126.7700738,,정상가동,186.8,380,60,2010,,2009-09-10,,,2025-11-30
백두산 태양광발전소,충청남도 부여군 내산면 녹간로 11-44,,36.28810704,126.7700738,,정상가동,29.7,380,60,2012,,2009-09-10,,,2025-11-30
태극제약(주) 태양광발전소,충청남도 부여군 초촌면 금백로 821,,36.26903555,127.0180844,,정상가동,197.12,380,60,2010,,2010-02-08,,,2025-11-30
현진 태양광발전소,충청남도 부여군 초촌면 금백로 891,,36.27415384,127.0225094,,정상가동,197.76,380,60,2010,,2010-04-06,,,2025-11-30
더존2 태양광발전소,충청남도 부여군 장암면 덕림로398번길 76-9,,36.20368255,126.8349232,,정상가동,99,380,60,2011,,2010-10-26,,,2025-11-30
청송리 태양광발전소,충청남도 부여군 세도면 세도로17번길 9,,36.17100832,126.9453301,,정상가동,15.68,380,60,2011,,2011-04-12,,,2025-11-30
굿석성 태양광발전소,충청남도 부여군 석성면 금백로 254,,36.23012461,126.9985346,,정상가동,15,380,60,2012,,2012-07-27,,,2025-11-30
삼덕양행 태양광발전소,충청남도 부여군 구룡면 동방로84번길 13-5,,36.23341999,126.8096862,,정상가동,15,380,60,2013,,2012-08-16,,,2025-11-30
양촌 태양광발전소,충청남도 부여군 석성면 석성로106번길 8,,36.22284723,126.9917271,,정상가동,13,380,60,2013,,2012-08-20,,,2025-11-30
한국농어촌공사부여지사청포 태양광발전소,충청남도 부여군 세도면 다근로86번길 78,,36.16797632,126.9288931,,정상가동,65.4,380,60,2013,,2012-12-11,,,2025-11-30
한국농어촌공사부여지사 청포배수장 태양광발전소,,"충청남도 부여군 세도면 간대리 262-1 , 262-2, 262-8, 264",36.1583759304,126.9499381362,,정상가동,65.4,380,60,2013,,2012-12-11,,,2025-11-30
한국농어촌공사부여지사 칠산3배수장 태양광발전소,,"충청남도 부여군 임천면 칠산리 730-7 , 730-8, 730-9, 730-10",36.1521925228,126.9033937504,,정상가동,52.32,380,60,2013,,2012-12-11,,,2025-11-30
오성농장3호 태양광발전소,충청남도 부여군 장암면 사동로태동3길 93,,36.21321254,126.9248779,,정상가동,99,380,60,2013,,2013-03-05,,,2025-11-30
오성농장2호 태양광발전소,충청남도 부여군 장암면 사동로태동3길 93,,36.21321254,126.9248779,,정상가동,99,380,60,2013,,2013-03-05,,,2025-11-30
오성농장1호 태양광발전소,충청남도 부여군 장암면 사동로태동3길 93,,36.21321254,126.9248779,,정상가동,99,380,60,2013,,2013-03-05,,,2025-11-30
원부 태양광발전소,충청남도 부여군 세도면 망개남로 22-28,,36.15997496,126.9772601,,정상가동,19,380,60,2013,,2013-06-25,,,2025-11-30
태광에너지 태양광발전소,충청남도 부여군 규암면 라복로 22-4,,36.28306661,126.8716128,,정상가동,99.36,380,60,2013,,2013-08-14,,,2025-11-30
션샤인 태양광발전소,충청남도 부여군 임천면 만가로 188-63,,36.18033909,126.8741332,,정상가동,99,380,60,2013,,2013-08-19,,,2025-11-30
태광에너지2호 태양광발전소,충청남도 부여군 은산면 합수로 112,,36.29677828,126.8062459,,정상가동,99,380,60,2013,,2013-08-23,,,2025-11-30
청포 태양광발전소,충청남도 부여군 세도면 부흥로750번길 26,,36.16454203,126.9625759,,정상가동,19.5,380,60,2013,,2013-09-24,,,2025-11-30
지열 태양광발전소,충청남도 부여군 홍산면 상천로111번길 6,,36.2349653,126.767061,,정상가동,99,380,60,2013,,2013-10-28,,,2025-11-30
(주)양화 태양광발전소,충청남도 부여군 양화면 오초로172번길 71,,36.15284278,126.8612162,,정상가동,999,22900,60,2014,,2013-12-02,,,2025-11-30
칠산1호 태양광발전소,충청남도 부여군 임천면 부흥로 148,,36.16138846,126.9029451,,정상가동,651.7,380,60,2014,,2014-01-16,,,2025-11-30
풍영태양광발전소,,충청남도 부여군 세도면 수고리 768번지 3호,,,,정상가동,498,380,60,2015,,2014-01-16,,,2025-11-30
기범 태양광발전소,충청남도 부여군 세도면 청송로 137,,36.17722826,126.9593226,,정상가동,85,380,60,2017,,2014-01-27,,,2025-11-30
조수보연태양광발전소,,충청남도 부여군 세도면 청송리 35번지 43호,,,,정상가동,99,380,60,2016,,2014-01-27,,,2025-11-30
마이클3태양광발전소,,충청남도 부여군 세도면 청송리 35번지 47호,,,,정상가동,99,380,60,2016,,2014-01-27,,,2025-11-30
국태양광발전소,,충청남도 부여군 세도면 청송리 35번지 27호,,,,정상가동,99,380,60,2015,,2014-01-27,,,2025-11-30
오름3태양광발전소,,"충청남도 부여군 세도면 청송리 35-30 , 35-32, 35-53",36.1771667878,126.9577267318,,정상가동,99,380,60,2015,,2014-01-27,,,2025-11-30
오름2태양광발전소,,"충청남도 부여군 세도면 청송리 35번지 31호 ,35-3",,,,정상가동,99,380,60,2015,,2014-01-27,,,2025-11-30
오름1태양광발전소,,충청남도 부여군 세도면 청송리 35-23,36.1774992323,126.9579581015,,정상가동,99,380,60,2015,,2014-01-27,,,2025-11-30
썬파워3태양광발전소,,충청남도 부여군 세도면 청송리 35번지 34호,,,,정상가동,99,380,60,2017,,2014-01-27,,,2025-11-30
썬파워2 태양광발전소,,"충청남도 부여군 세도면 청송리 35번지 33호 ,57",,,,정상가동,99,380,60,2016,,2014-01-27,,,2025-11-30
썬파워1 태양광발전소,,충청남도 부여군 세도면 청송리 35번지 24호,,,,정상가동,99,380,60,2016,,2014-01-27,,,2025-11-30
영민2태양광발전소,,"충청남도 부여군 세도면 청송리 35번지 28호 , 35-62",,,,정상가동,99,380,60,2015,,2014-01-27,,,2025-11-30
영민1태양광발전소,,"충청남도 부여군 세도면 청송리 35번지 28호 , 35-62",,,,정상가동,99,380,60,2015,,2014-01-27,,,2025-11-30
마이클1태양광발전소,,충청남도 부여군 세도면 청송리 35번지 41호,,,,정상가동,99,380,60,2015,,2014-01-27,,,2025-11-30
행복태양광발전소,,"충청남도 부여군 세도면 청송리 35번지 60호 , 35-22",,,,정상가동,99,380,60,2015,,2014-01-27,,,2025-11-30
형통태양광2호발전소,,"충청남도 부여군 양화면 시음리 328 , 337-2",36.0793533707,126.859469999,,정상가동,99,380,60,2015,,2014-01-27,,,2025-11-30
햇빛4 태양광발전소,충청남도 부여군 세도면 청송로 137,,36.17722826,126.9593226,,정상가동,99,380,60,2016,,2014-01-29,,,2025-11-30
윤태양광발전소,,충청남도 부여군 세도면 청송리 35번지 37호,,,,정상가동,99,380,60,2015,,2014-01-29,,,2025-11-30
윤행태양광발전소,,충청남도 부여군 세도면 청송리 35번지 36호,,,,정상가동,99,380,60,2015,,2014-01-29,,,2025-11-30
햇빛2태양광발전소,,충청남도 부여군 세도면 청송리 35번지 38호,,,,정상가동,99,380,60,2015,,2014-01-29,,,2025-11-30
참진3 태양광발전소,충청남도 부여군 세도면 청송로 137,,36.17722826,126.9593226,,정상가동,396,380,60,2016,,2014-02-03,,,2025-11-30
광익2 태양광발전소,,"충청남도 부여군 세도면 청송리 35-50 , 35-51, 35-63, 35-76, 35-77, 35-78, 산35-81",36.1758333236,126.9583713698,,정상가동,396.9,380,60,2016,,2014-02-03,,,2025-11-30
윤정 태양광발전소,,충청남도 부여군 세도면 청송리 35-4 외 13필지,,,,정상가동,396.9,380,60,2016,,2014-02-03,,,2025-11-30
현주태양광발전소,,충청남도 부여군 세도면 청송리 35번지 35호,,,,정상가동,99,380,60,2015,,2014-02-03,,,2025-11-30
건영태양광발전소,,충청남도 부여군 세도면 청송리 35번지 20호,,,,정상가동,49.5,380,60,2015,,2014-02-03,,,2025-11-30
창조태양광발전소,,"충청남도 부여군 세도면 청송리 35번지 40호 , 35-55",,,,정상가동,99,380,60,2015,,2014-02-03,,,2025-11-30
한울에너지,,충청남도 부여군 세도면 청송리 35번지 18호,,,,정상가동,99,380,60,2015,,2014-02-03,,,2025-11-30
대명2호,충청남도 부여군 규암면 흥수로 514-1,,36.26105585,126.843570,,정상가동,50,380,60,2014,,2014-03-17,,,2025-11-30
대명1 태양광발전소,,"충청남도 부여군 규암면 노화리 348번지 , 349, 349-1, 349-2",,,,정상가동,99,380,60,2014,,2014-03-17,,,2025-11-30
하늘1호,충청남도 부여군 임천면 만가로 188-57,,36.17997385,126.8738099,,정상가동,28,380,60,2014,,2014-03-25,,,2025-11-30
에덴,충청남도 부여군 규암면 왕흥로 88,,36.29002236,126.8837766,,정상가동,70,380,60,2014,,2014-03-26,,,2025-11-30
은영,충청남도 부여군 임천면 위덕로47번길 63-37,,36.22071029,126.8889895,,정상가동,99.11,380,60,2014,,2014-04-01,,,2025-11-30
윤창,충청남도 부여군 임천면 위덕로47번길 63-33,,36.22043201,126.888901,,정상가동,99.11,380,60,2014,,2014-04-01,,,2025-11-30
연호,충청남도 부여군 임천면 위덕로47번길 63-41,,36.22106136,126.8889479,,정상가동,93.28,380,60,2014,,2014-04-01,,,2025-11-30
남한컨설팅,충청남도 부여군 세도면 부흥로966번길 10,,36.16246327,126.9838124,,정상가동,97.2,380,60,2014,,2014-04-01,,,2025-11-30
안암컨설팅,충청남도 부여군 세도면 부흥로966번길 10,,36.16246327,126.9838124,,정상가동,97.2,380,60,2014,,2014-04-04,,,2025-11-30
썬스카이,충청남도 부여군 임천면 위덕로47번길 63-31,,36.22024982,126.8888382,,정상가동,99.11,380,60,2014,,2014-04-07,,,2025-11-30
선진,충청남도 부여군 임천면 위덕로47번길 63-39,,36.22088216,126.8890032,,정상가동,99.11,380,60,2014,,2014-04-07,,,2025-11-30
반석,충청남도 부여군 임천면 위덕로47번길 63-29,,36.2201019,126.8886149,,정상가동,81.62,380,60,2014,,2014-04-07,,,2025-11-30
규암,충청남도 부여군 규암면 자온로 68,,36.27418784,126.8873018,,정상가동,18,380,60,2014,,2014-04-14,,,2025-11-30
스카이,충청남도 부여군 양화면 상시로 51,,36.08093889,126.854356,,정상가동,29.16,380,60,2014,,2014-04-14,,,2025-11-30
제이지부여,충청남도 부여군 양화면 충절로310번길 133,,36.12684723,126.8762935,,정상가동,99,380,60,2014,,2014-04-14,,,2025-11-30
제이에스,충청남도 부여군 양화면 충절로310번길 133,,36.12684723,126.8762935,,정상가동,99,380,60,2014,,2014-04-14,,,2025-11-30
E&C INDUS,충청남도 부여군 양화면 충절로310번길 133,,36.12684723,126.8762935,,정상가동,49.5,380,60,2014,,2014-04-14,,,2025-11-30
허브,충청남도 부여군 충화면 충신로523번길 20,,36.14666564,126.8175784,,정상가동,99.84,380,60,2014,,2014-04-16,,,2025-11-30
