태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
애정리1구대동회 태양광발전2호발전소,,충청남도 서산시 인지면 애정리 432-2,36.73791792,126.4170458,,정상가동,19.04,380,60,2025,,2025-04-16,충청남도 서산시청,,2025-06-17
용운태양광발전소,,충청남도 서산시 대산읍 영탑리 20-9,36.90667782,126.4600022,,정상가동,99.2,380,60,2025,,2025-04-14,충청남도 서산시청,,2025-06-17
찬수2호태양광발전소,,충청남도 서산시 대산읍 영탑리 20-9,36.90667782,126.4600022,,정상가동,99.2,380,60,2025,,2025-04-14,충청남도 서산시청,,2025-06-17
혜정태양광발전소,,충청남도 서산시 대산읍 영탑리 20-9,36.90667782,126.4600022,,정상가동,99.2,380,60,2025,,2025-04-14,충청남도 서산시청,,2025-06-17
명인태양광발전소,,충청남도 서산시 대산읍 영탑리 20-9,36.90667782,126.4600022,,정상가동,99.2,380,60,2025,,2025-04-14,충청남도 서산시청,,2025-06-17
화태태양광발전소,,충청남도 서산시 대산읍 영탑리 20-9,36.90667782,126.4600022,,정상가동,99.2,380,60,2025,,2025-04-14,충청남도 서산시청,,2025-06-17
한봉태양광발전소,,충청남도 서산시 대산읍 영탑리 20-9,36.90667782,126.4600022,,정상가동,99.2,380,60,2025,,2025-04-14,충청남도 서산시청,,2025-06-17
하늘나라조경산업태양광발전소,,충청남도 서산시 부석면 강수리 360,36.75546062,126.3860445,,정상가동,30.16,380,60,2025,,2025-04-07,충청남도 서산시청,,2025-06-17
썬태양광발전,,충청남도 서산시 팔봉면 흑석리 878-26,,,,정상가동,99.41,380,60,2025,,2025-04-07,충청남도 서산시청,,2025-06-17
수등태양광발전소,,충청남도 서산시 부석면 가사리 1271,36.74284476,126.3427758,,정상가동,29.85,380,60,2025,,2025-04-02,충청남도 서산시청,,2025-06-17
서산중왕3태양광발전소,,충청남도 서산시 지곡면 중왕리 441-8,36.87608265,126.3729324,,정상가동,998.4,22900,60,2025,,2025-03-26,충청남도 서산시청,,2025-06-17
서산중왕2태양광발전소,,충청남도 서산시 지곡면 중왕리 441-8,36.87608265,126.3729324,,정상가동,998.4,22900,60,2025,,2025-03-26,충청남도 서산시청,,2025-06-17
서산중왕1태양광발전소,,충청남도 서산시 지곡면 중왕리 441-8,36.87608265,126.3729324,,정상가동,998.4,22900,60,2025,,2025-03-26,충청남도 서산시청,,2025-06-17
빅토리아발전소,,충청남도 서산시 팔봉면 호리 345,36.83753585,126.3327949,,정상가동,33.66,380,60,2025,,2025-03-21,충청남도 서산시청,,2025-06-17
누림태양광발전소,,충청남도 서산시 팔봉면 호리 345-2,,,,정상가동,24.12,380,60,2025,,2025-03-21,충청남도 서산시청,,2025-06-17
단비태양광발전소,,충청남도 서산시 팔봉면 호리 345-4,,,,정상가동,34.29,380,60,2025,,2025-03-21,충청남도 서산시청,,2025-06-17
