태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
썬파워,,충청남도 서천군 한산면 송산리 37번지,,,옥외,정상가동,98.4,380,60,2020,,2019-07-05,충청남도 서천군청,,2025-12-10
청균,,충청남도 서천군 화양면 봉명리 7외 15필지,,,옥상,정상가동,86.87,380,60,2020,,2019-11-18,충청남도 서천군청,,2025-12-10
월리1호,,충청남도 서천군 서면 월리 산30-2,,,옥외,정상가동,453.64,380,60,2020,,2018-09-21,충청남도 서천군청,,2025-12-10
혁호,,충청남도 서천군 한산면 호암리 147-11,36.0903964678,126.8007421274,옥상,정상가동,29.25,380,60,2020,,2020-03-13,충청남도 서천군청,,2025-12-10
화성2,,충청남도 서천군 서천읍 화성리 201-2,36.10802393,126.7023533,옥상,정상가동,98.55,380,60,2020,,2019-09-30,충청남도 서천군청,,2025-12-10
백OO,,충청남도 서천군 시초면 태성리 319-2 320-1,,,옥상,정상가동,19.92,380,60,2020,,2019-10-25,충청남도 서천군청,,2025-12-10
서천4호,,"충청남도 서천군 서면 원두리 485-119, 210-118, 209-117, 208-116, 207-3-152",36.1732481512,126.5873719553,옥외,정상가동,297.84,380,60,2020,,2018-12-03,충청남도 서천군청,,2025-12-10
서천5호,,충청남도 서천군 서면 원두리 485-207,36.1728195543,126.5908755179,옥외,정상가동,499.32,380,60,2020,,2018-12-03,충청남도 서천군청,,2025-12-10
서면,,충청남도 서천군 서면 원두리 485-138,36.1728537362,126.5922568805,옥외,정상가동,78.84,380,60,2020,,2018-12-03,충청남도 서천군청,,2025-12-10
서천1-3호,,충청남도 서천군 서면 원두리 485-145,36.1738912173,126.5920704692,옥외,정상가동,190.485,380,60,2020,,2019-12-03,충청남도 서천군청,,2025-12-10
서천4-1호,,충청남도 서천군 서면 원두리 485-119,36.1732481512,126.5873719553,옥외,정상가동,197.54,380,60,2020,,2019-12-03,충청남도 서천군청,,2025-12-10
서천4-2호,,충청남도 서천군 서면 원두리 485-139,36.1725866215,126.5928330593,옥외,정상가동,49.8,380,60,2020,,2019-12-03,충청남도 서천군청,,2025-12-10
필 태양광발전소 1호,,충청남도 서천군 장항읍 옥산리 378번지,,,옥상,정상가동,77.7,380,60,2020,,2020-04-22,충청남도 서천군청,,2025-12-10
필 태양광발전소 2호,,충청남도 서천군 장항읍 옥산리 378번지,,,옥상,정상가동,77.7,380,60,2020,,2020-04-22,충청남도 서천군청,,2025-12-10
