태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
영창1호,충청남도 아산시 도고면 도고산로 309,충청남도 아산시 도고면 도산리 77-2,36.7289100569327,126.917161593308,,정상가동,49.14,380,60,2014,,,,,2024-08-31
영창2호,충청남도 아산시 도고면 도고산로 309,충청남도 아산시 도고면 도산리 77-2,36.7289100569327,126.917161593308,,정상가동,18.72,380,60,2014,,,,,2024-08-31
이○○,충청남도 아산시 염치읍 산양길30번길 30,충청남도 아산시 염치읍 산양리 132-4,36.8275084832875,126.92411150964,,정상가동,20.0,380,60,2014,,,,,2024-08-31
한아름,충청남도 아산시 영인면 신봉길 271-36,충청남도 아산시 영인면 신봉리 1049,36.9030024531052,126.994289568343,,정상가동,99.0,380,60,2014,,,,,2024-08-31
호서,충청남도 아산시 배방읍 호서로 67-6,충청남도 아산시 배방읍 세출리 232-1,36.7395486462898,127.077583943478,,정상가동,30.0,380,60,2014,,,,,2024-08-31
선장,충청남도 아산시 선장면 선장로 49,충청남도 아산시 선장면 군덕리 636,36.7834214930158,126.86204487133,,정상가동,63.6,380,60,2014,,,,,2024-08-31
한우물,충청남도 아산시 둔포면 신남동길 67,충청남도 아산시 둔포면 신남리 386-4,36.9150271039338,127.00422216772,,정상가동,19.0,380,60,2014,,,,,2024-08-31
㈜농협네트웍스아산,충청남도 아산시 인주면 현대로1029번길 19,충청남도 아산시 인주면 금성리 73,36.8452298553016,126.877223097593,,정상가동,97.47,380,60,2014,,,,,2024-08-31
T3밸리,충청남도 아산시 둔포면 아산밸리북로 111-42,충청남도 아산시 둔포면 석곡리 1335,36.9317387280236,127.06130460724,,정상가동,483.0,380,60,2014,,,,,2024-08-31
한성에너지1호,충청남도 아산시 둔포면 아산밸리로 337,충청남도 아산시 둔포면 석곡리 1557,36.9119537483484,127.063900138452,,정상가동,99.45,380,60,2014,,,,,2024-08-31
한성에너지2호,충청남도 아산시 둔포면 아산밸리로 337,충청남도 아산시 둔포면 석곡리 1557,36.9119537483484,127.063900138452,,정상가동,99.45,380,60,2014,,,,,2024-08-31
