태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
우리주유소 태양광발전소,"충청남도 천안시 동남구 풍세로 907, 동신주유소 (다가동)",,,,,정상가동,5,380,60,2006,,,,,2024-09-04
풍임 태양광발전소,"충청남도 천안시 동남구 터미널2로 41, 송덕빌딩 (신부동)",,,,,정상가동,20,380,60,2007,,,,,2024-09-04
병천 태양광발전소,,충청남도 천안시 동남구 병천면 탑원리 산 14,,,,정상가동,96,380,60,2008,,,,,2024-09-04
세보 태양광발전소,,충청남도 천안시 동남구 목천읍 교천리 48 2호,,,,정상가동,500,380,60,2008,,,,,2024-09-04
영일 태양광발전소,,충청남도 천안시 동남구 수신면 백자리 산 36,,,,정상가동,1000,380,60,2008,,,,,2024-09-04
햇살가득 태양광발전소,충청남도 천안시 서북구 성환읍 매주3길 74-11,,,,,정상가동,10,380,60,2009,,,,,2024-09-04
(주)혜인에너지천안 태양광발전소,"충청남도 천안시 서북구 2공단5로 23, (주)혜인 (차암동)",,,,,정상가동,97.2,380,60,2009,,,,,2024-09-04
롯데쇼핑(주) 성정점 태양광발전소,"충청남도 천안시 서북구 성정두정로 1, 롯데마트 성정점 (성정동)",,,,,정상가동,98.28,380,60,2010,,,,,2024-09-04
안성유리공업(주)태양광발전소,"충청남도 천안시 서북구 입장면 성진로 1105, 안성유리공업(주)",,,,,정상가동,178.02,22900,60,2010,,,,,2024-09-04
케이씨글라스(주) 태양광발전소,,충청남도 천안시 서북구 입장면 도림리 330,,,,정상가동,178.02,380,60,2010,,,,,2024-09-04
동산식품 태양광발전소,"충청남도 천안시 동남구 북면 동평3길 16, 동산민속식품",,,,,정상가동,28.98,380,60,2011,,,,,2024-09-04
천공 태양광발전소,충청남도 천안시 서북구 성거읍 소댕이3길 9,,,,,정상가동,26.46,380,60,2011,,,,,2024-09-04
소담2호 태양광발전소,충청남도 천안시 동남구 향교1길 135(유량동),,,,,정상가동,9.66,380,60,2011,,,,,2024-09-04
소담1호 태양광발전소,"충청남도 천안시 동남구 향교5길 47, 한마루푸드 (유량동)",,,,,정상가동,15.64,380,60,2011,,,,,2024-09-04
서원농장 태양광발전소,"충청남도 천안시 서북구 성환읍 부송로 43-25, 서원농장",,,,,정상가동,347.76,380,60,2011,,,,,2024-09-04
율금 태양광발전소,충청남도 천안시 서북구 성환읍 율금9길 90,,,,,정상가동,30,380,60,2012,,,,,2024-09-04
정2호 태양광발전소,충청남도 천안시 동남구 광덕면 쇳골길 14,,,,,정상가동,27,380,60,2012,,,,,2024-09-04
정1호 태양광발전소,충청남도 천안시 동남구 광덕면 쇳골길 14,,,,,정상가동,50,380,60,2012,,,,,2024-09-04
박귀남 태양광발전소,충청남도 천안시 동남구 목천읍 동평8길 40,,,,,정상가동,9,380,60,2012,,,,,2024-09-04
안고시 태양광발전소,충청남도 천안시 동남구 북면 명덕1길 309,,,,,정상가동,9,380,60,2012,,,,,2024-09-04
순흥 태양광발전소,충청남도 천안시 서북구 입장면 석재길 17-29,,,,,정상가동,25.5,380,60,2012,,,,,2024-09-04
천안 태양광발전소(주)추모공원 태양광발전소,"충청남도 천안시 동남구 광덕면 밤나무골길 38, 천안추모공원",,,,,정상가동,219.24,380,60,2012,,,,,2024-09-04
천안 태양광발전소(주)용곡정수장배수지 태양광발전소,,충청남도 천안시 동남구 용곡동 산 13 21호 외 2필지,,,,정상가동,93.96,380,60,2012,,,,,2024-09-04
천안 태양광발전소(주)안서신배수지 태양광발전소,충청남도 천안시 동남구 안서1길 45(안서동),,,,,정상가동,93.96,380,60,2012,,,,,2024-09-04
천안 태양광발전소(주)재활용선별장 태양광발전소,"충청남도 천안시 서북구 백석공단1로 97-29, 천안시재활용기반시설 (백석동)",,,,,정상가동,219.24,380,60,2012,,,,,2024-09-04
해뜨는 언덕 태양광발전소,충청남도 천안시 서북구 서부14길 54(성정동),,,,,정상가동,18.9,380,60,2012,,,,,2024-09-04
남산블루베리 태양광발전소,충청남도 천안시 서북구 성거읍 보명사길 79,,,,,정상가동,11.25,380,60,2012,,,,,2024-09-04
민영 태양광발전소,충청남도 천안시 서북구 성환읍 연암로 149,,,,,정상가동,60,380,60,2012,,,,,2024-09-04
학교법인북일학원 태양광발전소,"충청남도 천안시 동남구 단대로 69, 북일고등학교 (신부동)",,,,,정상가동,93.96,380,60,2012,,,,,2024-09-04
학교법인북일학원 태양광발전소,,충청남도 천안시 동남구 신부동 산 11 1호,,,,정상가동,93.96,380,60,2012,,,,,2024-09-04
(주)디티솔라 태양광발전소,"충청남도 천안시 서북구 직산읍 직산로 136, (재)충남테크노파크천안밸리",,,,,정상가동,500.32,380,60,2013,,,,,2024-09-04
권예진2호 태양광발전소,"충청남도 천안시 서북구 다가말3길 20, 권이빌딩 (쌍용동)",,,,,정상가동,20,380,60,2013,,,,,2024-09-04
용마 태양광발전소,"충청남도 천안시 동남구 풍세면 태학산로 73, 용마산업",,,,,정상가동,59.5,380,60,2013,,,,,2024-09-04
권재운 태양광발전소,"충청남도 천안시 서북구 다가말3길 20, 권이빌딩 (쌍용동)",,,,,정상가동,20,380,60,2013,,,,,2024-09-04
발산리 태양광발전소,충청남도 천안시 동남구 수신면 발산5길 123-1,,,,,정상가동,9.56,380,60,2013,,,,,2024-09-04
대평리1호 태양광발전소,충청남도 천안시 동남구 북면 대평4길 149,,,,,정상가동,20,220,60,2013,,,,,2024-09-04
대평리1호 태양광발전소,충청남도 천안시 동남구 북면 대평4길 149,,,,,정상가동,20,380,60,2013,,,,,2024-09-04
응원 태양광발전소,,"충청남도 천안시 동남구 목천읍 응원리 산 51번지 1호 , 253-5(2필지)",,,,정상가동,486,22900,60,2013,,,,,2024-09-04
응원 태양광발전소,,"충청남도 천안시 동남구 목천읍 응원리 산 51 1호,253-5(2필지)",,,,정상가동,486,380,60,2013,,,,,2024-09-04
한국수자원공사 천안 태양광발전소,,충청남도 천안시 동남구 풍세면 두남리 32-3외 31필지,,,,정상가동,655.2,22900,60,2013,,,,,2024-09-04
(주)두원천안공장 태양광발전소,"충청남도 천안시 서북구 천안대로 947-12, 두원냉기(주) (두정동)",,,,,정상가동,84.8,380,60,2013,,,,,2024-09-04
하이스부동산관리(주)하이스 태양광발전소,"충청남도 천안시 서북구 두정상가8길 30(두정동, 하이스타운)",,,,,정상가동,78,380,60,2013,,,,,2024-09-04
대륙 태양광발전소,충청남도 천안시 서북구 노태산로 98(두정동),,,,,정상가동,19.5,380,60,2013,,,,,2024-09-04
권예진3호 태양광발전소,"충청남도 천안시 서북구 다가말3길 20, 권이빌딩 (쌍용동)",,,,,정상가동,10,380,60,2013,,,,,2024-09-04
권재운2호 태양광발전소,"충청남도 천안시 서북구 다가말3길 20, 권이빌딩 (쌍용동)",,,,,정상가동,10,380,60,2013,,,,,2024-09-04
국제건설조명 태양광발전소,,충청남도 천안시 서북구 직산읍 남산리 370-45,,,,정상가동,80,380,60,2013,,,,,2024-09-04
둥지1 태양광발전소,"충청남도 천안시 서북구 두정중9길 15, 둥지빌딩 (두정동)",,,,,정상가동,19,380,60,2013,,,,,2024-09-04
주목촌 태양광발전소,"충청남도 천안시 서북구 성환읍 성환11길 2, 하나은행",,,,,정상가동,40,380,60,2014,,,,,2024-09-04
가산리동원 태양광발전소,충청남도 천안시 서북구 입장면 연곡길 354,,,,,정상가동,99.11,380,60,2014,,,,,2024-09-04
황금 태양광발전소,충청남도 천안시 서북구 성거읍 망향로 509,,,,,정상가동,45.5,380,60,2014,,,,,2024-09-04
