태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
서민행복7호 태양광발전소,,충청남도 태안군 안면읍 중장리 425-52(1필지),36.4740554991575,126.402133607128,기타,정상가동,498.0,380,60,2015,발전사업용,2014-04-15,충청남도 태안군,,2024-10-02
희망태양광발전소,,충청남도 태안군 안면읍 창기리 407-33외1필지(건물),,,옥상,정상가동,97.2,380,60,2014,발전사업용,2014-05-13,충청남도 태안군,,2024-10-02
안면태양광발전소,,충청남도 태안군 안면읍 창기리 1253(1필지),36.5771264469203,126.323568015982,기타,정상가동,30.0,380,60,2014,발전사업용,2014-05-13,충청남도 태안군,,2024-10-02
태인태양광발전소,,충청남도 태안군 안면읍 정당리 175-16(1필지)-건물위,36.5577902503907,126.373793810128,옥상,정상가동,96.0,380,60,2015,발전사업용,2014-05-30,충청남도 태안군,,2024-10-02
해승태양광발전소,,충청남도 태안군 안면읍 정당리 175-21(1필지),36.5565340459531,126.374682112879,기타,정상가동,199.8,380,60,2015,발전사업용,2014-05-30,충청남도 태안군,,2024-10-02
영전1호태양광발전소,,충청남도 태안군 소원면 영전리 284-17(1필지),36.7776123253977,126.206710862978,기타,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전2호태양광발전소,,충청남도 태안군 소원면 영전리 284-18(1필지)-건물2동,36.7774305023817,126.206726962779,옥상,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전3호태양광발전소,,"충청남도 태안군 소원면 영전리 284-21(1필지, 건물2동)",36.7771456988432,126.206231876001,옥상,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전4호태양광발전소,,충청남도 태안군 소원면 영전리 284-20(1필지),36.7771766515188,126.206643886707,기타,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전5호태양광발전소,,"충청남도 태안군 소원면 영전리 284-19(1필지, 건물2동)",36.7771864689174,126.207021614618,옥상,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전6호태양광발전소,,충청남도 태안군 소원면 영전리 284-23(1필지),36.776888966409,126.206324695595,기타,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전7호태양광발전소,,충청남도 태안군 소원면 영전리 284-24(1필지),36.7767145250369,126.206366707512,기타,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전8호태양광발전소,,충청남도 태안군 소원면 영전리 284-25(1필지),36.776817201053,126.206994502304,기타,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전9호태양광발전소,,충청남도 태안군 소원면 영전리 284-26(1필지),36.7765821054471,126.206886253433,기타,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전10호태양광발전소,,충청남도 태안군 소원면 영전리 284-27(1필지),36.776402078756,126.206725799046,기타,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전11호태양광발전소,,충청남도 태안군 소원면 영전리 284-29(1필지),36.7762679352159,126.207068041192,기타,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
영전12호태양광발전소,,충청남도 태안군 소원면 영전리 284-28(1필지),36.7761134545972,126.206779179615,기타,정상가동,99.11,380,60,2014,발전사업용,2014-06-18,충청남도 태안군,,2024-10-02
장대2리태양광발전소,,충청남도 태안군 원북면 장대리 64-2(1필지),36.7871204171299,126.248615053078,기타,정상가동,39.6,380,60,2015,발전사업용,2014-07-04,충청남도 태안군,,2024-10-02
세종산업(주)태양광발전소,,충청남도 태안군 안면읍 정당리 1130-4(1필지),36.5558878809863,126.34063306855,기타,정상가동,496.62,380,60,2016,발전사업용,2014-08-06,충청남도 태안군,,2024-10-02
유성개발(주)태양광발전소,,충청남도 태안군 안면읍 정당리 1130-11(1필지),36.5530620244575,126.339412935737,기타,정상가동,496.62,380,60,2016,발전사업용,2014-08-06,충청남도 태안군,,2024-10-02
태광태양광발전소,,충청남도 태안군 태안읍 남산리 609-3(1필지),36.7365870405015,126.282672506258,기타,정상가동,93.96,380,60,2016,발전사업용,2014-08-28,충청남도 태안군,,2024-10-02
승광태양광발전소,,충청남도 태안군 태안읍 남산리 609(1필지),36.7367571677281,126.28286673699,기타,정상가동,64.26,380,60,2016,발전사업용,2014-08-28,충청남도 태안군,,2024-10-02
