태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
이민철 태양광발전소,충청남도 홍성군 홍성읍 월산로50번길 35,,36.6013294399617,126.647264319453,,정상가동,29.75,380,60,2024,태양광,2024-06-10,충청남도 홍성군,,2025-02-07
평환 태양광발전소,,"충청남도 홍성군 금마면 장성리 249-3, 249-5, 249-6, 249-8, 249-21 주2동, 주3동, 주4동",36.59605268,126.6979632,,정상가동,99.71,380,60,2024,태양광,2024-06-04,충청남도 홍성군,,2025-02-07
나무나무8호 태양광발전소,,"충청남도 홍성군 광천읍 상정리 392, 386-2, 387-3, 392-3, 392-4, 392-7, 396-15 부3동(건물위)",36.51548014,126.6104599814,,정상가동,29.76,380,60,2024,태양광,2024-04-26,충청남도 홍성군,,2025-02-07
나무나무7호 태양광발전소,,"충청남도 홍성군 광천읍 상정리 392, 386-2, 387-3, 392-3, 392-4, 392-7, 396-15 부3동(건물위)",36.51548014,126.6104599814,,정상가동,99.2,380,60,2024,태양광,2024-04-26,충청남도 홍성군,,2025-02-07
그린2호 태양광발전소,"충청남도 홍성군 금마면 충서로1955번길 52-56, 주5동(건물위)",,36.6193135811089,126.704648786061,,정상가동,99.38,380,60,2024,태양광,2024-04-04,충청남도 홍성군,,2025-02-07
나무나무6호 태양광발전소,,"충청남도 홍성군 광천읍 상정리 392, 392-3, 392-4, 392-7, 396-15 부2동(건물위)",36.51548014,126.6104599814,,정상가동,49.6,380,60,2024,태양광,2024-03-22,충청남도 홍성군,,2025-02-07
나무나무5호 태양광발전소,,"충청남도 홍성군 광천읍 상정리 392, 386-2, 387-3, 392-3, 392-4, 392-7, 396-15 주2동(건물위)",36.51548014,126.6104599814,,정상가동,72.54,380,60,2024,태양광,2024-03-22,충청남도 홍성군,,2025-02-07
나무나무4호 태양광발전소,,"충청남도 홍성군 광천읍 상정리 392, 386-2, 387-3, 392-3, 392-4, 392-7, 396-15 주2동(건물위)",36.51548014,126.6104599814,,정상가동,99.82,380,60,2024,태양광,2024-03-22,충청남도 홍성군,,2025-02-07
나무나무3호 태양광발전소,,"충청남도 홍성군 광천읍 상정리 392, 386-2, 387-3, 392-3, 392-4, 392-7, 396-15 주1동(건물위)",36.51548014,126.6104599814,,정상가동,69.44,380,60,2024,태양광,2024-03-22,충청남도 홍성군,,2025-02-07
나무나무2호 태양광발전소,,"충청남도 홍성군 광천읍 상정리 392, 386-2, 387-3, 392-3, 392-4, 392-7, 396-15 주1동(건물위)",36.51548014,126.6104599814,,정상가동,99.2,380,60,2024,태양광,2024-03-22,충청남도 홍성군,,2025-02-07
