태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
양당리마을 태양광발전소,충청북도 단양군 단성면 양당길 23-1,,,,,정상가동,19.5,220,60,2023,,,,,2025-12-04
이상인 태양광발전소,충청북도 단양군 매포읍 평동4로 117-5,,,,,정상가동,15.47,220,60,2023,,,,,2025-12-04
주노 태양광발전소,,충청북도 단양군 매포읍 영천리 50-2,,,,정상가동,742.05,22900,60,2023,,,,,2025-12-04
해성 태양광발전소,,충청북도 단양군 매포읍 영천리 355-2,,,,정상가동,95.94,380,60,2023,,,,,2025-12-04
햇님일호 발전소,,충청북도 단양군 매포읍 영천리 355,,,,정상가동,95.94,380,60,2023,,,,,2025-12-04
스프링솔라3호 발전소,,충청북도 단양군 매포읍 영천리 355-3,,,,정상가동,95.94,380,60,2023,,,,,2025-12-04
햇빛태양광발전소 1호 발전소,,충청북도 단양군 매포읍 영천리 355-1,,,,정상가동,95.94,380,60,2023,,,,,2025-12-04
수진2 태양광발전소,,충청북도 단양군 매포읍 상괴리 109-3,,,,정상가동,99.96,380,60,2023,,,,,2025-12-04
조이 태양광발전소,,충청북도 단양군 매포읍 상괴리 110-1,,,,정상가동,459.34,380,60,2023,,,,,2025-12-04
안녕 태양광발전소,,충청북도 단양군 매포읍 상괴리 110,,,,정상가동,295.12,380,60,2023,,,,,2025-12-04
해피 태양광발전소,,충청북도 단양군 매포읍 상괴리 109-2,,,,정상가동,99.96,380,60,2023,,,,,2025-12-04
천석 태양광발전소,,충청북도 단양군 매포읍 상괴리 109-4,,,,정상가동,99.96,380,60,2023,,,,,2025-12-04
씨엠에너지 태양광발전소,,충청북도 단양군 적성면 기동리 199-4,,,,정상가동,99,380,60,2023,,,,,2025-12-04
영수 태양광발전소,충청북도 단양군 대강면 당동1길 8,,,,,정상가동,28.42,380,60,2023,,,,,2025-12-04
어상천6호 태양광발전소,,충청북도 단양군 어상천면 대전리 185,,,,정상가동,995.6,22900,60,2023,,,,,2025-12-04
어상천5호 태양광발전소,,충청북도 단양군 어상천면 대전리 170-1,,,,정상가동,884.91,22900,60,2023,,,,,2025-12-04
어상천4호 태양광발전소,,충청북도 단양군 어상천면 대전리 162,,,,정상가동,425.75,380,60,2023,,,,,2025-12-04
고수33호 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,,,,정상가동,99,380,60,2023,,,,,2025-12-04
샘물1 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,,,,정상가동,99,380,60,2023,,,,,2025-12-04
센텀2호 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,,,,정상가동,99,380,60,2023,,,,,2025-12-04
현기쏠라22호 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,,,,정상가동,99,380,60,2023,,,,,2025-12-04
서화 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,,,,정상가동,99,380,60,2023,,,,,2025-12-04
