태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
탁골 태양광발전소,"충청북도 보은군 보은읍 송산1길 12, 단독주택","충청북도 보은군 보은읍 송산1길 12, 단독주택",36.482190059622,127.737189501809,,정상가동,19.62,220.0,60,2022,발전사업용,2022-08-09,충청북도 보은군,,2022-11-30
피반령 태양광발전소,"충청북도 보은군 회인면 보청대로 3856, 음식점","충청북도 보은군 회인면 보청대로 3856, 음식점",36.52039867,127.5886216,,정상가동,50.0,380.0,60,2022,발전사업용,2022-07-05,충청북도 보은군,,2022-11-30
영순5호 태양광발전소,충청북도 보은군 수한면 교암리 118,충청북도 보은군 수한면 교암리 118,36.4774194349784,127.68292632031,,정상가동,28.08,380.0,60,2022,발전사업용,2022-07-05,충청북도 보은군,,2022-11-30
천광1호 태양광발전소,"충청북도 보은군 회남면 용호리 38-1 , 38-9","충청북도 보은군 회남면 용호리 38-1 , 38-9",36.43062344,127.5777159,,정상가동,18.4,380.0,60,2022,발전사업용,2022-04-29,충청북도 보은군,,2022-11-30
민영4호 태양광발전소,충청북도 보은군 삼승면 둔덕리 243-1,충청북도 보은군 삼승면 둔덕리 243-1,36.43841958,127.7266691,,정상가동,29.76,380.0,60,2022,발전사업용,2022-04-11,충청북도 보은군,,2022-11-30
민영3호 태양광발전소,충청북도 보은군 삼승면 둔덕리 243-1,충청북도 보은군 삼승면 둔덕리 243-1,36.43841958,127.7266691,,정상가동,99.36,380.0,60,2022,발전사업용,2022-04-11,충청북도 보은군,,2022-11-30
민영2호 태양광발전소,충청북도 보은군 삼승면 둔덕리 243-1,충청북도 보은군 삼승면 둔덕리 243-1,36.43841958,127.7266691,,정상가동,99.36,380.0,60,2022,발전사업용,2022-04-11,충청북도 보은군,,2022-11-30
민영1호 태양광발전소,충청북도 보은군 삼승면 둔덕리 243-1,충청북도 보은군 삼승면 둔덕리 243-1,36.43841958,127.7266691,,정상가동,99.36,380.0,60,2022,발전사업용,2022-04-11,충청북도 보은군,,2022-11-30
승애 태양광발전소,충청북도 보은군 산외면 이식로 141,충청북도 보은군 산외면 이식로 141,36.58300532,127.697077,,정상가동,20.0,380.0,60,2022,발전사업용,2022-02-04,충청북도 보은군,,2022-11-30
수복 태양광발전소 2호,충청북도 보은군 내북면 두평리 200-1,충청북도 보은군 내북면 두평리 200-1,36.53378562,127.6894369,,정상가동,29.16,380.0,60,2022,발전사업용,2022-02-04,충청북도 보은군,,2022-11-30
태경2호 태양광발전소,충청북도 보은군 탄부면 장암리 1031,충청북도 보은군 탄부면 장암리 1031,36.42119149,127.7682924,,정상가동,99.19,380.0,60,2022,발전사업용,2021-11-25,충청북도 보은군,,2022-11-30
태경1호 태양광발전소,충청북도 보은군 탄부면 장암리 1031,충청북도 보은군 탄부면 장암리 1031,36.42119149,127.7682924,,정상가동,99.19,380.0,60,2022,발전사업용,2021-11-25,충청북도 보은군,,2022-11-30
혜숙 태양광발전소,충청북도 보은군 내북면 성티적음로 76-19,충청북도 보은군 내북면 성티적음로 76-19,36.55467749,127.6613665,,정상가동,19.72,380.0,60,2022,발전사업용,2021-12-27,충청북도 보은군,,2022-11-30
대영2호 태양광발전소,충청북도 보은군 보은읍 산성리 385,충청북도 보은군 보은읍 산성리 385,36.51557782,127.7075301,,정상가동,23.92,380.0,60,2022,발전사업용,2021-12-22,충청북도 보은군,,2022-11-30
신개울 2호 태양발전소,충청북도 보은군 산외면 산대리 255-2,충청북도 보은군 산외면 산대리 255-2,36.5742824,127.7089511,,정상가동,28.67,380.0,60,2022,발전사업용,2021-12-13,충청북도 보은군,,2022-11-30
세중1호 태양광발전소,충청북도 보은군 마로면 원정리 558,충청북도 보은군 마로면 원정리 558,36.38621326,127.8196654,,정상가동,99.19,380.0,60,2022,발전사업용,2021-12-10,충청북도 보은군,,2022-11-30
다쓰솔라 태양광발전소,충청북도 보은군 장안면 오창리 125-1,충청북도 보은군 장안면 오창리 125-1,36.47941207,127.7696805,,정상가동,470.0,380.0,60,2022,발전사업용,2021-12-03,충청북도 보은군,,2022-11-30
다래 3호 태양광발전소,"충청북도 보은군 삼승면 선곡리 181 , 193(건물 위)","충청북도 보은군 삼승면 선곡리 181 , 193(건물 위)",36.42907625,127.7152638,,정상가동,99.45,380.0,60,2022,발전사업용,2021-11-29,충청북도 보은군,,2022-11-30
원진2호 태양광발전소,"충청북도 보은군 수한면 발산리 47-1 , 47-5(건물 위)","충청북도 보은군 수한면 발산리 47-1 , 47-5(건물 위)",36.46942071,127.7080839,,정상가동,99.19,380.0,60,2022,발전사업용,2021-11-29,충청북도 보은군,,2022-11-30
