태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
명훈 태양광발전소,,충청북도 음성군 원남면 마송리 843-1,,,,정상가동,18.6,380,60,2023,,2023-10-20,,,2024-09-24
SH 태양광발전소2호,충청북도 음성군 금왕읍 덕금로 935,,,,,정상가동,70.68,380,60,2023,,2023-09-01,,,2024-09-24
SH 태양광발전소1호,충청북도 음성군 금왕읍 덕금로 935,,,,,정상가동,99.2,380,60,2023,,2023-09-01,,,2024-09-24
일산2 태양광발전소,충청북도 음성군 소이면 갑산로135번길 84-37,,,,,정상가동,19.64,380,60,2023,,2023-08-31,,,2024-09-24
일산1 태양광발전소,충청북도 음성군 소이면 갑산로135번길 84-37,,,,,정상가동,99.96,380,60,2023,,2023-08-31,,,2024-09-24
대덕2호 태양광발전소,,충청북도 음성군 맹동면 마산리 519-1,,,,정상가동,99.37,380,60,2023,,2023-08-21,,,2024-09-24
대덕3호 태양광발전소,,충청북도 음성군 맹동면 마산리 519-1,,,,정상가동,99.37,380,60,2023,,2023-08-21,,,2024-09-24
대덕1호 태양광발전소,,충청북도 음성군 맹동면 마산리 519-1,,,,정상가동,99.37,380,60,2023,,2023-08-21,,,2024-09-24
음성축산농협 태양광발전소,충청북도 음성군 금왕읍 금일로284번길 56,,,,,정상가동,252,380,60,2023,,2023-08-03,,,2024-09-24
농손 태양광발전소 전기공사,충청북도 음성군 금왕읍 유삼길 9-17,,,,,정상가동,10,380,60,2023,,2023-07-26,,,2024-09-24
무한1호 태양광발전소,충청북도 음성군 금왕읍 금왕테크노3길 41,,,,,정상가동,99.37,380,60,2023,,2023-06-26,,,2024-09-24
무한2호 태양광발전소,충청북도 음성군 금왕읍 금왕테크노3길 41,,,,,정상가동,45.22,380,60,2023,,2023-06-26,,,2024-09-24
하이퍼윈도우 태양광발전소,충청북도 음성군 생극면 음성로 1380,,,,,정상가동,234,380,60,2023,,2023-06-12,,,2024-09-24
선빌 태양광발전소,충청북도 음성군 금왕읍 대금로 1251-2,,,,,정상가동,40,380,60,2023,,2023-05-31,,,2024-09-24
(사)한국샘물협회 태양광발전소,충청북도 음성군 삼성면 삼양로352번길 72,,,,,정상가동,199.92,380,60,2023,,2023-06-30,,,2024-09-24
이서3호 태양광발전소,,충청북도 음성군 음성읍 석인리 144-3,,,,정상가동,99.12,380,60,2023,,2023-05-23,,,2024-09-24
맑음 태양광발전소,,충청북도 음성군 음성읍 석인리 144,,,,정상가동,99.12,380,60,2023,,2023-05-23,,,2024-09-24
윤이호 태양광발전소,,충청북도 음성군 원남면 문암리 72-3,,,,정상가동,97.44,380,60,2023,,2023-05-11,,,2024-09-24
보담 태양광발전소,,충청북도 음성군 원남면 문암리 72-3,,,,정상가동,97.44,380,60,2023,,2023-05-11,,,2024-09-24
순 태양광발전소,,충청북도 음성군 원남면 문암리 72-3,,,,정상가동,48.72,380,60,2023,,2023-05-11,,,2024-09-24
송산 태양광발전소,충청북도 음성군 금왕읍 맹동산단지원로 258,,,,,정상가동,99.99,380,60,2023,,2023-04-27,,,2024-09-24
진영테크 태양광발전소,충청북도 음성군 대소면 대동로428번길 59,,,,,정상가동,99.96,380,60,2023,,2023-04-27,,,2024-09-24
유림2태양광발전소,충청북도 음성군 금왕읍 금일로284번길 60-7,,,,,정상가동,73.78,380,60,2023,,2023-04-20,,,2024-09-24
돌방5호 태양광발전소,충청북도 음성군 금왕읍 금일로284번길 60-1,,,,,정상가동,99.37,380,60,2023,,2023-04-20,,,2024-09-24
태웅6 태양광발전소,충청북도 음성군 대소면 대금로196번길 21,,,,,정상가동,110.33,380,60,2023,,2023-04-20,,,2024-09-24
동춘미트 태양광발전소,충청북도 음성군 음성읍 음성로367번길 24,,,,,정상가동,231.87,380,60,2023,,2023-04-06,,,2024-09-24
삼성4호 태양광발전소,충청북도 음성군 삼성면 금일로700번길 88,,,,,정상가동,99.71,380,60,2023,,2023-04-04,,,2024-09-24
삼성1호 태양광발전소,충청북도 음성군 삼성면 금일로700번길 88,,,,,정상가동,99.71,380,60,2023,,2023-04-04,,,2024-09-24
삼성2호 태양광발전소,충청북도 음성군 삼성면 금일로700번길 88,,,,,정상가동,99.71,380,60,2023,,2023-04-04,,,2024-09-24
삼성3호 태양광발전소,충청북도 음성군 삼성면 금일로700번길 88,,,,,정상가동,99.71,380,60,2023,,2023-04-04,,,2024-09-24
미래1호 태양광발전소,,충청북도 음성군 대소면 삼정리 293-2,,,,정상가동,40,380,60,2023,,2023-03-29,,,2024-09-24
미래2호 태양광발전소,,충청북도 음성군 대소면 삼정리 293-2,,,,정상가동,47,380,60,2023,,2023-03-29,,,2024-09-24
