태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
성경태양광발전소,,충청북도 증평군 도안면 송정리 832-9,36.84368893,127.6112333,,정상가동,249.48,380,60,2018,발전사업용,2017-05-10,충청북도 증평군청,,2025-11-03
아영 태양광발전소,,충청북도 증평군 증평읍 연탄리 831-6,36.80362599,127.5554097,,정상가동,99.2,380,60,2018,발전사업용,2017-05-12,충청북도 증평군청,,2025-11-03
어진 태양광발전소,,충청북도 증평군 증평읍 연탄리 831-5,36.80393349,127.5553955,,정상가동,99.2,380,60,2018,발전사업용,2017-05-12,충청북도 증평군청,,2025-11-03
명지제이 태양광발전소,,충청북도 증평군 증평읍 연탄리 831-4,36.8041123,127.5554038,,정상가동,99.2,380,60,2017,발전사업용,2017-05-12,충청북도 증평군청,,2025-11-03
명지제일 태양광발전소,,충청북도 증평군 증평읍 연탄리 831,36.80447758,127.5555295,,정상가동,99.2,380,60,2017,발전사업용,2017-05-12,충청북도 증평군청,,2025-11-03
명덕 태양광발전소,,충청북도 증평군 증평읍 연탄리 831,36.80447758,127.5555295,,정상가동,99.2,380,60,2017,발전사업용,2017-05-12,충청북도 증평군청,,2025-11-03
태성태양광발전소,,충청북도 증평군 도안면 송정리 832-8,36.84391444,127.6112708,,정상가동,99.2,380,60,2018,발전사업용,2017-05-19,충청북도 증평군청,,2025-11-03
성일태양광발전소,,충청북도 증평군 도안면 송정리 832-6,36.84410672,127.6113571,,정상가동,99.2,380,60,2018,발전사업용,2017-05-19,충청북도 증평군청,,2025-11-03
비젼태양광발전소,,충청북도 증평군 도안면 송정리 832-7,36.84403451,127.6113247,,정상가동,99.2,380,60,2018,발전사업용,2017-05-19,충청북도 증평군청,,2025-11-03
충북장태양광발전소,충청북도 증평군 증평읍 윗장뜰길 53,충청북도 증평군 증평읍 중동리 61-6,36.7846132,127.5828798,,정상가동,45,380,60,2017,발전사업용,2017-05-29,충청북도 증평군청,,2025-11-03
마송 태양광발전소,,충청북도 증평군 도안면 석곡리 17,36.81900323,127.6294537,,정상가동,99,380,60,2020,발전사업용,2017-07-27,충청북도 증평군청,,2025-11-03
바느실 태양광 발전소,충청북도 증평군 증평읍 중앙로6길 17,충청북도 증평군 증평읍 중동리 93-3,36.78292201,127.582623,,정상가동,19.8,380,60,2017,발전사업용,2017-07-31,충청북도 증평군청,,2025-11-03
