태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
문백태양광발전소,,충청북도 진천군 문백면 구곡리 산9 - 구산동리 508-2(잡),,,,정상가동,50.0,380,60,2008,,2007-08-21,충청북도 진천군청,,2025-07-21
지혜태양광발전소,,충청북도 진천군 초평면 은암리 433-27,36.7939567006147,127.511362872521,,정상가동,29.4,380,60,2008,,2007-12-13,충청북도 진천군청,,2025-07-21
승환태양광발전소,,충청북도 진천군 초평면 은암리 290-1,36.7937783060647,127.510707139242,,정상가동,25.0,380,60,2008,,2008-07-24,충청북도 진천군청,,2025-07-21
영자태양광발전소,,충청북도 진천군 초평면 은암리 290-1,36.7937783060647,127.510707139242,,정상가동,25.0,380,60,2008,,2008-07-24,충청북도 진천군청,,2025-07-21
충일태양광발전소,,"충청북도 진천군 진천읍 성석리 133-13,133-14,133-15",,,,정상가동,96.0,380,60,2009,,2009-06-01,충청북도 진천군청,,2025-07-21
㈜세양물류,,충청북도 진천군 진천읍 가산리 151(창고지붕),36.8821469054252,127.469383316075,,정상가동,99.9,380,60,2009,,2009-08-31,충청북도 진천군청,,2025-07-21
㈜수연,충청북도 진천군 진천읍 장관2길 59-20,,36.8716588265128,127.430339341089,,정상가동,73.5,380,60,2012,,2012-07-16,충청북도 진천군청,,2025-07-21
진주 태양광발전소,충청북도 진천군 이월면 삼용길 100-55,,36.908109640134,127.472861466488,,정상가동,50.0,380,60,2013,,2013-03-04,충청북도 진천군청,,2025-07-21
칠만제2 태양광발전소,,충청북도 진천군 이월면 내촌리 153번지,36.9448466932159,127.448541370216,,정상가동,31.75,380,60,2014,,2013-05-15,충청북도 진천군청,,2025-07-21
진천참빛에너지태양광발전소,,충청북도 진천군 진천읍 교성리 83-2,36.8469858682753,127.4396810763,,정상가동,50.0,380,60,2013,,2013-05-15,충청북도 진천군청,,2025-07-21
㈜남미순보험대리점태양광발전소,,충청북도 진천군 이월면 미잠리 119-1(건물위),36.9308809934652,127.467464168259,,정상가동,99.75,380,60,2014,,2013-06-12,충청북도 진천군청,,2025-07-21
창연실업태양광 발전소,,충청북도 진천군 덕산읍 합목리 260,36.9080983665454,127.495893484701,,정상가동,99.0,380,60,2013,,2013-06-25,충청북도 진천군청,,2025-07-21
사석리태양광발전소,,충청북도 진천군 진천읍 사석리 329-2(건물위),36.8303271071028,127.41357635492,,정상가동,50.0,380,60,2014,,2013-08-12,충청북도 진천군청,,2025-07-21
사양태양광발전소,충청북도 진천군 문백면 사양5길 8-1,,36.8326346297688,127.466511339015,,정상가동,15.0,380,60,2013,,2013-08-21,충청북도 진천군청,,2025-07-21
충북케이에스솔라15호 태양광발전소,,충청북도 진천군 진천읍 장관리 710외2필지,,,,정상가동,99.11,380,60,2014,,2013-12-10,충청북도 진천군청,,2025-07-21
황윤철태양광발전소,충청북도 진천군 진천읍 성석새터길 36,,36.8722320748057,127.449576947715,,정상가동,12.0,380,60,2014,,2014-01-27,충청북도 진천군청,,2025-07-21
성원태양광발전소,충청북도 진천군 진천읍 송두1길 178,,36.8700978795363,127.455716387677,,정상가동,99.84,380,60,2015,,2014-04-01,충청북도 진천군청,,2025-07-21
