태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
넥스트솔라에너지 태양광발전소,,"충청북도 청주시 청원구 북이면 대길리 165-6 ,165-7,165-9,165-11",36.7272585653,127.5591930894,,정상가동,996.8,22900,60,2021,전기사업(태양광),2019-03-21,,,2025-11-20
청풍솔라텍1호태양광발전소,충청북도 청주시 청원구 오창읍 빛화산길 71-30,,36.7609049749,127.4821758412,,정상가동,229.67,220+380,60,2023,전기사업(태양광),2023-02-23,,,2025-11-20
뉴오쏠라,충청북도 청주시 청원구 상리로 24 (율량동),,36.66446781,127.5133728,,정상가동,74.24,380,60,2025,전기사업(태양광),2025-08-18,,,2025-11-20
내율사새마을금고,"충청북도 청주시 청원구 향군로 128, 내율사 새마을금고 (내덕동)",,36.65597322,127.4809626,,정상가동,70.4,380+220,60,2025,전기사업(태양광),2025-08-05,,,2025-11-20
석성2호 태양광발전소,충청북도 청주시 청원구 북이면 신대석성로 443-42,,36.7619118033,127.5077742851,,정상가동,88.9,380,60,2025,전기사업(태양광),2025-07-08,,,2025-11-20
석성3호 태양광발전소,충청북도 청주시 청원구 북이면 신대석성로 443-42,,36.7619118033,127.5077742851,,정상가동,62.87,380,60,2025,전기사업(태양광),2025-07-08,,,2025-11-20
대덕 태양광발전소,충청북도 청주시 서원구 남이면 남이가좌1길 102,,36.57021357,127.4618883,,정상가동,46.08,220+380,60,2025,전기사업(태양광),2025-06-30,,,2025-11-20
장성태양광발전소,충청북도 청주시 서원구 2순환로1814번길 51 (장성동),,36.59140085,127.4796373,,정상가동,52.56,220+380,60,2025,전기사업(태양광),2025-06-30,,,2025-11-20
송암태양광발전소,충청북도 청주시 상당구 남일면 효촌송암1길 39,,36.588982695,127.511951048,,정상가동,55.48,220+380,60,2025,전기사업(태양광),2025-06-30,,,2025-11-20
영광9호태양광발전소,충청북도 청주시 청원구 북이면 화상석성로 291-21,,36.744479867,127.4909087001,,정상가동,56.52,380,60,2025,전기사업(태양광),2025-06-25,,,2025-11-20
대일ENG2호 태양광발전소,"충청북도 청주시 서원구 남이면 부용남이길 342, (주)이온테크",,36.5839089686,127.3902411216,,정상가동,80.64,220+380,60,2025,전기사업(태양광),2025-06-20,,,2025-11-20
대일ENG1호 태양광발전소,"충청북도 청주시 서원구 남이면 부용남이길 342, (주)이온테크",,36.5839089686,127.3902411216,,정상가동,69.12,220+380,60,2025,전기사업(태양광),2025-06-20,,,2025-11-20
행복태양광발전소,충청북도 청주시 상당구 산성로 54-2 (금천동),,36.6281892,127.5012509,,정상가동,16,220+380,60,2025,전기사업(태양광),2025-06-20,,,2025-11-20
두현3 태양광발전소,충청북도 청주시 상당구 가덕면 상장인차로 365,,36.537351756,127.5407105812,,정상가동,34.29,220+380,60,2025,전기사업(태양광),2025-06-16,,,2025-11-20
두현4 태양광발전소,충청북도 청주시 상당구 가덕면 상장인차로 371,,36.5374447075,127.5413167062,,정상가동,19.69,220+380,60,2025,전기사업(태양광),2025-06-16,,,2025-11-20
안젤라 태양광발전소,충청북도 청주시 흥덕구 신성로 87-24 (신성동),,36.6532405352,127.4138394062,,정상가동,33.28,220+380,60,2025,전기사업(태양광),2025-06-11,,,2025-11-20
아네스 태양광발전소 2호,충청북도 청주시 흥덕구 신성로 90 (신성동),,36.6539943547,127.4143504076,,정상가동,56.32,220+380,60,2025,전기사업(태양광),2025-06-11,,,2025-11-20
아네스 태양광발전소 1호,충청북도 청주시 흥덕구 신성로 65 (신성동),,36.6525899054,127.4163520381,,정상가동,76.8,220+380,60,2025,전기사업(태양광),2025-06-11,,,2025-11-20
권태우 태양광발전소,충청북도 청주시 청원구 북이면 서당길 139-13,,36.7247972656,127.5566681444,,정상가동,19.05,380,60,2025,전기사업(태양광),2025-05-28,,,2025-11-20
아프리카 2호 태양광발전소,충청북도 청주시 청원구 내수읍 도원세교로 137,,,,,정상가동,89.54,380,60,2025,전기사업(태양광),2025-05-27,,,2025-11-20
아프리카 1호 태양광발전소,충청북도 청주시 청원구 내수읍 도원세교로 139,,,,,정상가동,89.54,380,60,2025,전기사업(태양광),2025-05-26,,,2025-11-20
이재혁 태양광발전소,충청북도 청주시 상당구 남일면 가중2길 7-10,,36.57388615,127.4706479,,정상가동,12.07,220+380,60,2025,전기사업(태양광),2025-05-23,,,2025-11-20
강천2호 태양광발전소,충청북도 청주시 흥덕구 서부로 991-28 (휴암동),,36.6069439679,127.4135687267,,정상가동,19.69,220+380,60,2025,전기사업(태양광),2025-05-23,,,2025-11-20
인선태양광발전소,충청북도 청주시 흥덕구 신전로 74-3 (신전동),,,,,정상가동,57.15,220+380,60,2025,전기사업(태양광),2025-05-23,,,2025-11-20
월드 태양광,충청북도 청주시 서원구 남이면 가마길 49,,36.5981363002,127.4577057239,,정상가동,287.02,220+380,60,2025,전기사업(태양광),2025-05-23,,,2025-11-20
신중호 태양광발전소,충청북도 청주시 상당구 남일면 문주2길 18-6,,36.5866162829,127.5585933712,,정상가동,19.05,220+380,60,2025,전기사업(태양광),2025-05-23,,,2025-11-20
광동빌 태양광발전소,"충청북도 청주시 흥덕구 청향로14번길 12, 광동빌라 (비하동)",,36.6383151377,127.4214711042,,정상가동,19.69,220+380,60,2025,전기사업(태양광),2025-05-23,,,2025-11-20
한국 태양광발전소,충청북도 청주시 청원구 북이면 대율내추길 238-1,,36.7500127737,127.5422809566,,정상가동,64.77,380,60,2025,전기사업(태양광),2025-05-23,,,2025-11-20
와이 태양광발전소,충청북도 청주시 청원구 오창읍 후기길 143-31,,36.741208303,127.3880316313,,정상가동,55.88,380,60,2025,전기사업(태양광),2025-05-22,,,2025-11-20
도담 태양광발전소,충청북도 청주시 청원구 내수읍 충청대로 889,,36.7209998796,127.5407385963,,정상가동,98.7,380,60,2025,전기사업(태양광),2025-05-15,,,2025-11-20
솔라쉐어 1호 발전소,충청북도 청주시 청원구 북이면 대율경촌길 3-46,,36.7369138653,127.5280587826,,정상가동,49.2,380,60,2025,전기사업(태양광),2025-05-14,,,2025-11-20
윤원규 태양광발전소,충청북도 청주시 상당구 가덕면 계산은행로 30-21,,36.563746805,127.5600231948,,정상가동,18.42,220+380,60,2025,전기사업(태양광),2025-05-02,,,2025-11-20
양재삼 태양광발전소,충청북도 청주시 상당구 용암북로180번길 6-1 (용암동),,36.62353335,127.5162525,,정상가동,19.69,220+380,60,2025,전기사업(태양광),2025-05-02,,,2025-11-20
제니스테크3호 태양광발전소,"충청북도 청주시 서원구 현도면 시목외천로 178-11, 제니스테크(주)",,36.5057809131,127.4137264783,,정상가동,89.6,220+380,60,2025,전기사업(태양광),2025-04-18,,,2025-11-20
제니스테크2호 태양광발전소,"충청북도 청주시 서원구 현도면 시목외천로 178-11, 제니스테크(주)",,36.5057809131,127.4137264783,,정상가동,89.6,220+380,60,2025,전기사업(태양광),2025-04-18,,,2025-11-20
제니스테크1호 태양광발전소,"충청북도 청주시 서원구 현도면 시목외천로 178-11, 제니스테크(주)",,36.5057809131,127.4137264783,,정상가동,89.6,220+380,60,2025,전기사업(태양광),2025-04-18,,,2025-11-20
미호강7호 태양광발전소,충청북도 청주시 청원구 북이면 화상석성로 165-22,,36.7354326933,127.4849576581,,정상가동,82.55,380,60,2025,전기사업(태양광),2025-04-17,,,2025-11-20
미호강6호 태양광발전소,충청북도 청주시 청원구 북이면 화상석성로 165-22,,36.7354326933,127.4849576581,,정상가동,90.17,380,60,2025,전기사업(태양광),2025-04-17,,,2025-11-20
명품 태양광발전소,충청북도 청주시 청원구 율량로 5 (주중동),,36.67246188,127.4877462,,정상가동,19.84,380,60,2025,전기사업(태양광),2025-04-17,,,2025-11-20
나래테크 태양광발전소,충청북도 청주시 흥덕구 고락로60번길 88 (지동동),,36.6408126759,127.3988526706,,정상가동,89.6,220+380,60,2025,전기사업(태양광),2025-04-16,,,2025-11-20
산너머2 태양광발전소,충청북도 청주시 서원구 남이면 석실1길 21,,36.5889530015,127.4288305572,,정상가동,37.12,220+380,60,2025,전기사업(태양광),2025-04-16,,,2025-11-20
청주특수강 태양광발전소,충청북도 청주시 서원구 사운로180번길 8 (사직동),,36.64510777,127.4793597,,정상가동,45.44,220+380,60,2025,전기사업(태양광),2025-04-10,,,2025-11-20
쏠라1호 태양광발전소,충청북도 청주시 서원구 현도면 우록길 45-14,,36.5026035166,127.4323128973,,정상가동,19.38,220+380,60,2025,전기사업(태양광),2025-04-07,,,2025-11-20
청주대성1호 태양광발전소,충청북도 청주시 흥덕구 옥산면 호죽화산로 181-67,,36.7128435233,127.3713643681,,정상가동,89.54,220+380,60,2025,전기사업(태양광),2025-04-03,,,2025-11-20
