태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
다래월 태양광발전소,충청북도 충주시 소태면 다래월2길 11,충청북도 충주시 소태면 양촌리 157-2,37.0885820046233,127.869944257471,,정상가동,30.24,380,60,2024,,2025-09-30,,,2025-10-31
박청규 태양광발전소,충청북도 충주시 중원대로 3379,,36.9685333436428,127.921663366546,,정상가동,99.54,380,60,2024,,2025-09-29,,,2025-10-31
해경1호 태양광발전소,충청북도 충주시 주덕읍 신덕로 1203-41,충청북도 충주시 주덕읍 장록리 528,36.9838656676136,127.779320372265,,정상가동,95.89,380,60,2024,,2025-09-09,,,2025-10-31
이정훈 태양광발전소,충청북도 충주시 주덕읍 덕련창동길 9-2,충청북도 충주시 주덕읍 덕련리 63-2,37.0145063810268,127.771859750847,,정상가동,498.96,380,60,2024,,2025-09-02,,,2025-10-31
수수 태양광발전소,충청북도 충주시 호암토성2로 1,충청북도 충주시 호암동 1191,36.9547411279707,127.933329482108,,정상가동,32.64,380,60,2024,,2025-09-02,,,2025-10-31
하담발전소 5호,충청북도 충주시 금봉8길 23,충청북도 충주시 교현동 1358,36.9678710822996,127.941482472691,,정상가동,94.01,380,60,2024,,2025-09-01,,,2025-10-31
하담발전소 4호,충청북도 충주시 금봉8길 23,충청북도 충주시 교현동 1358,36.9678710822996,127.941482472691,,정상가동,99.96,380,60,2024,,2025-09-01,,,2025-10-31
하담발전소 3호,충청북도 충주시 금봉8길 23,충청북도 충주시 교현동 1358,36.9678710822996,127.941482472691,,정상가동,99.96,380,60,2024,,2025-09-01,,,2025-10-31
하담발전소 2호,충청북도 충주시 금봉8길 23,충청북도 충주시 교현동 1358,36.9678710822996,127.941482472691,,정상가동,99.96,380,60,2024,,2025-09-01,,,2025-10-31
하담발전소 1호,충청북도 충주시 금봉8길 23,충청북도 충주시 교현동 1358,36.9678710822996,127.941482472691,,정상가동,99.96,380,60,2024,,2025-09-01,,,2025-10-31
