sido_code,sido_name,gugun_code,gugun_name,station_count,capacity_mw,generation_mwh,station_count_ratio_pct,capacity_ratio_pct,generation_ratio_pct,collected_at
11,서울특별시,11110,종로구,5,0,214,0.9,0.4,0.4,2026-02-14T23:08:21.279293
11,서울특별시,11140,중구,7,0,179,1.2,0.3,0.3,2026-02-14T23:08:21.279293
11,서울특별시,11170,용산구,3,0,110,0.5,0.2,0.2,2026-02-14T23:08:21.279293
11,서울특별시,11200,성동구,15,4,"5,183",2.6,8.5,9.2,2026-02-14T23:08:21.279293
11,서울특별시,11215,광진구,38,3,"2,955",6.7,6.4,5.2,2026-02-14T23:08:21.279293
11,서울특별시,11230,동대문구,25,1,786,4.4,1.5,1.4,2026-02-14T23:08:21.279293
11,서울특별시,11260,중랑구,30,3,"3,414",5.3,5.9,6.1,2026-02-14T23:08:21.279293
11,서울특별시,11290,성북구,26,1,609,4.6,1.3,1.1,2026-02-14T23:08:21.279293
11,서울특별시,11305,강북구,24,1,919,4.2,2.1,1.6,2026-02-14T23:08:21.279293
11,서울특별시,11320,도봉구,30,1,"1,249",5.3,2.3,2.2,2026-02-14T23:08:21.279293
11,서울특별시,11350,노원구,33,3,"2,434",5.8,5.1,4.3,2026-02-14T23:08:21.279293
11,서울특별시,11380,은평구,26,1,"1,120",4.6,1.9,2,2026-02-14T23:08:21.279293
11,서울특별시,11410,서대문구,17,1,769,3,1.3,1.4,2026-02-14T23:08:21.279293
11,서울특별시,11440,마포구,9,0,362,1.6,0.6,0.6,2026-02-14T23:08:21.279293
11,서울특별시,11470,양천구,13,1,632,2.3,1.1,1.1,2026-02-14T23:08:21.279293
11,서울특별시,11500,강서구,32,10,"11,166",5.6,18.9,19.8,2026-02-14T23:08:21.279293
11,서울특별시,11530,구로구,31,2,"1,878",5.4,3.8,3.3,2026-02-14T23:08:21.279293
11,서울특별시,11545,금천구,24,1,"1,232",4.2,2.2,2.2,2026-02-14T23:08:21.279293
11,서울특별시,11560,영등포구,19,1,792,3.3,1.7,1.4,2026-02-14T23:08:21.279293
11,서울특별시,11590,동작구,17,0,537,3,0.9,1,2026-02-14T23:08:21.279293
11,서울특별시,11620,관악구,26,1,988,4.6,1.7,1.8,2026-02-14T23:08:21.279293
11,서울특별시,11650,서초구,24,2,"1,455",4.2,3,2.6,2026-02-14T23:08:21.279293
11,서울특별시,11680,강남구,25,2,"2,727",4.4,4.6,4.8,2026-02-14T23:08:21.279293
11,서울특별시,11710,송파구,35,4,"4,146",6.1,7,7.4,2026-02-14T23:08:21.279293
