key,uid,title,modified_date,saved_file,updated_at,status
uid:013d8c91-6205-4b17-b0c1-d8d69ebbe57d,013d8c91-6205-4b17-b0c1-d8d69ebbe57d,상세보기 : 경상남도_창녕군_태양광발전소전기사업허가정보,2025-09-24,generator_next\source\raw_csv\경상남도_창녕군_태양광발전소전기사업허가정보_20250901.csv,2026-02-25T02:22:19,ok
uid:023a371e-b38a-4d5a-a376-c1a4d5f08d3d,023a371e-b38a-4d5a-a376-c1a4d5f08d3d,상세보기 : 전북특별자치도_남원시_태양광발전소전기사업허가정보,2025-11-07,generator_next\source\raw_csv\전북특별자치도_남원시_태양광발전소전기사업허가정보_20251103.csv,2026-02-25T02:22:13,skipped:up_to_date
uid:04c2d71c-d62f-464d-9d80-b59aeae44110,04c2d71c-d62f-464d-9d80-b59aeae44110,상세보기 : 경기도_부천시_태양광발전소전기사업허가정보,2025-02-10,generator_next\source\raw_csv\경기도_부천시_태양광발전소전기사업허가정보_20250205.csv,2026-02-25T02:22:42,skipped:up_to_date
uid:063dcde4-a29b-4d84-abe3-b6f91c7871b0,063dcde4-a29b-4d84-abe3-b6f91c7871b0,상세보기 : 전라남도_고흥군_태양광발전소전기사업허가정보,2024-10-10,generator_next\source\raw_csv\전라남도_고흥군_태양광발전소전기사업허가정보_20241010.csv,2026-02-25T02:22:50,ok
uid:09a21539-56f8-48fd-857f-b278597b767d,09a21539-56f8-48fd-857f-b278597b767d,상세보기 : 경상북도_영양군_태양광발전소전기사업허가정보,2025-11-13,generator_next\source\raw_csv\경상북도_영양군_태양광발전소전기사업허가정보_20251110.csv,2026-02-25T02:22:10,skipped:up_to_date
uid:0c211fee-c674-4c2c-9b1f-aa0c1f6356a5,0c211fee-c674-4c2c-9b1f-aa0c1f6356a5,상세보기 : 경상남도_밀양시_태양광발전소전기사업허가정보,2024-10-08,generator_next\source\raw_csv\경상남도_밀양시_태양광발전소전기사업허가정보_20240930.csv,2026-02-25T02:22:53,skipped:up_to_date
uid:10264767-dc4f-46a6-8a37-d8263f40e8f2,10264767-dc4f-46a6-8a37-d8263f40e8f2,상세보기 : 충청남도_천안시_태양광발전소전기사업허가정보,2025-09-23,generator_next\source\raw_csv\충청남도_천안시_태양광발전소전기사업허가정보_20250916.csv,2026-02-25T02:22:19,skipped:up_to_date
uid:12f35f4e-eefb-4c10-b57e-931fb57c4a7f,12f35f4e-eefb-4c10-b57e-931fb57c4a7f,상세보기 : 충청남도_당진시_태양광발전소전기사업허가정보,2024-10-07,generator_next\source\raw_csv\충청남도_당진시_태양광발전소전기사업허가정보_20240901.csv,2026-02-25T02:22:55,skipped:up_to_date
uid:13a81bc7-23d0-4ade-8deb-ddb0284068e8,13a81bc7-23d0-4ade-8deb-ddb0284068e8,상세보기 : 제주특별자치도_태양광발전소전기사업허가정보,2025-09-18,generator_next\source\raw_csv\제주특별자치도_태양광발전소전기사업허가정보_20250915.csv,2026-02-25T02:22:22,skipped:up_to_date
uid:1d28ba27-426c-4596-abd4-988d2643611c,1d28ba27-426c-4596-abd4-988d2643611c,상세보기 : 충청남도_부여군_태양광발전소전기사업허가정보,2025-12-10,generator_next\source\raw_csv\충청남도_부여군_태양광발전소전기사업허가정보_20251130.csv,2026-02-25T02:21:57,ok
uid:1f608482-e1d7-4158-b190-8dac936a898e,1f608482-e1d7-4158-b190-8dac936a898e,상세보기 : 경상북도_영주시_태양광발전소전기사업허가정보,2023-08-21,generator_next\source\raw_csv\경상북도_영주시_태양광발전소전기사업허가정보_20230818.csv,2026-02-25T02:23:06,skipped:up_to_date
uid:2005e03b-f2c8-47ed-9470-b203117f7480,2005e03b-f2c8-47ed-9470-b203117f7480,상세보기 : 경상남도_고성군_태양광발전소전기사업허가정보,2025-11-11,generator_next\source\raw_csv\경상남도_고성군_태양광발전소전기사업허가정보_20251031.csv,2026-02-25T02:22:13,ok
uid:225b204e-6f1e-4e51-b2a7-84c8b43adc7a,225b204e-6f1e-4e51-b2a7-84c8b43adc7a,상세보기 : 대구광역시_태양광발전소전기사업허가정보,2025-11-14,generator_next\source\raw_csv\대구광역시_태양광발전소전기사업허가정보_20251112.csv,2026-02-25T02:22:09,skipped:up_to_date
uid:22b5075d-d014-4547-a972-8ed978c25561,22b5075d-d014-4547-a972-8ed978c25561,상세보기 : 경기도_남양주시_태양광발전소전기사업허가정보,2025-01-22,generator_next\source\raw_csv\경기도_남양주시_태양광발전소전기사업허가정보_20241212.csv,2026-02-25T02:22:44,skipped:up_to_date
uid:29033ca4-46b6-4d9e-8248-c1b20ca60d9e,29033ca4-46b6-4d9e-8248-c1b20ca60d9e,상세보기 : 경기도_고양시_태양광발전소전기사업허가정보,2025-12-15,generator_next\source\raw_csv\경기도_고양시_태양광발전소전기사업허가정보_20251211.csv,2026-02-25T02:21:54,skipped:up_to_date
uid:2c65b3ab-a62a-4846-86d8-a4625aa3a1f2,2c65b3ab-a62a-4846-86d8-a4625aa3a1f2,상세보기 : 전라북도_완주군_태양광발전소전기사업허가정보,2024-01-31,generator_next\source\raw_csv\전라북도_완주군_태양광발전소전기사업허가정보_20240129.csv,2026-02-25T02:23:04,ok
uid:2dd33600-2594-476d-98f3-e2ca96617b0b,2dd33600-2594-476d-98f3-e2ca96617b0b,상세보기 : 경기도_시흥시_태양광발전소전기사업허가정보,2025-06-17,generator_next\source\raw_csv\경기도_시흥시_태양광발전소전기사업허가정보_20250510.csv,2026-02-25T02:22:34,skipped:up_to_date
uid:2efe766d-ca0a-4929-9455-b9f0d1aa0f00,2efe766d-ca0a-4929-9455-b9f0d1aa0f00,상세보기 : 경상북도_영천시_태양광발전소전기사업허가정보,2025-05-22,generator_next\source\raw_csv\경상북도_영천시_태양광발전소전기사업허가정보_20250508.csv,2026-02-25T02:22:37,skipped:up_to_date
uid:30b3bc02-09c1-4670-972f-d390735137cb,30b3bc02-09c1-4670-972f-d390735137cb,상세보기 : 충청남도_서천군_태양광발전소전기사업허가정보,2025-12-12,generator_next\source\raw_csv\충청남도_서천군_태양광발전소전기사업허가정보_20251210.csv,2026-02-25T02:21:55,skipped:up_to_date
uid:336529a8-f278-4ccc-a255-9c93f78b11db,336529a8-f278-4ccc-a255-9c93f78b11db,상세보기 : 강원특별자치도_태양광발전소전기사업허가정보,2025-07-02,generator_next\source\raw_csv\강원특별자치도_태양광발전소전기사업허가정보_20250620.csv,2026-02-25T02:22:33,ok
uid:354aee77-5d9e-4d91-aa68-bc7706bf8b40,354aee77-5d9e-4d91-aa68-bc7706bf8b40,상세보기 : 강원특별자치도_양구군_태양광발전소전기사업허가정보,2025-11-04,generator_next\source\raw_csv\강원특별자치도_양구군_태양광발전소전기사업허가정보_20251103.csv,2026-02-25T02:22:16,ok
uid:373d2abc-eec5-4d53-ae0f-83bc97832437,373d2abc-eec5-4d53-ae0f-83bc97832437,상세보기 : 서울특별시_서초구_태양광발전소전기사업허가정보,2026-01-23,generator_next\source\raw_csv\서울특별시_서초구_태양광발전소전기사업허가정보_20260106.csv,2026-02-25T02:21:48,skipped:up_to_date
uid:3c7424ba-81fa-4cd9-b991-a823b0634ac4,3c7424ba-81fa-4cd9-b991-a823b0634ac4,상세보기 : 강원특별자치도_영월군_태양광발전소전기사업허가정보,2024-12-24,generator_next\source\raw_csv\강원특별자치도_영월군_태양광발전소전기사업허가정보_20241220.csv,2026-02-25T02:22:46,skipped:up_to_date
uid:3cc6fe62-81b5-4267-a566-adbb2a5b2c1c,3cc6fe62-81b5-4267-a566-adbb2a5b2c1c,상세보기 : 경기도_안양시_태양광발전소전기사업허가정보,2026-01-19,generator_next\source\raw_csv\경기도_안양시_태양광발전소전기사업허가정보_20251219.csv,2026-02-25T02:21:50,ok
uid:440140fa-020c-4240-9b0d-bb0344bae5f3,440140fa-020c-4240-9b0d-bb0344bae5f3,상세보기 : 서울특별시_구로구_태양광발전소전기사업허가정보,2024-12-26,generator_next\source\raw_csv\서울특별시_구로구_태양광발전소전기사업허가정보_20241226.csv,2026-02-25T02:22:46,ok
uid:441104cf-da2e-411d-8a21-ab020dac70a2,441104cf-da2e-411d-8a21-ab020dac70a2,상세보기 : 경기도_양평군_태양광발전소전기사업허가정보,2024-10-07,generator_next\source\raw_csv\경기도_양평군_태양광발전소전기사업허가정보_20240930.csv,2026-02-25T02:22:54,skipped:up_to_date
uid:4662e1a6-6314-40bb-985c-9f849b6b12c3,4662e1a6-6314-40bb-985c-9f849b6b12c3,상세보기 : 경기도_화성시_태양광발전소전기사업허가정보,2025-09-18,generator_next\source\raw_csv\경기도_화성시_태양광발전소전기사업허가정보_20250912.csv,2026-02-25T02:22:23,skipped:up_to_date
uid:497d4a1f-50b1-47db-b2d3-9b23d178652f,497d4a1f-50b1-47db-b2d3-9b23d178652f,상세보기 : 전라남도_강진군_태양광발전소전기사업허가정보,2024-10-16,generator_next\source\raw_csv\전라남도_강진군_태양광발전소전기사업허가정보_20240930.csv,2026-02-25T02:22:47,skipped:up_to_date
uid:4b0f7489-dc33-4973-a1f8-e94115128a1d,4b0f7489-dc33-4973-a1f8-e94115128a1d,상세보기 : 광주광역시_광산구_태양광발전소전기사업허가정보,2025-07-14,generator_next\source\raw_csv\광주광역시_광산구_태양광발전소전기사업허가정보_20250702.csv,2026-02-25T02:22:31,skipped:up_to_date
uid:4b688688-decf-42c8-bf7c-9f831c1009f7,4b688688-decf-42c8-bf7c-9f831c1009f7,상세보기 : 충청북도_청주시_태양광발전소전기사업허가정보,2025-11-24,generator_next\source\raw_csv\충청북도_청주시_태양광발전소전기사업허가정보_20251120.csv,2026-02-25T02:22:04,skipped:up_to_date
uid:4b726d98-d9ce-4ade-a735-c0a3a4cf8f52,4b726d98-d9ce-4ade-a735-c0a3a4cf8f52,상세보기 : 전북특별자치도_고창군_태양광발전소전기사업허가정보,2024-06-03,generator_next\source\raw_csv\전북특별자치도_고창군_태양광발전소전기사업허가정보_20240522.csv,2026-02-25T02:23:03,skipped:up_to_date
uid:51334c0e-11b1-4a4b-be05-d7407b06bfc0,51334c0e-11b1-4a4b-be05-d7407b06bfc0,상세보기 : 경기도_수원시_태양광발전소전기사업허가정보,2026-01-23,generator_next\source\raw_csv\경기도_수원시_태양광발전소전기사업허가정보_20260115.csv,2026-02-25T02:21:48,ok
uid:51585b84-a0f4-4618-a3b0-941685a37f4d,51585b84-a0f4-4618-a3b0-941685a37f4d,상세보기 : 전북특별자치도_익산시_태양광발전소전기사업허가정보,2025-09-25,generator_next\source\raw_csv\전북특별자치도_익산시_태양광발전소전기사업허가정보_20250924.csv,2026-02-25T02:22:16,skipped:up_to_date
