태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
평촌 태양광발전소 12호,,강원도 평창군 봉평면 평촌리 807-3,37.5892575785349,128.363098776898,,정상가동,99.84,380,60,2022,,2022-06-30,강원도 평창군청,,2022-11-17
평촌 태양광발전소 11호,,강원도 평창군 봉평면 평촌리 807-3,37.5892575785349,128.363098776898,,정상가동,99.84,380,60,2022,,2022-06-27,강원도 평창군청,,2022-11-17
평촌 태양광발전소 9호,,강원도 평창군 봉평면 평촌리 807-3,37.5892575785349,128.363098776898,,정상가동,99.84,380,60,2022,,2022-06-27,강원도 평창군청,,2022-11-17
계림3호 태양광발전소,,강원도 평창군 진부면 상월오개리 241-3,37.6088886647659,128.530585539702,,정상가동,92.16,380,60,2022,,2022-05-30,강원도 평창군청,,2022-11-17
봉평 11호 태양광발전소,,강원도 평창군 봉평면 평촌리 1,37.6272285340118,128.417003975197,,정상가동,99.45,380,60,2022,,2022-03-31,강원도 평창군청,,2022-11-17
계림2호 태양광발전소,,강원도 평창군 진부면 상월오개리 202-3,37.6091781161308,128.52887695362,,정상가동,19.2,380,60,2022,,2022-04-21,강원도 평창군청,,2022-11-17
사남산 태양광발전소,,강원도 평창군 진부면 하진부리 290-3,37.6311176380784,128.551018813287,,정상가동,34.56,380,60,2022,,2022-03-03,강원도 평창군청,,2022-11-17
화연3 태양광발전소,,강원도 평창군 봉평면 평촌리 24-1,37.6214557541638,128.413893434973,,정상가동,99.36,380,60,2022,,2022-03-28,강원도 평창군청,,2022-11-17
환성4 태양광발전소,,강원도 평창군 봉평면 평촌리 24-1,37.6214557541638,128.413893434973,,정상가동,99.36,380,60,2022,,2022-03-28,강원도 평창군청,,2022-11-17
평창선그린 태양광발전소,,강원도 평창군 봉평면 평촌리 24,,,,정상가동,499.5,380,60,2022,,2022-03-29,강원도 평창군청,,2022-11-17
평창평촌1호 태양광발전소,,강원도 평창군 봉평면 평촌리 23,37.6223356178524,128.41424434951,,정상가동,899.1,22900,60,2022,,2022-03-29,강원도 평창군청,,2022-11-17
계림1호 태양광발전소,,강원도 평창군 진부면 상월오개리 241-9,37.6087196272858,128.531157012744,,정상가동,92.16,380,60,2022,,2022-03-22,강원도 평창군청,,2022-11-17
만항 태양광발전소,,강원도 평창군 진부면 송정리 2473,37.6475920854182,128.575997172141,,정상가동,29.76,380,60,2022,,2022-02-07,강원도 평창군청,,2022-11-17
시티 태양광발전소,,강원도 평창군 봉평면 창동리 512-1,37.6106059524195,128.368938247919,,정상가동,19.2,380,60,2022,,2022-01-27,강원도 평창군청,,2022-11-17
가마골발전소,,강원도 평창군 평창읍 대하리 235,37.3143225133187,128.342778668089,,정상가동,19.78,380,60,2022,,2022-01-26,강원도 평창군청,,2022-11-17
버들 태양광발전소,,강원도 평창군 봉평면 유포리 172,37.5351395483998,128.390682625308,,정상가동,18.72,380,60,2022,,2022-01-28,강원도 평창군청,,2022-11-17
평촌 태양광발전소 8호,,강원도 평창군 봉평면 평촌리 864,37.5898777054013,128.360512885617,,정상가동,99.84,380,60,2022,,2022-01-03,강원도 평창군청,,2022-11-17
평촌 태양광발전소 7호,,강원도 평창군 봉평면 평촌리 864,37.5898777054013,128.360512885617,,정상가동,99.84,380,60,2022,,2022-01-03,강원도 평창군청,,2022-11-17
평촌 태양광발전소 6호,,강원도 평창군 봉평면 평촌리 807-2,37.5880780962752,128.362543909942,,정상가동,99.84,380,60,2022,,2022-01-03,강원도 평창군청,,2022-11-17
평촌 태양광발전소 5호,,강원도 평창군 봉평면 평촌리 807-2,37.5880780962752,128.362543909942,,정상가동,99.84,380,60,2022,,2022-01-03,강원도 평창군청,,2022-11-17
평촌 태양광발전소 4호,,강원도 평창군 봉평면 평촌리 807-2,37.5880780962752,128.362543909942,,정상가동,99.84,380,60,2022,,2022-01-03,강원도 평창군청,,2022-11-17
평촌 태양광발전소 3호,,강원도 평창군 봉평면 평촌리 807-1,37.5880676736109,128.362073200614,,정상가동,99.84,380,60,2022,,2022-01-03,강원도 평창군청,,2022-11-17
평촌 태양광발전소 2호,,강원도 평창군 봉평면 평촌리 807-1,37.5880676736109,128.362073200614,,정상가동,99.84,380,60,2022,,2022-01-03,강원도 평창군청,,2022-11-17
평촌 태양광발전소 1호,,강원도 평창군 봉평면 평촌리 807-1,37.5880676736109,128.362073200614,,정상가동,99.84,380,60,2022,,2022-01-03,강원도 평창군청,,2022-11-17
송창호 태양광발전소,,강원도 평창군 진부면 하진부리 640-2,37.6371279393741,128.54504419953,,정상가동,45.6,380,60,2022,,2021-11-18,강원도 평창군청,,2022-11-17
차항에너지5호 태양광발전소,,강원도 평창군 대관령면 차항리 201-7,37.7030117932619,128.678798025904,,정상가동,999.84,22900,60,2022,,2021-11-09,강원도 평창군청,,2022-11-17
차항에너지4호 태양광발전소,,강원도 평창군 대관령면 차항리 201-7,37.7030117932619,128.678798025904,,정상가동,999.84,22900,60,2022,,2021-11-09,강원도 평창군청,,2022-11-17
차항에너지3호 태양광발전소,,강원도 평창군 대관령면 차항리 201-7,37.7030117932619,128.678798025904,,정상가동,999.84,22900,60,2022,,2021-11-09,강원도 평창군청,,2022-11-17
차항에너지2호 태양광발전소,,강원도 평창군 대관령면 차항리 201-7,37.7030117932619,128.678798025904,,정상가동,999.84,22900,60,2022,,2021-11-09,강원도 평창군청,,2022-11-17
차항에너지1호 태양광발전소,,강원도 평창군 대관령면 차항리 201-8,37.7033848426119,128.677418716387,,정상가동,999.84,22900,60,2022,,2021-11-09,강원도 평창군청,,2022-11-17
호명4호 태양광발전소,,강원도 평창군 진부면 호명리 973-2,37.6528167621323,128.577363539074,,정상가동,57.6,380,60,2022,,2021-10-19,강원도 평창군청,,2022-11-17
호명3호 태양광발전소,,강원도 평창군 진부면 호명리 973-2,37.6528167621323,128.577363539074,,정상가동,99.84,380,60,2022,,2021-10-19,강원도 평창군청,,2022-11-17
호명2호 태양광발전소,,강원도 평창군 진부면 호명리 913,37.6547144710954,128.576260478459,,정상가동,99.84,380,60,2022,,2021-10-19,강원도 평창군청,,2022-11-17
호명1호 태양광발전소,,강원도 평창군 진부면 호명리 913,37.6547144710954,128.576260478459,,정상가동,99.84,380,60,2022,,2021-10-19,강원도 평창군청,,2022-11-17
조동에너지2차 태양광발전소 22호,,강원도 평창군 평창읍 조동리 198,37.3885919400622,128.445655017944,,정상가동,98.98,380,60,2021,,2021-10-18,강원도 평창군청,,2022-11-17
조동에너지2차 태양광발전소 21호,,강원도 평창군 평창읍 조동리 198-24,37.3878376915005,128.446367569106,,정상가동,98.98,380,60,2021,,2021-10-18,강원도 평창군청,,2022-11-17
조동에너지2차 태양광발전소 19호,,강원도 평창군 평창읍 조동리 198,37.3885919400622,128.445655017944,,정상가동,98.98,380,60,2021,,2021-10-18,강원도 평창군청,,2022-11-17
조동에너지2차 태양광발전소 20호,,강원도 평창군 평창읍 조동리 198,37.3885919400622,128.445655017944,,정상가동,98.98,380,60,2021,,2021-10-18,강원도 평창군청,,2022-11-17
조동에너지2차 태양광발전소 18호,,강원도 평창군 평창읍 조동리 198,37.3885919400622,128.445655017944,,정상가동,98.98,380,60,2021,,2021-10-18,강원도 평창군청,,2022-11-17
조동에너지2차 태양광발전소 17호,,강원도 평창군 평창읍 조동리 198-20,37.387798844174,128.445823832052,,정상가동,98.98,380,60,2021,,2021-10-18,강원도 평창군청,,2022-11-17
조동에너지2차 태양광발전소 16호,,강원도 평창군 평창읍 조동리 198,37.3885919400622,128.445655017944,,정상가동,98.98,380,60,2021,,2021-10-18,강원도 평창군청,,2022-11-17
