태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
노암 태양광발전소,,강원특별자치도 강릉시 노암동 682-5,37.7453296489,128.8986009932,기타,정상가동,3.0,220380,60,2009,발전사업용,2005-12-05,강원특별자치도청,,2025-11-19
SMS 태양광발전소,,강원특별자치도 강릉시 연곡면 송림리 산 72,,,기타,정상가동,999.0,22900,60,2009,발전사업용,2007-12-24,강원특별자치도청,,2025-11-19
㈜향호(향호리 태양광발전소),,강원특별자치도 강릉시 주문진읍 향호리 산 294,,,기타,정상가동,99.0,220380,60,2009,발전사업용,2009-02-05,강원특별자치도청,,2025-11-19
고단 태양광발전소,,강원특별자치도 강릉시 왕산면 고단리 산 395,37.5418135841,128.8089505457,기타,정상가동,497.0,220380,60,2009,발전사업용,2009-04-27,강원특별자치도청,,2025-11-19
주식회사 세경쏠텍,,강원특별자치도 강릉시 강동면 안인리 산 44-6,,,기타,정상가동,926.0,22900,60,2009,발전사업용,2009-05-07,강원특별자치도청,,2025-11-19
(주)삼영에너지강릉태양광발전소,,강원특별자치도 강릉시 송정동 1042-3,37.772699806,128.9295199553,기타,정상가동,29.0,220380,60,2009,발전사업용,2009-07-17,강원특별자치도청,,2025-11-19
㈜향호(강릉 태양광발전소),,강원특별자치도 강릉시 송정동 1042-3,37.772699806,128.9295199553,기타,정상가동,29.0,220380,60,2009,발전사업용,2009-08-25,강원특별자치도청,,2025-11-19
(주)주성,,강원특별자치도 강릉시 강동면 안인리 산 53,,,기타,정상가동,998.0,22900,60,2009,발전사업용,2009-09-08,강원특별자치도청,,2025-11-19
㈜삼영에너지(송정동태양광발전소),,강원특별자치도 강릉시 주문진읍 향호리 1005-1,37.9134588464,128.7856094625,기타,정상가동,99.0,220380,60,2010,발전사업용,2009-09-23,강원특별자치도청,,2025-11-19
(주)삼영에너지주문진태양광발전소,,강원특별자치도 강릉시 주문진읍 향호리 1005-4,37.9130323211,128.7854984655,기타,정상가동,99.0,220380,60,2010,발전사업용,2009-09-24,강원특별자치도청,,2025-11-19
㈜향호(향호 태양광발전소),,강원특별자치도 강릉시 주문진읍 향호리 1005-5,37.9126481134,128.785400295,기타,정상가동,99.0,220380,60,2010,발전사업용,2009-09-24,강원특별자치도청,,2025-11-19
학산태양광발전소,,강원특별자치도 강릉시 구정면 학산리 33,37.7105286146,128.8994010776,기타,정상가동,99.0,220380,60,2010,발전사업용,2009-11-03,강원특별자치도청,,2025-11-19
솔향강릉소수력발전소,,"강원특별자치도 강릉시 홍제동 538, 홍제정수장",37.7493214775,128.8710292391,기타,정상가동,340.0,220380,60,2010,발전사업용,2010-01-06,강원특별자치도청,,2025-11-19
오로라태양광발전소,,강원특별자치도 강릉시 사천면 사천진리 98-1,37.8319651199,128.8712659152,기타,정상가동,87.0,220380,60,2011,발전사업용,2010-04-23,강원특별자치도청,,2025-11-19
주식회사 케이티,,강원특별자치도 강릉시 유산동 63-1,37.7360885839,128.9209194488,기타,정상가동,423.0,220380,60,2011,발전사업용,2010-09-09,강원특별자치도청,,2025-11-19
도영 태양광발전소,,강원특별자치도 강릉시 구정면 금광리 770-4,37.7132613409,128.9105367074,기타,정상가동,95.0,220380,60,2011,발전사업용,2010-12-09,강원특별자치도청,,2025-11-19
쏠라이앤비태양광발전소,,강원특별자치도 강릉시 구정면 학산리 314,37.7187695431,128.8910669942,기타,정상가동,199.0,220380,60,2012,발전사업용,2011-01-03,강원특별자치도청,,2025-11-19
한국농어촌공사 강릉지사(성산소수력),,강원특별자치도 강릉시 성산면 산북리 산 311-1,37.69830019,128.8201339151,기타,정상가동,530.0,220380,60,2012,발전사업용,2011-06-16,강원특별자치도청,,2025-11-19
(주) 주성 주성1호 태양광,,강원특별자치도 강릉시 사천면 판교리 528-12,37.8365738041,128.846352059,기타,정상가동,86.0,220380,60,2012,발전사업용,2012-03-12,강원특별자치도청,,2025-11-19
인봉태양광발전소,,강원특별자치도 강릉시 노암동 20-1,37.7440199208,128.9134581829,기타,정상가동,50.0,220380,60,2013,발전사업용,2012-03-13,강원특별자치도청,,2025-11-19
강릉시청(솔향강릉태양광발전소 1호),,강원특별자치도 강릉시 병산동 233-1,37.7689682292,128.9385993165,기타,정상가동,842.0,22900,60,2014,발전사업용,2012-05-21,강원특별자치도청,,2025-11-19
파워엠앤씨 ㈜창표 태양광발전소,,강원특별자치도 강릉시 주문진읍 장덕리 산 18-1,37.8800252023,128.7975543622,기타,정상가동,2094.0,22900,60,2014,발전사업용,2012-09-14,강원특별자치도청,,2025-11-19
영동 태양광발전소,,강원특별자치도 강릉시 구정면 구정리 산98,,,기타,정상가동,486.0,220380,60,2014,발전사업용,2013-07-11,강원특별자치도청,,2025-11-19
EG태양광,,강원특별자치도 강릉시 구정면 제비리 43-5,37.7293995464,128.867232116,기타,정상가동,67.0,220380,60,2014,발전사업용,2014-04-15,강원특별자치도청,,2025-11-19
동성에너지,,강원특별자치도 강릉시 구정면 제비리 43-4,37.7294666775,128.8668727787,기타,정상가동,83.0,220380,60,2014,발전사업용,2014-04-15,강원특별자치도청,,2025-11-19
정등에너지,,강원특별자치도 강릉시 구정면 제비리 43-4,37.7294666775,128.8668727787,기타,정상가동,83.0,220380,60,2015,발전사업용,2014-04-15,강원특별자치도청,,2025-11-19
선샤인 태양광발전소,,강원특별자치도 강릉시 강동면 임곡리 457-3,37.6647503284,128.9673236114,기타,정상가동,969.0,22900,60,2015,발전사업용,2014-06-27,강원특별자치도청,,2025-11-19
홍 태양광발전소,,강원특별자치도 강릉시 연곡면 동덕리 493-2,37.8588053099,128.837691551,기타,정상가동,23.0,220380,60,2015,발전사업용,2014-09-14,강원특별자치도청,,2025-11-19
이레에너지,,강원특별자치도 강릉시 사천면 덕실리 173,37.8156507243,128.8439265681,기타,정상가동,84.0,220380,60,2015,발전사업용,2014-09-19,강원특별자치도청,,2025-11-19
