태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
덕산 태양광발전소,강원특별자치도 원주시 부론면 섬뜰작실길 182-13,강원특별자치도 원주시 부론면 단강리 925,37.16965265,127.7973001,,폐기,3.0,220,60,2016,,2015-08-19,강원특별자치도 원주시청,,2025-01-31
성일 태양광발전소,강원특별자치도 원주시 호저면 신무로 27,강원특별자치도 원주시 호저면 만종리 635-2,37.35759845,127.8994225,,정상가동,99.2,380,60,2016,,2015-08-19,강원특별자치도 원주시청,,2025-01-31
부론동 태양광발전소,강원특별자치도 원주시 부론면 사기막길 4-1,강원특별자치도 원주시 부론면 단강리 478-1,37.15576726,127.8206644,,정상가동,3.0,220,60,2016,,2015-10-19,강원특별자치도 원주시청,,2025-01-31
평장리 태양광발전소,강원특별자치도 원주시 소초면 현촌길 43,강원특별자치도 원주시 소초면 평장리 898-3,37.42144474,127.9979785,,정상가동,99.9,380,60,2016,,2015-10-19,강원특별자치도 원주시청,,2025-01-31
현재 태양광발전소,강원특별자치도 원주시 소초면 장수2로 196-2,강원특별자치도 원주시 소초면 장양리 394-2,37.39883607,127.9742364,,폐기,47.74,380,60,2015,,2015-10-19,강원특별자치도 원주시청,,2025-01-31
㈜강원학교 태양광(둔둔초),강원특별자치도 원주시 소초면 버덩마을길 7,강원특별자치도 원주시 소초면 둔둔리 773,37.44666265,127.9793019,,정상가동,74.88,380,60,2016,,2015-10-26,강원특별자치도 원주시청,,2025-01-31
㈜강원학교 태양광(서곡초),강원특별자치도 원주시 판부면 용수골길 159,강원특별자치도 원주시 판부면 서곡리 1112,37.29832271,127.9390294,,정상가동,62.92,380,60,2018,,2015-10-26,강원특별자치도 원주시청,,2025-01-31
㈜강원학교 태양광(우산초),강원특별자치도 원주시 우산초교길 84,강원특별자치도 원주시 우산동 262-2,37.36960628,127.9326151,,정상가동,91.0,380,60,2016,,2015-10-26,강원특별자치도 원주시청,,2025-01-31
㈜강원학교 태양광(지정초),강원특별자치도 원주시 지정면 지정로 103,강원특별자치도 원주시 지정면 간현리 542-2,37.34824579,127.8454526,,정상가동,89.7,380,60,2016,,2015-10-26,강원특별자치도 원주시청,,2025-01-31
㈜강원학교 태양광(치악초),강원특별자치도 원주시 한지공원길 77,강원특별자치도 원주시 명륜동 709,37.33161621,127.9394333,,정상가동,96.98,380,60,2016,,2015-10-26,강원특별자치도 원주시청,,2025-01-31
㈜강원학교 태양광(학성중),강원특별자치도 원주시 동진골2길 24,강원특별자치도 원주시 일산동 250,37.35018248,127.9397356,,정상가동,72.02,380,60,2016,,2015-10-26,강원특별자치도 원주시청,,2025-01-31
상연 태양광발전소,,강원특별자치도 원주시 부론면 단강리 265,37.16526216,127.8160096,,정상가동,99.0,380,60,2016,,2015-11-13,강원특별자치도 원주시청,,2025-01-31
수연 태양광발전소,,강원특별자치도 원주시 부론면 단강리 265,37.16526216,127.8160096,,정상가동,99.0,380,60,2016,,2015-11-13,강원특별자치도 원주시청,,2025-01-31
신림 태양광발전소,강원특별자치도 원주시 신림면 치악로 166-50,강원특별자치도 원주시 신림면 신림리 386,37.24079349,128.0663477,,정상가동,99.0,380,60,2016,,2015-11-13,강원특별자치도 원주시청,,2025-01-31
정풍2 태양광발전소,,강원특별자치도 원주시 부론면 단강리 262,37.16491059,127.8153629,,정상가동,99.0,380,60,2016,,2015-11-13,강원특별자치도 원주시청,,2025-01-31
정풍3 태양광발전소,,강원특별자치도 원주시 부론면 단강리 262,37.16491059,127.8153629,,정상가동,99.0,380,60,2016,,2015-11-13,강원특별자치도 원주시청,,2025-01-31
정풍4 태양광발전소,,강원특별자치도 원주시 부론면 단강리 262,37.16491059,127.8153629,,정상가동,99.0,380,60,2016,,2015-11-13,강원특별자치도 원주시청,,2025-01-31
믿음 태양광발전소,강원특별자치도 원주시 호저면 호저로 709-14,강원특별자치도 원주시 호저면 옥산리 661-7,37.43401171,127.9277379,,정상가동,99.2,380,60,2015,,2015-12-02,강원특별자치도 원주시청,,2025-01-31
(주)강원그린채 태양광발전소,강원특별자치도 원주시 문막읍 원문로 2577,강원특별자치도 원주시 문막읍 대둔리 189,37.27656759,127.7732371,,폐기,302.4,380,60,2015,,2015-12-30,강원특별자치도 원주시청,,2025-01-31
태경 태양광발전소,강원특별자치도 원주시 흥업면 미촌길 32,강원특별자치도 원주시 흥업면 매지리 945-4,37.26042361,127.9059156,,정상가동,99.2,380,60,2016,,2015-12-30,강원특별자치도 원주시청,,2025-01-31
평장 태양광발전소,,강원특별자치도 원주시 소초면 평장리 산 252,37.41592546,128.0198463,,폐기,297.6,380,60,2015,,2015-12-30,강원특별자치도 원주시청,,2025-01-31
가온누리솔라 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 산 362,37.31945268,127.874619,,정상가동,99.2,380,60,2017,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
대통4호 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 산 362,37.31945268,127.874619,,정상가동,99.2,380,60,2017,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
반곡솔라1호 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 산 362,37.31945268,127.874619,,정상가동,99.2,380,60,2017,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
반곡솔라3호 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 산 362,37.31945268,127.874619,,정상가동,99.2,380,60,2017,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
서현쏠라8호 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 산 362,37.31945268,127.874619,,정상가동,99.96,380,60,2017,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
임호솔라1호 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 산 362,37.31945268,127.874619,,정상가동,99.2,380,60,2017,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
제이에이치솔라3호 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 553-13,37.31873326,127.8730974,,정상가동,99.2,380,60,2017,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
종민솔라1호 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 산 362,37.31945268,127.874619,,정상가동,99.2,380,60,2017,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
태진에너지 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 산 362,37.31945268,127.874619,,폐기,99.2,380,60,2016,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
행복솔라 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 산 362,37.31945268,127.874619,,정상가동,99.2,380,60,2017,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
현기쏠라2호 태양광발전소,,강원특별자치도 원주시 흥업면 대안리 산 362,37.31945268,127.874619,,정상가동,99.2,380,60,2018,,2016-01-19,강원특별자치도 원주시청,,2025-01-31
챔피언솔라1호 태양광발전소,,강원특별자치도 원주시 지정면 안창리 산 83-1,37.35448968,127.8239278,,정상가동,99.2,380,60,2018,,2016-02-23,강원특별자치도 원주시청,,2025-01-31
챔피언솔라2호 태양광발전소,,강원특별자치도 원주시 지정면 안창리 산 83-4,37.35448968,127.8239278,,정상가동,99.2,380,60,2018,,2016-02-23,강원특별자치도 원주시청,,2025-01-31
챔피언솔라3호 태양광발전소,,강원특별자치도 원주시 지정면 안창리 산 83-2,37.35448968,127.8239278,,정상가동,99.2,380,60,2018,,2016-02-23,강원특별자치도 원주시청,,2025-01-31
챔피언솔라4호 태양광발전소,,강원특별자치도 원주시 지정면 안창리 산 83-3,37.35448968,127.8239278,,정상가동,99.2,380,60,2018,,2016-02-23,강원특별자치도 원주시청,,2025-01-31
생담 태양광발전소,,강원특별자치도 원주시 호저면 무장리 457-4,37.41050502,127.8941972,,정상가동,97.2,380,60,2017,,2016-03-11,강원특별자치도 원주시청,,2025-01-31
용오름 태양광발전소,,강원특별자치도 원주시 귀래면 주포리 산 59,37.16007294,127.8586828,,폐기,99.2,380,60,2016,,2016-03-11,강원특별자치도 원주시청,,2025-01-31
법천10호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,정상가동,99.2,380,60,2017,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
법천1호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,정상가동,99.2,380,60,2017,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
법천2호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,정상가동,99.2,380,60,2017,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
법천3호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,정상가동,99.2,380,60,2017,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
법천4호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,정상가동,99.2,380,60,2017,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
법천5호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,정상가동,99.2,380,60,2017,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
법천6호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,정상가동,99.2,380,60,2017,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
법천7호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,정상가동,99.2,380,60,2017,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
법천8호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,정상가동,99.2,380,60,2017,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
법천9호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,정상가동,99.2,380,60,2017,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
원주신동 태양광발전소,,강원특별자치도 원주시 신림면 송계리 412-2,37.27889046,128.2011705,,폐기,91.12,380,60,2016,,2016-04-26,강원특별자치도 원주시청,,2025-01-31
둔둔솔라10호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 산 84-2,37.44071195,127.9869355,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
둔둔솔라11호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 산 84-2,37.44071195,127.9869355,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
둔둔솔라1호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 336-1,37.44005698,127.9860276,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
둔둔솔라2호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 산 84-2,37.44071195,127.9869355,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
둔둔솔라3호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 산 84-2,37.44071195,127.9869355,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
둔둔솔라4호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 산 84-2,37.44071195,127.9869355,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
둔둔솔라5호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 산 84-2,37.44071195,127.9869355,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
둔둔솔라6호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 산 84-2,37.44071195,127.9869355,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
둔둔솔라7호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 336-1,37.44005698,127.9860276,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
둔둔솔라8호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 산 84-2,37.44071195,127.9869355,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
둔둔솔라9호 태양광발전소,,강원특별자치도 원주시 소초면 둔둔리 336-1,37.44005698,127.9860276,,정상가동,99.2,380,60,2017,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
장성에너지-1 태양광발전소,강원특별자치도 원주시 태장공단길 42-7,강원특별자치도 원주시 태장동 1720-19,37.40576659,127.9477627,,폐기,148.8,380,60,2016,,2016-05-10,강원특별자치도 원주시청,,2025-01-31
녹산 태양광발전소,강원특별자치도 원주시 부론면 두둑말길 18,강원특별자치도 원주시 부론면 흥호리 96-3,37.24394742,127.7684318,,정상가동,60.0,380,60,2017,,2016-05-26,강원특별자치도 원주시청,,2025-01-31
믿음 태양광발전소,강원특별자치도 원주시 소초면 백교안길 11,강원특별자치도 원주시 소초면 학곡리 202-2,37.42978248,128.0604076,,정상가동,99.2,380,60,2016,,2016-05-26,강원특별자치도 원주시청,,2025-01-31
보배드림 태양광발전소,강원특별자치도 원주시 호저면 살미길 76,강원특별자치도 원주시 호저면 무장리 12,37.42338148,127.9051984,,정상가동,75.6,380,60,2020,,2016-05-26,강원특별자치도 원주시청,,2025-01-31
써니 태양광발전소,강원특별자치도 원주시 호저면 막골길 74-8,강원특별자치도 원주시 호저면 주산리 113-58,37.41889086,127.929637,,정상가동,49.6,380,60,2016,,2016-05-26,강원특별자치도 원주시청,,2025-01-31
태현 태양광발전소,,강원특별자치도 원주시 지정면 보통리 69-3,37.34933202,127.8849435,,폐기,199.64,380,60,2016,,2016-05-26,강원특별자치도 원주시청,,2025-01-31
투투 태양광발전소,강원특별자치도 원주시 문막읍 원문로 2198,강원특별자치도 원주시 문막읍 반계리 1200-1,37.29659163,127.7932338,,폐기,79.56,380,60,2016,,2016-05-26,강원특별자치도 원주시청,,2025-01-31
대통5호 태양광발전소,,강원특별자치도 원주시 부론면 법천리 산 12,37.2178561,127.7718335,,폐기,99.2,380,60,2016,,2016-06-20,강원특별자치도 원주시청,,2025-01-31
동해 태양광발전소,,강원특별자치도 원주시 신림면 금창리 246,37.24101191,128.0556967,,정상가동,99.2,380,60,2016,,2016-06-20,강원특별자치도 원주시청,,2025-01-31
