태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
(주)엔에이치엔 LS전선 동해 태양광발전소,,강원특별자치도 동해시 송정동 1697번지,37.486433349843,129.116656995749,,정상가동,2990.4,22900,60,2025,발전사업용,2024-08-28,강원특별자치도청,,2025-06-20
솔라레이진도(주) 행촌 태양광발전소,,"강원특별자치도 춘천시 남산면 행촌리 489번지 484-1,487-5,490,491,492,493,510",,,,정상가동,2591.16,22900,60,2025,발전사업용,2024-07-15,강원특별자치도청,,2025-06-20
지투에너지(주) 동원1호 태양광발전소,강원특별자치도 횡성군 우천면 우천산업단지로 75-13,,37.4851896483191,128.060196601829,,정상가동,1610.76,22900,60,2024,발전사업용,2023-09-26,강원특별자치도청,,2025-06-20
(주)네오플램,"강원특별자치도 원주시 지정면 기업도시로 1, (주)네오플램",,37.3771745651897,127.891130341215,,정상가동,2499.75,22900,60,2023,발전사업용,2023-03-13,강원특별자치도청,,2025-06-20
솔라원일호(주) 에너밸리태양광발전소,,강원특별자치도 양구군 국토정중앙면 청리 572번지,38.0821900522727,128.054059746676,,정상가동,1999.79,22900,60,2023,발전사업용,2022-11-08,강원특별자치도청,,2025-06-20
에이스에너지 태양광발전소,"강원특별자치도 태백시 오투로 229, 2층 3호(황지동)",,37.170673328543,128.96318224237,,정상가동,999.53,22900,60,2024,발전사업용,2022-10-31,강원특별자치도청,,2025-06-20
경신동해태양광발전소(주),강원특별자치도 동해시 공단6로 59-7(구호동),,37.4737821490048,129.136482367373,,정상가동,1152.8,22900,60,2023,발전사업용,2022-10-27,강원특별자치도청,,2025-06-20
(주)빌드강릉에너지((주)빌드강릉에너지2 태양광발전소),,"강원특별자치도 강릉시 왕산면 고단리 936번지 ,939,940",,,,정상가동,1591.2,22900,60,2023,발전사업용,2022-05-10,강원특별자치도청,,2025-06-20
손곡태양광발전소 (주) 상우개발,,"강원특별자치도 원주시 부론면 손곡리 583번지 ,584,585,산15-1,산15-2",,,,정상가동,1499.52,22900,60,2023,발전사업용,2022-05-10,강원특별자치도청,,2025-06-20
덕곡 태양광발전소,,"강원특별자치도 횡성군 우천면 상대리 305번지 ,306,308,310-1,-2,-3,315,318,320-2,-3",,,,정상가동,1400.0,22900,60,2023,발전사업용,2021-11-01,강원특별자치도청,,2025-06-20
아이아이알 태양광발전소,,"강원특별자치도 홍천군 남면 유치리 399번지 ,424,425,426번지건축물상부",,,,정상가동,1457.28,22900,60,2022,발전사업용,2021-08-19,강원특별자치도청,,2025-06-20
