태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
한화 163kW 태양광발전소,"경기도 가평군 조종면 운악청계로490번길 70-2, 현등연구소",,37.8578439,127.3693640973,,정상가동,163.0,22900.0,60,2008,발전사업용,2008-05-06,경기도 가평군청,,2025-05-21
위곡태양광발전소 2호기,경기도 가평군 설악면 샛자리길 33,,37.67165237,127.5227502,,정상가동,24.48,380.0,60,2024,발전사업용,2008-06-11,경기도청,,2025-05-21
위곡태양광발전소 1호기,경기도 가평군 설악면 샛자리길 33,,37.67165237,127.5227502,,정상가동,25.74,380.0,60,2024,발전사업용,2008-06-11,경기도청,,2025-05-21
GS칼텍스 인재개발원 태양광발전소,"경기도 가평군 설악면 용문천길 251-56, GS칼텍스청평연구소",,37.69808892,127.4840482,,정상가동,19.4,380.0,60,2009,발전사업용,2009-10-21,경기도 가평군청,,2025-05-21
청평양수 태양광 1발전소,,경기도 가평군 가평읍 복장리 653-7,37.7424456,127.4898571,,정상가동,408.75,49.2,60,2022,발전사업용,2010-12-24,산업통상자원부,,2025-05-21
청평양수 태양광 2발전소,,경기도 가평군 가평읍 복장리 657-1,37.740174999,127.4921542,,정상가동,287.76,49.2,60,2022,발전사업용,2010-12-24,산업통상자원부,,2025-05-21
이선희 태양광발전소,경기도 가평군 설악면 한서로 69-199,,37.68000735,127.5057364,,정상가동,28.3,380.0,60,2012,발전사업용,2011-04-26,경기도청,,2025-05-21
상색 태양광발전소,경기도 가평군 가평읍 태봉두밀로 47,,37.80422733,127.4810187,,정상가동,28.5,380.0,60,2012,발전사업용,2012-01-16,경기도청,,2025-05-21
석모태양광발전소,경기도 가평군 상면 축령로70번길 40,,37.7776667,127.3635062,,정상가동,12.0,220.0,60,2012,발전사업용,2012-02-29,경기도청,,2025-05-21
안승중 태양광 발전소,경기도 가평군 상면 원흥길 77-10,,37.81621402,127.3232417,,정상가동,12.0,380.0,60,2012,발전사업용,2012-03-28,경기도청,,2025-05-21
상색 제2 태양광 발전소,경기도 가평군 가평읍 태봉두밀로 33-58,,37.80357861,127.4810233,,정상가동,65.0,380.0,60,2012,발전사업용,2012-07-26,경기도청,,2025-05-21
미래 태양광발전소,"경기도 가평군 가평읍 북한강변로 144, ((북한강변로 144))",,37.74636644,127.5247573,,정상가동,30.0,380.0,60,2013,발전사업용,2012-10-16,경기도청,,2025-05-21
(주)대교디앤에스 [마이다스밸리 골프클럽 태양광발전소],"경기도 가평군 설악면 다락재로 73-111, (외 69필지(클럽하우스창고, 이천리 246-4(기숙사A동))",,37.6657763486,127.4586969233,,정상가동,251.0,22900.0,60,2013,발전사업용,2013-01-07,경기도청,,2025-05-21
복점 태양광발전소 2호기,,경기도 가평군 가평읍 하색리 154-1,37.80203429,127.4967676288,,정상가동,11.25,220.0,60,2013,발전사업용,2013-02-14,경기도청,,2025-05-21
복점 태양광발전소 1호기,"경기도 가평군 가평읍 달전천벚꽃길 241-237, (건물위",,37.80208646,127.4964208,,정상가동,11.25,220.0,60,2013,발전사업용,2013-02-14,경기도청,,2025-05-21
삼화B 태양광발전소,"경기도 가평군 청평면 잠곡로73번길 34, 삼화원룸",,37.73893877,127.4302969929,,정상가동,25.0,380.0,60,2013,발전사업용,2013-02-22,경기도청,,2025-05-21
삼화A 태양광발전소,경기도 가평군 청평면 잠곡로73번길 32,,37.73891054,127.4300532,,정상가동,25.0,380.0,60,2013,발전사업용,2013-02-22,경기도청,,2025-05-21
행현 태양광발전소,경기도 가평군 상면 축령로 162,,37.7759033777,127.3565513,,정상가동,15.0,220.0,60,2013,발전사업용,2013-03-04,경기도청,,2025-05-21
한청 태양광발전소,경기도 가평군 청평면 강변나루로 38,,37.7330229866,127.4147047114,,정상가동,20.0,380.0,60,2013,발전사업용,2013-03-12,경기도청,,2025-05-21
연인산 태양광발전소,경기도 가평군 조종면 연인산로 520,,37.85097634,127.3774114,,정상가동,18.72,380.0,60,2014,발전사업용,2013-08-06,경기도청,,2025-05-21
