태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
하프라인3호 태양광발전소,경기도 광주시 초월읍 현산로 341-54,경기도 광주시 초월읍 지월리 708-1,37.4148140329,127.2866275875,옥상,가동중단,39.9,380,60,2025,발전사업용,2025-07-25,경기도 광주시청,,2025-08-20
하프라인2호 태양광발전소,경기도 광주시 초월읍 현산로 341-56,경기도 광주시 초월읍 지월리 708-2,37.4145691219,127.2863727942,옥상,가동중단,89.6,380,60,2025,발전사업용,2025-07-25,경기도 광주시청,,2025-08-20
하프라인1호 태양광발전소,경기도 광주시 초월읍 현산로 341-54,경기도 광주시 초월읍 지월리 708-1,37.4148140329,127.2866275875,옥상,가동중단,89.6,380,60,2025,발전사업용,2025-07-25,경기도 광주시청,,2025-08-20
금사리 마을 태양광발전소,경기도 광주시 남종면 금사길 103,경기도 광주시 남종면 금사리 87,37.4867830638,127.3173146356,옥상,가동중단,25.0,380,60,2025,발전사업용,2025-07-25,경기도 광주시청,,2025-08-20
우수 태양광발전소,경기도 광주시 도척면 추곡길 1-72,경기도 광주시 도척면 추곡리 225,37.2791719964,127.2881179018,옥상,가동중단,61.44,380,60,2025,발전사업용,2025-07-25,경기도 광주시청,,2025-08-20
김호기2태양광발전소,경기도 광주시 봉골길171번길 12-26 (문형동),경기도 광주시 문형동 12-25,37.3574095401,127.1951726622,옥상,가동중단,87.63,380,60,2025,발전사업용,2025-07-25,경기도 광주시청,,2025-08-20
김호기1태양광발전소,경기도 광주시 봉골길171번길 12-26 (문형동),경기도 광주시 문형동 12-25,37.3574095401,127.1951726622,옥상,가동중단,44.45,380,60,2025,발전사업용,2025-07-25,경기도 광주시청,,2025-08-20
정원 태양광발전소,경기도 광주시 곤지암읍 건업길 38-87,경기도 광주시 곤지암읍 건업리 195-14,37.3931726321,127.410454986,옥상,가동중단,99.2,380,60,2025,발전사업용,2025-07-25,경기도 광주시청,,2025-08-20
동막 태양광발전소 2호,경기도 광주시 초월읍 곤지암천로 53-11,경기도 광주시 초월읍 늑현리 131-6,37.3629517939,127.3218075059,옥상,가동중단,38.4,380,60,2025,발전사업용,2025-07-24,경기도 광주시청,,2025-08-20
서광 태양광발전소,경기도 광주시 곤지암읍 신만로409번길 48,경기도 광주시 곤지암읍 부항리 351,37.3611802357,127.3923512338,옥상,가동중단,89.6,380,60,2025,발전사업용,2025-07-24,경기도 광주시청,,2025-08-20
그린 태양광발전소,경기도 광주시 곤지암읍 독고개길 127-84,경기도 광주시 곤지암읍 삼리 600-37,37.3478978225,127.3126709726,옥상,가동중단,84.46,380,60,2025,발전사업용,2025-07-22,경기도 광주시청,,2025-08-20
경원2 태양광발전소,경기도 광주시 곤지암읍 부항길 45-1,경기도 광주시 곤지암읍 부항리 148-5,37.355528193,127.399986968,옥상,가동중단,104.96,380,60,2025,발전사업용,2025-07-22,경기도 광주시청,,2025-08-20
경원1 태양광발전소,경기도 광주시 곤지암읍 도척윗로 29,경기도 광주시 곤지암읍 삼리 43-8,37.3454811319,127.3339858452,옥상,가동중단,30.72,380,60,2025,발전사업용,2025-07-22,경기도 광주시청,,2025-08-20
제이에이치알1호 태양광발전소,경기도 광주시 도척면 다람로36번길 41,경기도 광주시 도척면 궁평리 211,37.3341524469,127.3211462317,옥상,가동중단,80.0,380,60,2025,발전사업용,2025-07-21,경기도 광주시청,,2025-08-20
최순재 태양광발전소,경기도 광주시 곤지암읍 장심길 280,경기도 광주시 곤지암읍 장심리 12-3,37.3920061288,127.3881478504,옥상,가동중단,28.8,380,60,2025,발전사업용,2025-07-21,경기도 광주시청,,2025-08-20
제이에이치알2호 태양광발전소,경기도 광주시 도척면 다람로36번길 41,경기도 광주시 도척면 궁평리 211,37.3341524469,127.3211462317,옥상,가동중단,41.6,380,60,2025,발전사업용,2025-07-21,경기도 광주시청,,2025-08-20
진흥통상 1호 태양광발전소,경기도 광주시 초월읍 산수로622번길 46,경기도 광주시 초월읍 신월리 340-20,37.4136121998,127.3077074739,옥상,가동중단,422.4,380,60,2025,발전사업용,2025-07-21,경기도 광주시청,,2025-08-20
선아1호 태양광발전소,경기도 광주시 초월읍 무들로8번길 25,경기도 광주시 초월읍 대쌍령리 260,37.3846324481,127.2924895823,옥상,가동중단,68.58,380,60,2025,발전사업용,2025-07-16,경기도 광주시청,,2025-08-20
선아2호 태양광발전소,경기도 광주시 초월읍 무들로8번길 25,경기도 광주시 초월읍 대쌍령리 260,37.3846324481,127.2924895823,옥상,가동중단,53.98,380,60,2025,발전사업용,2025-07-16,경기도 광주시청,,2025-08-20
