태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
조호,경기도 동두천시 삼육사로 692번길 207-1,경기도 동두천시 상패동 738-11,37.90155461,127.0256202,옥상,정상가동,49.5,380,60,2014,,2014-02-12,경기도 동두천시,,2025-11-12
곡천,경기도 동두천시 삼육사로 692번길 193,경기도 동두천시 상패동 687-2,37.90187213,127.025528,옥상,정상가동,42.5,380,60,2014,,2014-02-12,경기도 동두천시,,2025-11-12
금강에너지,경기도 동두천시 중앙로 321,경기도 동두천시 생연동 555-2,37.91013766,127.0550159,옥상,정상가동,24.92,380,60,2014,,2014-05-23,경기도 동두천시,,2025-11-12
순효학원1호,,경기도 동두천시 탑동동 산155-1,37.89460112,127.1212028,기타,정상가동,39.69,380,60,2016,,2015-04-10,경기도 동두천시,,2025-11-12
신흥비젼센타,경기도 동두천시 신천로 159,경기도 동두천시 안흥동 36,37.93106706,127.0478141,옥상,정상가동,30.0,380,60,2016,,2015-08-12,경기도 동두천시,,2025-11-12
동두천복합화력1호,,경기도 동두천시 광암동 247,37.90094497,127.0873652,옥상,정상가동,139.13,380,60,2016,,2015-09-03,경기도 동두천시,,2025-11-12
동두천복합화력2호,,경기도 동두천시 광암동 274-2,37.90399963,127.0884474,옥상,정상가동,131.71,380,60,2016,,2015-09-03,경기도 동두천시,,2025-11-12
강북1호,"경기도 동두천시 삼육사로 692번길 207-17(2, 3, 4동)","경기도 동두천시 상패동 738-3 (2, 3, 4동)",37.90195813,127.0265063,옥상,정상가동,99.0,380,60,2017,,2016-10-10,경기도 동두천시,,2025-11-12
강북2호,"경기도 동두천시 삼육사로 692번길 207-17(1, 5, 6동)","경기도 동두천시 상패동 738-3 (1, 5, 6동)",37.90195813,127.0265063,옥상,정상가동,99.0,380,60,2017,,2016-10-10,경기도 동두천시,,2025-11-12
개미와베짱이,경기도 동두천시 삼육사로 596번길51-10,경기도 동두천시 상패동 825-1,37.90788233,127.0198744,옥상,정상가동,52.75,380,60,2016,,2016-10-18,경기도 동두천시,,2025-11-12
일주,경기도 동두천시 장고갯로 147,경기도 동두천시 생연동 222,37.90808214,127.0650978,옥상,정상가동,49.77,380,60,2017,,2017-02-28,경기도 동두천시,,2025-11-12
kepco-3-1-신흥고 태양광발전소,경기도 동두천시 신천로 159,경기도 동두천시 안흥동 36,37.93106706,127.0478141,옥상,정상가동,88.2,380,60,2017,,2017-04-12,경기도 동두천시,,2025-11-12
태림,경기도 동두천시 천보산로 677,경기도 동두천시 탑동동 783-3,37.88980646,127.0895464,옥상,정상가동,19.21,380,60,2017,,2017-08-07,경기도 동두천시,,2025-11-12
상패동,경기도 동두천시 삼육사로 659번길 43,경기도 동두천시 상패동 562-5,37.91147135,127.0258009,옥상,정상가동,59.64,380,60,2018,,2017-10-13,경기도 동두천시,,2025-11-12
이은석1호,,경기도 동두천시 상패동 817-1,37.90683842,127.0237138,기타,정상가동,99.72,380,60,2019,,2017-11-03,경기도 동두천시,,2025-11-12
크린토피아 스테이 태양광발전소,경기도 동두천시 봉동로 95번길39-10,경기도 동두천시 상봉암동 330-6,37.95095427,127.0502365,옥상,정상가동,99.0,380,60,2018,,2017-11-08,경기도 동두천시,,2025-11-12
안말,,경기도 동두천시 하봉암동 396-5,37.96234657,127.0557486,기타,정상가동,96.56,380,60,2019,,2017-07-05,경기도 동두천시,,2025-11-12
우진,경기도 동두천시 삼육사로692번길 188-24,경기도 동두천시 상패동 721-1,37.90191183,127.0239596,옥상,정상가동,199.29,380,60,2019,,2018-07-11,경기도 동두천시,,2025-11-12
한주2호,경기도 동두천시 갈마지길 223-12,경기도 동두천시 상패동 330-1,37.8964822,127.0404154,옥상,정상가동,70.08,380,60,2018,,2018-08-24,경기도 동두천시,,2025-11-12
한주1호,경기도 동두천시 갈마지길 223-12,경기도 동두천시 상패동 330-1,37.8964822,127.0404154,옥상,정상가동,70.08,380,60,2018,,2018-08-24,경기도 동두천시,,2025-11-12
지행동,경기도 동두천시 생연로 39-60,경기도 동두천시 지행동 669-9,37.89641395,127.0479655,옥상,정상가동,14.4,380,60,2019,,2018-08-24,경기도 동두천시,,2025-11-12
가마소,,경기도 동두천시 상패동 772-6,37.90422751,127.0208363,옥상,정상가동,131.4,380,60,2019,,2018-11-06,경기도 동두천시,,2025-11-12
상패2호,경기도 동두천시 삼육사로 659번길 43,경기도 동두천시 상패동 562-5,37.91147135,127.0258009,기타,정상가동,92.16,380,60,2019,,2018-12-10,경기도 동두천시,,2025-11-12
이은석2호,,경기도 동두천시 상패동 817-1,37.90683842,127.0237138,기타,정상가동,97.2,380,60,2019,,2019-01-28,경기도 동두천시,,2025-11-12
송태,경기도 동두천시 벌마들로114번길 36-5,경기도 동두천시 상패동 360-8,37.89952558,127.0326115,옥상,정상가동,98.28,380,60,2019,,2019-01-31,경기도 동두천시,,2025-11-12
곡천2호,경기도 동두천시 삼육사로692번길 232-7,경기도 동두천시 상패동 726,37.89969615,127.0243369,옥상,정상가동,99.72,380,60,2019,,2019-04-17,경기도 동두천시,,2025-11-12
한주3호,경기도 동두천시 갈마지길 223-12,경기도 동두천시 상패동 330-1,37.8964822,127.0404154,기타,정상가동,98.28,380,60,2019,,2019-05-20,경기도 동두천시,,2025-11-12
성경원,경기도 동두천시 평화로3208번길 43-22,경기도 동두천시 하봉암동 1,37.97446158,127.0701053,옥상,정상가동,62.72,380,60,2020,,2019-11-20,경기도 동두천시,,2025-11-12
한주4호,경기도 동두천시 갈마지길 223-12,경기도 동두천시 상패동 330-1,37.8964822,127.0404154,옥상,정상가동,29.88,380,60,2020,,2020-09-03,경기도 동두천시,,2025-11-12
트윈,경기도 동두천시 강변로 292,경기도 동두천시 지행동 661,37.89679699,127.0458198,옥상,정상가동,20.0,380,60,2020,,2020-09-03,경기도 동두천시,,2025-11-12
워시월드,경기도 동두천시 거북마루로11번길 14-9,경기도 동두천시 지행동 667-6,37.89684437,127.0474355,옥상,정상가동,18.9,380,60,2021,,2020-11-06,경기도 동두천시,,2025-11-12
계룡농장1호태양광발전소,경기도 동두천시 삼육사로 548번길 42,경기도 동두천시 상패동 1007,37.90807855,127.0127805,옥상,정상가동,99.45,380,60,2022,,2021-08-05,경기도 동두천시,,2025-11-12
계룡농장2호태양광발전소,경기도 동두천시 삼육사로 548번길 42,경기도 동두천시 상패동 1007,37.90807855,127.0127805,옥상,정상가동,99.45,380,60,2022,,2021-08-05,경기도 동두천시,,2025-11-12
계룡농장3호태양광발전소,경기도 동두천시 삼육사로 548번길 42,경기도 동두천시 상패동 1007,37.90807855,127.0127805,옥상,정상가동,99.45,380,60,2022,,2021-08-05,경기도 동두천시,,2025-11-12
계룡농장4호태양광발전소,경기도 동두천시 삼육사로 548번길 42,경기도 동두천시 상패동 1007,37.90807855,127.0127805,옥상,정상가동,99.45,380,60,2022,,2021-08-05,경기도 동두천시,,2025-11-12
계룡농장5호태양광발전소,경기도 동두천시 삼육사로 548번길 42,경기도 동두천시 상패동 1007,37.90807855,127.0127805,옥상,정상가동,162.0,380,60,2022,,2021-08-05,경기도 동두천시,,2025-11-12
롯데마트동두천점태양광발전소,경기도 동두천시 평화로2169번길 21(송내동),경기도 동두천시 송내동 551,37.88094591,127.0531366,옥상,정상가동,446.88,380,60,2022,,2021-08-11,경기도 동두천시,,2025-11-12
휴태양광발전소,경기도 동두천시 천보산로 677,경기도 동두천시 탑동동 783-3,37.88980646,127.0895464,옥상,정상가동,19.69,380,60,2021,,2021-11-11,경기도 동두천시,,2025-11-12
고상욱태양광발전소,경기도 동두천시 삼육사로691번길 14(상패동),경기도 동두천시 상패동 458,37.91003906,127.0312664,옥상,정상가동,330.24,380,60,2022,,2021-09-10,경기도 동두천시,,2025-11-12
동두천자연에너지햇빛1호 발전소,"경기도 동두천시 지행로 50, 성지에스앤비타워 7층 709호 (지행동)",경기도 동두천시 지행동 718-2,37.89209059,127.0526057,옥상,정상가동,58.41,380,60,2023,,2022-11-21,경기도 동두천시,,2025-11-12
천하태양광발전소,경기도 동두천시 삼육사로685번길 67-5(상패동),경기도 동두천시 상패동 568-4,37.91227719,127.0279414,옥상,정상가동,99.45,380,60,2023,,2022-11-28,경기도 동두천시,,2025-11-12
금토일태양광발전소,"경기도 동두천시 상패로 17, 스크린골프존골프샵 (상패동)",경기도 동두천시 상패동 137-2,37.90648669,127.0425837,옥상,정상가동,99.96,380,60,2024,,2022-12-09,경기도 동두천시,,2025-11-12
유형1 태양광발전소,경기도 동두천시 못골로134번길 209(걸산동),"경기도 동두천시 걸산동 359, 361",37.91391745,127.0749577,기타,정상가동,99.0,380,60,2024,,2022-12-21,경기도 동두천시,,2025-11-12
유형2 태양광발전소,경기도 동두천시 못골로134번길 209(걸산동),"경기도 동두천시 걸산동 359, 361",37.91391745,127.0749577,기타,정상가동,99.0,380,60,2024,,2022-12-21,경기도 동두천시,,2025-11-12
유형4 태양광발전소,경기도 동두천시 못골로134번길 209(걸산동),경기도 동두천시 걸산동 359,37.91391745,127.0749577,기타,정상가동,99.0,380,60,2024,,2022-12-21,경기도 동두천시,,2025-11-12
나진1 태양광발전소,경기도 동두천시 못골로134번길 209(걸산동),경기도 동두천시 걸산동 359,37.91391745,127.0749577,기타,정상가동,99.0,380,60,2024,,2022-12-21,경기도 동두천시,,2025-11-12
나진2 태양광발전소,경기도 동두천시 못골로134번길 209(걸산동),경기도 동두천시 걸산동 359,37.91391745,127.0749577,기타,정상가동,99.0,380,60,2024,,2022-12-21,경기도 동두천시,,2025-11-12
나진3 태양광발전소,경기도 동두천시 못골로134번길 209(걸산동),경기도 동두천시 걸산동 359,37.91391745,127.0749577,기타,정상가동,99.0,380,60,2024,,2022-12-21,경기도 동두천시,,2025-11-12
원진1 태양광발전소,경기도 동두천시 못골로134번길 209(걸산동),"경기도 동두천시 걸산동 359, 361",37.91391745,127.0749577,기타,정상가동,99.0,380,60,2024,,2022-12-21,경기도 동두천시,,2025-11-12
원진2 태양광발전소,,경기도 동두천시 걸산동 361,37.91423354,127.0757402,기타,정상가동,99.0,380,60,2024,,2022-12-21,경기도 동두천시,,2025-11-12
원진3 태양광발전소,,경기도 동두천시 걸산동 361,37.91423354,127.0757402,기타,정상가동,99.0,380,60,2024,,2022-12-21,경기도 동두천시,,2025-11-12
원진4 태양광발전소,,"경기도 동두천시 걸산동 359, 361",37.91390789,127.0749735,기타,정상가동,99.0,380,60,2024,,2022-12-21,경기도 동두천시,,2025-11-12
비젼1호 태양광발전소,경기도 동두천시 삼육사로659번길 119-38 (상패동),경기도 동두천시 상패동 884-1,37.91586324,127.0233198,옥상,정상가동,92.82,380,60,2024,,2023-08-14,경기도 동두천시,,2025-11-12
비젼2호 태양광발전소,"경기도 동두천시 삼육사로659번길 119-38, 가동, 라동 (상패동)",경기도 동두천시 상패동 884-1,37.91586324,127.0233198,옥상,정상가동,92.82,380,60,2024,,2023-08-14,경기도 동두천시,,2025-11-12
비젼3호 태양광발전소,"경기도 동두천시 삼육사로659번길 119-38, 가동 (상패동)",경기도 동두천시 상패동 884-1,37.91586324,127.0233198,옥상,정상가동,92.82,380,60,2024,,2023-08-14,경기도 동두천시,,2025-11-12
비젼4호 태양광발전소,"경기도 동두천시 삼육사로659번길 119-38, 가동 ,라동 (상패동)",경기도 동두천시 상패동 884-1,37.91586324,127.0233198,옥상,정상가동,92.82,380,60,2024,,2023-08-14,경기도 동두천시,,2025-11-12
비젼5호 태양광발전소,"경기도 동두천시 삼육사로659번길 119-38, 라동 (상패동)",경기도 동두천시 상패동 884-1,37.91586324,127.0233198,옥상,정상가동,77.35,380,60,2024,,2023-08-14,경기도 동두천시,,2025-11-12
공주비철 1호 태양광발전소,"경기도 동두천시 삼육사로659번길 95, 건물 위 (상패동)",경기도 동두천시 상패동 557-10,37.91326137,127.0239926,옥상,정상가동,30.6,380,60,2024,,2023-10-06,경기도 동두천시,,2025-11-12
공주비철 2호 태양광발전소,"경기도 동두천시 삼육사로659번길 95, 건물 위 (상패동)",경기도 동두천시 상패동 557-10,37.91326137,127.0239926,옥상,정상가동,28.8,380,60,2024,,2023-10-06,경기도 동두천시,,2025-11-12
제이에이치(JH) 발전소,경기도 동두천시 동광로 75 (생연동),경기도 동두천시 생연동 615-23,37.90890959,127.0565244,옥상,정상가동,19.8,380,60,2024,,2023-11-22,경기도 동두천시,,2025-11-12
썬사인 태양광발전소,경기도 동두천시 강변로 808-6 (동두천동),경기도 동두천시 동두천동 554-2,37.9378315,127.0518748,옥상,정상가동,62.64,380,60,2024,,2023-12-29,경기도 동두천시,,2025-11-12
제이에너지 태양광발전소,"경기도 동두천시 강변로850번길 27, (주)티에라 (동두천동)",경기도 동두천시 동두천동 556-2,37.94006953,127.0548135,옥상,정상가동,366.42,380,60,2024,,2024-01-12,경기도 동두천시,,2025-11-12
동두천상패 태양광발전소,"경기도 동두천시 벌마들로 106, 108 (건물 위) (상패동)",경기도 동두천시 상패동 255,37.89966372,127.0353132,옥상,정상가동,93.13,380,60,2024,,2024-02-28,경기도 동두천시,,2025-11-12
세코에너지1호 태양광발전소,경기도 동두천시 평화로2862번길 22 (상봉암동),경기도 동두천시 상봉암동 146-4,37.94176375,127.0587361,옥상,정상가동,99.83,380,60,2024,,2024-03-05,경기도 동두천시,,2025-11-12
세코에너지3호 태양광발전소,경기도 동두천시 평화로2862번길 22 (상봉암동),경기도 동두천시 상봉암동 146-4,37.94176375,127.0587361,옥상,정상가동,59.29,380,60,2024,,2024-03-05,경기도 동두천시,,2025-11-12
