태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
성원기계 태양광발전소,경기도 시흥시 산기대학로 322 (정왕동),경기도 시흥시 정왕동 1290-16,37.3343084729765,126.739983083756,옥상,정상가동,100.0,380,60,2008,전기사업용,2008-02-18,경기도 시흥시청,,2025-05-10
(주)와이에스썸텍 태양광발전소2호기,경기도 시흥시 희망공원로 201 (정왕동),경기도 시흥시 정왕동 1258-3,37.339802278645,126.720371815198,옥상,정상가동,60.9,220,60,2008,전기사업용,2008-04-10,경기도 시흥시청,,2025-05-10
(주)와이에스썸텍 태양광발전소 3호기,경기도 시흥시 희망공원로 201 (정왕동),경기도 시흥시 정왕동 1258-3,37.339802278645,126.720371815198,옥상,정상가동,70.0,380,60,2009,전기사업용,2008-12-02,경기도 시흥시청,,2025-05-10
와이에스썸텍 태양광발전소,경기도 시흥시 희망공원로 201 (정왕동),경기도 시흥시 정왕동 1258-3,37.339802278645,126.720371815198,옥상,정상가동,20.0,220,60,2009,전기사업용,2007-02-20,경기도 시흥시청,,2025-05-10
지엠 태양광발전소,경기도 시흥시 공단2대로 236 (정왕동),경기도 시흥시 정왕동 2183-3,37.3247322297668,126.716856382664,옥상,정상가동,99.75,380,60,2009,전기사업용,2009-07-20,경기도 시흥시청,,2025-05-10
성진기계 태양광발전소[(주)성진기계],경기도 시흥시 공단2대로 236 (정왕동),경기도 시흥시 정왕동 2183-3,37.3247322297668,126.716856382664,옥상,정상가동,29.7,380,60,2009,전기사업용,2009-07-20,경기도 시흥시청,,2025-05-10
승찬 발전소,경기도 시흥시 수인로3077번길 14-8 (안현동),경기도 시흥시 안현동 369,37.4299158135617,126.81163569642,옥상,정상가동,8.97,380,60,2011,전기사업용,2011-04-25,경기도 시흥시청,,2025-05-10
시흥시민햇빛발전소[(주)시흥시민햇빛발전],경기도 시흥시 중심상가로 155 (정왕동),경기도 시흥시 정왕동 1728-17,37.3464122182508,126.733329308377,옥상,정상가동,30.0,380,60,2012,전기사업용,2011-04-22,경기도 시흥시청,,2025-05-10
성담시화 이마트 햇빛발전소,경기도 시흥시 정왕대로 210 (정왕동),경기도 시흥시 정왕동 1734-2,37.3459359611744,126.736881951559,옥상,정상가동,63.0,380,60,2013,전기사업용,2013-07-26,경기도 시흥시청,,2025-05-10
시흥정수장 태양광발전소[한국수자원공사],,경기도 시흥시 군자동 786,37.3527945069093,126.790779540375,옥상,정상가동,99.2,380,60,2013,전기사업용,2013-10-24,경기도 시흥시청,,2025-05-10
인지컨트롤스(주) 태양광발전소,경기도 시흥시 군자천로 165 (정왕동),경기도 시흥시 정왕동 1267-3,37.3345912350475,126.72265268842,옥상,정상가동,200.0,22900,60,2014,전기사업용,2013-08-14,경기도 시흥시청,,2025-05-10
동아레이져 태양광발전소,경기도 시흥시 공단1대로 55 (정왕동),경기도 시흥시 정왕동 1244-9,37.3466733425883,126.711963968098,옥상,정상가동,259.2,22900,60,2014,전기사업용,2013-11-22,경기도 시흥시청,,2025-05-10
대야 태양광발전소,,경기도 시흥시 대야동 12-1,37.4633097861128,126.784233973402,옥상,정상가동,14.4,380,60,2014,전기사업용,2014-02-26,경기도 시흥시청,,2025-05-10
(주)대야성당 태양광발전소,경기도 시흥시 문화마을로16번길 33 (대야동),경기도 시흥시 대야동 482-5,37.4450261226507,126.783457360073,옥상,정상가동,50.0,380,60,2014,전기사업용,2013-12-03,경기도 시흥시청,,2025-05-10
한산테크 태양광발전소,경기도 시흥시 공단1대로321번길 14 (정왕동),경기도 시흥시 정왕동 1289-10,37.3326766231179,126.736644302573,옥상,정상가동,92.28,380,60,2014,전기사업용,2014-01-07,경기도 시흥시청,,2025-05-10
대한크레인 태양광발전소,경기도 시흥시 봉우재로 131 (정왕동),경기도 시흥시 정왕동 608-6,37.3529075686241,126.750909271718,옥상,정상가동,20.0,380,60,2014,전기사업용,2014-02-11,경기도 시흥시청,,2025-05-10
동서이태양광발전소,경기도 시흥시 마유로92번길 27 (정왕동),경기도 시흥시 정왕동 1371-7,37.3274316863149,126.721475785813,옥상,정상가동,99.64,380,60,2014,전기사업용,2014-08-25,경기도 시흥시청,,2025-05-10
화성일태양광발전소,경기도 시흥시 마유로92번길 27 (정왕동),경기도 시흥시 정왕동 1371-7,37.3274316863149,126.721475785813,옥상,정상가동,99.64,380,60,2014,전기사업용,2014-07-22,경기도 시흥시청,,2025-05-10
YES 동원시화 태양광발전소,경기도 시흥시 오이도로 22-12(정왕동),경기도 시흥시 정왕동 2209,37.3469477412825,126.702333089218,옥상,정상가동,954.0,22900,60,2014,전기사업용,2014-03-24,경기도 시흥시청,,2025-05-10
사랑태양광발전소,,경기도 시흥시 정왕동 301,37.3646182808982,126.760637789326,옥상,정상가동,27.0,380,60,2014,전기사업용,2014-08-29,경기도 시흥시청,,2025-05-10
좋은환경태양광발전소,경기도 시흥시 시화벤처로315번길 13 (정왕동),경기도 시흥시 정왕동 2619-5,37.3185079211017,126.71289651163,옥상,정상가동,90.0,380,60,2014,전기사업용,2014-09-22,경기도 시흥시청,,2025-05-10
트윈시스템 동남 태양광발전소,경기도 시흥시 정왕천로 155 (정왕동),경기도 시흥시 정왕동 1286-1,37.3263178880419,126.733150535079,옥상,정상가동,520.0,22900,60,2014,전기사업용,2014-11-21,경기도 시흥시청,,2025-05-10
서해안1호태양광발전소,경기도 시흥시 정왕동 시화벤처로315번길 13 (정왕동),경기도 시흥시 정왕동 2619-5,37.3185079211017,126.71289651163,옥상,정상가동,99.0,380,60,2014,전기사업용,2014-09-22,경기도 시흥시청,,2025-05-10
삼호태양광발전소,경기도 시흥시 정왕동 시화벤처로315번길 13 (정왕동),경기도 시흥시 정왕동 2619-5,37.3185079211017,126.71289651163,옥상,정상가동,90.0,380,60,2014,전기사업용,2014-09-22,경기도 시흥시청,,2025-05-10
장수 태양광발전소,경기도 시흥시 계수로 213 (계수동),경기도 시흥시 계수동 144-7,37.4527703787681,126.821855946304,옥상,정상가동,22.5,380,60,2015,전기사업용,2014-01-21,경기도 시흥시청,,2025-05-10
영일 태양광발전소,경기도 시흥시 계수로 211 (계수동),경기도 시흥시 계수동 144-3,37.4526808460807,126.82169522073,옥상,정상가동,30.0,380,60,2015,전기사업용,2014-01-21,경기도 시흥시청,,2025-05-10
광은테크 태양광발전소[광은테크(주)],경기도 시흥시 마유로92번길 76 (정왕동),경기도 시흥시 정왕동 1380-3,37.3241535208959,126.725197352785,옥상,정상가동,99.75,380,60,2015,전기사업용,2013-08-14,경기도 시흥시청,,2025-05-10
밀레니엄태양광발전소,경기도 시흥시 동서로 1106 (목감동),경기도 시흥시 목감동 202-23,37.3873772877041,126.861293551247,옥상,정상가동,92.82,380,60,2015,전기사업용,2015-06-08,경기도 시흥시청,,2025-05-10
인지솔라4호세아에스에이태양광발전소,경기도 시흥시 엠티브이25로58번길 5 (정왕동),경기도 시흥시 정왕동 2617,37.3206203403446,126.711580329424,옥상,정상가동,189.0,380,60,2016,전기사업용,2015-07-17,경기도 시흥시청,,2025-05-10
