태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
부광모터스 태양광발전소,경기도 안양시 만안구 박달로275번길 41,경기도 안양시 만안구 박달동 782,37.406075,126.8846805148,,정상가동,18.15,380,60,2024,,,,,2025-12-19
정희 태양광발전소,경기도 안양시 만안구 박달로 544-1,경기도 안양시 만안구 안양동 900-36,37.402465,126.913164,,정상가동,19.36,380,60,2024,,,,,2025-12-19
안양시민햇빛발전소4호기,경기도 안양시 동안구 관평로358번길 30,경기도 안양시 동안구 관양동 1407-12,37.406433,126.961089,,정상가동,111.27,380,60,2024,,,,,2025-12-19
유은솔라 태양광발전소,경기도 안양시 동안구 관악대로287번길 27,경기도 안양시 동안구 관양동 1380-2,37.404139,126.954471,,정상가동,49.01,380,60,2024,,,,,2025-12-19
평촌신도시 태양광발전소,경기도 안양시 동안구 시민대로 301,경기도 안양시 동안구 관양동 1597-2,37.39591,126.963521,,정상가동,30.94,380,60,2024,,,,,2025-12-19
부림 태양광 발전소,경기도 안양시 동안구 엘에스로91번길 32-11,경기도 안양시 동안구 호계동 1027-13,37.36973,126.948909,,정상가동,39.87,380,60,2024,,,,,2025-12-19
넥시티 1호 태양광발전소,경기도 안양시 만안구 예술공원로 153-32,경기도 안양시 만안구 석수동 825-1,37.41969,126.923894,,정상가동,166.2,380,60,2024,,,,,2025-12-19
영풍종합건재 태양광발전소,경기도 안양시 만안구 안양로 397,경기도 안양시 만안구 안양동 837-15,37.406205,126.914948,,정상가동,17.11,380,60,2022,,,,,2025-12-19
지엔티 태양광발전소,경기도 안양시 만안구 병목안로 122,경기도 안양시 만안구 안양동 759-41,37.393015,126.909673,,정상가동,12.96,380,60,2022,,,,,2025-12-19
은하 태양광발전소,경기도 안양시 만안구 전파로24번길 35-20,경기도 안양시 만안구 안양동 196-46,37.389207,126.936488,,정상가동,40.74,380,60,2023,,,,,2025-12-19
빼꼼 태양광발전소,경기도 안양시 동안구 인덕원로24번길 26,경기도 안양시 동안구 관양동 1490-15,37.401161,126.975064,,정상가동,17.28,380,60,2022,,,,,2025-12-19
평촌 태양광 발전소,경기도 안양시 동안구 평촌대로 99,경기도 안양시 동안구 호계동 1073-2,37.381372,126.96053,,정상가동,25.48,380,60,2022,,,,,2025-12-19
안양시민햇빛발전소3호기,경기도 안양시 동안구 흥안대로507번길 23,경기도 안양시 동안구 관양동 1497,37.39891,126.975096,,정상가동,92.4,380,60,2021,,,,,2025-12-19
(주)다사론 태양광발전소,경기도 안양시 동안구 벌말로 72-13,경기도 안양시 동안구 관양동 922-14,37.395026,126.970707,,정상가동,19.36,380,60,2021,,,,,2025-12-19
은성 태양광발전소,경기도 안양시 동안구 관악대로 378,경기도 안양시 동안구 관양동 1459-1,37.404131,126.964925,,정상가동,19.8,380,60,2021,,,,,2025-12-19
543태양광발전소,경기도 안양시 동안구 경수대로 543,경기도 안양시 동안구 호계동 959-6,37.371232,126.957487,,정상가동,19.98,380,60,2020,,,,,2025-12-19
안양시민햇빛발전소2호기,경기도 안양시 만안구 안양로 595,경기도 안양시 만안구 석수동 251-1,37.422219,126.902745,,정상가동,349.44,380,60,2019,,,,,2025-12-19
와이케이6호태양광발전소,경기도 안양시 만안구 박달로 337-53,경기도 안양시 만안구 박달동 635-4,37.408568,126.891226,,정상가동,397.88,380,60,2018,,,,,2025-12-19
보덕 태양광발전소(1호기),경기도 안양시 동안구 관악대로434번길 34,경기도 안양시 동안구 관양동 1471-6,37.403168,126.970776,,정상가동,18.36,380,60,2018,,,,,2025-12-19
보덕 태양광발전소(2호기),경기도 안양시 동안구 관악대로434번길 34,경기도 안양시 동안구 관양동 1471-6,37.403168,126.970776,,정상가동,12.24,380,60,2018,,,,,2025-12-19
(주)가산 태양광발전소,경기도 안양시 만안구 박달로 337-54,경기도 안양시 만안구 박달동 613-7,37.407671,126.892718,,정상가동,150.75,380,60,2018,,,,,2025-12-19
구동파워 태양광발전소,경기도 안양시 만안구 병목안로156번길 24-15,경기도 안양시 만안구 안양동 1005-3,37.39042,126.9085,,정상가동,19.8,380,60,2018,,,,,2025-12-19
조선일보 3호 태양광발전소 평촌사옥,경기도 안양시 동안구 관평로 175,경기도 안양시 동안구 관양동 1591-8,37.392223,126.959495,,정상가동,82.46,380,60,2016,,,,,2025-12-19
동보프라자태양광발전소,경기도 안양시 동안구 시민대로109번길 24-3,경기도 안양시 동안구 호계동 901-5,37.388326,126.944949,,정상가동,148.2,380,60,2015,,,,,2025-12-19
안양시민햇빛발전소1호기 [안양군포의왕시민햇빛발전사회적협동조합],경기도 안양시 동안구 경수대로 594,경기도 안양시 동안구 호계동 985-19,37.375656,126.956924,,정상가동,25.0,380,60,2015,,,,,2025-12-19
영일파워태양광발전소,경기도 안양시 만안구 양화로 90,경기도 안양시 만안구 안양동 908-20,37.401198,126.911741,,정상가동,15.0,380,60,2015,,,,,2025-12-19
김문종1호 태양광발전소,경기도 안양시 동안구 흥안대로517번길 30-6,경기도 안양시 동안구 관양동 1491-13,37.400297,126.974949,,정상가동,18.0,380,60,2014,,,,,2025-12-19
제이와이 솔라 파워,경기도 안양시 동안구 흥안대로 467,경기도 안양시 동안구 평촌동 80-1,37.396128,126.9757,,정상가동,19.08,380,60,2014,,,,,2025-12-19
