태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
나라상사발전소 1호 태양광발전소,경기도 양주시 은현면 운하로101번길 28,"경기도 양주시 은현면 운암리 396-40 , 396-51",37.8807581175148,127.008535087932,,정상가동,99.6,380,60,2024,,2024-08-19,경기도 양주시청,,2024-10-10
나라상사발전소 2호 태양광발전소,경기도 양주시 은현면 운하로101번길 28,"경기도 양주시 은현면 운암리 396-40 , 396-51",37.8807581175148,127.008535087932,,정상가동,33.6,380,60,2024,,2024-08-19,경기도 양주시청,,2024-10-10
창현2호 태양광발전소,경기도 양주시 은현면 봉암11길 5,경기도 양주시 은현면 봉암리 203-11 (건물 위),37.9083857018944,127.007268117513,,정상가동,30.0,380,60,2024,,2024-08-06,경기도 양주시청,,2024-10-10
창현1호 태양광발전소,경기도 양주시 은현면 봉암11길 10,경기도 양주시 은현면 봉암리 203-2 (건물 위),37.9086806713829,127.007258822124,,정상가동,27.0,380,60,2024,,2024-08-06,경기도 양주시청,,2024-10-10
효성산업 2호 태양광발전소,경기도 양주시 은현면 화합로691번길 232-32,"경기도 양주시 은현면 운암리 156-7 , 156-36, 156-37, 166(건물 위)",37.8728475029064,127.015014224537,,정상가동,89.25,380,60,2024,,2024-08-06,경기도 양주시청,,2024-10-10
효성산업 1호 태양광발전소,경기도 양주시 은현면 화합로691번길 232-32,"경기도 양주시 은현면 운암리 156-7 , 156-36, 156-37, 166(건물 위)",37.8728475029064,127.015014224537,,정상가동,99.96,380,60,2024,,2024-08-06,경기도 양주시청,,2024-10-10
에이스전자 태양광발전소,경기도 양주시 광적면 그루고개로221번길 192-26,,37.8386567000231,126.998132111887,,정상가동,49.8,380,60,2024,,2024-07-30,경기도 양주시청,,2024-10-10
환기 태양광발전소,경기도 양주시 만삼로 46,경기도 양주시 만송동 48-8 (건물 위),37.7921423296608,127.097094791969,,정상가동,50.4,380,60,2024,,2024-07-29,경기도 양주시청,,2024-10-10
효민2호 태양광발전소,경기도 양주시 광적면 현석로719번길 276-12,,37.8564509253409,126.969913092621,,정상가동,98.4,380,60,2024,,2024-07-25,경기도 양주시청,,2024-10-10
새현섬유 태양광발전소,경기도 양주시 남면 감악산로52번길 55-7,,37.8749177319999,126.985949194981,,정상가동,58.0,380,60,2024,,2024-07-19,경기도 양주시청,,2024-10-10
일진2호 태양광발전소,경기도 양주시 광적면 부흥로 881-33,,37.8148946154552,126.989546837071,,정상가동,94.01,380,60,2024,,2024-07-15,경기도 양주시청,,2024-10-10
엘케이솔라텍,경기도 양주시 칠봉산로227번길 76-39,,37.8559997572998,127.072151318045,,정상가동,99.96,380,60,2024,,2024-07-11,경기도 양주시청,,2024-10-10
미선 태양광발전소,경기도 양주시 은현면 은현로 437-14,,37.9023458368102,127.008958620926,,정상가동,99.5,380,60,2024,,2024-07-09,경기도 양주시청,,2024-10-10
제(1)일팔 태양광발전소,경기도 양주시 백석읍 중앙로 112-11,,37.7944201359676,126.998583286476,,정상가동,38.08,380,60,2024,,2024-06-25,경기도 양주시청,,2024-10-10
백경 태양광발전소,경기도 양주시 양주산성로307번길 57-16,,37.7772567041984,127.012356656075,,정상가동,30.0,380,60,2024,,2024-06-21,경기도 양주시청,,2024-10-10
오륜 태양광발전소,경기도 양주시 율정로 263,"경기도 양주시 율정동 67-3 , 67-17(건물 위)",37.81767704321,127.103341891705,,정상가동,241.8,380,60,2024,,2024-06-20,경기도 양주시청,,2024-10-10
J.S 태양광발전소,경기도 양주시 은현면 화합로691번길 147-16,,37.8739793444935,127.012058413609,,정상가동,85.68,380,60,2024,,2024-06-12,경기도 양주시청,,2024-10-10
주식회사 성원케미칼,경기도 양주시 남면 화합로430번길 229-29,경기도 양주시 남면 경신리 271-17,37.8564330013101,126.977618709721,,정상가동,79.2,380,60,2024,,2024-06-05,경기도 양주시청,,2024-10-10
제이에이치원 4호 발전소,경기도 양주시 은현면 화합로1169번길 72-54,"경기도 양주시 은현면 용암리 349-12 , 349-14",37.8506554911781,127.050320936142,,정상가동,99.66,380,60,2024,,2024-06-05,경기도 양주시청,,2024-10-10
제이에이치원 3호 발전소,경기도 양주시 은현면 화합로1169번길 72-54,"경기도 양주시 은현면 용암리 349-13 가, 나, 다, 라동",37.8506554911781,127.050320936142,,정상가동,99.0,380,60,2024,,2024-06-05,경기도 양주시청,,2024-10-10
제이에이치원 5호 발전소,경기도 양주시 은현면 화합로1169번길 72-54,"경기도 양주시 은현면 용암리 349-12 , 349-14 가, 나동",37.8506554911781,127.050320936142,,정상가동,38.94,380,60,2024,,2024-06-03,경기도 양주시청,,2024-10-10
제이에이치원 2호 태양광발전소,경기도 양주시 은현면 화합로1169번길 72-46,,37.8493089455415,127.05048965717,,정상가동,99.0,380,60,2024,,2024-06-03,경기도 양주시청,,2024-10-10
제이에이치원 1호 태양광발전소,경기도 양주시 은현면 화합로1169번길 72-56,,37.8510912103617,127.050065806103,,정상가동,99.0,380,60,2024,,2024-06-03,경기도 양주시청,,2024-10-10
