태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
모든태양광3호 태양광발전소,경기도 하남시 서하남로47번길 107 (감북동),,37.5199426201356,127.153290963449,,정상가동,97.2,380,60,2024,발전사업용,2024-02-29,,,2025-12-03
대양2호 태양광발전소,경기도 하남시 산곡북로 17 (하산곡동),,37.5022569303526,127.230488964728,,정상가동,29.4,380,60,2023,발전사업용,2023-10-25,,,2025-12-03
대양1호 태양광발전소,경기도 하남시 하남대로292번길 36 (상산곡동),,37.50221646528,127.233065658018,,정상가동,29.4,380,60,2023,발전사업용,2023-09-30,,,2025-12-03
명일 태양광발전소,경기도 하남시 초광산단서로16번길 26(초이동),,37.5294100361608,127.16808573536,,정상가동,29.75,380,60,2023,발전사업용,2023-04-18,,,2025-12-03
하남시민햇빛발전2호기,"경기도 하남시 아리수로 600, 다목적체육관(옥상) (망월동)",,37.5657002161617,127.193906244378,,정상가동,99.5,380,60,2022,발전사업용,2022-08-12,,,2025-12-03
하남시민햇빛발전1호기,"경기도 하남시 아리수로 600, 하남종합운동장(옥상 위) (망월동)",,37.5657002161617,127.193906244378,,정상가동,99.5,380,60,2022,발전사업용,2022-08-12,,,2025-12-03
매트디포 발전소,경기도 하남시 산곡동로 31(하산곡동),,37.5065820573677,127.230560960249,,정상가동,19.98,380,60,2022,발전사업용,2022-05-16,,,2025-12-03
하남공예1호 발전소,경기도 하남시 산곡동로 84-31(하산곡동),,37.5116677432281,127.230157767924,,정상가동,28.8,380,60,2022,발전사업용,2022-02-21,,,2025-12-03
라진 태양광발전소,경기도 하남시 초광산단동로6번길 66(광암동),,37.5255814590005,127.172552266237,,정상가동,76.68,380,60,2021,발전사업용,2021-12-07,,,2025-12-03
미래유통 태양광발전소,경기도 하남시 산곡동로86번길 36(하산곡동),,37.5120613223473,127.229544915433,,정상가동,39.56,380,60,2021,발전사업용,2021-10-01,,,2025-12-03
숭일 태양광발전소,경기도 하남시 초광산단로 17(초이동),,37.5274774002259,127.168520799473,,정상가동,36.07,380,60,2022,발전사업용,2022-06-16,,,2025-12-03
태건2호 태양광발전소,경기도 하남시 미사동로 88-2 (미사동),,37.5743679698306,127.203691127489,,정상가동,17.94,380,60,2021,발전사업용,2021-06-30,,,2025-12-03
태건1호 태양광발전소,경기도 하남시 미사동로 88 (미사동),,37.5744985684788,127.203194639633,,정상가동,29.9,380,60,2021,발전사업용,2021-06-30,,,2025-12-03
하남대로 506 태양광발전소,경기도 하남시 하남대로 506 (하산곡동),,37.5189866482312,127.221979187963,,정상가동,51.92,380,60,2021,발전사업용,2021-04-23,,,2025-12-03
동양 102호 태양광발전소,경기도 하남시 초광로 189 (초이동),,37.5370316102359,127.175992016463,,정상가동,21.6,380,60,2021,발전사업용,2021-04-08,,,2025-12-03
한소리 태양광발전소,"경기도 하남시 광암로176번길 73 (광암동, 재승아트빌)",,37.5140905870983,127.171833003916,,정상가동,19.13,380,60,2021,발전사업용,2021-01-11,,,2025-12-03
현대에코1 태양광발전소,,"경기도 하남시 하산곡동 390-21, 390-15, 419 (중부선 통영 : 359.2 ~ 359.4K)",,,,정상가동,96.0,380,60,2020,발전사업용,2020-12-07,,,2025-12-03
비젼다모아 태양광발전소,"경기도 하남시 초광산단로 37, 한설식품 하남공장 (초이동)",,37.529318208273,127.168665679133,,정상가동,98.77,380,60,2020,발전사업용,2020-10-05,,,2025-12-03
고향골 태양광발전소,경기도 하남시 검단산로 88-1 (하산곡동),,37.5234355070649,127.227946916309,,정상가동,42.3,380,60,2020,발전사업용,2020-08-21,,,2025-12-03
태림에스엠 태양광발전소,"경기도 하남시 초광산단서로16번길 22, (유)태림에스엠 하남공장 (초이동)",,37.5294335288205,127.167785417526,,정상가동,24.9,380,60,2020,발전사업용,2020-06-12,,,2025-12-03
로드원콜렉션 태양광발전소,"경기도 하남시 초광산단로 118, (주)로드원콜렉션 하남공장 (광암동)",,37.5248240832637,127.172116001219,,정상가동,98.4,380,60,2020,발전사업용,2020-03-19,,,2025-12-03
대현태양광발전소,경기도 하남시 초광산단서로 14 (초이동),,37.5293734235007,127.167219726892,,정상가동,87.15,380,60,2020,발전사업용,2020-03-19,,,2025-12-03
우일 태양광발전소,"경기도 하남시 초광산단로 126, 우일공장 (광암동)",,37.5245031390677,127.172799905257,,정상가동,58.5,380,60,2019,발전사업용,2019-10-11,,,2025-12-03
SJ태양광발전소,"경기도 하남시 초광산단로 78, 미사섬유 하남공장 (광암동)",,37.5284016740907,127.171754165109,,정상가동,76.05,380,60,2019,발전사업용,2019-10-11,,,2025-12-03
JBG친환경에너지,경기도 하남시 초광산단로 125 (광암동),,37.5248505601179,127.173172441868,,정상가동,99.45,380,60,2019,발전사업용,2019-08-22,,,2025-12-03
정혁 태양광발전소,"경기도 하남시 초광산단로 113, 우리콤텍스타일 하남공장 (광암동)",,37.5251463898928,127.172350462969,,정상가동,99.45,380,60,2019,발전사업용,2019-08-22,,,2025-12-03
세진발전소,"경기도 하남시 초광산단로 130, (주)세진섬유 하남공장 (광암동)",,37.5242254206619,127.17318932331,,정상가동,99.45,380,60,2019,발전사업용,2019-08-13,,,2025-12-03
선우 태양광발전소,"경기도 하남시 초광산단로 108, 선우엔지니어링 하남공장 (광암동)",,37.5256126925861,127.171832051306,,정상가동,71.89,380,60,2019,발전사업용,2019-08-13,,,2025-12-03
호산 발전소,"경기도 하남시 초광산단로 123, 호산산업 하남공장 (광암동)",,37.5249330525814,127.172891737927,,정상가동,81.9,380,60,2019,발전사업용,2019-08-13,,,2025-12-03
케이디파워솔라 태양광발전소,"경기도 하남시 미사강변중앙로 40, 코스트코 홀세일 하남점 (풍산동)",,37.5504293808484,127.193873239868,,정상가동,198.9,380,60,2019,발전사업용,2019-07-01,,,2025-12-03
대현1호 태양광발전소,경기도 하남시 초광산단로 25 (초이동),,37.5283078600055,127.168452525746,,정상가동,51.1,380,60,2019,발전사업용,2019-03-05,,,2025-12-03
감북솔라에너지,경기도 하남시 서하남로47번길 175-15 (감북동),,37.5221140402826,127.154600391449,,정상가동,19.8,380,60,2018,발전사업용,2018-11-16,,,2025-12-03
김대환 태양광발전소,경기도 하남시 서하남로542번길 74 (교산동),,37.520040501551,127.201394758236,,정상가동,10.08,380,60,2018,발전사업용,2018-11-16,,,2025-12-03
태경 태양광발전소,경기도 하남시 서하남로 268 (광암동),,37.5172355733243,127.173226784727,,정상가동,138.6,380,60,2018,발전사업용,2018-11-14,,,2025-12-03
김삼수 태양광발전소,경기도 하남시 서하남로23번길 14 (감북동),,37.517273435461,127.147388109375,,정상가동,14.4,220,60,2018,발전사업용,2018-09-28,,,2025-12-03
이주범 태양광발전소,"경기도 하남시 초이로80번길 19, 3층 (초이동)",,37.5378717642367,127.172468906963,,정상가동,17.28,380,60,2018,발전사업용,2018-09-03,,,2025-12-03
배알미동번영회,"경기도 하남시 아랫배알미길 69, 배알미동마을회관 (배알미동)",,37.5265924489495,127.271057493513,,정상가동,16.35,380,60,2018,발전사업용,2018-02-08,,,2025-12-03
동서울지사 태양광 발전소,"경기도 하남시 서하남로 88, 한국도로공사 동서울지사 (감일동)",,37.5148103288072,127.15322164727,,정상가동,52.5,380,60,2018,발전사업용,2018-01-10,,,2025-12-03
디케이홀딩스 태양광발전소,경기도 하남시 서하남로47번길 116 (감북동),,37.5196312986512,127.154141095596,,정상가동,19.8,380,60,2017,발전사업용,2017-03-28,,,2025-12-03
고골태양광발전소,경기도 하남시 춘궁로93번길 21 (하사창동),,37.5096557073326,127.203038418005,,정상가동,19.8,380,60,2015,발전사업용,2015-12-01,,,2025-12-03
양곡태양광발전소,경기도 하남시 검단산로34번길 35-28 (하산곡동),,37.5197335260012,127.227733284041,,정상가동,70.56,380,60,2015,발전사업용,2015-07-22,,,2025-12-03
병민태양광발전소,경기도 하남시 서하남로576번길 9 (교산동),,37.5218759814631,127.204303544929,,정상가동,19.8,380,60,2015,발전사업용,2015-02-02,,,2025-12-03
동화태양광발전소,경기도 하남시 서하남로576번길 9 (교산동),,37.5218759814631,127.204303544929,,정상가동,21.28,380,60,2014,발전사업용,2014-10-07,,,2025-12-03
J.S.2태양광발전소,경기도 하남시 산곡동로 42-22 (하산곡동),,37.5074105325479,127.232032005906,,정상가동,10.0,220,60,2014,발전사업용,2014-05-26,,,2025-12-03
J.S.1태양광발전소,경기도 하남시 산곡동로 42-22 (하산곡동),,37.5074105325479,127.232032005906,,정상가동,50.0,380,60,2014,발전사업용,2014-05-26,,,2025-12-03
성영 태양광발전소,경기도 하남시 초이로92번길 146 (초이동),,37.5435083252304,127.173880375591,,정상가동,20.0,380,60,2013,발전사업용,2013-05-02,,,2025-12-03
이랴 태양광발전소,경기도 하남시 서하남로 450-14 (춘궁동),,37.521779461008,127.189003375947,,정상가동,93.6,380,60,2013,발전사업용,2013-03-08,,,2025-12-03
썬파워 태양광발전소,경기도 하남시 서하남로451번길 172 (춘궁동),,37.5268693370686,127.191223270192,,정상가동,28.5,380,60,2013,발전사업용,2013-02-05,,,2025-12-03
