태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
공수1호 태양광발전소,,경상남도 거창군 가북면 박암리 105,35.7814918640227,128.007316568976,,정상가동,99.4,380,60,2020,태양광,2018-08-31,경상남도 거창군,,2025-12-01
공수3호 태양광발전소,,경상남도 거창군 가북면 박암리 105,35.7814918640227,128.007316568976,,정상가동,99.4,380,60,2020,태양광,2018-08-31,경상남도 거창군,,2025-12-01
공수2호 태양광발전소,,경상남도 거창군 가북면 박암리 106,35.7815016083045,128.007702463454,,정상가동,99.4,380,60,2020,태양광,2018-08-31,경상남도 거창군,,2025-12-01
큰골한우 태양광발전소,,경상남도 거창군 가북면 박암리 1247,35.7826508034959,127.992243291706,,정상가동,99.9,380,60,2021,태양광,2019-10-04,경상남도 거창군,,2025-12-01
한국농어촌공사 거창함양지사 가북수상태양광발전소,,경상남도 거창군 가북면 박암리 479,35.7849619009827,128.002726689308,,정상가동,950.4,22900,60,2018,태양광,2017-03-21,경상남도 거창군,,2025-12-01
한국농어촌공사 가북소수력발전소,,경상남도 거창군 가북면 박암리 산157,35.7829015930416,128.002794380808,,정상가동,650.0,22900,60,2014,태양광,2011-10-13,경상남도 거창군,,2025-12-01
산죽골 태양광발전소,,경상남도 거창군 가북면 용암리 1644,35.8156474715514,128.037594397779,,정상가동,99.2,380,60,2019,태양광,2018-03-23,경상남도 거창군,,2025-12-01
건강원1호 태양광발전소,,경상남도 거창군 가북면 용암리 1870,35.8068983145389,128.036463844991,,정상가동,99.96,380,60,2021,태양광,2020-06-26,경상남도 거창군,,2025-12-01
우당 태양광발전소,,경상남도 거창군 가북면 우혜리 1370,35.7618035285942,128.000972213964,,정상가동,99.0,380,60,2022,태양광,2021-04-21,경상남도 거창군,,2025-12-01
다산 태양광발전소,,경상남도 거창군 가북면 우혜리 1372-4,35.761704174199,128.002243103378,,정상가동,99.0,380,60,2022,태양광,2021-04-22,경상남도 거창군,,2025-12-01
거창10호 태양광발전소,경상남도 거창군 가북면 우혜2길 103,경상남도 거창군 가북면 우혜리 1698-3,35.7670066567805,127.995674735718,,정상가동,39.6,380,60,2022,태양광,2021-11-09,경상남도 거창군,,2025-12-01
수리듬1 태양광발전소,,경상남도 거창군 가북면 해평리 697,,,,정상가동,99.9,380,60,2020,태양광,2019-10-04,경상남도 거창군,,2025-12-01
학산2호 태양광발전소,,경상남도 거창군 가조면 기리 1324-2,35.6584387253936,128.02124040064,,정상가동,99.72,380,60,2020,태양광,2018-08-14,경상남도 거창군,,2025-12-01
기리 태양광발전소,경상남도 거창군 가조면 기리4길 40-25,경상남도 거창군 가조면 기리 1071,35.6738349825192,128.019777545804,,정상가동,19.88,220,60,2018,태양광,2017-12-20,경상남도 거창군,,2025-12-01
덕양1호 태양광발전소,경상남도 거창군 가조면 기리3길 35,경상남도 거창군 가조면 기리 35-1,35.6761157564274,128.02050971256,,정상가동,99.0,380,60,2022,태양광,2020-11-06,경상남도 거창군,,2025-12-01
덕양2호 태양광발전소,경상남도 거창군 가조면 기리3길 35,경상남도 거창군 가조면 기리 35-2,35.6761157564274,128.02050971256,,정상가동,99.0,380,60,2022,태양광,2020-11-06,경상남도 거창군,,2025-12-01
양기마을 태양광발전소,,경상남도 거창군 가조면 기리 625-3,35.6837987700004,128.021415489437,,정상가동,29.88,380,60,2020,태양광,2020-08-18,경상남도 거창군,,2025-12-01
도산당 태양광발전소,,경상남도 거창군 가조면 도리 1386-1,35.7065743210587,128.046182874935,,정상가동,99.0,380,60,2017,태양광,2015-06-08,경상남도 거창군,,2025-12-01
선산 태양광발전소,,경상남도 거창군 가조면 도리 1085,35.7063492213093,128.045858281795,,정상가동,99.9,380,60,2022,태양광,2021-05-07,경상남도 거창군,,2025-12-01
운정 태양광발전소,,경상남도 거창군 가조면 도리 1085-3,35.7064696569129,128.046570009196,,정상가동,99.9,380,60,2022,태양광,2021-05-07,경상남도 거창군,,2025-12-01
남훈2호 태양광발전소,경상남도 거창군 가조면 도리4길 198-28,경상남도 거창군 가조면 도리 121,35.6993298168853,128.062679610141,,정상가동,99.0,380,60,2022,태양광,2020-12-08,경상남도 거창군,,2025-12-01
남훈3호 태양광발전소,경상남도 거창군 가조면 도리4길 198-28,경상남도 거창군 가조면 도리 121,35.6993298168853,128.062679610141,,정상가동,99.0,380,60,2022,태양광,2020-12-08,경상남도 거창군,,2025-12-01
남훈1호 태양광발전소,경상남도 거창군 가조면 도리4길 198-28,경상남도 거창군 가조면 도리 123,35.6993298168853,128.062679610141,,정상가동,99.0,380,60,2022,태양광,2020-12-08,경상남도 거창군,,2025-12-01
남훈4호 태양광발전소,경상남도 거창군 가조면 도리4길 198-28,경상남도 거창군 가조면 도리 123,35.6993298168853,128.062679610141,,정상가동,99.0,380,60,2022,태양광,2020-12-08,경상남도 거창군,,2025-12-01
김숙자 태양광발전소,경상남도 거창군 가조면 도리4길 127-29,경상남도 거창군 가조면 도리 1607,35.7018747908143,128.060473331319,,정상가동,93.08,380,60,2019,태양광,2018-09-13,경상남도 거창군,,2025-12-01
푸른 태양광발전소,,경상남도 거창군 가조면 도리 676,35.697406640405,128.056378006975,,정상가동,99.6,380,60,2022,태양광,2020-08-10,경상남도 거창군,,2025-12-01
나원 태양광발전소,,경상남도 거창군 가조면 도리 810,35.6977813830612,128.053796203543,,정상가동,99.65,380,60,2022,태양광,2021-03-23,경상남도 거창군,,2025-12-01
용호 태양광발전소,경상남도 거창군 가조면 가조가야로 1456-180,경상남도 거창군 가조면 도리 823,35.6985549738458,128.054838196654,,정상가동,93.6,380,60,2020,태양광,2020-06-12,경상남도 거창군,,2025-12-01
유진에너지 2호 태양광발전소,경상남도 거창군 가조면 가조가야로 1456-180,경상남도 거창군 가조면 도리 823,35.6985549738458,128.054838196654,,정상가동,99.12,380,60,2021,태양광,2020-08-10,경상남도 거창군,,2025-12-01
유진에너지 태양광발전소,경상남도 거창군 가조면 가조가야로 1456-180,경상남도 거창군 가조면 도리 823,35.6985549738458,128.054838196654,,정상가동,99.12,380,60,2021,태양광,2020-08-10,경상남도 거창군,,2025-12-01
도리 태양광발전소,,경상남도 거창군 가조면 도리 851,35.7029082270348,128.05411315892,,정상가동,99.6,380,60,2020,태양광,2020-05-13,경상남도 거창군,,2025-12-01
화곡1호 태양광발전소,,경상남도 거창군 가조면 도리 885,,,,정상가동,98.28,380,60,2020,태양광,2019-03-25,경상남도 거창군,,2025-12-01
애축원1호 태양광발전소,경상남도 거창군 가조면 사양동길 46,경상남도 거창군 가조면 동례리 1382,35.7115510161228,127.993747731801,,정상가동,99.63,380,60,2022,태양광,2020-03-09,경상남도 거창군,,2025-12-01
애축원2호 태양광발전소,경상남도 거창군 가조면 사양동길 46,경상남도 거창군 가조면 동례리 1382,35.7115510161228,127.993747731801,,정상가동,99.63,380,60,2022,태양광,2020-03-09,경상남도 거창군,,2025-12-01
사양동 태양광발전소,경상남도 거창군 가조면 사양동길 71-50,경상남도 거창군 가조면 동례리 1439,35.7088175354511,127.99346860158,,정상가동,97.92,380,60,2018,태양광,2018-03-23,경상남도 거창군,,2025-12-01
유담1호 태양광발전소,경상남도 거창군 가조면 사양동길 71-73,경상남도 거창군 가조면 동례리 1440,35.7081141550373,127.993104289499,,정상가동,97.92,380,60,2019,태양광,2018-03-23,경상남도 거창군,,2025-12-01
유담2호 태양광발전소,경상남도 거창군 가조면 사양동길 71-73,경상남도 거창군 가조면 동례리 1440,35.7081141550373,127.993104289499,,정상가동,99.84,380,60,2021,태양광,2019-05-09,경상남도 거창군,,2025-12-01
유담3호 태양광발전소,경상남도 거창군 가조면 사양동길 71-73,경상남도 거창군 가조면 동례리 1440,35.7081141550373,127.993104289499,,정상가동,99.9,380,60,2021,태양광,2020-10-14,경상남도 거창군,,2025-12-01
사양2 태양광발전소,경상남도 거창군 가조면 사양동길 71-50,경상남도 거창군 가조면 동례리 1441,35.7088175354511,127.99346860158,,정상가동,97.92,380,60,2022,태양광,2019-02-13,경상남도 거창군,,2025-12-01
사양3 태양광발전소,경상남도 거창군 가조면 사양동길 71-50,경상남도 거창군 가조면 동례리 1441,35.7088175354511,127.99346860158,,정상가동,97.92,380,60,2022,태양광,2019-02-13,경상남도 거창군,,2025-12-01
사양4 태양광발전소,경상남도 거창군 가조면 사양동길 71-50,경상남도 거창군 가조면 동례리 1441,35.7088175354511,127.99346860158,,정상가동,97.92,380,60,2022,태양광,2019-02-13,경상남도 거창군,,2025-12-01
동례 태양광발전소,,경상남도 거창군 가조면 동례리 1446,,,,정상가동,99.2,380,60,2017,태양광,2017-04-11,경상남도 거창군,,2025-12-01
평촌 태양광발전소,,경상남도 거창군 가조면 동례리 513-4,35.7036884622724,128.005564726423,,정상가동,19.74,380,60,2021,태양광,2020-12-10,경상남도 거창군,,2025-12-01
석희 태양광발전소,,경상남도 거창군 가조면 동례리 782,35.6939692253428,128.006142910625,,정상가동,148.92,380,60,2020,태양광,2018-02-26,경상남도 거창군,,2025-12-01
석희2 태양광발전소,,경상남도 거창군 가조면 동례리 782-2,35.6937050131901,128.006128544007,,정상가동,48.97,380,60,2022,태양광,2020-09-29,경상남도 거창군,,2025-12-01
마상 태양광발전소,경상남도 거창군 가조면 마상4길 41,경상남도 거창군 가조면 마상리 197,35.707701107575,128.014927414013,,정상가동,14.24,380,60,2019,태양광,2019-06-24,경상남도 거창군,,2025-12-01
가조면생활체육협의회 태양광발전소 1호,,경상남도 거창군 가조면 마상리 316-17,35.7098177666065,128.017176743276,,정상가동,15.48,380,60,2021,태양광,2020-09-04,경상남도 거창군,,2025-12-01
시장 태양광발전소,경상남도 거창군 가조면 가조가야로 1116-11,경상남도 거창군 가조면 마상리 316-9,35.7100154536619,128.017192515255,,정상가동,34.71,380,60,2019,태양광,2019-06-24,경상남도 거창군,,2025-12-01
초계1호 태양광발전소,경상남도 거창군 가조면 가북로 154-158,경상남도 거창군 가조면 사병리 1659,35.7290289339721,128.006158154418,,정상가동,79.2,380,60,2018,태양광,2017-09-20,경상남도 거창군,,2025-12-01
키스트론 거창SC1공장 태양광발전소,,경상남도 거창군 가조면 석강리 1406,35.6852416546558,128.025220670741,,정상가동,705.64,22900,60,2013,태양광,2012-10-29,경상남도 거창군,,2025-12-01
우륵 태양광발전소,경상남도 거창군 가조면 우륵길 408-73,경상남도 거창군 가조면 석강리 149-5,35.6981818225023,128.044041650978,,정상가동,76.05,308,60,2022,태양광,2020-11-06,경상남도 거창군,,2025-12-01
융성1호 태양광발전소,경상남도 거창군 가조면 석강2길 68,경상남도 거창군 가조면 석강리 779-3,35.6881728941026,128.023115715957,,정상가동,89.64,380,60,2021,태양광,2020-01-17,경상남도 거창군,,2025-12-01
인동 태양광발전소,경상남도 거창군 가조면 우륵1길 123-72,경상남도 거창군 가조면 석강리 산46-1,35.6920647641356,128.039422696758,,정상가동,200.0,380,60,2015,태양광,2013-08-05,경상남도 거창군,,2025-12-01
(주) 해인 태양광발전소,경상남도 거창군 가조면 우륵1길 123-72,경상남도 거창군 가조면 석강리 산46-1,35.6920647641356,128.039422696758,,정상가동,200.0,22900,60,2015,태양광,2013-08-06,경상남도 거창군,,2025-12-01
(주)달성 태양광발전소,경상남도 거창군 가조면 우륵1길 123-72,경상남도 거창군 가조면 석강리 산46-1,35.6920647641356,128.039422696758,,정상가동,1000.0,22900,60,2015,태양광,2013-08-06,경상남도 거창군,,2025-12-01
(주)대명 태양광발전소,경상남도 거창군 가조면 우륵1길 123-72,경상남도 거창군 가조면 석강리 산46-1,35.6920647641356,128.039422696758,,정상가동,200.0,22900,60,2015,태양광,2013-08-06,경상남도 거창군,,2025-12-01
(주)소망 태양광발전소 1호,경상남도 거창군 가조면 우륵1길 123-72,경상남도 거창군 가조면 석강리 산46-1,35.6920647641356,128.039422696758,,정상가동,98.4,380,60,2015,태양광,2013-09-03,경상남도 거창군,,2025-12-01
(주)소망 태양광발전소 2호,경상남도 거창군 가조면 우륵1길 123-72,경상남도 거창군 가조면 석강리 산46-1,35.6920647641356,128.039422696758,,정상가동,96.0,380,60,2015,태양광,2015-02-11,경상남도 거창군,,2025-12-01
(주) 광명 태양광발전소,경상남도 거창군 가조면 우륵1길 123-175,경상남도 거창군 가조면 석강리 산46-7,35.6911870266327,128.044257266736,,정상가동,600.0,22900,60,2014,태양광,2013-10-08,경상남도 거창군,,2025-12-01
(주)가야 태양광발전소,경상남도 거창군 가조면 우륵1길 123-140,경상남도 거창군 가조면 석강리 산46-8,35.6907652301198,128.042492031341,,정상가동,800.0,22900,60,2015,태양광,2013-08-06,경상남도 거창군,,2025-12-01
(주)고운 태양광발전소,경상남도 거창군 가조면 우륵1길 123-140,경상남도 거창군 가조면 석강리 산46-8,35.6907652301198,128.042492031341,,정상가동,500.0,22900,60,2015,태양광,2013-08-06,경상남도 거창군,,2025-12-01
온천 태양광발전소,경상남도 거창군 가조면 용당소1길 9-42,경상남도 거창군 가조면 수월리 1001,35.7189304348801,128.024955966397,,정상가동,60.48,380,60,2021,태양광,2019-04-30,경상남도 거창군,,2025-12-01
상수월태양광발전소,,경상남도 거창군 가조면 수월리 243,35.7151237938328,128.02973054084,,정상가동,99.2,380,60,2016,태양광,2016-02-23,경상남도 거창군,,2025-12-01
가조면생활체육협의회 태양광발전소 3호,,경상남도 거창군 가조면 수월리 449-13,35.7097444052808,128.018295841863,,정상가동,29.88,380,60,2020,태양광,2020-09-04,경상남도 거창군,,2025-12-01
가조면생활체육협의회 태양광발전소 2호,경상남도 거창군 가조면 가조가야로 1128,경상남도 거창군 가조면 수월리 453,35.7102115510781,128.018259462335,,정상가동,29.88,380,60,2020,태양광,2020-09-04,경상남도 거창군,,2025-12-01
비계 태양광발전소,,경상남도 거창군 가조면 일부리 343-4,35.7099683178712,128.035097415168,,정상가동,288.0,380,60,2018,태양광,2018-03-02,경상남도 거창군,,2025-12-01
(주)아림발전 아림 태양광발전소,경상남도 거창군 가조면 녹동3길 227,경상남도 거창군 가조면 일부리 1,35.7113654340735,128.043546583115,,정상가동,498.96,380,60,2021,태양광,2018-04-10,경상남도 거창군,,2025-12-01
행복 태양광발전소,,경상남도 거창군 가조면 일부리 282,35.7086970128723,128.034125937517,,정상가동,99.63,380,60,2022,태양광,2020-02-20,경상남도 거창군,,2025-12-01
비계산 태양광발전소1,,경상남도 거창군 가조면 일부리 343-8,35.7100072778772,128.035974076891,,정상가동,99.96,380,60,2022,태양광,2020-08-24,경상남도 거창군,,2025-12-01
