태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
봉화 태양광 발전소,,경상남도 남해군 삼동면 봉화리 825번지,34.8046502065221,128.021955658461,기타,정상가동,99.0,380,60,2015,발전사업용,2014-09-11,경상남도 남해군청,1672.0,2025-11-20
봉 태양광 발전소,경상남도 남해군 창선면 서부로 1365,,34.9148544137125,128.012128510569,기타,정상가동,18.75,380,60,2014,발전사업용,2014-09-15,경상남도 남해군청,120.0,2025-11-20
유신 태양광 발전소,경상남도 남해군 창선면 서부로 1497,,34.9176781444511,128.024808206057,기타,정상가동,18.75,380,60,2014,발전사업용,2014-09-15,경상남도 남해군청,120.0,2025-11-20
고두태양광발전소,,경상남도 남해군 창선면 가인리 216-3,34.8852484685331,128.041762536107,기타,정상가동,48.0,220,60,2016,발전사업용,2015-07-23,경상남도 남해군청,1533.0,2025-11-20
청광태양광발전소,경상남도 남해군 남해읍 남해대로 2836,,34.8415665260029,127.899528090506,기타,정상가동,75.95,380,60,2015,발전사업용,2015-01-08,경상남도 남해군청,513.0,2025-11-20
수정태양광발전소,경상남도 남해군 창선면 서부로1230번길 47-7,,34.9075627200417,128.002818115316,기타,정상가동,15.0,220,60,2015,발전사업용,2015-02-26,경상남도 남해군청,96.0,2025-11-20
태영태양광발전소,경상남도 남해군 창선면 서부로 1259,,34.9106691695898,128.002376199871,기타,정상가동,60.0,380,60,2015,발전사업용,2015-02-26,경상남도 남해군청,265.0,2025-11-20
YS태양광발전소,,"경상남도 남해군 남면 죽전리 401, 406",,,기타,정상가동,99.75,380,60,2015,발전사업용,2015-03-10,경상남도 남해군청,645.0,2025-11-20
남해전기관당태양광발전소,경상남도 남해군 고현면 고설로197번길 27-7,,34.8906846581375,127.88969583519,기타,정상가동,45.0,380,60,2016,발전사업용,2015-04-07,경상남도 남해군청,687.0,2025-11-20
외금썬태양광발전소,경상남도 남해군 남해읍 당넘로247번길 40-42,,34.8210240958408,127.890822939008,기타,정상가동,86.4,380,60,2016,발전사업용,2015-04-17,경상남도 남해군청,1334.0,2025-11-20
금빛태양광발전소,,경상남도 남해군 남해읍 평현리 1796번지,34.8151513578981,127.88216663527,기타,정상가동,99.0,380,60,2015,발전사업용,2015-05-19,경상남도 남해군청,1820.0,2025-11-20
꿈엔들쏠라태양광발전소 2호,경상남도 남해군 남면 남서대로 1125,,34.782304234858,127.8642229181,기타,정상가동,30.0,380,60,2015,발전사업용,2015-05-19,경상남도 남해군청,768.0,2025-11-20
정포발전 태양광발전소,경상남도 남해군 서면 정포로260번길 2,,34.8809825301445,127.836596951491,기타,정상가동,18.0,220,60,2015,발전사업용,2015-05-22,경상남도 남해군청,115.0,2025-11-20
해오름 태양광발전소,,"경상남도 남해군 삼동면 봉화리 1856번지, 삼동면 봉화리 1853-3번지",,,기타,정상가동,99.0,380,60,2016,발전사업용,2015-11-09,경상남도 남해군청,1580.0,2025-11-20
그린솔루션 태양광발전소,,"경상남도 남해군 삼동면 봉화리1856-1, 봉화리 1853-2",34.7730409756915,128.014239293505,기타,정상가동,99.0,380,60,2016,발전사업용,2015-11-09,경상남도 남해군청,1106.0,2025-11-20
내산태양광발전소,,경상남도 남해군 삼동면 봉화리 1769-4,34.7711526504753,128.013671766427,기타,정상가동,99.0,380,60,2017,발전사업용,2015-11-20,경상남도 남해군청,1648.0,2025-11-20
그랜드썬에너지 태양광발전소,,경상남도 남해군 서면 정포리 45번지,34.8767388147977,127.85167990032,기타,정상가동,67.5,380,60,2018,발전사업용,2015-12-04,경상남도 남해군청,437.0,2025-11-20
내금2 마을회 태양광발전소,경상남도 남해군 남해읍 당넘로 77,,34.8221336766331,127.908341537461,기타,정상가동,9.0,220,60,2016,발전사업용,2015-12-17,경상남도 남해군청,198.0,2025-11-20
내금태양광발전,경상남도 남해군 남해읍 당넘로 77,,34.8221336766331,127.908341537461,기타,정상가동,66.0,380,60,2015,발전사업용,2015-06-08,경상남도 남해군청,1760.0,2025-11-20
서희 태양광발전소,경상남도 남해군 창선면 흥선로 1320번길 15-5,,34.8519333614178,128.051492565785,기타,정상가동,18.0,220,60,2016,발전사업용,2016-01-07,경상남도 남해군청,660.0,2025-11-20
당항교회 장학회 태양광발전소,,"경상남도 남해군 남면 당항리 1099-2번지, 남면 당항리 1099-13번지",,,기타,정상가동,99.84,380,60,2016,발전사업용,2016-03-24,경상남도 남해군청,4100.0,2025-11-20
꿈엔들쏠라 2호 태양광발전소,경상남도 남해군 남면 남서대로 1125,,34.782304234858,127.8642229181,기타,정상가동,62.22,380,60,2016,발전사업용,2016-05-26,경상남도 남해군청,768.0,2025-11-20
영숙태양광 발전소,경상남도 남해군 남해읍 남해대로 2984번길 58-3,,34.8539610497224,127.899186351309,기타,정상가동,40.5,380,60,2016,발전사업용,2016-06-07,경상남도 남해군청,169.0,2025-11-20
남희 태양광발전소,,"경상남도 남해군 남면 임포리 45-1번지, 임포리 250-1번지",34.7469831797667,127.880160591631,기타,정상가동,99.0,380,60,2017,발전사업용,2016-06-20,경상남도 남해군청,1604.0,2025-11-20
삼조 태양광발전소,경상남도 남해군 삼동면 동부대로 1542-83,,34.8312472804511,128.030459608716,기타,정상가동,94.5,380,60,2016,발전사업용,2016-07-21,경상남도 남해군청,2502.0,2025-11-20
서원 태양광발전소,경상남도 남해군 서면 정포로260번길 45-106,,34.8863897814424,127.838827921886,기타,정상가동,64.32,380,60,2017,발전사업용,2016-08-18,경상남도 남해군청,806.0,2025-11-20
인철1호 태양광발전소,,경상남도 남해군 설천면 진목리 780번지,34.8932904159139,127.913775660091,기타,정상가동,99.0,380,60,2018,발전사업용,2017-02-14,경상남도 남해군청,1239.0,2025-11-20
성희 태양광발전소,,"경상남도 남해군 서면 서상리 1404, 1405번지",,,기타,정상가동,99.2,380,60,2017,발전사업용,2017-02-20,경상남도 남해군청,2078.0,2025-11-20
상신태양광발전소 1호,,"경상남도 남해군 창선면 상신리 405-1, 433-1, 432번지",,,기타,정상가동,97.28,380,60,2017,발전사업용,2017-02-27,경상남도 남해군청,3062.0,2025-11-20
상신태양광발전소 2호,,"경상남도 남해군 창선면 상신리 432, 405-1, 431번지",,,기타,정상가동,97.28,380,60,2017,발전사업용,2017-02-27,경상남도 남해군청,1795.0,2025-11-20
남해전기차산 태양광발전소,,경상남도 남해군 남해읍 차산리 36-63번지,34.842381205421,127.909657012359,기타,정상가동,192.0,380,60,2020,발전사업용,2017-03-31,경상남도 남해군청,3103.0,2025-11-20
건아 태양광발전소,,경상남도 남해군 남면 석교리 1085번지,34.7711910294628,127.897007777708,기타,정상가동,96.48,380,60,2017,발전사업용,2017-04-10,경상남도 남해군청,575.0,2025-11-20
장수 태양광발전소,경상남도 남해군 설천면 강진로438번길 35-21,,34.9315024407845,127.92236342356,기타,정상가동,96.48,380,60,2017,발전사업용,2017-04-10,경상남도 남해군청,565.0,2025-11-20
