태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
김O형2호 태양광발전소,,경상남도 밀양시 상남면,35.4483992882627,128.753523409368,기타,가동중단,56.7,380,60,2024,,2024-09-30,경상남도 밀양시,,2024-09-30
김O형1호 태양광발전소,,경상남도 밀양시 상남면,35.4483992882627,128.753523409368,기타,가동중단,63.0,380,60,2024,,2024-09-30,경상남도 밀양시,,2024-09-30
장수1호 태양광발전소,경상남도 밀양시 하남읍 백산로 420,,35.3713907587502,128.758579724816,,가동중단,99.54,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
장수2호 태양광발전소,경상남도 밀양시 하남읍 백산로 420,,35.3713907587502,128.758579724816,,가동중단,19.53,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
성경썬1호 태양광발전소,경상남도 밀양시 산외면 산외강변로 57,,35.4990794537379,128.79178950425,옥상,가동중단,183.75,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
성경썬2호 태양광발전소,경상남도 밀양시 산외면 산외강변로 57,,35.4990794537379,128.79178950425,옥상,가동중단,183.13,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
제이10호 태양광발전소,,경상남도 밀양시 산내면 임고리 2173-1,35.5637554226873,128.873322662223,,가동중단,85.68,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
제이9호 태양광발전소,,경상남도 밀양시 산내면 임고리 2173-1,35.5637554226873,128.873322662223,,가동중단,99.96,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
제이8호 태양광발전소,,경상남도 밀양시 산내면 임고리 2173-1,35.5637554226873,128.873322662223,,가동중단,99.96,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
제이7호 태양광발전소,,경상남도 밀양시 산내면 임고리 2173-1,35.5637554226873,128.873322662223,,가동중단,99.96,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
제이6호 태양광발전소,,경상남도 밀양시 산내면 임고리 2173-1,35.5637554226873,128.873322662223,,가동중단,99.96,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
제이5호 태양광발전소,,경상남도 밀양시 산내면 임고리 2173-1,35.5637554226873,128.873322662223,,가동중단,99.96,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
용전7호 태양광발전소,,"경상남도 밀양시 산내면 용전리 1620-3, 1620-4",,,,가동중단,99.96,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
용전28호 태양광발전소,,"경상남도 밀양시 산내면 용전리 1620, 1620-1",,,,가동중단,98.28,380,60,2024,,2024-09-23,경상남도 밀양시,,2024-09-30
나브텍A 태양광발전소,경상남도 밀양시 부북면 춘화농공단지길 70,,35.5294289519296,128.728861386873,옥상,가동중단,497.64,22900,60,2024,,2024-09-19,경상남도 밀양시,,2024-09-30
남밀양농협 태양광발전소,경상남도 밀양시 하남읍 명례로 60,,35.3705127796167,128.729052737885,,가동중단,499.59,380,60,2024,,2024-09-19,경상남도 밀양시,,2024-09-30
영남 태양광발전소,경상남도 밀양시 부북면 오례2길 18-1,,35.5007307674971,128.721546387664,옥상,가동중단,84.38,380,60,2024,,2024-09-13,경상남도 밀양시,,2024-09-30
한울 태양광발전소,경상남도 밀양시 무안면 사명로 1172-61,,35.5214193495309,128.657621409085,,가동중단,340.2,380,60,2024,,2024-09-13,경상남도 밀양시,,2024-09-30
코스모스 태양광발전소,경상남도 밀양시 상남면 어은길 18,,35.3769881721908,128.770199867569,기타,가동중단,99.4,380,60,2024,,2024-09-05,경상남도 밀양시,,2024-09-30
온새미로3호 태양광발전소,경상남도 밀양시 상남면 어은길 18,,35.3769881721908,128.770199867569,기타,가동중단,99.4,380,60,2024,,2024-09-05,경상남도 밀양시,,2024-09-30
온새미로2호 태양광발전소,경상남도 밀양시 상남면 어은길 18,,35.3769881721908,128.770199867569,기타,가동중단,99.4,380,60,2024,,2024-09-05,경상남도 밀양시,,2024-09-30
용성 태양광발전소,경상남도 밀양시 삼랑진읍 부림들길 167-19,,35.4440830976155,128.793534673284,옥상,가동중단,46.25,380,60,2024,,2024-09-02,경상남도 밀양시,,2024-09-30
외산2호 태양광발전소,경상남도 밀양시 상남면 외산길 36-16,,35.3796843924491,128.78486269656,,가동중단,19.38,380,60,2024,,2024-08-21,경상남도 밀양시,,2024-09-30
밀양축산농협1호기,경상남도 밀양시 상남면 상남로 940-15,,35.441255580373,128.758514808162,,가동중단,245.44,380,60,2024,,2024-08-27,경상남도 밀양시,,2024-09-30
안인 태양광발전소,경상남도 밀양시 상동면 구곡길 21-43,,35.5348569483304,128.763908539908,,가동중단,99.54,380,60,2024,,2024-08-27,경상남도 밀양시,,2024-09-30
고답 태양광발전소,,경상남도 밀양시 상동면 고정리 2412-2,35.5647879060669,128.796564154616,,가동중단,33.13,380,60,2024,,2024-08-27,경상남도 밀양시,,2024-09-30
운진3호 태양광발전소,경상남도 밀양시 무안면 사명로 1228-5,,35.5306766133633,128.659183176403,옥상,가동중단,99.4,380,60,2024,,2024-08-23,경상남도 밀양시,,2024-09-30
운진2호 태양광발전소,경상남도 밀양시 무안면 사명로 1228-5,,35.5306766133633,128.659183176403,옥상,가동중단,99.4,380,60,2024,,2024-08-23,경상남도 밀양시,,2024-09-30
운진1호 태양광발전소,경상남도 밀양시 무안면 사명로 1228-5,,35.5306766133633,128.659183176403,옥상,가동중단,99.4,380,60,2024,,2024-08-23,경상남도 밀양시,,2024-09-30
농업회사 다온건강,경상남도 밀양시 부북면 퇴로로 426,,35.5366957605106,128.709983140586,옥상,가동중단,102.3,380,60,2024,,2024-08-12,경상남도 밀양시,,2024-09-30
지에스그린텍 태양광발전소,경상남도 밀양시 삼랑진읍 미율로 191-15,,35.4202128661542,128.817000183107,옥상,가동중단,99.54,380,60,2024,,2024-08-12,경상남도 밀양시,,2024-09-30
김O욱 태양광발전소,,경상남도 밀양시 무안면,35.4707122682009,128.651336977932,옥상,가동중단,19.0,380,60,2024,,2024-08-12,경상남도 밀양시,,2024-09-30
밀양축산농협2호기 태양광발전소,경상남도 밀양시 삼랑진읍 부림들길 159,,35.4430614076409,128.792080741527,옥상,가동중단,460.2,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전30호 태양광발전소,,경상남도 밀양시 산내면 용전리 1619 1620-4,,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전29호 태양광발전소,,"경상남도 밀양시 산내면 용전리 1619 , 1620, 1620-1, 1621-1",,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전27호 태양광발전소,,"경상남도 밀양시 산내면 용전리 1620 1620-2, 1620-4",,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전26호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620-2 1620-5,,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전24호 태양광발전소,,"경상남도 밀양시 산내면 용전리 1619 1620-1, 1621-1",,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전23호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620-4,35.5833201918859,128.853346102371,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전22호 태양광발전소,,경상남도 밀양시 산내면 용전리 1619 1620-4,,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전21호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620-4,35.5833201918859,128.853346102371,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전20호 태양광발전소,,"경상남도 밀양시 산내면 용전리 1619 1620, 1620-1, 1620-4",,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전19호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620-4,35.5833201918859,128.853346102371,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전18호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620 1620-4,,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전17호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620-4,35.5833201918859,128.853346102371,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전12호 태양광발전소,,"경상남도 밀양시 산내면 용전리 1620 ,1620-2, 1620-4",,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전14호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620 1620-4,,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전15호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620-4,35.5833201918859,128.853346102371,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전16호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620 1620-4,,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전10호 태양광발전소,,"경상남도 밀양시 산내면 용전리 1620-3 1620-4, 1620-5",,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전8호 태양광발전소,,"경상남도 밀양시 산내면 용전리 1620-2 1620-3, 1620-4, 1620-5",,,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전5호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620-3,35.584065787817,128.853194397208,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전3호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620-3,35.584065787817,128.853194397208,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전2호 태양광발전소,,"경상남도 밀양시 산내면 용전리 1620-2 , 1620-3, 1620-4, 1620-5",,,,가동중단,398.16,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
용전1호 태양광발전소,,경상남도 밀양시 산내면 용전리 1620-3,35.584065787817,128.853194397208,,가동중단,98.28,380,60,2024,,2024-08-09,경상남도 밀양시,,2024-09-30
유성산업 태양광발전소,경상남도 밀양시 부북면 사포산단중앙로 57-7,,35.4690960311427,128.736168962313,옥상,가동중단,399.96,380,60,2024,,2024-08-02,경상남도 밀양시,,2024-09-30
우성 태양광발전소,경상남도 밀양시 부북면 사포공단1길 25-15,,35.4681537559035,128.745551209783,,가동중단,37.8,380,60,2024,,2024-07-26,경상남도 밀양시,,2024-09-30
수호1호 태양광발전소,경상남도 밀양시 삼랑진읍 부림들길 147-8,,35.4439748547299,128.791964110741,,가동중단,99.38,380,60,2024,,2024-07-26,경상남도 밀양시,,2024-09-30
수호2호 태양광발전소,경상남도 밀양시 삼랑진읍 부림들길 147-8,,35.4439748547299,128.791964110741,옥상,가동중단,99.38,380,60,2024,,2024-07-26,경상남도 밀양시,,2024-09-30
수호3호 태양광발전소,경상남도 밀양시 삼랑진읍 부림들길 147-8,,35.4439748547299,128.791964110741,,가동중단,99.38,380,60,2024,,2024-07-26,경상남도 밀양시,,2024-09-30
수호4호 태양광발전소,,경상남도 밀양시 삼랑진읍 용성리 1242,35.4439206696004,128.791619764331,옥상,가동중단,99.38,380,60,2024,,2024-07-26,경상남도 밀양시,,2024-09-30
강남5 태양광발전소,경상남도 밀양시 추화산성길 34-15,,35.5114874199628,128.767390032541,,가동중단,50.4,380,60,2024,,2024-07-26,경상남도 밀양시,,2024-09-30
제일태양광,경상남도 밀양시 상남면 조음로 30-60,,35.4139167076304,128.763986937922,,가동중단,99.38,380,60,2024,,2024-07-26,경상남도 밀양시,,2024-09-30
협진엔지니어링 태양광발전소,경상남도 밀양시 삼랑진읍 미전농공단지길 69,,35.4083757771659,128.81332075262,옥상,가동중단,600.0,22900,60,2024,,2024-07-24,경상남도 밀양시,,2024-09-30
가곡 태양광발전소,경상남도 밀양시 상동면 상동가곡3길 29-11,,35.5328687609399,128.782178883337,옥상,가동중단,19.38,380,60,2024,,2024-07-24,경상남도 밀양시,,2024-09-30
SKOP밀양3호 태양광발전소,경상남도 밀양시 하남읍 양동농공단지길 65-22,,35.3913855875378,128.721622847034,,가동중단,320.91,380,60,2024,,2024-07-23,경상남도 밀양시,,2024-09-30
