태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
심지제9에너지,경상남도 의령군 대의면 망용로4길 55-84,,35.3472382357168,128.120254850835,,정상가동,45.0,380,60,2024,,,,,2025-12-01
제일1호 에너지,"경상남도 의령군 대의면 망용로 31, 대의공동한우판매장",,35.3611047425606,128.09822558649,,정상가동,99.96,380,60,2024,,,,,2025-12-01
제일2호 에너지,"경상남도 의령군 대의면 망용로 31, 대의공동한우판매장",,35.3611047425606,128.09822558649,,정상가동,52.92,380,60,2024,,,,,2025-12-01
송죽1호 태양광발전소,"경상남도 의령군 가례면 홍의로6길 13-33, 송죽농장",,35.3285077724474,128.225473529798,,정상가동,99.83,380,60,2024,,,,,2025-12-01
송죽2호 태양광발전소,"경상남도 의령군 가례면 홍의로6길 13-33, 송죽농장",,35.3285077724474,128.225473529798,,정상가동,99.83,380,60,2024,,,,,2025-12-01
행정2태양광발전소,경상남도 의령군 대의면 모의로5길 54-1,,35.3885779191463,128.165813437943,,폐기,157.06,380,60,2024,,,,,2025-12-01
대림 태양광발전소,경상남도 의령군 낙서면 낙동강로 903-4,,35.4927177283038,128.412824654666,,정상가동,19.84,380,60,2024,,,,,2025-12-01
잠미2호 태양광발전소,"경상남도 의령군 부림면 신번로9길 6, 부림스포츠센터",,35.4684378109919,128.324626056009,,정상가동,39.33,380,60,2024,,,,,2025-12-01
지멘스 태양광발전소,경상남도 의령군 낙서면 낙동강로2길 48-22,,35.4675173809357,128.385826433661,,정상가동,203.36,380,60,2024,,,,,2025-12-01
사람들의령용덕1호 태양광발전소,경상남도 의령군 용덕면 덕암로6길 25-27,,35.3391852545998,128.272183424253,,정상가동,321.9,380,60,2024,,,,,2025-12-01
재현1호 태양광발전소,경상남도 의령군 부림면 천혜로4길 17-8,,35.4985130886,128.281770528328,,정상가동,99.6,380,60,2024,,,,,2025-12-01
재현2호 태양광발전소,경상남도 의령군 부림면 천혜로4길 17-8,,35.4985130886,128.281770528328,,정상가동,99.6,380,60,2024,,,,,2025-12-01
