태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
늘봄 태양광발전소,경상남도 진주시 일반성면 일사로 315-83,,35.138674,128.26972,옥상,정상가동,154.88,380,60,2025,발전사업용,2025-12-18,경상남도 진주시청,676,2026-01-28
소곡리2호 태양광발전소,,경상남도 진주시 정촌면 소곡리 728-7 외 25필지,35.128957,128.127256,옥외,정상가동,999.81,22900,60,2025,발전사업용,2025-12-16,경상남도 진주시청,,2026-01-28
소곡리1호 태양광발전소,,경상남도 진주시 정촌면 소곡리 688-7 외 6필지,35.130605,128.124029,옥외,정상가동,291.06,380,60,2025,발전사업용,2025-12-16,경상남도 진주시청,,2026-01-28
광석2에너지 태양광발전소,,경상남도 진주시 대곡면 광석리 545,35.275874,128.160954,옥외,정상가동,99.84,380,60,2025,발전사업용,2025-12-10,경상남도 진주시청,436,2026-01-28
광석1에너지 태양광발전소,,경상남도 진주시 대곡면 광석리 542,35.275852,128.160213,옥외,정상가동,99.84,380,60,2025,발전사업용,2025-12-10,경상남도 진주시청,436,2026-01-28
준희농장 태양광발전소,경상남도 진주시 사봉면 공치고개길 248-66,,35.18964127,128.302737,옥상,정상가동,61.44,380,60,2025,발전사업용,2025-12-10,경상남도 진주시청,268,2026-01-28
서광오토모텍 태양광발전소,경상남도 진주시 큰들로 31,,35.171318,128.1061675,옥상,정상가동,286.72,380,60,2025,발전사업용,2025-12-05,경상남도 진주시청,124544,2026-01-28
현대이엔지 태양광발전소,경상남도 진주시 사봉면 산업단지로 71,,35.189477,128.2780659,옥상,정상가동,701.44,380,60,2025,발전사업용,2025-12-04,경상남도 진주시청,311209,2026-01-28
다인테크 태양광발전소,경상남도 진주시 사봉면 산업단지로44번길 41-80,,35.18641043,128.2737685,옥상,정상가동,150.4,380,60,2025,발전사업용,2025-12-03,경상남도 진주시청,658,2026-01-28
현대공업 태양광발전소,경상남도 진주시 큰들로65번길 13,,35.17214653,128.1099147,옥상,정상가동,174.72,380,60,2025,발전사업용,2025-12-03,경상남도 진주시청,758,2026-01-28
동양에코그린 태양광발전소,경상남도 진주시 정촌면 산업로79번길 5,,35.122209,128.105353,옥상,정상가동,483.84,380,60,2025,발전사업용,2025-12-03,경상남도 진주시청,204120,2026-01-28
동양그린파워 태양광발전소,경상남도 진주시 정촌면 산업로79번길 6,,35.123706,128.106344,옥상,정상가동,495.36,380,60,2025,발전사업용,2025-12-03,경상남도 진주시청,208980,2026-01-28
장수 태양광발전소,경상남도 진주시 내동면 칠봉산길 104-22,,35.15255986,128.045693,옥상,정상가동,58.05,380,60,2025,발전사업용,2025-11-25,경상남도 진주시청,251,2026-01-28
진주연서3호에너지 태양광발전소,,"경상남도 진주시 진성면 천곡리 236 , 237, 238",35.175804,128.245629,옥외,정상가동,89.6,380,60,2025,발전사업용,2025-11-24,경상남도 진주시청,114100,2026-01-28
태광에너지 태양광발전소,,경상남도 진주시 진성면 천곡리 249,35.178578,128.246068,옥외,정상가동,89.6,380,60,2025,발전사업용,2025-11-24,경상남도 진주시청,785,2026-01-28
진영1호에너지 태양광발전소,,"경상남도 진주시 진성면 천곡리 249 , 251-3",35.178578,128.246068,옥외,정상가동,89.6,380,60,2025,발전사업용,2025-11-24,경상남도 진주시청,664,2026-01-28
청명진주1호에너지 태양광발전소,,"경상남도 진주시 진성면 천곡리 251-3 , 236, 238",35.176351,128.245527,옥외,정상가동,89.6,380,60,2025,발전사업용,2025-11-24,경상남도 진주시청,709,2026-01-28
햇빛누리에너지 태양광발전소,,"경상남도 진주시 진성면 천곡리 251-1 , 251-3",35.176351,128.245527,옥외,정상가동,89.6,380,60,2025,발전사업용,2025-11-24,경상남도 진주시청,666,2026-01-28
잔빛2호에너지 태양광발전소,,"경상남도 진주시 진성면 천곡리 251-1 , 251-2, 251-3, 236, 238",35.176351,128.245527,옥외,정상가동,89.6,380,60,2025,발전사업용,2025-11-24,경상남도 진주시청,768,2026-01-28
햇살에너지 태양광발전소,,"경상남도 진주시 진성면 천곡리 251-1 , 251-2, 251-3",35.176351,128.245527,옥외,정상가동,89.6,380,60,2025,발전사업용,2025-11-24,경상남도 진주시청,790,2026-01-28
영빈에코1호 태양광발전소,,"경상남도 진주시 진성면 천곡리 236 , 238",35.177493,128.244893,옥외,정상가동,89.6,380,60,2025,발전사업용,2025-11-24,경상남도 진주시청,728,2026-01-28
생명에너지 태양광발전소,,"경상남도 진주시 진성면 천곡리 251-1 , 251-2, 251-3",35.176351,128.245527,옥외,정상가동,89.6,380,60,2025,발전사업용,2025-11-24,경상남도 진주시청,711,2026-01-28
