태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
미정 태양광발전소,경상남도 창녕군 창녕읍 중탐하길 34-1,,35.5260967358359,128.481987166827,옥상,정상가동,99.6,380,60,2024,,2023-12-11,경상남도 창녕군,,2024-10-04
동궁 태양광발전소,경상남도 창녕군 도천면 치이골길 56-24,,35.4199715439306,128.522192240763,옥상,정상가동,97.2,380,60,2024,,2023-11-21,경상남도 창녕군,,2024-10-04
안리7호 태양광발전소,경상남도 창녕군 이방면 이방로 698-44,,35.5817489349284,128.395440678593,옥상,정상가동,99.66,380,60,2024,,2023-10-26,경상남도 창녕군,,2024-10-04
안리6호 태양광발전소,경상남도 창녕군 이방면 이방로 698-44,,35.5817489349284,128.395440678593,옥상,정상가동,99.66,380,60,2024,,2023-10-26,경상남도 창녕군,,2024-10-04
안리3호 태양광발전소,경상남도 창녕군 이방면 이방로 698-25,,35.5823014758568,128.395136295457,옥상,정상가동,99.66,380,60,2024,,2023-10-26,경상남도 창녕군,,2024-10-04
안리5호 태양광발전소,경상남도 창녕군 이방면 이방로 698-44,,35.5817489349284,128.395440678593,옥상,정상가동,99.66,380,60,2024,,2023-10-26,경상남도 창녕군,,2024-10-04
안리4호 태양광발전소,경상남도 창녕군 이방면 이방로 698-25,,35.5823014758568,128.395136295457,옥상,정상가동,99.66,380,60,2024,,2023-10-26,경상남도 창녕군,,2024-10-04
안리9호 태양광발전소,경상남도 창녕군 이방면 이방로 698-48,,35.5822305998407,128.396641482285,옥상,정상가동,99.66,380,60,2024,,2023-10-26,경상남도 창녕군,,2024-10-04
안리8호 태양광발전소,경상남도 창녕군 이방면 이방로 698-48,,35.5822305998407,128.396641482285,옥상,정상가동,99.66,380,60,2024,,2023-10-26,경상남도 창녕군,,2024-10-04
안리2호 태양광발전소,경상남도 창녕군 이방면 이방로 698-25,,35.5823014758568,128.395136295457,옥상,정상가동,99.66,380,60,2024,,2023-10-26,경상남도 창녕군,,2024-10-04
안리1호 태양광발전소,경상남도 창녕군 이방면 이방로 698-25,,35.5823014758568,128.395136295457,옥상,정상가동,99.66,380,60,2024,,2023-10-26,경상남도 창녕군,,2024-10-04
창녕1호 태양광발전소,,경상남도 창녕군 대합면 합리 1396,35.6121629624195,128.439897576742,옥상,정상가동,340.0,380,60,2024,,2023-09-25,경상남도 창녕군,,2024-10-04
창녕2호 태양광발전소,,경상남도 창녕군 대합면 합리 1396,35.6121629624195,128.439897576742,옥상,정상가동,200.0,380,60,2024,,2023-09-25,경상남도 창녕군,,2024-10-04
이래에너지 창녕발전소,,경상남도 창녕군 창녕읍 말흘리 531-1,35.5254114993539,128.504487406543,옥상,정상가동,99.96,380,60,2024,,2023-09-01,경상남도 창녕군,,2024-10-04
비613쏠라에너지 태양광발전소,,"경상남도 창녕군 고암면 억만리 1055, 1055-1, 1059-1",,,옥상,정상가동,99.96,380,60,2024,,2023-08-10,경상남도 창녕군,,2024-10-04
솔라플라워 태양광발전소,,"경상남도 창녕군 계성면 봉산리 817, 823-1",,,옥상,정상가동,99.6,380,60,2023,,2023-07-28,경상남도 창녕군,,2024-10-04
도원 태양광발전소,,"경상남도 창녕군 계성면 봉산리 817, 823-1",,,옥상,정상가동,99.6,380,60,2023,,2023-07-28,경상남도 창녕군,,2024-10-04
썬모아 태양광발전소,,"경상남도 창녕군 계성면 봉산리 817, 823-1",,,옥상,정상가동,99.6,380,60,2023,,2023-07-28,경상남도 창녕군,,2024-10-04
대영 태양광 발전소,,"경상남도 창녕군 계성면 봉산리 817, 823-1",,,옥상,정상가동,99.6,380,60,2023,,2023-07-28,경상남도 창녕군,,2024-10-04
대성2 태양광발전소,,"경상남도 창녕군 영산면 신제리 354-1, 400-16",,,옥상,정상가동,59.5,380,60,2024,,2023-06-14,경상남도 창녕군,,2024-10-04
대성1 태양광발전소,,경상남도 창녕군 영산면 죽사리 1104-1,35.4479515613083,128.515047648101,옥상,정상가동,69.62,380,60,2024,,2023-06-14,경상남도 창녕군,,2024-10-04
