태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
개평태양광발전소,,경상남도 함양군 지곡면 개평리 233번지 2호,,,,정상가동,30.0,380,60,2009,발전사업용,2009-03-05,경상남도 함양군,,2025-11-11
(주)화산태양광발전소,,"경상남도 함양군 수동면 화산리 산 148번지 20호 527-1, 527-3",,,,정상가동,200.0,22900,60,2009,발전사업용,2009-06-25,경상남도 함양군,,2025-11-11
명성태양광발전소(명성태양광발전소),,경상남도 함양군 백전면 양백리 1017번지,35.5686691165875,127.635064387407,,정상가동,78.2,380,60,2015,발전사업용,2013-01-23,경상남도 함양군,,2025-11-11
광영태양광발전소(광영태양광발전소),,"경상남도 함양군 안의면 석천리 39번지 40, 43-9",,,,정상가동,99.84,380,60,2016,발전사업용,2013-07-04,경상남도 함양군,,2025-11-11
정인2호 태양광발전소,,경상남도 함양군 서하면 송계리 763번지 766-1,,,,정상가동,99.36,380,60,2016,발전사업용,2013-09-13,경상남도 함양군,,2025-11-11
송계 태양광발전소,,경상남도 함양군 서하면 송계리 763번지 766-1,,,,정상가동,99.36,380,60,2016,발전사업용,2013-09-13,경상남도 함양군,,2025-11-11
정인1호 태양광발전소,,경상남도 함양군 서하면 송계리 763번지 764,,,,정상가동,99.36,380,60,2016,발전사업용,2013-09-13,경상남도 함양군,,2025-11-11
(주)경현,경상남도 함양군 서하면 육십령로 2011-139,,35.6589313088969,127.698220848182,,정상가동,495.0,380,60,2015,발전사업용,2013-11-14,경상남도 함양군,,2025-11-11
함양군청,경상남도 함양군 휴천면 천왕봉로 2354,,35.4393177670994,127.757355979741,,정상가동,400.0,22900,60,2014,발전사업용,2013-12-05,경상남도 함양군,,2025-11-11
거기태양광발전소(거기태양광발전소),경상남도 함양군 서하면 서하송계로 142,,35.657781550505,127.704968478573,,정상가동,19.84,220,60,2016,발전사업용,2014-03-21,경상남도 함양군,,2025-11-11
백현마을 태양광발전소(백현마을 태양광발전소),경상남도 함양군 백전면 백현길 138,,35.5410312885986,127.651153196311,,정상가동,15.0,220,60,2014,발전사업용,2014-03-28,경상남도 함양군,,2025-11-11
거성일렉콤(주)(거성태양광발전소),경상남도 함양군 지곡면 지곡시목뒷길 46,,35.6193938166321,127.791574590989,,정상가동,12.6,380,60,2014,발전사업용,2014-08-14,경상남도 함양군,,2025-11-11
주식회사 봉곡,,경상남도 함양군 지곡면 시목리 937번지 1호,35.6025871718958,127.772641507267,,정상가동,999.0,22900,60,2015,발전사업용,2014-11-13,경상남도 함양군,,2025-11-11
농업회사법인 주식회사 금당(금당태양광발전소),,"경상남도 함양군 서상면 금당리 1039번지 1호 1039-2, 1042-1",,,,정상가동,240.0,380,60,2015,발전사업용,2014-11-26,경상남도 함양군,,2025-11-11
(주)천사(천사태양광발전소),,경상남도 함양군 서상면 상남리 산 144번지 11호,,,,정상가동,999.0,22900,60,2017,발전사업용,2014-12-17,경상남도 함양군,,2025-11-11
태영태양광발전소(태영태양광발전소),경상남도 함양군 유림면 천왕봉로 2653,,35.4533344946678,127.778433718012,,정상가동,195.84,380,60,2018,발전사업용,2015-01-13,경상남도 함양군,,2025-11-11
황마로태양광발전소(황마로태양광발전소),,경상남도 함양군 안의면 도림리 1307번지 2호,,,,정상가동,99.0,380,60,2015,발전사업용,2015-02-17,경상남도 함양군,,2025-11-11
원창 쏠라(원창 쏠라),,"경상남도 함양군 수동면 화산리 산 148번지 24호 산148-26, 527-8, 527-15",,,,정상가동,99.5,380,60,2017,발전사업용,2015-04-03,경상남도 함양군,,2025-11-11
(주)중앙 태양광발전소,,경상남도 함양군 백전면 평정리 산 87번지 9호,,,,정상가동,992.0,22900,60,2019,발전사업용,2016-02-19,경상남도 함양군,,2025-11-11
금반태양광발전소,경상남도 함양군 휴천면 휴천로 255,,35.4757564121661,127.725361331194,,정상가동,297.6,380,60,2017,발전사업용,2017-03-07,경상남도 함양군,,2025-11-11
경동나비엔태양광발전소,경상남도 함양군 함양읍 고운로 273,,35.5247228601523,127.749900519897,,정상가동,23.04,380,60,2017,발전사업용,2017-04-27,경상남도 함양군,,2025-11-11
복동태양광발전소,경상남도 함양군 서상면 육십령로 1399,,35.7033233802938,127.680907277916,,정상가동,198.8,380,60,2018,발전사업용,2017-09-06,경상남도 함양군,,2025-11-11
민이네 태양광발전소,경상남도 함양군 함양읍 월명길 62-25,,35.5168175487853,127.780294574443,,정상가동,227.2,380,60,2018,발전사업용,2017-10-27,경상남도 함양군,,2025-11-11
새터 태양광발전소,,경상남도 함양군 함양읍 난평리 14번지 4호,35.4945172861735,127.725085131691,,정상가동,299.97,380,60,2019,발전사업용,2017-11-27,경상남도 함양군,,2025-11-11
모실 태양광발전소,경상남도 함양군 유림면 지곡양지길 20-2,,35.4468146825265,127.786730922316,,정상가동,99.5,380,60,2019,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
소망 태양광발전소,경상남도 함양군 수동면 하교내백로 110-3,,35.5533325711084,127.815234374094,,정상가동,58.5,380,60,2021,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
장원 태양광발전소,,경상남도 함양군 병곡면 도천리 산 74-13,,,,정상가동,198.8,380,60,2018,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
박성술 태양광발전소,,경상남도 함양군 안의면 황곡리 산 131번지,35.593861164595,127.838288867123,,정상가동,99.36,380,60,2018,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
강은경 태양광발전소,,경상남도 함양군 마천면 가흥리 26번지,35.4004343851063,127.676168375826,,정상가동,99.36,380,60,2018,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
김태룡 태양광발전소,,경상남도 함양군 안의면 하원리 1502번지,35.6757142586854,127.782508605856,,정상가동,99.36,380,60,2018,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
이윤선 태양광발전소,,경상남도 함양군 안의면 봉산리 543번지 2호,,,,정상가동,199.44,380,60,2018,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
고주상 태양광발전소,,경상남도 함양군 안의면 황곡리 1213번지,35.6043993271096,127.828048164129,,정상가동,99.36,380,60,2018,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
정대훈 태양광발전소,,"경상남도 함양군 지곡면 남효리 374, 373-4, 374-2",,,,정상가동,99.36,380,60,2018,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
정승효 태양광발전소,,"경상남도 함양군 지곡면 남효리 374-1, 373-2",,,,정상가동,99.36,380,60,2018,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
정규찬 태양광발전소,,경상남도 함양군 지곡면 남효리 252번지,35.5990775372698,127.794132237987,,정상가동,99.36,380,60,2018,발전사업용,2017-12-04,경상남도 함양군,,2025-11-11
