태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
용산이 태양광발전소,"경상북도 봉화군 소천면 배나들길 78, (현동리)",경상북도 봉화군 소천면 현동리 310,36.92821191,129.0263445,,정상가동,42.78,380,60,2024,,2024-02-20,경상북도 봉화군,193.0,2024-10-11
팜한농태양광발전소,"경상북도 봉화군 봉성면 다덕로 371-7, 동부비료 (금봉리)",,36.90823755,128.774094,,정상가동,58.8,380,60,2024,,2023-09-21,경상북도 봉화군,301.351,2024-10-11
느티나무1 태양광발전소,"경상북도 봉화군 봉성면 산수유길 185, (동양리)",경상북도 봉화군 봉성면 동양리 227,36.92853252,128.8050778,,정상가동,15.0,220,60,2024,,2023-08-17,경상북도 봉화군,68.011,2024-10-11
정순옥 태양광발전소,"경상북도 봉화군 재산면 명재로 620-36, (상리)",경상북도 봉화군 재산면 상리 402-8,36.83266262,128.9482055,,정상가동,14.62,220,60,2024,,2023-07-24,경상북도 봉화군,71.73,2024-10-11
돌집 태양광발전소,"경상북도 봉화군 봉화읍 건정길 24, (적덕리)",,36.87608632,128.6997697,,정상가동,19.64,220,60,2023,,2023-07-12,경상북도 봉화군,88.435,2024-10-11
어지1리마을회관 태양광발전소,"경상북도 봉화군 법전면 녹동3길 4, 336동 1호 (어지리)","경상북도 봉화군 법전면 어지리 338-1 , 336-1",36.91658065,128.9604116,,정상가동,18.0,380,60,2023,,2023-04-14,경상북도 봉화군,195.0,2024-10-11
교동빌딩 태양광발전소,"경상북도 봉화군 봉화읍 내성천1길 78, 232동 232-48호 232-22 -33(내성리)","경상북도 봉화군 봉화읍 내성리 232-10 , 232-22, 232-33, 232-48",36.89013101,128.7391315,,정상가동,19.72,380,60,2023,,2023-04-14,경상북도 봉화군,98.0,2024-10-11
두현2태양광발전소,,경상북도 봉화군 봉성면 금봉리 571-20,36.91015448,128.7813517,,정상가동,16.66,380,60,2023,,2023-03-30,경상북도 봉화군,74.424,2024-10-11
선진 태양광발전소,"경상북도 봉화군 봉화읍 예봉로 1710-210, (거촌리)",,36.86857716,128.7531453,,정상가동,19.68,380,60,2023,,2023-02-24,경상북도 봉화군,92.77,2024-10-11
국화 태양광발전소,"경상북도 봉화군 재산면 명재로 619-5, (상리)",,36.83386345,128.9481642,,정상가동,23.04,220,60,2023,,2023-02-08,경상북도 봉화군,121.44,2024-10-11
동양태양광발전소,"경상북도 봉화군 봉화읍 봉화로 986, 건물위 (해저리)",경상북도 봉화군 봉화읍 해저리 613-1 (건물위),36.8929114,128.7178076,,정상가동,44.1,380,60,2023,,2022-10-05,경상북도 봉화군,200.3,2024-10-11
투게더태양광발전소,"경상북도 봉화군 봉화읍 보밑길 41, 건물위 (내성리)",경상북도 봉화군 봉화읍 내성리 364 (건물위),36.89323038,128.7363341,,정상가동,39.44,380,60,2023,,2022-10-05,경상북도 봉화군,190.0,2024-10-11
서벽3리마을회관태양광발전소,,경상북도 봉화군 춘양면 서벽리 1318-3 (건물위),37.00778692,128.8101508,,정상가동,41.23,380,60,2023,,2022-08-08,경상북도 봉화군,270.6,2024-10-11
서벽4리마을회관태양광발전소,"경상북도 봉화군 춘양면 춘양로 1343, (서벽리)",,37.00403834,128.8415707,,정상가동,57.72,380,60,2023,,2022-08-08,경상북도 봉화군,477.21,2024-10-11
석포1호태양광발전소,,"경상북도 봉화군 석포면 석포리 330-1 , 330-14, 330-16",37.05518745,129.0653929,,정상가동,99.5,380,60,2024,,2022-08-08,경상북도 봉화군,500.0,2024-10-11
석포2호태양광발전소,,"경상북도 봉화군 석포면 석포리 330-1 , 330-14, 330-16",37.05518745,129.0653929,,정상가동,99.5,380,60,2024,,2022-08-08,경상북도 봉화군,500.0,2024-10-11
석포3호태양광발전소,,"경상북도 봉화군 석포면 석포리 330-1 , 330-11, 330-14, 330-16",37.05518745,129.0653929,,정상가동,37.0,380,60,2024,,2022-08-08,경상북도 봉화군,500.0,2024-10-11
마무이발전소2호태양광발전소,,경상북도 봉화군 석포면 승부리 235-1,37.01334056,129.0653749,,정상가동,99.0,380,60,2023,,2022-07-27,경상북도 봉화군,1181.0,2024-10-11
마무이발전소3호태양광발전소,,경상북도 봉화군 석포면 승부리 235-6,37.01326847,129.0652786,,정상가동,99.76,380,60,2023,,2022-07-27,경상북도 봉화군,1060.0,2024-10-11
용천태양광발전소,경상북도 봉화군 명호면 구꾸리길 109-33,,36.88730086,128.8645291,,정상가동,19.14,380,60,2023,,2022-07-18,경상북도 봉화군,90.41,2024-10-11
마무이발전소1호태양광발전소,,"경상북도 봉화군 석포면 승부리 224-1 , 223",37.01298209,129.0703469,,정상가동,99.0,380,60,2022,,2022-06-27,경상북도 봉화군,1618.0,2024-10-11
매산발전소,,경상북도 봉화군 법전면 눌산리 692,36.90196925,128.9652879,,정상가동,300.0,380,60,2023,,2022-05-20,경상북도 봉화군,3180.0,2024-10-11
비오발전소,,경상북도 봉화군 법전면 눌산리 691,36.90118336,128.9656487,,정상가동,200.0,380,60,2023,,2022-05-20,경상북도 봉화군,2980.0,2024-10-11
마너무발전소 협동조합,,경상북도 봉화군 법전면 눌산리 692,36.90196925,128.9652879,,정상가동,30.0,380,60,2023,,2022-05-20,경상북도 봉화군,474.0,2024-10-11
햇뜰발전소2,,"경상북도 봉화군 법전면 눌산리 760-4 , 759-1",36.89900866,128.9680297,,정상가동,100.0,380,60,2023,,2022-05-20,경상북도 봉화군,1502.0,2024-10-11
햇뜰발전소1,,"경상북도 봉화군 법전면 눌산리 760-2 , 759-5",36.89885665,128.9679871,,정상가동,100.0,380,60,2023,,2022-05-20,경상북도 봉화군,1398.0,2024-10-11
