태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
오성신재생에너지㈜,경상북도 안동시 임동면,,36.5688567165587,128.917583937536,,정상가동,792.0,22900,60,2010,,,,,2024-09-24
풍천태양광발전소,경상북도 안동시 풍천면,,36.5561890573723,128.506522707702,,정상가동,29.8,380,60,2008,,,,,2024-09-24
신용태양광발전소,경상북도 안동시 풍천면,,36.5561890573723,128.506522707702,,정상가동,29.8,380,60,2008,,,,,2024-09-24
원천태양광발전소,경상북도 안동시 녹전면,,36.742907986393,128.773663986123,,정상가동,29.16,380,60,2008,,,,,2024-09-24
㈜해청광발전,경상북도 안동시 일직면,,36.4752869602867,128.65952881444,,정상가동,793.8,22900,60,2010,,,,,2024-09-24
안동제1태양광발전소,경상북도 안동시 녹전면,,36.742907986393,128.773663986123,,정상가동,96.0,380,60,2012,,,,,2024-09-24
안동제2태양광발전소,경상북도 안동시 녹전면,,36.742907986393,128.773663986123,,정상가동,96.0,380,60,2012,,,,,2024-09-24
안동제3태양광발전소,경상북도 안동시 녹전면,,36.742907986393,128.773663986123,,정상가동,96.0,380,60,2012,,,,,2024-09-24
안동제4태양광발전소,경상북도 안동시 녹전면,,36.742907986393,128.773663986123,,정상가동,96.0,380,60,2012,,,,,2024-09-24
㈜태정태양광발전소,경상북도 안동시 녹전면,,36.742907986393,128.773663986123,,정상가동,98.8,380,60,2010,,,,,2024-09-24
태정태양광2호발전소,경상북도 안동시 녹전면,,36.742907986393,128.773663986123,,정상가동,99.33,380,60,2010,,,,,2024-09-24
태광발전소,경상북도 안동시 임동면,,36.5688567165587,128.917583937536,,정상가동,197.2,380,60,2011,,,,,2024-09-24
금광발전소,경상북도 안동시 임동면,,36.5688567165587,128.917583937536,,정상가동,197.2,380,60,2011,,,,,2024-09-24
수광발전소,경상북도 안동시 임동면,,36.5688567165587,128.917583937536,,정상가동,197.2,380,60,2011,,,,,2024-09-24
준광발전소,경상북도 안동시 임동면,,36.5688567165587,128.917583937536,,정상가동,197.2,380,60,2011,,,,,2024-09-24
남광태양광발전소,경상북도 안동시 정하동,,36.5419008712249,128.727677774494,,정상가동,1246.0,22900,60,2012,,,,,2024-09-24
민태양광,경상북도 안동시 녹전면,,36.742907986393,128.773663986123,,정상가동,58.5,380,60,2012,,,,,2024-09-24
우리에너지태양광발전소1호,경상북도 안동시 풍산읍,,36.580157750403,128.57205509491,,정상가동,1635.93,22900,60,2013,,,,,2024-09-24
우리에너지태양광발전소2호,경상북도 안동시 풍산읍,,36.580157750403,128.57205509491,,정상가동,1097.25,22900,60,2013,,,,,2024-09-24
이마트 안동 태양광발전소,경상북도 안동시 옥동,,36.5615167017752,128.701719516809,,정상가동,49.4,380,60,2014,,,,,2024-09-24
방축안동 태양광발전소,경상북도 안동시 임동면,,36.5688567165587,128.917583937536,,정상가동,1998.82,22900,60,2013,,,,,2024-09-24
