태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
경휘태양광발전소,,경상북도 울진군 평해읍 오곡리 산94-1,36.7465556,129.4416853,,정상가동,996.0,380,60,2011,발전사업용,2008-05-08,경상북도청,,2024-07-25
사계2리영농조합법인태양광발전소,"경상북도 울진군 북면 고목1길 28-31, 고목1리마을회관",경상북도 울진군 북면 고목리 470-5,37.07453791,129.377787,,정상가동,80.33,380,60,2014,발전사업용,2013-12-06,경상북도청,724.0,2024-07-25
고목1리영농조합법인태양광발전소,"경상북도 울진군 북면 고목1길 28-31, 고목1리마을회관",경상북도 울진군 북면 고목리 470-5,37.07453791,129.377787,,정상가동,81.0,380,60,2014,발전사업용,2013-12-06,경상북도청,,2024-07-25
상당리태양광발전소,,경상북도 울진군 북면 상당리 54,37.0606747,129.3022273,,정상가동,80.33,380,60,2014,발전사업용,2013-12-06,경상북도청,774.0,2024-07-25
두천1리영농조합법인태양광발전소,,경상북도 울진군 북면 두천리 215,37.03322848,129.2904762,,정상가동,76.0,380,60,2014,발전사업용,2013-12-06,경상북도청,706.0,2024-07-25
섶실영농조합법인태양광발전소,경상북도 울진군 북면 박금소야로 542-7,경상북도 울진군 북면 소곡리 480,37.0575294,129.3443303,,정상가동,50.0,380,60,2014,발전사업용,2014-02-28,경상북도청,330.0,2024-07-25
사계1리영농조합법인태양광발전소,"경상북도 울진군 북면 사계1길 91, 사계1리동회관",경상북도 울진군 북면 사계리 96,37.04413023,129.3522933,,정상가동,75.0,380,60,2015,발전사업용,2014-08-28,경상북도 울진군청,,2024-07-25
소곡1리영농조합법인태양광발전소,경상북도 울진군 북면 박금소야로 720,경상북도 울진군 북면 소곡리 805,37.0701585,129.3376348,,정상가동,60.0,380,60,2015,발전사업용,2015-01-09,경상북도 울진군청,354.0,2024-07-25
에이치투오태양광발전소,경상북도 울진군 평해읍 직고개길 3-9,경상북도 울진군 평해읍 직산리 214-14,36.71822814,129.4704226,,정상가동,99.96,380,60,2018,발전사업용,2015-03-09,경상북도 울진군청,639.0,2024-07-25
회심사 태양광발전소,경상북도 울진군 근남면 산포5길 49,경상북도 울진군 근남면 산포리 1247-1,36.95577029,129.4042429,,정상가동,34.85,380,60,2015,발전사업용,2015-06-16,경상북도 울진군청,,2024-07-25
강경솔라팜투 울진2 태양광발전소,,경상북도 울진군 북면 주인리 110,37.08564083,129.3472025,,정상가동,499.5,380,60,2019,발전사업용,2015-12-04,경상북도 울진군청,3694.89,2024-07-25
힘찬에너지발전소,,경상북도 울진군 북면 소곡리 482,37.0580707,129.3432931,,정상가동,99.75,380,60,2016,발전사업용,2016-03-28,경상북도 울진군청,,2024-07-25
에스에스에너지발전소,,경상북도 울진군 북면 소곡리 482,37.0580707,129.3432931,,정상가동,99.75,380,60,2016,발전사업용,2016-03-28,경상북도 울진군청,,2024-07-25
다산태양광발전소,,경상북도 울진군 북면 소곡리 482,37.0580707,129.3432931,,정상가동,99.75,380,60,2016,발전사업용,2016-03-28,경상북도 울진군청,,2024-07-25
수인태양광발전소,,경상북도 울진군 북면 소곡리 482,37.0580707,129.3432931,,정상가동,99.75,380,60,2016,발전사업용,2016-03-28,경상북도 울진군청,,2024-07-25
대선태양광발전소,,경상북도 울진군 북면 소곡리 482,37.0580707,129.3432931,,정상가동,99.75,380,60,2016,발전사업용,2016-03-28,경상북도 울진군청,,2024-07-25
(주)지엘 울진태양광발전소,,경상북도 울진군 북면 소곡리 500,37.05688019,129.3445934,,정상가동,99.54,380,60,2016,발전사업용,2016-03-28,경상북도 울진군청,,2024-07-25
금강송 제10 태양광발전소,경상북도 울진군 금강송면 쌍전1길 86,경상북도 울진군 금강송면 광회리 산 4,36.94416174,129.147895,,정상가동,1270.62,22900,60,2020,발전사업용,2016-09-23,경상북도 울진군청,,2024-07-25
울진금강태양광발전소,,경상북도 울진군 기성면 삼산리 863,36.8495764,129.3922037,,정상가동,70.2,380,60,2019,발전사업용,2016-10-14,경상북도 울진군청,,2024-07-25
청계태양광발전소,경상북도 울진군 근남면 왕피천로 623-24,경상북도 울진군 근남면 구산리 1575-3,36.92116027,129.3416348,,정상가동,37.8,380,60,2021,발전사업용,2017-04-21,경상북도 울진군청,192.83,2024-07-25
백암온천마을 태양광발전소,경상북도 울진군 온정면 온정1길 119,경상북도 울진군 온정면 온정리 656,36.70862775,129.3408754,,정상가동,60.97,380,60,2017,발전사업용,2017-04-28,경상북도 울진군청,,2024-07-25
이경선 태양광발전소,경상북도 울진군 평해읍 학곡7길 22-15,경상북도 울진군 평해읍 학곡리 511-3,36.70701884,129.4414539,,정상가동,9.92,220,60,2017,발전사업용,2017-07-05,경상북도 울진군청,,2024-07-25
박창대 태양광발전소,경상북도 울진군 평해읍 삼달길 130-3,경상북도 울진군 평해읍 삼달리 385-1,36.72515698,129.4264629,,정상가동,9.92,220,60,2017,발전사업용,2017-07-05,경상북도 울진군청,,2024-07-25
이순귀 태양광발전소,경상북도 울진군 평해읍 삼달길 122,경상북도 울진군 평해읍 삼달리 389-1,36.72500056,129.4270118,,정상가동,9.92,220,60,2017,발전사업용,2017-07-05,경상북도 울진군청,,2024-07-25
가온발전,,경상북도 울진군 북면 덕구리 701,37.08558027,129.292886,,정상가동,236.52,380,60,2019,발전사업용,2017-12-07,경상북도 울진군청,3243.0,2024-07-25
코마스울진태양광발전소,,경상북도 울진군 북면 덕구리 698,37.0853397,129.2917373,,정상가동,998.64,380,60,2019,발전사업용,2017-12-07,경상북도 울진군청,9900.0,2024-07-25
평해태양광발전소,경상북도 울진군 평해읍 평오곡길 51-122,경상북도 울진군 평해읍 평해리 1465-5,36.73227217,129.439138,,정상가동,341.85,380,60,2019,발전사업용,2018-01-24,경상북도 울진군청,,2024-07-25
화성태양광발전소,,경상북도 울진군 죽변면 화성리 6,37.04264679,129.3937004,,정상가동,91.98,380,60,2018,발전사업용,2018-02-19,경상북도 울진군청,1464.0,2024-07-25
백암태양광발전소,"경상북도 울진군 평해읍 학곡4길 49, 백암목장",경상북도 울진군 평해읍 학곡리 산 87-2,36.71408086,129.4366278,,정상가동,97.92,380,60,2019,발전사업용,2018-06-08,경상북도 울진군청,,2024-07-25
동해태양광발전소,,경상북도 울진군 죽변면 화성리 453,37.05012843,129.3866334,,정상가동,199.8,380,60,2019,발전사업용,2018-08-30,경상북도 울진군청,2751.0,2024-07-25
덕구2리 영농조합법인 태양광 발전소,경상북도 울진군 북면 섶실길 72-35,경상북도 울진군 북면 소곡리 240,37.05924071,129.3494675,,정상가동,98.55,380,60,2019,발전사업용,2018-09-10,경상북도 울진군청,2600.0,2024-07-25
광회리 태양광발전소,경상북도 울진군 금강송면 남회룡로 1062,경상북도 울진군 금강송면 광회리 66,36.89793622,129.1483994,,정상가동,99.19,380,60,2020,발전사업용,2018-11-12,경상북도 울진군청,,2024-07-25
울진태양광발전소,,경상북도 울진군 후포면 금음리 958-1,36.67301794,129.4077311,,정상가동,99.19,380,60,2021,발전사업용,2018-11-12,경상북도 울진군청,1470.0,2024-07-25
태현 태양광발전소,,경상북도 울진군 후포면 금음리 958,36.67244528,129.4083062,,정상가동,499.59,380,60,2021,발전사업용,2018-11-12,경상북도 울진군청,6398.0,2024-07-25
